,primary_site,status,dataset,tissue_hd,dataset_status
TCGA-S8-A6BV-01A-21R-A31P-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A49R-01A-11R-A24K-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-R6-A6DN-01B-11R-A31P-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A4OX-01A-21R-A28J-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-R6-A8WC-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L7-A56G-01A-21R-A260-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A8NS-01A-12R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A4ON-01A-11R-A260-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A4OH-01A-11R-A260-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-RE-A7BO-01A-11R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-IG-A3Y9-01A-12R-A24K-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-R6-A6XG-01B-11R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-Z6-A9VB-01A-21R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A4A9-01A-11R-A28J-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-JY-A6FB-01A-11R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-VR-AA7D-01A-11R-A406-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-2H-A9GM-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A4OI-01A-11R-A36D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-2H-A9GK-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A8NG-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-Z6-A8JE-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-VR-AA7I-01A-11R-A406-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A4OW-01A-11R-A28J-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-V5-AASV-01A-11R-A38D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A8I1-01A-11R-A36D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-KH-A6WC-01A-11R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-ZR-A9CJ-01B-11R-A38D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A8NF-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A891-01A-11R-A36D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A4OM-01A-11R-A260-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-R6-A6Y0-01B-11R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-IG-A97I-01A-11R-A38D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-JY-A6FE-01A-11R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-2H-A9GR-01A-12R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A4MQ-01A-11R-A28J-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A4A8-01A-32R-A260-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-2H-A9GL-01A-12R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A49P-01A-11R-A24K-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A4OS-01A-11R-A28J-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-2H-A9GN-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A7HZ-01A-31R-A354-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-JY-A6F8-01A-11R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A88Z-01A-11R-A36D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A8NN-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-V5-A7RC-01B-11R-A406-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-2H-A9GI-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A9FP-01A-31R-A38D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-R6-A6DQ-01B-11R-A31P-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-2H-A9GF-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-IG-A3QL-01A-11R-A24K-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-2H-A9GG-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A8NT-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-IG-A7DP-01A-31R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-VR-A8EX-01A-11R-A36D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-VR-A8Q7-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-VR-A8EW-01A-11R-A36D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-IG-A3YA-01A-11R-A24K-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-Q9-A6FW-01A-31R-A31P-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-IG-A3YC-01A-11R-A24K-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-V5-A7RE-01A-11R-A354-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-2H-A9GH-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A8NR-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A8NV-01A-11R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-IC-A6RF-01A-13R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-IG-A6QS-01A-12R-A336-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-R6-A6KZ-01A-11R-A31P-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A9FR-01A-11R-A38D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-VR-A8EU-01A-11R-A36D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A88Y-01A-11R-A354-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-JY-A939-01A-12R-A37I-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-L5-A43H-01A-11R-A24K-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
TCGA-LN-A9FO-01A-11R-A38D-31,Esophagus,tumor,tcga,Esophagus_tumor,tcga_tumor
GTEX-R55G-1026-SM-48FDI,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-12WSD-1826-SM-5GCOA,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-145MO-1426-SM-5Q5BS,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZYWO-1026-SM-5E45U,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Y5V5-1626-SM-4VDSG,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-T5JW-1326-SM-4DM5G,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZF29-1326-SM-4WWB6,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-XGQ4-1526-SM-4AT6H,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-RU72-0726-SM-46MUW,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZQUD-0426-SM-57WFR,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZLV1-0526-SM-4WWD4,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZVP2-1326-SM-57WCE,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-T6MO-0526-SM-4DM6R,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-SNMC-0526-SM-4DM69,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZC5H-1326-SM-5HL7E,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-PVOW-1626-SM-48TC9,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-14E6E-0726-SM-5S2R3,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-S32W-0926-SM-4AD5X,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-12WSL-1526-SM-5GCP8,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-QLQW-0526-SM-4R1KS,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11EM3-0826-SM-5N9CC,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-12C56-1226-SM-5FQSU,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-12KS4-0926-SM-5BC5S,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-R3RS-1326-SM-48FE7,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-P4PP-0626-SM-3NM9X,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZTSS-0626-SM-59867,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZE9C-1126-SM-4WWBD,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13FTX-0526-SM-5IFGS,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-WRHK-0526-SM-4MVOF,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-RM2N-0726-SM-48FD5,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-145LV-1326-SM-5S2QI,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZYFG-1126-SM-5GICY,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZVE2-1326-SM-5NQ94,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-SNOS-0626-SM-4DM5F,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13FHO-1726-SM-5IFGM,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZXES-1126-SM-5GZXN,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-R55C-0826-SM-48FCL,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13S86-0826-SM-5SI6J,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-144GM-1426-SM-5LU31,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-S4P3-0426-SM-4AD56,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-145ME-0526-SM-5QGQV,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11DXZ-1226-SM-5H11L,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11VI4-0526-SM-5EQ48,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-XOTO-2126-SM-4B64U,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13OVJ-1226-SM-5L3HA,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-V1D1-1026-SM-4JBHE,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-111CU-0726-SM-5GZYD,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-X4EO-1226-SM-4QARR,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-QESD-0826-SM-47J4G,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13OW8-2326-SM-5L3I9,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-146FQ-1026-SM-5LU8I,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-144FL-2726-SM-5O98Z,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13U4I-1126-SM-5LU3S,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13CF3-1626-SM-5IFG9,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-X15G-0826-SM-4PQZD,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11P7K-1326-SM-5BC5G,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-14ICL-0526-SM-5RQJ6,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-TMMY-1126-SM-4DXSX,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11ONC-1526-SM-5GU6S,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZZPT-1426-SM-5N9C5,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-P4QT-0626-SM-3NMCP,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Y3I4-1226-SM-4TT8N,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-U8XE-1726-SM-4E3IF,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-NFK9-1126-SM-3LK78,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-14H4A-1626-SM-5SI69,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-12WSA-1426-SM-5EGJU,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13D11-1926-SM-5IFGB,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-R45C-1226-SM-48FEE,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-O5YV-1026-SM-3LK72,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13O3Q-0826-SM-5IFGF,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-QVUS-0626-SM-447CC,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13FTW-1626-SM-5KM4N,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13QJ3-1726-SM-5RQK9,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13O21-0626-SM-5IJDI,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-NPJ8-1926-SM-3MJGB,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-12696-1326-SM-5FQTJ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13W3W-1626-SM-5LU35,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-131XE-1426-SM-5HL7V,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-REY6-1326-SM-48FDO,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-T5JC-1726-SM-4DM6U,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11TUW-1326-SM-5EQKV,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-132Q8-1826-SM-5EGIY,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-QEG4-0726-SM-4R1JL,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-YB5E-0926-SM-4WWDQ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-XK95-1026-SM-4GIDV,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13NZB-1226-SM-5J2MW,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Q2AH-0826-SM-48TZN,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-145LS-1826-SM-5LUAZ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-YF7O-0926-SM-5IFIF,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13X6H-1326-SM-5LU42,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZAB5-0926-SM-5CVMV,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11NSD-1126-SM-5N9BQ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Y5LM-1026-SM-4VDSQ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-UJMC-0926-SM-4IHLK,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-1497J-2726-SM-5SI9W,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-XUZC-0426-SM-4BOPE,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-UJHI-0826-SM-4IHLM,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZY6K-0626-SM-59HJL,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11XUK-0826-SM-5GU6P,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZF2S-1226-SM-4WWAX,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-X4LF-0626-SM-4QASB,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-X3Y1-1326-SM-4PQZB,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11DYG-1326-SM-5N9DO,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZPU1-1426-SM-4WWFU,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-YFC4-1226-SM-5LU9R,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-147F3-0826-SM-5NQA7,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Y3IK-1126-SM-51MSV,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11LCK-1726-SM-5S2OQ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-OIZH-0626-SM-3NB1L,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-111YS-0926-SM-5EGGI,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-S3XE-0926-SM-4AD4S,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-1399R-0826-SM-5IJEL,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Q2AI-0626-SM-48TZU,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-RU1J-0326-SM-46MUM,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-WEY5-0926-SM-4LMI4,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-139T6-0626-SM-5IFF9,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-UPIC-1026-SM-4IHLT,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-131YS-1426-SM-5IJF7,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13FH7-0526-SM-5IJF8,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-1211K-0926-SM-5FQTL,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11EQ9-0726-SM-5A5K2,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-14BMU-0926-SM-5S2QB,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-WQUQ-1626-SM-4OOSH,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-S4Q7-0626-SM-4AD5M,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-WVLH-1426-SM-4MVNX,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-WH7G-0926-SM-4LVMJ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-U4B1-0826-SM-4DXTW,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13OVI-2626-SM-5KM4T,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-139UW-1126-SM-5IJEJ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11ZU8-1526-SM-5EGHX,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-S95S-0426-SM-4B64I,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-WFG8-1226-SM-4V6EI,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-14DAQ-1426-SM-5RQJD,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-PLZ6-0526-SM-3P61C,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-W5WG-1626-SM-4LMKG,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZT9W-1326-SM-51MTB,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-TML8-1526-SM-4DXUX,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZG7Y-1126-SM-4WWEZ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11P82-0526-SM-5986P,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-139TU-1226-SM-5J2NL,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-S341-0526-SM-4AD5U,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-X585-1226-SM-46MW7,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZVT2-1326-SM-5E45H,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Y111-1626-SM-57WCY,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-WFJO-0826-SM-4LVM5,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Z9EW-0526-SM-5HL8S,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-PSDG-1326-SM-48TD2,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZTPG-1626-SM-5DUX2,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Y9LG-0626-SM-4WWDH,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-PLZ4-1626-SM-3P618,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13O1R-1326-SM-5IJF5,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11NUK-1326-SM-5P9GN,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-RNOR-1226-SM-48FDQ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-U3ZM-0526-SM-4DXTB,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-T8EM-0526-SM-4DM64,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-145MF-1426-SM-5O9B6,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-WOFM-0626-SM-4OOS3,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-QDVJ-0726-SM-48U1W,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-12BJ1-1626-SM-5HL8Y,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Y5V6-1026-SM-4VBS2,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-XUJ4-1026-SM-4BOPB,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-UPK5-1226-SM-4IHL8,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11GSP-1826-SM-5N9DQ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11P81-0826-SM-5P9GR,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-RTLS-1126-SM-46MUQ,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-131XG-1026-SM-5GCMX,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-R55D-1126-SM-48FEB,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-QEG5-1426-SM-447AS,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-QDVN-1026-SM-48TZA,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZAB4-1126-SM-5HL86,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-144GN-0626-SM-5O9B2,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-139YR-1726-SM-5IFFK,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZYW4-1326-SM-5E45N,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZF3C-1626-SM-4WWB4,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-ZDYS-0826-SM-4WWCR,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-1122O-1726-SM-5GICM,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-QV44-1126-SM-4R1KO,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-Y114-0926-SM-4TT7J,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-R53T-1126-SM-48FD4,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-QCQG-0626-SM-48U21,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-11DXY-1426-SM-5N9CN,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-13FLV-1126-SM-5J2NO,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
GTEX-146FH-1726-SM-5QGQ2,Esophagus,healthy,gtex,Esophagus_healthy,gtex_healthy
