,primary_site,status,dataset,tissue_hd,dataset_status
TCGA-V1-A9OH-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7331-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-XK-AAIV-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5765-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A9Z8-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5766-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KC-A4BN-01A-61R-A250-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-XK-AAK1-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-XK-AAJ3-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-7522-01A-11R-2263-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7783-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KC-A7FD-01A-11R-A33R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A8I4-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VP-A87J-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6385-01A-11R-1789-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5764-01A-21R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-2A-A8W3-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5526-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A46H-01A-31R-A26U-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5503-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J9-A52D-01A-11R-A29R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A7NM-01A-21R-A33R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-A9S4-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7330-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A9ZR-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A7AV-01A-11R-A32O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-CH-5761-01A-11R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-J9-A52B-01A-11R-A26U-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VN-A88I-01A-11R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-KK-A8ID-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-A632-01A-11R-A29R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5518-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-ZG-A8QX-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5524-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VN-A943-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5527-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A7NK-01A-12R-A352-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-A9TE-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-7794-01A-11R-2118-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-TP-A8TV-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-A48F-01A-11R-A250-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-VN-A88R-01A-11R-A36G-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-HC-7817-01B-11R-A29R-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-XJ-A9DK-01A-11R-A37L-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-5494-01A-01R-1580-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-EJ-A46D-01A-21R-A32Y-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-G9-6351-01A-21R-1965-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
TCGA-V1-A9OL-01A-11R-A41O-07,Prostate,tumor,tcga,Prostate_tumor,tcga_tumor
