"","x"
"GTEX-1KWVE-2326-SM-D4P3N",1
"GTEX-1H23P-0011-R6b-SM-A9G1H",2
"GTEX-14C39-0011-R5b-SM-5ZZV1",3
"GTEX-1H23P-2926-SM-9WYU8",4
"GTEX-13N2G-0011-R10a-SM-5MR34",5
"GTEX-13NZA-0011-R1b-SM-5LUAF",6
"GTEX-1A8G6-0011-R6b-SM-7P8PE",7
"GTEX-13S7M-0011-R9a-SM-5O9DW",8
"GTEX-1HBPM-0011-R9b-SM-ARL7C",9
"GTEX-1A3MX-0011-R1b-SM-7P8PH",10
"GTEX-1445S-0011-R7b-SM-5PNUG",11
"GTEX-Q2AG-2826-SM-2HMJQ",12
"GTEX-1LG7Y-0011-R5a-SM-EZ6MU",13
"GTEX-N7MS-0011-R2a-SM-2HML6",14
"GTEX-1E2YA-0011-R8a-SM-CKZNG",15
"GTEX-14BIM-0011-R11b-SM-5S2RN",16
"GTEX-13CF2-0011-R11b-SM-5LZXO",17
"GTEX-1LH75-0011-R2b-SM-EYYWQ",18
"GTEX-1JMLX-0011-R6b-SM-EXUT9",19
"GTEX-QMR6-0011-R1A-SM-32PKW",20
"GTEX-1IDJH-3126-SM-C1YQS",21
"GTEX-1313W-0011-R3a-SM-5EGLI",22
"GTEX-1F75A-0011-R5a-SM-ARZMJ",23
"GTEX-15CHQ-0011-R5b-SM-6AJAN",24
"GTEX-X585-0011-R4B-SM-46MVH",25
"GTEX-1GZHY-0011-R11a-SM-C1YRQ",26
"GTEX-1MA7X-0011-R6a-SM-EYYWR",23
"GTEX-1EX96-0011-R5a-SM-ARU83",27
"GTEX-15UF6-0011-R1a-SM-9QEGH",28
"GTEX-1CB4G-0011-R10a-SM-9QEHS",29
"GTEX-11DXW-0011-R5b-SM-DO11D",30
"GTEX-1GF9W-2626-SM-7P8TA",31
"GTEX-14753-0011-R8b-SM-5S2U1",32
"GTEX-NL4W-0011-R8a-SM-2I3G4",33
"GTEX-11DYG-0011-R5a-SM-DO928",34
"GTEX-QDT8-0011-R4A-SM-32PKM",35
"GTEX-1HFI6-0011-R11b-SM-A96RU",36
"GTEX-1LB8K-0011-R6a-SM-EXURT",37
"GTEX-14PN4-0011-R11a-SM-686ZW",38
"GTEX-1B8L1-0011-R3a-SM-7EPIO",39
"GTEX-1B8L1-3026-SM-7EPHK",40
"GTEX-1GZHY-0011-R8b-SM-9OSWK",41
"GTEX-11OF3-0011-R6b-SM-57WBG",23
"GTEX-11PRG-0011-R4a-SM-DNZZR",42
"GTEX-13NZA-0011-R11b-SM-5KM4W",43
"GTEX-13OW5-0011-R8a-SM-5L3GQ",44
"GTEX-13OW6-0011-R10a-SM-5L3HE",45
"GTEX-TSE9-3026-SM-3DB76",31
"GTEX-14C5O-0011-R8a-SM-5YYAG",46
"GTEX-1H23P-0011-R3b-SM-CL54S",47
"GTEX-1F75W-0011-R11b-SM-AHZ34",48
"GTEX-1I1GV-0011-R2a-SM-ARZLF",49
"GTEX-1I1CD-0011-R7a-SM-CMKHA",50
"GTEX-NPJ8-2626-SM-2D7W2",51
"GTEX-ZAK1-3026-SM-5S2MJ",52
"GTEX-14BIM-0011-R1a-SM-69LQI",53
"GTEX-RNOR-0011-R9A-SM-2TF52",54
"GTEX-1EMGI-0011-R5a-SM-CJI2E",55
"GTEX-XMD1-0011-R9A-SM-4AT49",56
"GTEX-13X6I-0011-R4b-SM-5PNU9",57
"GTEX-1IKK5-0011-R8b-SM-CJI45",58
"GTEX-1C6WA-3026-SM-7P8RQ",59
"GTEX-16NPV-0011-R9b-SM-79ONF",60
"GTEX-1HR9M-0011-R10a-SM-CM2SU",61
"GTEX-13RTJ-0011-R3a-SM-5PNX7",62
"GTEX-13FHP-0011-R5b-SM-5LZY2",63
"GTEX-131YS-0011-R11b-SM-5EGLM",64
"GTEX-14LLW-0011-R5b-SM-5ZZU6",65
"GTEX-1JMPZ-0011-R3a-SM-EYYWX",66
"GTEX-13G51-0011-R11b-SM-5J2NE",67
"GTEX-ZF28-0011-R8a-SM-4WWFW",68
"GTEX-1HBPI-0011-R8a-SM-A9G1S",69
"GTEX-12WSM-0011-R1a-SM-5LZW6",70
"GTEX-1F48J-2726-SM-7P8PW",71
"GTEX-1JJEA-0011-R11a-SM-EXUTE",72
"GTEX-14E7W-2926-SM-5S2R8",73
"GTEX-13SLX-0011-R4a-SM-5O9BJ",74
"GTEX-13OVJ-0011-R8b-SM-5L3FS",75
"GTEX-1E1VI-0011-R5b-SM-9WG5V",76
"GTEX-15DCD-0011-R8b-SM-7KUEF",77
"GTEX-1IKK5-0011-R3b-SM-C1YRY",78
"GTEX-14E7W-0011-R3b-SM-5YYB5",79
"GTEX-T6MN-0011-R10A-SM-32QP7",80
"GTEX-15CHQ-0011-R1a-SM-COH27",62
"GTEX-11EI6-2926-SM-5985U",81
"GTEX-1R46S-0011-R7b-SM-EXUTH",82
"GTEX-N7MS-0011-R3a-SM-33HC6",83
"GTEX-13OW6-0011-R4a-SM-5O9DX",84
"GTEX-13OVJ-0011-R7a-SM-5L3G1",85
"GTEX-WHSE-0011-R7A-SM-3P5YZ",86
"GTEX-16GPK-0011-R11b-SM-7MKFF",87
"GTEX-11EI6-0011-R8a-SM-DO93M",88
"GTEX-1445S-0011-R6b-SM-5PNUF",89
"GTEX-S7SE-0011-R5A-SM-2XCDA",90
"GTEX-147GR-0011-R2b-SM-5S2RQ",91
"GTEX-15SHU-0011-R3a-SM-7IGPS",22
"GTEX-13FHP-0011-R1b-SM-5K7XL",92
"GTEX-PWO3-0011-R3A-SM-2I5EX",93
"GTEX-ZE9C-0011-R4a-SM-4WKH6",94
"GTEX-14E7W-0011-R10a-SM-5YYAX",95
"GTEX-1GF9W-0326-SM-9KNUN",96
"GTEX-11DXW-0008-SM-5Q59V",97
"GTEX-17GQL-2026-SM-718BA",98
"GTEX-11EI6-0126-SM-5985R",99
"GTEX-1F6IF-0726-SM-7P8TW",100
"GTEX-1QP67-1626-SM-EAZ3X",101
"GTEX-1GN1W-0526-SM-9MQJQ",102
"GTEX-PWO3-1526-SM-48TCM",103
"GTEX-ZVT4-2426-SM-5GIEI",104
"GTEX-14E6C-2426-SM-5S2NF",105
"GTEX-ZVT2-0126-SM-5GIDQ",106
"GTEX-11LCK-0008-SM-5Q5BB",107
"GTEX-Y5V5-2326-SM-4V6GA",108
"GTEX-1I1GU-2226-SM-CGQFA",109
"GTEX-13OVH-0126-SM-5MR4B",110
"GTEX-1JN6P-2926-SM-CL54D",111
"GTEX-P4PQ-0126-SM-2S1NM",112
"GTEX-1JMPY-1326-SM-ARL8Y",113
"GTEX-WQUQ-0426-SM-3MJFU",114
"GTEX-13FHP-0126-SM-5IJBG",115
"GTEX-ZAJG-1526-SM-5CVML",116
"GTEX-PW2O-0008-SM-48TEB",117
"GTEX-1QP29-1826-SM-DTX9S",118
"GTEX-1HFI7-1826-SM-ACKXH",119
"GTEX-18A7A-0126-SM-731AH",120
"GTEX-1GZ4H-0526-SM-9KNU9",121
"GTEX-111VG-1626-SM-5EGIO",122
"GTEX-1C6WA-0126-SM-7PC2B",123
"GTEX-16YQH-0126-SM-7DUFJ",124
"GTEX-WK11-2726-SM-3NMAQ",125
"GTEX-13OVI-1426-SM-5L3EY",126
"GTEX-1B97I-0626-SM-73KUZ",127
"GTEX-1IGQW-0126-SM-COH42",128
"GTEX-11LCK-1026-SM-5A5KB",129
"GTEX-S33H-1026-SM-EZ6L6",130
"GTEX-1I1GR-0126-SM-CL55F",131
"GTEX-1F6RS-2026-SM-7RHHC",132
"GTEX-183WM-0326-SM-72D5V",133
"GTEX-1GMRU-0126-SM-9YFLV",134
"GTEX-11OC5-0008-SM-5S2OH",135
"GTEX-XXEK-0008-SM-4BRW7",136
"GTEX-1GF9X-0008-SM-EAZCX",137
"GTEX-1A3MX-0008-SM-EAZDB",138
"GTEX-ZQG8-1626-SM-DHXIT",139
"GTEX-1R46S-0626-SM-E9J41",140
"GTEX-12BJ1-0008-SM-5TDBZ",141
"GTEX-1B8KZ-0326-SM-73KY4",142
"GTEX-13113-5016-SM-7EPIP",143
"GTEX-ZDYS-0008-SM-4E3IX",144
"GTEX-PSDG-0008-SM-48TE5",145
"GTEX-Q734-0008-SM-48U2I",146
"GTEX-1GN73-0226-SM-9WG67",147
"GTEX-RVPV-0126-SM-EAZAW",148
"GTEX-14PHX-2326-SM-62LEM",149
"GTEX-POYW-0008-SM-48TE4",150
"GTEX-15SB6-0008-SM-EAZCE",137
"GTEX-Y8E5-0008-SM-57WBA",151
"GTEX-117YW-0008-SM-5QGRD",152
"GTEX-1GMR3-0008-SM-EAZD2",137
"GTEX-ZE7O-0008-SM-4E3JQ",153
"GTEX-18A6Q-0626-SM-7KFRP",154
"GTEX-1CB4I-0226-SM-79OLH",155
"GTEX-1PPH8-0126-SM-EWRN8",156
"GTEX-11O72-0008-SM-5Q5DN",157
"GTEX-ZWKS-0626-SM-5GIDV",158
"GTEX-1HC8U-1326-SM-9YFMJ",159
"GTEX-131XW-0008-SM-664MJ",160
"GTEX-ZQUD-0008-SM-4YCCU",161
"GTEX-17HHY-0008-SM-EAZBE",137
"GTEX-OHPK-0008-SM-4E3JL",162
"GTEX-PLZ6-0008-SM-48TD5",163
"GTEX-ZAB4-0008-SM-4RGM6",164
"GTEX-1IDJU-2626-SM-CM2RT",165
"GTEX-1HSMQ-2626-SM-A9SML",166
"GTEX-11GS4-0226-SM-5HL77",167
"GTEX-1LGRB-0926-SM-COH3K",168
"GTEX-11VI4-1726-SM-5CVLH",169
"GTEX-X8HC-0008-SM-46MU6",170
"GTEX-13OVL-0126-SM-5L3GJ",171
"GTEX-1F75W-0008-SM-EAZCU",135
