Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
GTEX-WHSB-0526-SM-4M1XM,,,,GTEX-V955-2426-SM-3GAEF,,,,
GTEX-1KANA-0526-SM-DIPF9,,,,GTEX-14E6E-2026-SM-664N5,,,,
GTEX-11LCK-1626-SM-5PNYB,,,,GTEX-Y111-0326-SM-4SOIX,,,,
GTEX-1NV8Z-1426-SM-DTX91,,,,GTEX-18D9B-0426-SM-7LTAR,,,,
GTEX-VJYA-0626-SM-4KL1S,,,,GTEX-ZVE1-0526-SM-5NQ71,,,,
GTEX-X3Y1-1226-SM-4PQZ8,,,,GTEX-T5JC-0626-SM-3NMA6,,,,
GTEX-XV7Q-1026-SM-4BRVR,,,,GTEX-11EI6-0326-SM-5EQ6G,,,,
GTEX-15UKP-2026-SM-6LPIC,,,,GTEX-1H2FU-0526-SM-ACKXO,,,,
GTEX-14BIL-1826-SM-7DUEO,,,,GTEX-PLZ5-1726-SM-2I5F6,,,,
GTEX-RTLS-1226-SM-46MUP,,,,GTEX-16NGA-1926-SM-7LTA6,,,,
GTEX-1HT8W-2026-SM-CNNQC,,,,GTEX-1H1E6-2126-SM-9KNVM,,,,
GTEX-111CU-0626-SM-5EGHL,,,,GTEX-15DCD-0626-SM-7KUG7,,,,
GTEX-1LG7Y-1626-SM-D4P24,,,,GTEX-1KXAM-2426-SM-DIPFC,,,,
GTEX-1R9JW-1626-SM-E76QK,,,,GTEX-XBEC-0626-SM-4QARY,,,,
GTEX-145MO-1226-SM-5QGPC,,,,GTEX-1HCU6-0526-SM-A9SKU,,,,
GTEX-U3ZH-1726-SM-3DB79,,,,GTEX-139TS-2626-SM-5J1MT,,,,
GTEX-13D11-2726-SM-5K7V7,,,,GTEX-XGQ4-2326-SM-4AT53,,,,
GTEX-1B97J-0526-SM-793C2,,,,GTEX-PX3G-1626-SM-2S1PT,,,,
GTEX-T8EM-0426-SM-4DM7E,,,,GTEX-15SHU-0626-SM-7KUFH,,,,
GTEX-13YAN-1526-SM-5LU3E,,,,GTEX-17GQL-1926-SM-718B9,,,,
GTEX-QDVJ-0626-SM-48U1T,,,,GTEX-1HFI7-1926-SM-A96TQ,,,,
GTEX-S7SE-0526-SM-2XCD8,,,,GTEX-W5WG-1926-SM-4KKZK,,,,
GTEX-11DXZ-0426-SM-5987Y,,,,GTEX-14BMU-2026-SM-5S2W6,,,,
GTEX-17F9E-1226-SM-7EWDG,,,,GTEX-QVUS-0226-SM-3GIJY,,,,
GTEX-1JKYN-0226-SM-ARL9H,,,,GTEX-TSE9-0526-SM-3DB7Z,,,,
GTEX-Y5LM-0226-SM-4VBRM,,,,GTEX-1IDJV-0426-SM-COH3Z,,,,
GTEX-1QAET-0526-SM-EYYXF,,,,GTEX-N7MS-0426-SM-2YUN6,,,,
GTEX-12WSN-2726-SM-5LZUK,,,,GTEX-1C4CL-0326-SM-7DHMH,,,,
GTEX-WHSE-1126-SM-3NMBU,,,,GTEX-XYKS-2426-SM-4AT43,,,,
GTEX-1JK1U-2326-SM-CNPOV,,,,GTEX-1IL2U-0726-SM-EAZ2Y,,,,
GTEX-13O3O-1126-SM-5KM4Q,,,,GTEX-ZA64-2026-SM-5PNXT,,,,
GTEX-18QFQ-0526-SM-718AV,,,,GTEX-1CAMR-1726-SM-793CU,,,,
GTEX-13FH7-0326-SM-5J1MR,,,,GTEX-13FHO-0726-SM-5IJDG,,,,
GTEX-1AYCT-0326-SM-73KVN,,,,GTEX-U3ZM-1226-SM-3DB9G,,,,
GTEX-13OW8-1826-SM-5L3H1,,,,GTEX-13NYB-2726-SM-5J2MT,,,,
GTEX-18D9A-1626-SM-7LG5Q,,,,GTEX-R55D-0626-SM-3GAD5,,,,
GTEX-ZG7Y-2326-SM-DO92L,,,,GTEX-1R9K5-0326-SM-EWRNG,,,,
GTEX-14E7W-0526-SM-5S2W8,,,,GTEX-11TUW-2526-SM-5EQKN,,,,
GTEX-WY7C-2826-SM-3NB3Q,,,,GTEX-YEC4-2226-SM-5IFJT,,,,
GTEX-1I1GP-0926-SM-COH3O,,,,GTEX-OOBK-1626-SM-2HMKG,,,,
GTEX-1HB9E-0926-SM-COH3D,,,,GTEX-17EVP-1326-SM-7DHMR,,,,
GTEX-1R9PN-0226-SM-DTX84,,,,GTEX-R55E-0526-SM-2TC6B,,,,
GTEX-13FTY-0426-SM-5IJC2,,,,GTEX-1F6IF-0226-SM-7PBZ6,,,,
GTEX-ZTX8-1826-SM-5N9E5,,,,GTEX-1NUQO-0726-SM-E9J3K,,,,
GTEX-QESD-0326-SM-47J4F,,,,GTEX-PWCY-2026-SM-5SI8R,,,,
GTEX-QEL4-1126-SM-DLZQ4,,,,GTEX-1JMQI-2126-SM-CM2SC,,,,
GTEX-ZLV1-1926-SM-5FQSF,,,,GTEX-1PPH7-2526-SM-E76OJ,,,,
GTEX-12WSK-0426-SM-5GCNS,,,,GTEX-OIZG-1326-SM-2HMIQ,,,,
GTEX-1C6WA-0426-SM-7PC2C,,,,GTEX-11OF3-2526-SM-5P9JL,,,,
GTEX-VUSH-0526-SM-3NB2J,,,,GTEX-1CB4I-0326-SM-7DHMM,,,,
GTEX-U8XE-0626-SM-3DB8U,,,,GTEX-1B8KZ-2126-SM-73KYG,,,,
GTEX-13RTJ-2626-SM-7DHKR,,,,GTEX-1CB4G-0426-SM-7MXUN,,,,
GTEX-QEG4-0926-SM-4R1JO,,,,GTEX-11DXZ-2426-SM-5N9DT,,,,
GTEX-1IDJC-0426-SM-B2LW1,,,,GTEX-12WSF-0926-SM-6PALU,,,,
GTEX-SIU8-0426-SM-4BRUE,,,,GTEX-14753-0526-SM-5QGPR,,,,
GTEX-14ICL-1826-SM-5RQIY,,,,GTEX-SE5C-1826-SM-2XCE4,,,,
GTEX-1GZ4H-0726-SM-9WG6X,,,,GTEX-1I1HK-0326-SM-ACKW5,,,,
GTEX-1OFPY-1126-SM-E8VNV,,,,GTEX-13FTY-0226-SM-5IJBW,,,,
GTEX-XOT4-0426-SM-4B66T,,,,GTEX-1GMR3-2126-SM-9WYTZ,,,,
GTEX-13FH7-0426-SM-5KM4M,,,,GTEX-PLZ6-1526-SM-2S1OC,,,,
GTEX-13FXS-1126-SM-5IJBB,,,,,,,,
GTEX-QV44-0626-SM-4R1KJ,,,,,,,,
GTEX-1LNCM-0326-SM-DIPF5,,,,,,,,
GTEX-ZYT6-0826-SM-5E43I,,,,,,,,
GTEX-1I1GU-1926-SM-ADEHK,,,,,,,,
GTEX-1269C-2826-SM-5EQ5O,,,,,,,,
GTEX-1A8G7-0426-SM-731B5,,,,,,,,
GTEX-12WSN-0326-SM-5GCP6,,,,,,,,
GTEX-QLQW-1526-SM-2S1QV,,,,,,,,
GTEX-Y5V6-2826-SM-4VDSF,,,,,,,,
GTEX-1JMQI-0226-SM-ARZN3,,,,,,,,
GTEX-ZVT2-2626-SM-51MTD,,,,,,,,
GTEX-ZPU1-0526-SM-4YCDA,,,,,,,,
GTEX-13RTK-0126-SM-5RQHQ,,,,,,,,
GTEX-15ER7-1426-SM-6PAMA,,,,,,,,
GTEX-XMK1-2526-SM-4B666,,,,,,,,
GTEX-1J8Q3-1026-SM-CGQED,,,,,,,,
GTEX-1CB4F-0726-SM-793AO,,,,,,,,
GTEX-1M4P7-0426-SM-DKPQG,,,,,,,,
GTEX-14C38-1226-SM-5S2UK,,,,,,,,
GTEX-ZPIC-0326-SM-DO91U,,,,,,,,
GTEX-1MUQO-0426-SM-E9J2Z,,,,,,,,
GTEX-O5YU-0726-SM-EV792,,,,,,,,
GTEX-13VXU-1926-SM-5LU5J,,,,,,,,
GTEX-1N2EF-0326-SM-EYYXC,,,,,,,,
GTEX-1GL5R-2126-SM-9WYTK,,,,,,,,
GTEX-1R9PO-2526-SM-EVYBT,,,,,,,,
GTEX-1RDX4-0526-SM-EAZ44,,,,,,,,
GTEX-16AAH-1926-SM-7LG4C,,,,,,,,
GTEX-12WSE-1126-SM-7DUEH,,,,,,,,
GTEX-13O21-2926-SM-5J1OU,,,,,,,,
GTEX-11DXZ-2626-SM-59882,,,,,,,,
GTEX-15SHV-0826-SM-7KUFA,,,,,,,,
GTEX-1LBAC-0526-SM-D3L9S,,,,,,,,
GTEX-OHPK-0426-SM-3MJH3,,,,,,,,
GTEX-YFC4-0326-SM-4TT3U,,,,,,,,
GTEX-P78B-0826-SM-3NMCA,,,,,,,,
GTEX-12WSL-2626-SM-5GCNV,,,,,,,,
GTEX-14B4R-2026-SM-5QGQL,,,,,,,,
GTEX-14AS3-0526-SM-5QGQQ,,,,,,,,
GTEX-13D11-1426-SM-5K7Y9,,,,,,,,
GTEX-ZAB4-0526-SM-5HL7Z,,,,,,,,
GTEX-Y8E4-0226-SM-4VBQ3,,,,,,,,
GTEX-11EM3-0226-SM-5985Y,,,,,,,,
GTEX-13O1R-1026-SM-5KM2L,,,,,,,,
GTEX-13G51-2926-SM-5IJDL,,,,,,,,
GTEX-147F4-0126-SM-5QGPV,,,,,,,,
GTEX-XQ3S-0126-SM-4BOO9,,,,,,,,
GTEX-1HCU8-1526-SM-ADEHG,,,,,,,,
GTEX-ZYFG-0126-SM-5GIDH,,,,,,,,
GTEX-113IC-0426-SM-5HL5O,,,,,,,,
GTEX-1H3NZ-1226-SM-9MQKT,,,,,,,,
GTEX-OHPN-0426-SM-E9TI6,,,,,,,,
GTEX-1R7EV-1026-SM-DTX81,,,,,,,,
GTEX-1LG7Y-0426-SM-DKPQB,,,,,,,,
GTEX-1F52S-0226-SM-7SB7U,,,,,,,,
GTEX-1I1GQ-1026-SM-CNNQS,,,,,,,,
GTEX-ZVP2-0226-SM-57WBD,,,,,,,,
GTEX-1128S-2126-SM-5H12U,,,,,,,,
GTEX-1HCU8-0726-SM-ADEIR,,,,,,,,
GTEX-13N1W-1226-SM-5K7UM,,,,,,,,
GTEX-1JKYN-0526-SM-CGQG3,,,,,,,,
GTEX-1NV5F-2526-SM-EXUSK,,,,,,,,
GTEX-16NGA-1826-SM-7LG5L,,,,,,,,
GTEX-13X6I-1526-SM-5SIAC,,,,,,,,
GTEX-11P81-2426-SM-5GU65,,,,,,,,
GTEX-1IY9M-0226-SM-CMKHP,,,,,,,,
GTEX-1I1GV-0426-SM-ARZLX,,,,,,,,
GTEX-1B8KZ-1926-SM-7DUG8,,,,,,,,
GTEX-14ICK-0326-SM-6LLIZ,,,,,,,,
GTEX-13S86-0926-SM-5SI6I,,,,,,,,
GTEX-11O72-0226-SM-59869,,,,,,,,
GTEX-1HCU6-0226-SM-CGQES,,,,,,,,
GTEX-QEG5-0326-SM-2S1PB,,,,,,,,
GTEX-1S82P-0226-SM-E6CI6,,,,,,,,
GTEX-1497J-2326-SM-5NQBK,,,,,,,,
GTEX-111YS-2426-SM-5GZZQ,,,,,,,,
GTEX-1EMGI-0226-SM-9MQL1,,,,,,,,
GTEX-1GMR8-0226-SM-9YFL3,,,,,,,,
GTEX-1HR9M-0226-SM-COH3E,,,,,,,,
GTEX-1128S-0926-SM-5GZZU,,,,,,,,
GTEX-1IDJU-2526-SM-CMKGF,,,,,,,,
GTEX-147F3-0626-SM-5NQ9I,,,,,,,,
GTEX-1ICLZ-0226-SM-CKZPP,,,,,,,,
GTEX-18A7A-0326-SM-731AT,,,,,,,,
GTEX-1AMEY-1426-SM-7939I,,,,,,,,
GTEX-1GN73-0326-SM-9KNTW,,,,,,,,
GTEX-11PRG-0626-SM-5BC56,,,,,,,,
GTEX-1LG7Z-2026-SM-DLHBP,,,,,,,,
GTEX-WOFM-0726-SM-3MJF8,,,,,,,,
GTEX-11EQ8-0226-SM-5EQ5G,,,,,,,,
GTEX-13NZA-0126-SM-5K7UH,,,,,,,,
GTEX-1GF9W-1026-SM-7SB8X,,,,,,,,
GTEX-1I4MK-0726-SM-ACKWC,,,,,,,,
GTEX-1H23P-0226-SM-9YFLO,,,,,,,,
GTEX-1PDJ9-0426-SM-E9J3E,,,,,,,,
GTEX-1I19N-0426-SM-ACKVY,,,,,,,,
GTEX-1AYD5-2326-SM-73KXF,,,,,,,,
GTEX-ZA64-0926-SM-5HL7H,,,,,,,,
GTEX-1R9PM-2126-SM-E8VOB,,,,,,,,
GTEX-OXRL-0226-SM-3NB18,,,,,,,,
GTEX-18D9U-0726-SM-7LG5J,,,,,,,,
GTEX-1A8G6-2026-SM-73KYC,,,,,,,,
GTEX-17MFQ-1826-SM-7DHLS,,,,,,,,
GTEX-1QEPI-0226-SM-EWRMR,,,,,,,,
GTEX-ZPCL-2126-SM-57WFZ,,,,,,,,
GTEX-11GS4-2626-SM-5A5LD,,,,,,,,
GTEX-1I6K6-0226-SM-ADEID,,,,,,,,
GTEX-W5WG-2526-SM-4SOJ2,,,,,,,,
GTEX-12WSC-1726-SM-5GCN3,,,,,,,,
GTEX-Y5V5-2426-SM-5IFJA,,,,,,,,
GTEX-13N2G-1926-SM-5J1O3,,,,,,,,
GTEX-1IDJH-1626-SM-A9SLP,,,,,,,,
GTEX-1MUQO-0826-SM-EVYCZ,,,,,,,,
GTEX-18D9U-0426-SM-731AN,,,,,,,,
GTEX-Y3I4-0726-SM-E9J3Y,,,,,,,,
GTEX-1212Z-2426-SM-5EQ5D,,,,,,,,
GTEX-131XF-2226-SM-5EQKG,,,,,,,,
GTEX-13U4I-0226-SM-5SIB1,,,,,,,,
GTEX-17F9Y-0726-SM-7LT9G,,,,,,,,
GTEX-1JKYN-1226-SM-CGQG8,,,,,,,,
GTEX-1CB4J-1126-SM-7PBY1,,,,,,,,
GTEX-1GF9U-1226-SM-ARL9I,,,,,,,,
GTEX-1CAMR-1826-SM-7MXUJ,,,,,,,,
GTEX-1B933-1326-SM-7939U,,,,,,,,
GTEX-13N1W-0226-SM-5K7W6,,,,,,,,
GTEX-1GL5R-0726-SM-9MQL5,,,,,,,,
GTEX-133LE-1926-SM-5N9FV,,,,,,,,
GTEX-1I1CD-0226-SM-CM2TL,,,,,,,,
GTEX-TMZS-0226-SM-3DB9N,,,,,,,,
GTEX-13SLW-0226-SM-5S2NA,,,,,,,,
GTEX-1L5NE-2626-SM-E9U6P,,,,,,,,
GTEX-17HHY-1026-SM-7LG5E,,,,,,,,
GTEX-ZF2S-1526-SM-5S2OO,,,,,,,,
GTEX-ZDTS-0226-SM-5HL7Q,,,,,,,,
GTEX-ZDYS-2226-SM-5S2MI,,,,,,,,
GTEX-1PIIG-0326-SM-EVYBV,,,,,,,,
GTEX-1HSEH-0226-SM-ACKVV,,,,,,,,
GTEX-18D9A-2026-SM-718BL,,,,,,,,
GTEX-1HBPN-1526-SM-9WYSB,,,,,,,,
GTEX-1F6RS-0226-SM-9MQKO,,,,,,,,
GTEX-ZC5H-1626-SM-5HL7L,,,,,,,,
GTEX-R45C-0226-SM-EVYAJ,,,,,,,,
GTEX-1B97J-1126-SM-7SB79,,,,,,,,
GTEX-11VI4-1226-SM-5EQMP,,,,,,,,
GTEX-131XW-0526-SM-5PNXZ,,,,,,,,
GTEX-1F5PK-2526-SM-9MQKN,,,,,,,,
GTEX-13FTY-0626-SM-5L3F8,,,,,,,,
GTEX-1B97I-1726-SM-7939V,,,,,,,,
GTEX-11ZTT-2526-SM-5EQM9,,,,,,,,
GTEX-13OVG-1326-SM-5K7Y3,,,,,,,,
GTEX-ZYT6-2826-SM-5GICX,,,,,,,,
GTEX-14C39-1626-SM-5S2P4,,,,,,,,
GTEX-14BMV-2426-SM-5S2PP,,,,,,,,
GTEX-1AYCT-1926-SM-793AE,,,,,,,,
GTEX-12WSD-2626-SM-5EGJE,,,,,,,,
GTEX-1I1GP-2826-SM-A9SKZ,,,,,,,,
GTEX-XQ8I-2326-SM-4BOQC,,,,,,,,
GTEX-TKQ1-0626-SM-4DXTS,,,,,,,,
GTEX-18A66-2626-SM-72D67,,,,,,,,
GTEX-12ZZW-2426-SM-5DUWE,,,,,,,,
GTEX-1L5NE-1926-SM-D3L9R,,,,,,,,
GTEX-Y3I4-1126-SM-4TT7Y,,,,,,,,
GTEX-1H23P-2626-SM-9KNVN,,,,,,,,
GTEX-12696-1926-SM-5EGJT,,,,,,,,
GTEX-1A3MV-1026-SM-72D5U,,,,,,,,
GTEX-XUW1-1826-SM-4BOQD,,,,,,,,
GTEX-1JKYN-2226-SM-ARZNE,,,,,,,,
GTEX-148VJ-2426-SM-5NQ9Y,,,,,,,,
GTEX-17F9Y-2626-SM-7IGN9,,,,,,,,
GTEX-15RJ7-1726-SM-6PAL3,,,,,,,,
GTEX-131XE-1026-SM-5EGKE,,,,,,,,
GTEX-ZY6K-1326-SM-5GZWP,,,,,,,,
GTEX-1LGOU-1726-SM-D3L8P,,,,,,,,
GTEX-ZV6S-1126-SM-57WE9,,,,,,,,
GTEX-14E6C-2226-SM-5QGQG,,,,,,,,
GTEX-1J8Q3-2426-SM-CL53S,,,,,,,,
GTEX-11O72-2226-SM-5PNW2,,,,,,,,
GTEX-1JMPY-1026-SM-ARZN1,,,,,,,,
GTEX-1GTWX-2626-SM-9WPOT,,,,,,,,
GTEX-1HCUA-1926-SM-B2LWE,,,,,,,,
GTEX-1GZ4I-2426-SM-9WPPP,,,,,,,,
GTEX-ZYFG-1826-SM-5GZWX,,,,,,,,
GTEX-1MUQO-2626-SM-EWRO3,,,,,,,,
GTEX-ZYY3-2226-SM-5E45A,,,,,,,,
GTEX-1S82P-2026-SM-E9TIQ,,,,,,,,
GTEX-11I78-1326-SM-5PNY9,,,,,,,,
GTEX-13OVI-2026-SM-5J1MU,,,,,,,,
GTEX-1I6K6-1926-SM-A96SN,,,,,,,,
GTEX-14BMU-1326-SM-5RQIH,,,,,,,,
GTEX-13111-1926-SM-5GCOL,,,,,,,,
GTEX-11EI6-2626-SM-5PNVT,,,,,,,,
GTEX-13O1R-2426-SM-5KLZZ,,,,,,,,
GTEX-11TUW-2026-SM-5EQL8,,,,,,,,
GTEX-16XZZ-2726-SM-7EWDO,,,,,,,,
GTEX-13O61-1626-SM-5KM3T,,,,,,,,
GTEX-139TS-2226-SM-5J2N1,,,,,,,,
GTEX-15EO6-2326-SM-6LPKK,,,,,,,,
GTEX-1LBAC-1726-SM-D3L9W,,,,,,,,
GTEX-1IKOE-2126-SM-A96T5,,,,,,,,
GTEX-13G51-2126-SM-5IJD9,,,,,,,,
GTEX-145LT-0826-SM-5S2QL,,,,,,,,
GTEX-WHWD-1526-SM-4OORV,,,,,,,,
GTEX-Y5LM-1426-SM-5RQJL,,,,,,,,
GTEX-13OVJ-1826-SM-5KM2D,,,,,,,,
GTEX-1HCU6-2726-SM-A9SKV,,,,,,,,
GTEX-1JN76-1326-SM-ARU94,,,,,,,,
GTEX-111CU-1226-SM-5EGIN,,,,,,,,
GTEX-11ZU8-1126-SM-5EQ5K,,,,,,,,
GTEX-15DZA-0926-SM-69LQ3,,,,,,,,
GTEX-15CHQ-2626-SM-686YZ,,,,,,,,
GTEX-1S831-1726-SM-EWROJ,,,,,,,,
GTEX-15UF6-2626-SM-6M466,,,,,,,,
GTEX-1GZ4H-1326-SM-7P8TE,,,,,,,,
GTEX-1HCU6-2926-SM-B2LWV,,,,,,,,
GTEX-1LGRB-1226-SM-CNNPS,,,,,,,,
GTEX-13X6H-0526-SM-5LU4Q,,,,,,,,
GTEX-1IE54-0926-SM-A9G2Y,,,,,,,,
GTEX-U3ZN-0326-SM-3DB86,,,,,,,,
GTEX-1GMRU-1126-SM-9KNV1,,,,,,,,
GTEX-11P7K-0226-SM-5986Z,,,,,,,,
GTEX-1C2JI-0326-SM-7EWFD,,,,,,,,
GTEX-1RAZR-1126-SM-E6CRC,,,,,,,,
GTEX-1KXAM-1726-SM-D3LAE,,,,,,,,
GTEX-15CHC-0126-SM-5YYBA,,,,,,,,
GTEX-1GF9W-0626-SM-7MXVJ,,,,,,,,
GTEX-16AAH-0326-SM-7DHML,,,,,,,,
GTEX-15G1A-0326-SM-6M467,,,,,,,,
GTEX-1B8SF-0626-SM-73KVV,,,,,,,,
GTEX-1R9PM-0226-SM-DPRY7,,,,,,,,
GTEX-14XAO-0426-SM-6AJB6,,,,,,,,
GTEX-13D11-0226-SM-5LZXL,,,,,,,,
GTEX-ZGAY-1026-SM-4WWBR,,,,,,,,
GTEX-OHPL-2626-SM-2HMJA,,,,,,,,
GTEX-1313W-0726-SM-5EGK1,,,,,,,,
GTEX-YJ89-0726-SM-5P9F7,,,,,,,,
GTEX-11GSP-0126-SM-5A5KU,,,,,,,,
GTEX-X15G-0526-SM-3NMB7,,,,,,,,
GTEX-U412-0726-SM-EVR2Y,,,,,,,,
GTEX-ZV6S-0226-SM-59HJT,,,,,,,,
GTEX-1H11D-0626-SM-9WPQ1,,,,,,,,
GTEX-1E1VI-0726-SM-7P8QJ,,,,,,,,
GTEX-1GN1U-0826-SM-9WPPX,,,,,,,,
GTEX-ZF28-0826-SM-4WKGJ,,,,,,,,
GTEX-S7SF-0226-SM-5SI7H,,,,,,,,
GTEX-1F52S-0526-SM-7P8TP,,,,,,,,
GTEX-16NPX-1426-SM-6LPK3,,,,,,,,
GTEX-1QP2A-0626-SM-DTX9C,,,,,,,,
GTEX-15RIE-0426-SM-7KUMH,,,,,,,,
GTEX-O5YV-1526-SM-EV799,,,,,,,,
GTEX-17EVQ-0526-SM-7KFSK,,,,,,,,
GTEX-1HBPN-1226-SM-B2LW9,,,,,,,,
GTEX-T2IS-0626-SM-32QP6,,,,,,,,
GTEX-1PIGE-0726-SM-DPRZD,,,,,,,,
GTEX-1IKOE-0926-SM-ARU7X,,,,,,,,
GTEX-1CB4H-0126-SM-7IGN2,,,,,,,,
GTEX-1EU9M-0626-SM-7MXUT,,,,,,,,
GTEX-132QS-0326-SM-5IJFN,,,,,,,,
GTEX-13O1R-0826-SM-5J2MB,,,,,,,,
GTEX-V955-0426-SM-3GAEL,,,,,,,,
GTEX-11NSD-0126-SM-5987F,,,,,,,,
GTEX-1QP6S-2526-SM-DTX9Z,,,,,,,,
GTEX-1I1GV-0726-SM-ARZLY,,,,,,,,
GTEX-1JMQJ-2026-SM-CNPP9,,,,,,,,
GTEX-1C475-0226-SM-7MGXM,,,,,,,,
GTEX-13X6J-0826-SM-5LU32,,,,,,,,
GTEX-1RQED-0926-SM-EWRNZ,,,,,,,,
GTEX-1J8QM-0726-SM-CE6RF,,,,,,,,
GTEX-12WSJ-0326-SM-5GCMT,,,,,,,,
GTEX-TKQ1-0126-SM-33HB3,,,,,,,,
GTEX-14PKV-0626-SM-6AJA2,,,,,,,,
GTEX-1CB4G-1526-SM-7P8QG,,,,,,,,
GTEX-1IOXB-1026-SM-CJI4D,,,,,,,,
GTEX-13QBU-0626-SM-5J2OG,,,,,,,,
GTEX-15RIF-0326-SM-7KUFR,,,,,,,,
GTEX-148VI-0526-SM-5TDDG,,,,,,,,
GTEX-1GZ2Q-0826-SM-7P8TK,,,,,,,,
GTEX-1OJC4-0526-SM-E6CQV,,,,,,,,
GTEX-131XE-0126-SM-5LZVC,,,,,,,,
GTEX-12ZZY-0826-SM-5EQMT,,,,,,,,
GTEX-1211K-0726-SM-5FQUW,,,,,,,,
GTEX-14PJ3-0126-SM-69LQP,,,,,,,,
GTEX-11DXY-0426-SM-5H12R,,,,,,,,
GTEX-1I1GQ-0826-SM-CNNQR,,,,,,,,
GTEX-12WSD-0926-SM-5GCNL,,,,,,,,
GTEX-13FH7-0126-SM-5KLZ1,,,,,,,,
GTEX-17KNJ-1026-SM-79ONK,,,,,,,,
GTEX-1JMPZ-0626-SM-CY8HY,,,,,,,,
GTEX-11EQ8-0826-SM-5N9FG,,,,,,,,
GTEX-1F6IF-1126-SM-9KNV2,,,,,,,,
GTEX-12WSK-0926-SM-5CVNQ,,,,,,,,
GTEX-1MGNQ-0726-SM-DPRYH,,,,,,,,
GTEX-13N11-1026-SM-5K7XQ,,,,,,,,
GTEX-ZTSS-0226-SM-59877,,,,,,,,
GTEX-Y114-0626-SM-4TT98,,,,,,,,
GTEX-1MJK3-0326-SM-DTX96,,,,,,,,
GTEX-1KD5A-0426-SM-D4P3X,,,,,,,,
GTEX-1HBPM-0926-SM-ARL9C,,,,,,,,
GTEX-13111-0226-SM-5EQ55,,,,,,,,
GTEX-1I6K6-0726-SM-B2LX4,,,,,,,,
GTEX-1CB4F-0826-SM-793CV,,,,,,,,
GTEX-WK11-0926-SM-3NMAU,,,,,,,,
GTEX-1497J-0126-SM-5Q5BK,,,,,,,,
GTEX-15UF6-1126-SM-6LPJ3,,,,,,,,
GTEX-131XF-1826-SM-5EGKG,,,,,,,,
GTEX-OXRK-0626-SM-2HMJ5,,,,,,,,
GTEX-R55E-0826-SM-2TC5M,,,,,,,,
GTEX-13O61-0226-SM-5KM52,,,,,,,,
GTEX-QV44-0826-SM-2S1RG,,,,,,,,
GTEX-18A7A-0826-SM-7KFTJ,,,,,,,,
GTEX-ZF29-0726-SM-DO92H,,,,,,,,
GTEX-ZXG5-0926-SM-5NQ8H,,,,,,,,
GTEX-1RMOY-0126-SM-EWRNN,,,,,,,,
GTEX-1RAZQ-0926-SM-EAZ4Q,,,,,,,,
GTEX-YB5K-0526-SM-5LUAS,,,,,,,,
