Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
GTEX-1313W-0011-R3a-SM-5EGLI,GTEX-1GZ4H-0526-SM-9KNU9,GTEX-OHPK-0008-SM-4E3JL,,GTEX-WFG8-0726-SM-3GILP,GTEX-18A7A-0006-SM-7PC1P,,GTEX-WFON-1426-SM-4LVMT,
GTEX-1F75A-0011-R5a-SM-ARZMJ,GTEX-111VG-1626-SM-5EGIO,GTEX-PLZ6-0008-SM-48TD5,,GTEX-15UF7-1526-SM-6LPI7,GTEX-ZVZQ-0006-SM-51MR8,,GTEX-14JG6-1726-SM-69LPL,
GTEX-15CHQ-0011-R5b-SM-6AJAN,GTEX-1C6WA-0126-SM-7PC2B,GTEX-ZAB4-0008-SM-4RGM6,,GTEX-YB5K-0226-SM-5IFJE,GTEX-1H1DG-0006-SM-ARZL4,,GTEX-1I1GR-2526-SM-CNNQF,
GTEX-X585-0011-R4B-SM-46MVH,GTEX-16YQH-0126-SM-7DUFJ,GTEX-X8HC-0008-SM-46MU6,,GTEX-1CB4J-0226-SM-7P8T4,GTEX-13JUV-0006-SM-5NQ97,,GTEX-147F3-1926-SM-5SIB9,
GTEX-1GZHY-0011-R11a-SM-C1YRQ,GTEX-WK11-2726-SM-3NMAQ,GTEX-1F75W-0008-SM-EAZCU,,GTEX-OIZG-1126-SM-2HMIU,GTEX-11NV4-0005-SM-5N9EX,,GTEX-1MJK3-0926-SM-EV7AY,
GTEX-1MA7X-0011-R6a-SM-EYYWR,GTEX-13OVI-1426-SM-5L3EY,GTEX-Y114-0008-SM-4TT8X,,GTEX-XBEC-1226-SM-4AT65,GTEX-Y8E5-0006-SM-47JWQ,,GTEX-178AV-1326-SM-6LPJX,
GTEX-1EX96-0011-R5a-SM-ARU83,GTEX-1B97I-0626-SM-73KUZ,GTEX-1313W-0008-SM-5YYAP,,GTEX-WZTO-1226-SM-3NMAZ,GTEX-14PJ5-0005-SM-9MQLO,,GTEX-1399U-1926-SM-5IFH7,
GTEX-15UF6-0011-R1a-SM-9QEGH,GTEX-1IGQW-0126-SM-COH42,GTEX-ZVZP-0008-SM-51MSX,,GTEX-131XF-5001-SM-7DHLY,GTEX-1HC8U-0005-SM-ADEGV,,GTEX-1PFEY-1726-SM-DPRZ4,
GTEX-1CB4G-0011-R10a-SM-9QEHS,GTEX-11LCK-1026-SM-5A5KB,GTEX-1I1GP-0008-SM-EXUT6,,GTEX-1JJEA-0826-SM-CL53T,GTEX-1CB4J-0006-SM-ACKV6,,GTEX-QDVN-1326-SM-48TZ3,
GTEX-11DXW-0011-R5b-SM-DO11D,GTEX-S33H-1026-SM-EZ6L6,GTEX-12ZZZ-0008-SM-5YY9S,,GTEX-ZV7C-0326-SM-57WB1,GTEX-V1D1-0006-SM-3NMCE,,GTEX-1IKOE-2026-SM-AHZ31,
GTEX-1GF9W-2626-SM-7P8TA,GTEX-1I1GR-0126-SM-CL55F,GTEX-VUSH-0004-SM-3P61T,,GTEX-1RMOY-0626-SM-E9TIE,GTEX-1A8FM-0006-SM-7MGWI,,GTEX-W5WG-2026-SM-4LMIB,
GTEX-14753-0011-R8b-SM-5S2U1,GTEX-1F6RS-2026-SM-7RHHC,GTEX-W5X1-0001-SM-3P61V,,GTEX-18D9B-1226-SM-72D6V,GTEX-1KWVE-0005-SM-CYPSE,,GTEX-111CU-1426-SM-5GZYP,
GTEX-NL4W-0011-R8a-SM-2I3G4,GTEX-183WM-0326-SM-72D5V,GTEX-WFON-0001-SM-3P61W,,GTEX-ZVZQ-0726-SM-51MR3,GTEX-1JMOU-0006-SM-DHXJ7,,GTEX-14PHX-1526-SM-68717,
GTEX-11DYG-0011-R5a-SM-DO928,GTEX-1GMRU-0126-SM-9YFLV,GTEX-1FIGZ-0001-SM-EAZCM,,GTEX-17HGU-1126-SM-793BP,GTEX-12WSL-0005-SM-5NQAD,,GTEX-S4P3-1226-SM-4AD4Y,
GTEX-QDT8-0011-R4A-SM-32PKM,GTEX-ZQG8-1626-SM-DHXIT,GTEX-1IKOH-0001-SM-EAZDF,,GTEX-YEC3-0426-SM-CYPS8,GTEX-13113-0006-SM-5NQ7X,,GTEX-UJMC-1326-SM-4IHLS,
GTEX-1HFI6-0011-R11b-SM-A96RU,GTEX-1R46S-0626-SM-E9J41,GTEX-WFJO-0002-SM-3P61X,,GTEX-VUSG-0726-SM-3GIK1,GTEX-1JMPZ-0006-SM-DHXJ9,,,
GTEX-1LB8K-0011-R6a-SM-EXURT,GTEX-1B8KZ-0326-SM-73KY4,GTEX-ZVTK-0003-SM-51MRV,,GTEX-1H2FU-0826-SM-9WYSU,GTEX-TMZS-0006-SM-3DB8G,,,
GTEX-14PN4-0011-R11a-SM-686ZW,GTEX-13113-5016-SM-7EPIP,GTEX-ZLWG-0004-SM-4WWD5,,GTEX-1LH75-0526-SM-DIPG2,GTEX-1QP28-0006-SM-DLZQW,,,
GTEX-1B8L1-0011-R3a-SM-7EPIO,GTEX-1GN73-0226-SM-9WG67,GTEX-WFG8-0001-SM-4LVN8,,GTEX-1IKK5-1526-SM-CKZPW,GTEX-1R9PM-0006-SM-CYPTI,,,
GTEX-1B8L1-3026-SM-7EPHK,GTEX-RVPV-0126-SM-EAZAW,GTEX-11ZTT-0002-SM-5S2PA,,GTEX-13FXS-1026-SM-62LFQ,GTEX-P44H-0006-SM-2XCFB,,,
GTEX-1GZHY-0011-R8b-SM-9OSWK,GTEX-14PHX-2326-SM-62LEM,GTEX-11P7K-0003-SM-5S2OU,,GTEX-V955-0726-SM-3GAFG,GTEX-1LVA9-0006-SM-DKPPN,,,
GTEX-11OF3-0011-R6b-SM-57WBG,GTEX-18A6Q-0626-SM-7KFRP,GTEX-VUSG-0003-SM-3NMDK,,GTEX-1CB4G-0726-SM-79OOJ,GTEX-WYJK-0005-SM-3NMA1,,,
GTEX-11PRG-0011-R4a-SM-DNZZR,GTEX-1CB4I-0226-SM-79OLH,GTEX-WWTW-0002-SM-4MVNH,,GTEX-13CF2-0226-SM-5L3DV,GTEX-1H4P4-0006-SM-AHZ24,,,
GTEX-13NZA-0011-R11b-SM-5KM4W,GTEX-1PPH8-0126-SM-EWRN8,GTEX-Y9LG-0001-SM-4VBRQ,,GTEX-14PK6-0726-SM-6LLIX,GTEX-T8EM-0006-SM-3DB71,,,
