"","MMlightcyan","MMmidnightblue","MMpink","MMred","MMblack","MMmagenta","MMlightgreen","MMtan","MMturquoise","MMgreenyellow","MMblue","MMcyan","MMpurple","MMgrey60","MMbrown","MMlightyellow","MMsalmon","MMyellow","MMgreen","MMroyalblue","MMgrey"
"ENSG00000268903",-0.146784424596374,-0.505023724684759,-0.338325437111447,-0.460563847005561,-0.165144016218637,-0.261810637825261,0.343859852741647,0.440259262128988,0.829472731625341,0.122100832887885,-0.265294557755088,-0.219026884491039,0.0432874384246822,-0.0371973192289723,0.042617659659854,0.0365998818360006,0.189933900367117,0.168475025459146,0.220832684065326,0.127636147887863,-0.00728190411782266
"ENSG00000269981",-0.136721242944946,-0.472717538633066,-0.343725326165265,-0.455538290587075,-0.1991325171039,-0.263795531463841,0.372075852703212,0.460432561669892,0.814349906371439,0.148152278546747,-0.221652113363328,-0.179528353837892,0.0522984679668955,-0.0113718321581677,0.0626635957814273,0.0701365905292289,0.198687724420973,0.206294932147591,0.268050046959943,0.161194194228961,0.0251218929155516
"ENSG00000225972",0.111928377295655,0.0951802893346567,0.0972787499025436,0.153087748291736,0.0863341841461983,0.0652087110212236,-0.0557918804495153,-0.155109641542345,-0.18968953566571,-0.0314668188060878,-0.016980358541447,0.0569929392300434,-0.0729086015331126,0.00212341751282923,-0.0820718020171891,-0.038695466146365,-0.0779245740283759,-0.0326370136274102,-0.0486560440017238,-0.0473972016564792,-0.0244111915407443
"ENSG00000237973",0.259005421497489,0.220772101363262,0.180473486020765,0.330042798331453,0.153940018895077,0.0999649513118281,-0.18042424469175,-0.278532781173811,-0.491457042670167,-0.0897220791775756,-0.0356212232959698,0.0639447888612959,-0.0298707116387964,0.0704819007796137,-0.086420065669093,-0.00577063694612388,-0.0432227173634436,-0.0249025673649608,-0.0526930641664571,0.0235765959656535,-0.0874198625591559
"ENSG00000229344",0.17971006375095,0.174158076021259,0.143856475267867,0.258017690124596,0.287242660326187,0.239984677218978,-0.135821714953899,-0.24782012301764,-0.475538764359262,-0.00406280398223089,-0.0167471019540942,0.110566647762863,-0.0121527676446808,0.0958551910501883,-0.130955400175878,-0.0422057834757299,-0.043916235603655,-0.0907116455221517,-0.0540134452812676,-0.00278211340937059,0.0165081663720378
"ENSG00000272512",0.157654097858274,0.357243873788042,-0.0698323098000174,0.0983819504370041,0.013226387364958,0.322460084354472,0.231092340532186,-0.0963952709984332,-0.265407984530518,0.101609558781666,0.519290278091572,0.58247100875645,0.0995887143126875,0.013355634035014,-0.186524120148275,0.115068298169375,0.0273318348801707,0.141158944305942,0.13124420768431,0.032418222150009,0.37933645307983
"ENSG00000188290",0.155864710980249,0.420796202946633,-0.225490488800044,-0.0163232712745175,0.11406069385958,0.499893257338596,0.332326160706001,-0.0740067741468184,-0.256012505599287,0.158535241478257,0.648781755916015,0.631609622729841,0.112356569218128,0.0304082030743519,-0.172950122247351,0.181174016250718,0.0878970641888337,0.103077678165638,0.144022023578813,0.0247099868066107,0.533023881351792
"ENSG00000187608",-0.133992748306722,-0.131787895431186,-0.425639064315168,-0.394332011651829,0.0548571491749298,0.20049279079172,0.250221833779117,0.241551980872548,0.340079888873515,0.168120894489915,0.310759655128718,0.0794657104411126,0.0364772415963254,0.0231344338991418,0.324551694591946,0.224114238210121,-0.106998022865433,-0.216181999923111,-0.0605910138887851,-0.180258692510621,0.364387468754724
"ENSG00000186891",-0.209246652955852,-0.516494318919686,-0.262651055854845,-0.4535038876712,-0.0457562837568458,-0.153923348913999,0.124100746963579,0.46471448197775,0.442578236117426,0.0255881638864005,-0.239021059943329,-0.172788185363348,0.074996479223438,0.225554912390744,0.432709372057401,0.459025092836032,0.227110335647774,0.608456579648159,0.540571550686737,0.506112721728483,0.191671541865386
"ENSG00000184163",-0.259383709490132,-0.112559794741123,-0.265888014029482,-0.401759904302725,-0.0771547857322912,0.123817276852583,0.177585303883373,0.249663773520371,0.0343453319110006,0.193875199767986,0.295960701024315,0.221330880231103,0.187178978762111,0.534005589432526,0.366713354914245,0.559715921046103,0.186981116978031,0.538616141748659,0.642134911407604,0.604233521945161,0.4920358652588
