,Topic 1,Topic 2,Topic 3,Topic 4
ENSG00000067836,0.00100397,0.00100177,0.000997506,0.00100067
ENSG00000211445,0.00100397,0.00100177,0.00099751,0.00100067
ENSG00000144567,0.00100396,0.00100177,0.000997513,0.00100067
ENSG00000110107,0.00100396,0.00100176,0.000997516,0.00100067
ENSG00000123143,0.00100395,0.00100176,0.00099752,0.00100067
ENSG00000187653,0.00100394,0.000992694,0.00097084,0.000993303
ENSG00000125166,0.00100394,0.00100176,0.000997523,0.00100067
ENSG00000113273,0.00100394,0.0010012,0.00100548,0.000969341
ENSG00000130382,0.00100394,0.00100176,0.000997526,0.00100067
ENSG00000134884,0.00100391,0.00100175,0.000997541,0.00100066
ENSG00000173581,0.00100391,0.00100174,0.000997544,0.00100066
ENSG00000196976,0.0010039,0.00100174,0.00099755,0.00100066
ENSG00000214194,0.00100389,0.00100174,0.000997553,0.00100066
ENSG00000157216,0.00100389,0.00100173,0.000997557,0.00100066
ENSG00000110696,0.00100388,0.00100173,0.00099756,0.00100066
ENSG00000170004,0.00100387,0.00100173,0.000997563,0.00100066
ENSG00000176101,0.00100387,0.00100173,0.000997567,0.00100066
ENSG00000131981,0.00100386,0.00100172,0.00099757,0.00100066
ENSG00000135720,0.00100386,0.00100172,0.000997573,0.00100066
ENSG00000115694,0.00100385,0.00100172,0.000997577,0.00100066
ENSG00000168894,0.00100384,0.00100172,0.00099758,0.00100066
ENSG00000185624,0.00100384,0.00100171,0.000997584,0.00100066
ENSG00000149541,0.00100383,0.0010017,0.000997591,0.00100065
ENSG00000164091,0.00100382,0.0010017,0.000997595,0.00100065
ENSG00000104412,0.00100381,0.0010017,0.000997598,0.00100065
ENSG00000099804,0.00100381,0.0010017,0.000997602,0.00100065
ENSG00000112640,0.0010038,0.00100169,0.000997605,0.00100065
ENSG00000232859,0.00100379,0.00100169,0.000997608,0.00100065
ENSG00000205544,0.00100379,0.00100169,0.000997612,0.00100065
ENSG00000120509,0.00100378,0.00100169,0.000997615,0.00100065
ENSG00000133313,0.00100378,0.00100168,0.000997618,0.00100065
ENSG00000116161,0.00100377,0.00100168,0.000997622,0.00100065
ENSG00000082641,0.00100376,0.00100167,0.000997633,0.00100065
ENSG00000204463,0.00100375,0.00100167,0.000997636,0.00100064
ENSG00000125651,0.00100374,0.00100166,0.000997644,0.00100064
ENSG00000071967,0.00100373,0.00100166,0.000997648,0.00100064
ENSG00000130332,0.00100372,0.00100166,0.000997651,0.00100064
ENSG00000198918,0.00100372,0.00100165,0.000997654,0.00100064
ENSG00000198612,0.00100371,0.00100165,0.00099766,0.00100064
ENSG00000181191,0.00100371,0.00100165,0.000997663,0.00100064
ENSG00000197226,0.0010037,0.00100164,0.000997666,0.00100064
ENSG00000102181,0.00100369,0.00100164,0.000997673,0.00100064
ENSG00000117411,0.00100368,0.00100164,0.000997676,0.00100064
ENSG00000165006,0.00100366,0.00100163,0.000997685,0.00100064
ENSG00000137309,0.00100366,0.00100163,0.000997688,0.00100064
ENSG00000125304,0.00100365,0.00100163,0.000997692,0.00100063
ENSG00000119487,0.00100364,0.00100162,0.000997695,0.00100063
ENSG00000142784,0.00100364,0.00100162,0.000997698,0.00100063
ENSG00000120896,0.00100363,0.00100162,0.000997705,0.00100063
ENSG00000096746,0.00100362,0.00100161,0.000997708,0.00100063
ENSG00000107758,0.00100361,0.00100161,0.000997711,0.00100063
ENSG00000088256,0.00100361,0.00100161,0.000997715,0.00100063
ENSG00000214078,0.0010036,0.00100161,0.000997718,0.00100063
ENSG00000241370,0.0010036,0.00100161,0.000997721,0.00100063
ENSG00000135334,0.00100359,0.0010016,0.000997724,0.00100063
ENSG00000102401,0.00100358,0.0010016,0.000997728,0.00100063
ENSG00000243279,0.00100358,0.0010016,0.000997731,0.00100063
ENSG00000060237,0.00100357,0.00100159,0.000997737,0.00100063
ENSG00000011009,0.00100356,0.00100159,0.00099774,0.00100063
ENSG00000115350,0.00100356,0.00100159,0.000997744,0.00100062
ENSG00000122565,0.00100355,0.00100159,0.000997747,0.00100062
ENSG00000124222,0.00100354,0.00100158,0.00099775,0.00100062
ENSG00000182979,0.00100353,0.00100158,0.000997756,0.00100062
ENSG00000106263,0.00100352,0.00100157,0.000997765,0.00100062
ENSG00000174996,0.00100351,0.00100157,0.000997771,0.00100062
ENSG00000183617,0.0010035,0.00100157,0.000997775,0.00100062
ENSG00000163902,0.00100349,0.00100156,0.000997783,0.00100062
ENSG00000104131,0.00100348,0.00100156,0.000997786,0.00100062
ENSG00000167699,0.00100348,0.00100155,0.00099779,0.00100062
ENSG00000099942,0.00100347,0.00100155,0.000997793,0.00100062
ENSG00000117054,0.00100346,0.00100155,0.000997796,0.00100061
ENSG00000079432,0.00100346,0.00100155,0.000997799,0.00100061
ENSG00000110917,0.00100345,0.00100154,0.000997803,0.00100061
ENSG00000227500,0.00100344,0.00100154,0.000997806,0.00100061
ENSG00000144655,0.00100344,0.00100154,0.00099781,0.00100061
ENSG00000155506,0.00100343,0.00100153,0.000997815,0.00100061
ENSG00000113712,0.00100342,0.00100153,0.000997819,0.00100061
ENSG00000096080,0.00100342,0.00100153,0.000997822,0.00100061
ENSG00000189067,0.0010034,0.00100152,0.000997828,0.00100061
ENSG00000140995,0.0010034,0.00100152,0.000997831,0.00100061
ENSG00000107537,0.00100339,0.00100152,0.000997835,0.00100061
ENSG00000170606,0.00100338,0.00100152,0.000997838,0.00100061
ENSG00000134453,0.00100338,0.00100151,0.000997841,0.00100061
ENSG00000134056,0.00100337,0.00100151,0.000997844,0.00100061
ENSG00000173757,0.00100337,0.0010015,0.00099785,0.00100061
ENSG00000172057,0.00100336,0.0010015,0.000997856,0.0010006
ENSG00000163660,0.00100335,0.0010015,0.000997859,0.0010006
ENSG00000131669,0.00100335,0.00100149,0.000997862,0.0010006
ENSG00000127995,0.00100334,0.00100149,0.000997865,0.0010006
ENSG00000049449,0.00100333,0.00100149,0.000997869,0.0010006
ENSG00000071655,0.00100333,0.00100149,0.000997872,0.0010006
ENSG00000160584,0.00100332,0.00100148,0.000997878,0.0010006
ENSG00000104870,0.00100331,0.00100148,0.000997882,0.0010006
ENSG00000109079,0.00100331,0.00100148,0.000997885,0.0010006
ENSG00000117862,0.0010033,0.00100148,0.000997888,0.0010006
ENSG00000141480,0.00100329,0.00100147,0.000997891,0.0010006
ENSG00000122390,0.00100329,0.00100147,0.000997895,0.0010006
ENSG00000105722,0.00100328,0.00100147,0.000997898,0.0010006
ENSG00000140307,0.00100328,0.00100147,0.000997901,0.0010006
ENSG00000125877,0.00100327,0.00100146,0.000997905,0.00100059
ENSG00000000419,0.00100326,0.00100146,0.000997908,0.00100059
ENSG00000064490,0.00100326,0.00100146,0.000997911,0.00100059
ENSG00000153310,0.00100325,0.00100146,0.000997914,0.00100059
ENSG00000104915,0.00100325,0.00100145,0.000997918,0.00100059
ENSG00000074319,0.00100324,0.00100145,0.000997921,0.00100059
ENSG00000122958,0.00100323,0.00100145,0.000997924,0.00100059
ENSG00000134644,0.00100322,0.00100144,0.00099793,0.00100059
ENSG00000163297,0.00100322,0.00073211,0.00100266,0.00100477
ENSG00000140992,0.00100322,0.00100144,0.000997933,0.00100059
ENSG00000120533,0.0010032,0.00100144,0.000997939,0.00100059
ENSG00000131467,0.0010032,0.00100144,0.000997943,0.00100059
ENSG00000131748,0.00100319,0.00100143,0.000997946,0.00100059
ENSG00000255517,0.00100318,0.00100157,0.000993876,0.000967999
ENSG00000125944,0.00100318,0.00100143,0.000997949,0.00100059
ENSG00000124333,0.00100316,0.00100141,0.000997963,0.00100059
ENSG00000151239,0.00100315,0.00100141,0.000997966,0.00100059
ENSG00000157601,0.00100315,0.00100141,0.000997971,0.00100059
ENSG00000118939,0.00100314,0.0010014,0.000997974,0.00100058
ENSG00000117906,0.00100313,0.0010014,0.00099798,0.00100058
