i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4
61,GTEX-1EN7A-0011-R5a-SM-9QEH6,0.0435615,1000.02,0.07063430000000001,0.08158
62,GTEX-13N2G-0011-R2a-SM-5MR4Q,0.0435615,1000.02,0.07063430000000001,0.08158
63,GTEX-1JJ6O-0011-R11b-SM-EXUS2,0.0435615,1000.02,0.07063430000000001,0.08158
64,GTEX-15CHQ-0011-R1a-SM-COH27,0.0435615,1000.02,0.07063430000000001,0.08158
65,GTEX-1H3NZ-0011-R6b-SM-A9G1N,0.0435615,1000.02,0.07063430000000001,0.08158
66,GTEX-1F52S-0011-R7b-SM-9QEH8,0.0435615,1000.02,0.07063430000000001,0.08158
67,GTEX-1H4P4-0011-R1b-SM-CL54V,0.0435615,948.81,51.28,0.08158
68,GTEX-14ABY-0011-R9a-SM-5PNZK,0.0435615,816.7589999999999,80.6678,102.745
69,GTEX-Q2AG-0011-R11A-SM-2HMKZ,0.0435615,1000.02,0.07063430000000001,0.08158
70,GTEX-14BIN-0011-R11a-SM-5SI79,0.0435615,1000.02,0.07063430000000001,0.08158
71,GTEX-WZTO-0011-R4A-SM-3NMC7,0.0435615,1000.02,0.07063430000000001,0.08158
72,GTEX-17MF6-0011-R5a-SM-731BA,34.1211,965.942,0.07063430000000001,0.08158
73,GTEX-147GR-0011-R2b-SM-5S2RQ,0.0435615,1000.02,0.07063430000000001,0.08158
74,GTEX-13CF2-0011-R11b-SM-5LZXO,0.0435615,1000.02,0.07063430000000001,0.08158
75,GTEX-14ABY-0011-R5b-SM-5SI7B,0.0435615,1000.02,0.07063430000000001,0.08158
76,GTEX-16XZZ-0011-R9b-SM-7DHKX,0.0435615,755.492,114.536,130.144
77,GTEX-1E1VI-0011-R4b-SM-9QEHV,0.0435615,1000.02,0.07063430000000001,0.08158
78,GTEX-13OVJ-2826-SM-5L3GW,0.0435615,1000.02,0.07063430000000001,0.08158
79,GTEX-WHSE-0011-R10A-SM-EYYVG,0.0435615,1000.02,0.07063430000000001,0.08158
80,GTEX-15SHU-3026-SM-6LPIB,0.0435615,907.579,0.07063430000000001,92.5221
81,GTEX-1C6VR-0011-R6a-SM-7MXU8,0.0435615,1000.02,0.07063430000000001,0.08158
82,GTEX-WWYW-0011-R5A-SM-3NB3E,0.0435615,1000.02,0.07063430000000001,0.08158
83,GTEX-1IY9M-0011-R9b-SM-D3L8J,21.7948,858.757,0.07063430000000001,119.59299999999999
84,GTEX-1F75B-0011-R5a-SM-9QEHC,0.0435615,822.232,0.07063430000000001,177.86900000000003
85,GTEX-1GN2E-3026-SM-9WG6I,0.0435615,1000.02,0.07063430000000001,0.08158
86,GTEX-13FHO-2926-SM-5L3ES,0.0435615,913.202,0.07063430000000001,86.8991
87,GTEX-ZVZQ-0011-R11a-SM-51MS6,0.0435615,1000.02,0.07063430000000001,0.08158
88,GTEX-NL4W-0011-R5a-SM-2I3GD,0.0435615,1000.02,0.07063430000000001,0.08158
89,GTEX-T2IS-0011-R3A-SM-32QPB,0.0435615,1000.02,0.07063430000000001,0.08158
90,GTEX-1A3MX-0011-R8a-SM-7P8PI,0.0435615,1000.02,0.07063430000000001,0.08158
