Cluster 1,Cluster 2,Cluster 3,Cluster 4
GTEX-1CB4H-0006-SM-A96RE,GTEX-1HR9M-0011-R5a-SM-ARU72,GTEX-1AX8Z-1826-SM-73KW6,GTEX-11GS4-0226-SM-5HL77
GTEX-R55C-0005-SM-3GAE9,GTEX-11GSP-0011-R5a-SM-57WBE,GTEX-11ZTS-2726-SM-5EQLU,GTEX-1GZ4H-0526-SM-9KNU9
GTEX-OIZH-0005-SM-2HMJN,GTEX-16YQH-0011-R10b-SM-7LT8U,GTEX-ZA64-0526-SM-5HL9I,GTEX-1JN6P-2926-SM-CL54D
GTEX-1LSNM-0005-SM-CXZIW,GTEX-13IVO-0011-R10a-SM-5LZY3,GTEX-1JMLX-2126-SM-CL54B,GTEX-QVJO-1626-SM-2S1QW
GTEX-WHPG-0006-SM-3NMBV,GTEX-13VXU-3026-SM-5LU3K,GTEX-OXRL-0726-SM-3NM9A,GTEX-1QEPI-2626-SM-DTXF4
GTEX-N7MT-0007-SM-3GACQ,GTEX-1HGF4-0011-R5b-SM-CM2ST,GTEX-1I1GR-1426-SM-CY8H8,GTEX-17HGU-0226-SM-7DHKV
GTEX-1HBPN-0002-SM-EYYW2,GTEX-1EN7A-0011-R6b-SM-9QEHW,GTEX-1NHNU-1726-SM-E76R1,GTEX-1GN1V-0126-SM-9WPOS
GTEX-1QW4Y-0005-SM-DO93W,GTEX-1B8SF-0011-R6b-SM-7MXUD,GTEX-1C6VQ-2026-SM-79OOH,GTEX-1KANB-0526-SM-E6CJH
GTEX-ZG7Y-0006-SM-4WWEA,GTEX-13JUV-0011-R1a-SM-5LZY4,GTEX-NPJ8-2026-SM-3TW91,GTEX-13OVL-0126-SM-5L3GJ
GTEX-1HSMP-0006-SM-AHZ25,GTEX-16YQH-0011-R5b-SM-7938U,GTEX-1211K-1026-SM-5EQ4B,GTEX-1211K-2026-SM-5EQ4Z
GTEX-17HHY-0006-SM-7MXT4,GTEX-12WSC-0011-R9a-SM-5GU4U,GTEX-14C5O-1726-SM-5RQI9,GTEX-1J1OQ-0126-SM-D4P2N
GTEX-1269C-0005-SM-5N9CJ,GTEX-ZDXO-0011-R2b-SM-4WKFG,GTEX-1L5NE-1326-SM-CY8II,GTEX-1E2YA-0126-SM-9KNUC
GTEX-1GPI7-0005-SM-A9G13,GTEX-12WSM-0011-R11a-SM-5DUX8,GTEX-1J1R8-1026-SM-CJI37,GTEX-14BMU-1226-SM-5S2OR
GTEX-SNOS-0003-SM-3NMAO,GTEX-13FLV-0011-R10b-SM-5LZZ2,GTEX-1497J-2126-SM-5NQB8,GTEX-132AR-0008-SM-62LDH
GTEX-15D1Q-0006-SM-9KNTN,GTEX-1PIIG-2826-SM-DTX7O,GTEX-OOBK-0726-SM-3LK5Q,GTEX-18D9B-0526-SM-7LTAS
GTEX-Y5LM-0003-SM-4V6G1,GTEX-14JIY-0011-R8a-SM-6AJAP,GTEX-17F98-1826-SM-7DUFK,GTEX-1CB4J-0626-SM-7DHMP
GTEX-1122O-0005-SM-5O99J,GTEX-ZAB4-0011-R9a-SM-4SOKG,GTEX-13OVJ-1426-SM-5K7Z2,GTEX-1CB4E-0926-SM-7EPHT
GTEX-1EKGG-0001-SM-EAZCL,GTEX-1GZHY-0011-R11a-SM-C1YRQ,GTEX-1F48J-1626-SM-9WPOE,GTEX-1H4P4-2126-SM-9WYSL
GTEX-YB5E-0005-SM-4VDSO,GTEX-18464-0011-R10a-SM-72D6X,GTEX-13W3W-1826-SM-5IJDE,GTEX-13JUV-2026-SM-5K7UA
GTEX-131XE-0006-SM-5P9F9,GTEX-145LS-0011-R5a-SM-5SI65,GTEX-1F5PL-1226-SM-7P8R5,GTEX-1HFI7-2326-SM-CGQFS
GTEX-14ICL-0006-SM-5SIAB,GTEX-13N1W-0011-R4a-SM-5MR52,GTEX-11TUW-1226-SM-5GU7C,GTEX-1ICLZ-0326-SM-ARL82
GTEX-U3ZG-0001-SM-47JYF,GTEX-X4XY-3026-SM-EWRM9,GTEX-14JG1-1826-SM-5YY9Y,GTEX-117YX-2326-SM-5H12W
GTEX-PLZ4-0006-SM-CYPR7,GTEX-11GSP-0011-R1a-SM-9QEJ3,GTEX-18A66-1526-SM-72D6Y,GTEX-1HUB1-0426-SM-E9U4U
GTEX-1H1CY-0005-SM-A9G15,GTEX-11DZ1-0011-R8b-SM-DNZZI,GTEX-YB5K-0726-SM-5LU8R,GTEX-1KAFJ-2026-SM-CY8ID
GTEX-14E6E-0006-SM-5MR5N,GTEX-11EMC-0011-R8b-SM-DO91Z,GTEX-ZEX8-1326-SM-4WWEW,GTEX-1F6RS-0126-SM-9MQKZ
GTEX-1B933-0006-SM-7P8OP,GTEX-13OW5-0011-R6b-SM-5O9BW,GTEX-1PIIG-0926-SM-E6CQN,GTEX-18465-0126-SM-731BN
GTEX-XPT6-0006-SM-4B66Q,GTEX-17EVQ-2826-SM-7IGQK,GTEX-11GSP-1726-SM-5A5LI,GTEX-1KWVE-1426-SM-E9TJO
GTEX-ZC5H-0004-SM-4WAXK,GTEX-1EN7A-0011-R5a-SM-9QEH6,GTEX-S4Z8-0726-SM-4GICB,GTEX-1122O-1026-SM-9WYSF
GTEX-S4Q7-0003-SM-3NM8M,GTEX-13N2G-0011-R2a-SM-5MR4Q,GTEX-ZVZP-1626-SM-5GIDJ,GTEX-ZZPU-0826-SM-5GZX5
GTEX-1GN73-0005-SM-ACKVI,GTEX-1JJ6O-0011-R11b-SM-EXUS2,GTEX-1JMQJ-1026-SM-CNPP8,GTEX-ZWKS-0126-SM-5SIAA
GTEX-1HR98-0005-SM-A9SKM,GTEX-15CHQ-0011-R1a-SM-COH27,GTEX-P4PQ-0726-SM-3NMCR,GTEX-132NY-0326-SM-5IJBL
GTEX-Y111-0006-SM-4SOIO,GTEX-1H3NZ-0011-R6b-SM-A9G1N,GTEX-18D9A-0326-SM-7LT8L,GTEX-1F75I-0326-SM-9YFLU
GTEX-T5JW-0003-SM-3NMAD,GTEX-1F52S-0011-R7b-SM-9QEH8,GTEX-WYVS-1026-SM-4SOJW,GTEX-1IDJF-0126-SM-CM2RS
GTEX-1211K-0006-SM-5MR53,GTEX-1H4P4-0011-R1b-SM-CL54V,GTEX-1AMFI-0326-SM-731CU,GTEX-XK95-0226-SM-4AT58
GTEX-17JCI-0005-SM-7P8OL,GTEX-14ABY-0011-R9a-SM-5PNZK,GTEX-OHPM-0726-SM-3LK7A,GTEX-1IY9M-2826-SM-ARU8H
GTEX-131XH-0006-SM-5O98V,GTEX-Q2AG-0011-R11A-SM-2HMKZ,GTEX-15SB6-0926-SM-7KUFM,GTEX-131XH-2226-SM-5DUXJ
GTEX-UPJH-0006-SM-3GACW,GTEX-14BIN-0011-R11a-SM-5SI79,GTEX-1B8KZ-0826-SM-73KYB,GTEX-13X6I-0626-SM-5QGP9
GTEX-1HGF4-0002-SM-EZ6M7,GTEX-WZTO-0011-R4A-SM-3NMC7,GTEX-1JMQK-1826-SM-CY8I1,GTEX-ZYFD-0626-SM-5E44E
GTEX-SUCS-0002-SM-3NMAJ,GTEX-17MF6-0011-R5a-SM-731BA,GTEX-XUW1-1526-SM-4BOOY,GTEX-1GN2E-0426-SM-9MQKX
GTEX-1RB15-0005-SM-CL53N,GTEX-147GR-0011-R2b-SM-5S2RQ,GTEX-1B97I-1026-SM-73KVC,GTEX-12WSL-2526-SM-5GCNJ
