Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
GTEX-13W3W-2126-SM-5K7UX,,,,,,,,,,,
GTEX-ZDTT-1926-SM-5HL5W,,,,,,,,,,,
GTEX-ZLWG-1726-SM-DNZZ2,,,,,,,,,,,
GTEX-1LGRB-1426-SM-CNNPT,,,,,,,,,,,
GTEX-111CU-1426-SM-5GZYP,,,,,,,,,,,
GTEX-1MA7W-0626-SM-EV79Z,,,,,,,,,,,
GTEX-13PL7-2526-SM-5IFGR,,,,,,,,,,,
GTEX-PLZ6-0926-SM-3P5ZQ,,,,,,,,,,,
GTEX-1IDJU-2026-SM-A9SLM,,,,,,,,,,,
GTEX-WOFM-1926-SM-4OOSP,,,,,,,,,,,
GTEX-1C475-1626-SM-731FP,,,,,,,,,,,
GTEX-1R9PM-1526-SM-DPRY8,,,,,,,,,,,
GTEX-1RAZR-1926-SM-E6CRF,,,,,,,,,,,
GTEX-14JIY-3326-SM-6871E,,,,,,,,,,,
GTEX-ZEX8-1926-SM-4WKFR,,,,,,,,,,,
GTEX-S7SF-1926-SM-4AT5B,,,,,,,,,,,
GTEX-11VI4-1526-SM-5EQKC,,,,,,,,,,,
GTEX-1122O-1526-SM-5N9CL,,,,,,,,,,,
GTEX-11NSD-1626-SM-5986U,,,,,,,,,,,
GTEX-U3ZM-1126-SM-4DXUB,,,,,,,,,,,
GTEX-Y8E4-2426-SM-4WWDN,,,,,,,,,,,
GTEX-133LE-1526-SM-5IFEN,,,,,,,,,,,
GTEX-14DAR-1526-SM-5RQIX,,,,,,,,,,,
GTEX-XUW1-1926-SM-4BOP1,,,,,,,,,,,
GTEX-145LT-0926-SM-5LU9C,,,,,,,,,,,
GTEX-1GF9U-1526-SM-7MXUW,,,,,,,,,,,
GTEX-NFK9-2026-SM-3LK5K,,,,,,,,,,,
GTEX-ZF2S-1926-SM-4WWAN,,,,,,,,,,,
GTEX-OHPL-2626-SM-2HMJA,,,,,,,,,,,
GTEX-15RIF-0326-SM-7KUFR,,,,,,,,,,,
