Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
GTEX-YEC4-1026-SM-9WG7N,GTEX-WXYG-0226-SM-3NB2Y,,,GTEX-R55E-0526-SM-2TC6B,,,,,,GTEX-13RTJ-2626-SM-7DHKR,
GTEX-18QFQ-1026-SM-7LG6B,GTEX-ZA64-0426-SM-5HL96,,,GTEX-18A7B-0326-SM-7LG65,,,,,,GTEX-1CB4F-0726-SM-793AO,
GTEX-1C6VQ-2026-SM-79OOH,GTEX-14PJO-0626-SM-6LLHH,,,GTEX-16XZZ-0526-SM-7KUF1,,,,,,GTEX-QXCU-0226-SM-2TC5W,
GTEX-NPJ8-2026-SM-3TW91,GTEX-1HSMQ-0526-SM-A96TY,,,GTEX-13NZA-0526-SM-5L3D7,,,,,,GTEX-1HBPN-1026-SM-9YFLZ,
GTEX-1C475-0926-SM-7MKFI,GTEX-13CF3-0926-SM-5LZZC,,,GTEX-1NHNU-1226-SM-DTX8I,,,,,,GTEX-OHPL-3026-SM-3MJGS,
GTEX-14PJN-0526-SM-68724,GTEX-11ZTS-1126-SM-5LU9X,,,GTEX-1B8L1-2726-SM-793AL,,,,,,GTEX-1C4CL-0126-SM-7IGN5,
GTEX-XQ8I-1526-SM-4BOOH,GTEX-PLZ4-1226-SM-2I5FE,,,GTEX-XPVG-2526-SM-4B66D,,,,,,GTEX-X4XY-1526-SM-4QASE,
GTEX-1EKGG-1726-SM-7MXUP,GTEX-ZYVF-1126-SM-5E458,,,GTEX-1LSNL-0126-SM-EWRNR,,,,,,GTEX-147F4-1326-SM-5LU9V,
GTEX-1MCYP-1026-SM-DPRYB,GTEX-OXRL-2626-SM-2I3F1,,,GTEX-1K2DA-2226-SM-CGQGM,,,,,,GTEX-1LB8K-1126-SM-DIPEP,
GTEX-1LSVX-1226-SM-DHXJN,GTEX-1C6VQ-0526-SM-7MGWD,,,GTEX-15RIF-2126-SM-7KUM8,,,,,,GTEX-OIZG-0426-SM-3LK5W,
GTEX-ZAB5-0926-SM-5CVMV,GTEX-117YX-1226-SM-5H11S,,,GTEX-1O9I2-0526-SM-EYYXI,,,,,,GTEX-ZAB5-2026-SM-5L3EQ,
GTEX-13W46-1926-SM-5J2MF,GTEX-POYW-0826-SM-2XCEM,,,GTEX-W5WG-1926-SM-4KKZK,,,,,,GTEX-1QW4Y-1926-SM-E8VO3,
GTEX-1LGRB-1626-SM-CNNR7,GTEX-1OJC4-0526-SM-E6CQV,,,GTEX-1IGQW-0526-SM-CKZO3,,,,,,GTEX-14JG6-2026-SM-6EU2E,
GTEX-ZVE2-1326-SM-5NQ94,GTEX-U412-0726-SM-EVR2Y,,,GTEX-11VI4-1926-SM-5CVLI,,,,,,GTEX-QDT8-1026-SM-43V6X,
GTEX-146FQ-1026-SM-5LU8I,GTEX-13FXS-0726-SM-5LZXJ,,,GTEX-1EH9U-0326-SM-7P8S2,,,,,,GTEX-17HHY-0526-SM-793BZ,
GTEX-13OVG-0626-SM-5IFEP,GTEX-1H1CY-0726-SM-9OSXX,,,GTEX-13G51-2726-SM-5LZZ9,,,,,,GTEX-O5YV-0626-SM-3LK64,
GTEX-ZV68-0926-SM-59HK7,GTEX-1QEPI-0726-SM-E76QG,,,GTEX-WOFM-1326-SM-3MJFR,,,,,,GTEX-13VXU-0526-SM-5K7V1,
GTEX-Y9LG-0626-SM-4WWDH,GTEX-X15G-0526-SM-3NMB7,,,GTEX-1F5PK-2626-SM-7RHH6,,,,,,GTEX-1JJEA-0726-SM-CYPSN,
GTEX-17EVQ-1926-SM-7IGOF,GTEX-1LSVX-0726-SM-E9TJG,,,GTEX-P44G-0526-SM-2XCD1,,,,,,GTEX-YB5E-2426-SM-5IFIV,
GTEX-1H11D-2126-SM-9OSXM,GTEX-ZUA1-0926-SM-4YCDX,,,GTEX-14JIY-0426-SM-62LF7,,,,,,GTEX-147F4-0126-SM-5QGPV,
GTEX-WHWD-0926-SM-4OORY,GTEX-X261-0726-SM-EZ6MH,,,GTEX-1122O-2426-SM-5GIDN,,,,,,GTEX-WHPG-2326-SM-3NMBP,
GTEX-11EMC-2226-SM-5A5JW,GTEX-WFJO-0226-SM-3GIKW,,,GTEX-1RQED-0426-SM-E6CJP,,,,,,GTEX-Y8E4-1126-SM-5IFIA,
GTEX-O5YV-1026-SM-3LK72,GTEX-131XG-0226-SM-5IFG1,,,GTEX-1AX8Z-5004-SM-ARZLD,,,,,,GTEX-1HCU8-1526-SM-ADEHG,
GTEX-1LGOU-0526-SM-D3LAO,GTEX-15FZZ-0226-SM-6LLI4,,,GTEX-1HKZK-0226-SM-9WYUG,,,,,,GTEX-145MO-0626-SM-5NQAW,
GTEX-PSDG-1326-SM-48TD2,GTEX-1O9I2-1226-SM-E6CQC,,,GTEX-ZF28-0526-SM-4WKGW,,,,,,GTEX-13X6K-1926-SM-5LU4O,
GTEX-11DYG-1326-SM-5N9DO,GTEX-1R9JW-0226-SM-EVR4K,,,GTEX-11DXX-2726-SM-5PNXO,,,,,,GTEX-15CHR-0526-SM-79OLJ,
GTEX-1HKZK-1426-SM-A96U1,GTEX-14PHW-2926-SM-6AJBA,,,GTEX-13S7M-0326-SM-5S2PH,,,,,,GTEX-1R9PO-0226-SM-E6CHS,
GTEX-W5WG-1626-SM-4LMKG,GTEX-RWS6-0626-SM-2XCAS,,,GTEX-13QBU-2426-SM-5LU4L,,,,,,GTEX-WFON-2526-SM-3LK7P,
GTEX-1JMQK-1826-SM-CY8I1,GTEX-1C2JI-0326-SM-7EWFD,,,GTEX-XUYS-0326-SM-47JX2,,,,,,GTEX-1HSGN-1026-SM-CNPQ1,
GTEX-1MA7W-0426-SM-E9TJ5,GTEX-1ICLY-0726-SM-A96TB,,,GTEX-15DDE-0526-SM-6ETZQ,,,,,,GTEX-PSDG-1026-SM-48TCV,
GTEX-13FH7-0526-SM-5IJF8,GTEX-QDVJ-0226-SM-2I5FV,,,GTEX-1H3NZ-0326-SM-9MQL6,,,,,,GTEX-1F5PL-0526-SM-7PBYD,
GTEX-1399U-0626-SM-5J1NZ,GTEX-17HG3-0226-SM-7EWEA,,,GTEX-1LGRB-2626-SM-CNPPR,,,,,,GTEX-1B8KZ-2226-SM-73KYS,
GTEX-ZTPG-0726-SM-5DUXP,GTEX-139T6-0326-SM-5J2LY,,,GTEX-1F6I4-0326-SM-7P8T8,,,,,,GTEX-1NSGN-0526-SM-E9J34,
GTEX-ZZPU-0226-SM-5N9BV,GTEX-1PDJ9-0826-SM-E76PS,,,GTEX-147F3-0226-SM-5NQBV,,,,,,GTEX-QV44-2226-SM-447A3,
GTEX-1IKOE-0826-SM-ARZME,GTEX-QV31-0726-SM-3GAEG,,,GTEX-1I1GU-2126-SM-CGQF9,,,,,,GTEX-11GS4-2926-SM-5A5LF,
GTEX-QLQ7-0326-SM-DHXIO,GTEX-RM2N-0526-SM-2TF4N,,,GTEX-1B996-0326-SM-7DHMU,,,,,,GTEX-1CB4E-0426-SM-7PBY5,
GTEX-Q2AH-0626-SM-48TZJ,,,,GTEX-12WSD-0526-SM-5EQ6F,,,,,,GTEX-1339X-2626-SM-5K7YX,
GTEX-14PN3-0426-SM-6LLIY,,,,GTEX-WRHK-1626-SM-3MJFH,,,,,,GTEX-1LVAN-0426-SM-CNPPD,
GTEX-1399S-0926-SM-5PNVQ,,,,GTEX-1GMRU-0326-SM-9WYT6,,,,,,GTEX-XBED-2426-SM-4AT4O,
GTEX-WHPG-0926-SM-4M1XY,,,,GTEX-UTHO-0726-SM-3GAEN,,,,,,GTEX-1AX8Z-1426-SM-7939T,
GTEX-WK11-2426-SM-3NMAA,,,,GTEX-1I1GR-0326-SM-CKZPI,,,,,,GTEX-1HSKV-0626-SM-CNPPL,
