"","x"
"GTEX-13VXU-3026-SM-5LU3K",11
"GTEX-1HGF4-0011-R5b-SM-CM2ST",9
"GTEX-1EN7A-0011-R6b-SM-9QEHW",4
"GTEX-1B8SF-0011-R6b-SM-7MXUD",1
"GTEX-13JUV-0011-R1a-SM-5LZY4",24
"GTEX-16YQH-0011-R5b-SM-7938U",25
"GTEX-12WSC-0011-R9a-SM-5GU4U",26
"GTEX-ZDXO-0011-R2b-SM-4WKFG",3
"GTEX-12WSM-0011-R11a-SM-5DUX8",11
"GTEX-13FLV-0011-R10b-SM-5LZZ2",2
"GTEX-1PIIG-2826-SM-DTX7O",27
"GTEX-14JIY-0011-R8a-SM-6AJAP",17
"GTEX-ZAB4-0011-R9a-SM-4SOKG",28
"GTEX-1GZHY-0011-R11a-SM-C1YRQ",29
"GTEX-18464-0011-R10a-SM-72D6X",30
"GTEX-145LS-0011-R5a-SM-5SI65",23
"GTEX-13N1W-0011-R4a-SM-5MR52",17
"GTEX-X4XY-3026-SM-EWRM9",17
"GTEX-11GSP-0011-R1a-SM-9QEJ3",1
"GTEX-11DZ1-0011-R8b-SM-DNZZI",1
"GTEX-11EMC-0011-R8b-SM-DO91Z",3
"GTEX-13OW5-0011-R6b-SM-5O9BW",6
"GTEX-17EVQ-2826-SM-7IGQK",1
"GTEX-1EN7A-0011-R5a-SM-9QEH6",4
"GTEX-13N2G-0011-R2a-SM-5MR4Q",31
"GTEX-1JJ6O-0011-R11b-SM-EXUS2",32
"GTEX-15CHQ-0011-R1a-SM-COH27",8
"GTEX-1H3NZ-0011-R6b-SM-A9G1N",1
"GTEX-1F52S-0011-R7b-SM-9QEH8",4
"GTEX-1H4P4-0011-R1b-SM-CL54V",3
"GTEX-14ABY-0011-R9a-SM-5PNZK",33
"GTEX-Q2AG-0011-R11A-SM-2HMKZ",34
"GTEX-14BIN-0011-R11a-SM-5SI79",19
"GTEX-WZTO-0011-R4A-SM-3NMC7",5
"GTEX-17MF6-0011-R5a-SM-731BA",4
"GTEX-147GR-0011-R2b-SM-5S2RQ",31
"GTEX-13CF2-0011-R11b-SM-5LZXO",27
"GTEX-14ABY-0011-R5b-SM-5SI7B",1
"GTEX-16XZZ-0011-R9b-SM-7DHKX",35
"GTEX-1E1VI-0011-R4b-SM-9QEHV",6
"GTEX-13OVJ-2826-SM-5L3GW",8
"GTEX-WHSE-0011-R10A-SM-EYYVG",2
"GTEX-15SHU-3026-SM-6LPIB",19
"GTEX-1C6VR-0011-R6a-SM-7MXU8",1
"GTEX-WWYW-0011-R5A-SM-3NB3E",36
"GTEX-1IY9M-0011-R9b-SM-D3L8J",35
"GTEX-1F75B-0011-R5a-SM-9QEHC",37
"GTEX-1GN2E-3026-SM-9WG6I",1
"GTEX-13FHO-2926-SM-5L3ES",38
"GTEX-ZVZQ-0011-R11a-SM-51MS6",27
"GTEX-NL4W-0011-R5a-SM-2I3GD",9
"GTEX-T2IS-0011-R3A-SM-32QPB",5
"GTEX-1A3MX-0011-R8a-SM-7P8PI",39
"GTEX-Y8DK-0011-R8B-SM-EYYVQ",3
"GTEX-ZZPT-3026-SM-5GZXH",1
"GTEX-12ZZX-0011-R10b-SM-5DUWK",40
"GTEX-1ICLZ-0011-R8b-SM-ACKX4",31
"GTEX-13FLV-0011-R6a-SM-5KLZ4",17
"GTEX-14ASI-0011-R1b-SM-5S2TY",36
"GTEX-QMR6-0011-R2A-SM-32PKV",31
"GTEX-13G51-0011-R7b-SM-5LZXG",8
"GTEX-1C6WA-0011-R5a-SM-9WG5X",1
"GTEX-XAJ8-0826-SM-47JY6",41
"GTEX-15RIG-0226-SM-7KFTL",41
"GTEX-12KS4-0326-SM-5EQ41",41
"GTEX-13CF3-2426-SM-5IFGX",42
"GTEX-15G1A-0008-SM-E76Q5",43
"GTEX-12WSJ-1826-SM-5GCNY",41
"GTEX-R53T-0008-SM-48FEW",4
"GTEX-QXCU-0008-SM-48FCH",44
"GTEX-ZVZP-0008-SM-51MSX",43
"GTEX-V1D1-2226-SM-3NMAX",45
"GTEX-1LKK1-2626-SM-DKPQE",42
"GTEX-16MT8-0426-SM-7KUEY",45
"GTEX-P4PP-0008-SM-48TDV",44
"GTEX-1LB8K-0726-SM-D5OV2",41
"GTEX-15SKB-2826-SM-6PAMH",41
"GTEX-17EUY-0426-SM-793BD",41
"GTEX-YEC4-0008-SM-4W1YR",46
"GTEX-1H1DG-0126-SM-9WYU2",41
"GTEX-14A6H-2026-SM-5Q5DD",42
"GTEX-1IE54-0126-SM-CMKHW",45
"GTEX-14XAO-1226-SM-6EU1C",47
"GTEX-X5EB-0008-SM-46MU3",48
"GTEX-1MJK3-0726-SM-E6CJC",49
"GTEX-NL3H-0008-SM-4E3HU",46
"GTEX-133LE-1826-SM-5J1MV",41
"GTEX-12696-0008-SM-5TDBX",43
"GTEX-14JG6-1426-SM-9WG7C",50
"GTEX-1LB8K-0226-SM-EWRNW",51
"GTEX-15CHC-0008-SM-E9U4J",52
"GTEX-XQ8I-0426-SM-4BOPO",41
"GTEX-1CAMR-1926-SM-7EPI2",53
"GTEX-ZT9X-1526-SM-5DUXD",41
"GTEX-147F3-1726-SM-5SIAW",42
"GTEX-18QFQ-0008-SM-EAZD7",52
"GTEX-ZUA1-2626-SM-5NQ92",54
"GTEX-18A7B-0008-SM-EAZBQ",43
"GTEX-X5EB-1926-SM-4E3IW",42
"GTEX-13U4I-2226-SM-5LU5H",47
"GTEX-QDT8-0126-SM-48TZ1",47
"GTEX-1LG7Y-0526-SM-DKPQC",55
