MEmidnightblue,MEred,MEgreen,MEblack,MEblue,MEsalmon,MEturquoise,MEcyan,MEbrown,MEtan,MEgreenyellow,MEpink,MEyellow,MEmagenta,MEpurple,MEgrey
,ENSG00000134020,ENSG00000226250,ENSG00000174963,ENSG00000276631,ENSG00000188483,ENSG00000118217,,ENSG00000264177,,ENSG00000146670,ENSG00000117862,ENSG00000177669,,ENSG00000237111,ENSG00000101574
,ENSG00000234814,ENSG00000265766,ENSG00000259222,ENSG00000276809,ENSG00000205795,ENSG00000164306,,ENSG00000136697,,ENSG00000174930,ENSG00000124571,ENSG00000141506,,,ENSG00000151239
,ENSG00000115896,ENSG00000228123,ENSG00000268455,ENSG00000102226,ENSG00000274128,ENSG00000124222,,ENSG00000269516,,ENSG00000096996,ENSG00000170606,ENSG00000007264,,,ENSG00000261468
,ENSG00000082641,ENSG00000248555,ENSG00000283583,ENSG00000151023,ENSG00000077782,ENSG00000011009,,ENSG00000280587,,ENSG00000255428,ENSG00000115368,ENSG00000279202,,,ENSG00000260808
,ENSG00000134056,ENSG00000232596,ENSG00000233082,ENSG00000177380,ENSG00000213145,ENSG00000271851,,ENSG00000253608,,ENSG00000231881,ENSG00000221829,ENSG00000263528,,,ENSG00000224138
,ENSG00000259961,ENSG00000237850,ENSG00000168781,ENSG00000160781,ENSG00000181619,ENSG00000267834,,ENSG00000230638,,,ENSG00000164933,ENSG00000271503,,,ENSG00000245680
,ENSG00000258952,ENSG00000233417,ENSG00000268182,ENSG00000235711,ENSG00000149201,ENSG00000004700,,ENSG00000267409,,,ENSG00000279942,ENSG00000198736,,,ENSG00000152492
,ENSG00000170276,ENSG00000206026,ENSG00000204248,ENSG00000261411,ENSG00000182247,ENSG00000146540,,ENSG00000137675,,,ENSG00000181924,ENSG00000115165,,,ENSG00000148358
,ENSG00000196792,ENSG00000249727,ENSG00000105467,ENSG00000173581,ENSG00000253731,ENSG00000164010,,ENSG00000123600,,,ENSG00000128973,ENSG00000215529,,,ENSG00000186283
,ENSG00000130595,ENSG00000189375,ENSG00000176049,ENSG00000273233,ENSG00000112218,ENSG00000270048,,ENSG00000174788,,,ENSG00000043514,ENSG00000240671,,,ENSG00000249592
,ENSG00000219186,ENSG00000104755,ENSG00000267786,ENSG00000196972,ENSG00000144645,ENSG00000272226,,ENSG00000197822,,,ENSG00000152348,ENSG00000211881,,,ENSG00000254691
,ENSG00000230479,ENSG00000262352,ENSG00000167964,ENSG00000255268,ENSG00000162591,ENSG00000064490,,ENSG00000276850,,,ENSG00000116580,ENSG00000140678,,,ENSG00000185621
,ENSG00000107537,ENSG00000244321,ENSG00000272203,ENSG00000121335,ENSG00000253373,ENSG00000099910,,ENSG00000276542,,,ENSG00000255893,ENSG00000168310,,,ENSG00000198270
,ENSG00000107758,ENSG00000204669,ENSG00000159409,ENSG00000283078,ENSG00000136378,ENSG00000268043,,ENSG00000172382,,,ENSG00000134255,ENSG00000104915,,,ENSG00000147804
,ENSG00000267809,ENSG00000257476,ENSG00000269814,ENSG00000164627,ENSG00000137166,ENSG00000101574,,ENSG00000075275,,,ENSG00000111669,ENSG00000279933,,,ENSG00000058085
,ENSG00000104131,ENSG00000256888,ENSG00000250050,ENSG00000164199,ENSG00000152404,ENSG00000151239,,ENSG00000143367,,,ENSG00000011143,ENSG00000253483,,,ENSG00000283317
,ENSG00000152642,ENSG00000165076,ENSG00000203930,ENSG00000205899,ENSG00000167941,ENSG00000261468,,ENSG00000281097,,,ENSG00000163867,ENSG00000172890,,,ENSG00000270061
,ENSG00000125166,ENSG00000261046,ENSG00000102466,ENSG00000178233,ENSG00000196616,ENSG00000260808,,ENSG00000263528,,,ENSG00000135336,ENSG00000203644,,,ENSG00000188185
,ENSG00000019995,ENSG00000177910,ENSG00000129244,ENSG00000227835,ENSG00000261363,ENSG00000224138,,ENSG00000088386,,,ENSG00000156398,ENSG00000213073,,,ENSG00000268858
,ENSG00000165912,ENSG00000232624,ENSG00000215467,ENSG00000182700,ENSG00000256650,ENSG00000245680,,ENSG00000279954,,,ENSG00000134057,ENSG00000244437,,,ENSG00000243323
,ENSG00000225710,ENSG00000234551,ENSG00000119283,ENSG00000198668,ENSG00000128595,ENSG00000152492,,ENSG00000139151,,,ENSG00000155827,ENSG00000183508,,,ENSG00000280739
,ENSG00000198612,ENSG00000280580,ENSG00000272420,ENSG00000198870,ENSG00000251314,ENSG00000260314,,ENSG00000241635,,,ENSG00000279500,ENSG00000167895,,,ENSG00000134884
,ENSG00000060656,ENSG00000234474,ENSG00000151025,ENSG00000255224,ENSG00000110696,ENSG00000148358,,ENSG00000065361,,,ENSG00000130818,ENSG00000196866,,,ENSG00000246582
,ENSG00000178104,ENSG00000258368,ENSG00000259425,ENSG00000212864,ENSG00000248551,ENSG00000186283,,ENSG00000165591,,,ENSG00000107833,ENSG00000173846,,,ENSG00000094916
,ENSG00000253115,ENSG00000200197,ENSG00000185774,ENSG00000187398,ENSG00000173698,ENSG00000139977,,ENSG00000178078,,,ENSG00000176148,ENSG00000242583,,,ENSG00000136152
,ENSG00000102763,ENSG00000259966,ENSG00000105255,ENSG00000173805,ENSG00000172201,ENSG00000249592,,ENSG00000035115,,,ENSG00000204604,ENSG00000283602,,,ENSG00000130332
