MEmidnightblue,MEred,MEgreen,MEblack,MEblue,MEsalmon,MEturquoise,MEcyan,MEbrown,MEtan,MEgreenyellow,MEpink,MEyellow,MEmagenta,MEpurple,MEgrey
,,,,,,ENSG00000142937,,,,,ENSG00000145216,,,,ENSG00000107929
,,,,,,ENSG00000149636,,,,,ENSG00000123136,,,,ENSG00000267002
,,,,,,ENSG00000272601,,,,,ENSG00000231074,,,,ENSG00000263586
,,,,,,ENSG00000111665,,,,,ENSG00000278986,,,,ENSG00000131876
,,,,,,ENSG00000273210,,,,,ENSG00000171940,,,,ENSG00000203497
,,,,,,ENSG00000180008,,,,,ENSG00000030110,,,,ENSG00000237836
,,,,,,ENSG00000173581,,,,,ENSG00000196460,,,,ENSG00000196562
,,,,,,ENSG00000145348,,,,,ENSG00000143476,,,,ENSG00000119777
,,,,,,ENSG00000279233,,,,,ENSG00000111845,,,,ENSG00000271964
,,,,,,ENSG00000248265,,,,,ENSG00000204315,,,,ENSG00000124549
,,,,,,ENSG00000168944,,,,,ENSG00000146670,,,,ENSG00000267119
,,,,,,ENSG00000184743,,,,,ENSG00000226784,,,,ENSG00000257964
,,,,,,ENSG00000280169,,,,,ENSG00000204628,,,,ENSG00000144362
,,,,,,ENSG00000225200,,,,,ENSG00000186222,,,,ENSG00000244226
,,,,,,ENSG00000197054,,,,,ENSG00000187522,,,,ENSG00000277194
,,,,,,ENSG00000248441,,,,,ENSG00000083845,,,,ENSG00000261879
,,,,,,ENSG00000259158,,,,,ENSG00000082126,,,,ENSG00000015532
,,,,,,ENSG00000203780,,,,,ENSG00000232098,,,,ENSG00000279432
,,,,,,ENSG00000276728,,,,,ENSG00000178074,,,,ENSG00000197363
,,,,,,ENSG00000262663,,,,,ENSG00000000419,,,,ENSG00000143367
,,,,,,ENSG00000053770,,,,,ENSG00000140694,,,,ENSG00000272502
,,,,,,ENSG00000274723,,,,,ENSG00000184635,,,,ENSG00000179562
,,,,,,ENSG00000153165,,,,,ENSG00000176124,,,,ENSG00000213398
,,,,,,ENSG00000204262,,,,,ENSG00000122958,,,,ENSG00000279382
,,,,,,ENSG00000129315,,,,,ENSG00000279114,,,,ENSG00000263528
,,,,,,ENSG00000273001,,,,,ENSG00000085449,,,,ENSG00000179044
,,,,,,ENSG00000197226,,,,,ENSG00000152147,,,,ENSG00000111737
,,,,,,ENSG00000224420,,,,,ENSG00000198492,,,,ENSG00000106344
,,,,,,ENSG00000139926,,,,,ENSG00000159322,,,,ENSG00000113712
,,,,,,ENSG00000248734,,,,,ENSG00000114779,,,,ENSG00000125877
,,,,,,ENSG00000223547,,,,,ENSG00000137804,,,,ENSG00000186166
,,,,,,ENSG00000258727,,,,,ENSG00000147996,,,,ENSG00000273899
,,,,,,ENSG00000182993,,,,,ENSG00000046651,,,,ENSG00000235481
,,,,,,ENSG00000142507,,,,,ENSG00000185624,,,,ENSG00000134283
,,,,,,ENSG00000092421,,,,,ENSG00000267201,,,,ENSG00000279672
,,,,,,ENSG00000166821,,,,,ENSG00000123352,,,,ENSG00000200091
,,,,,,ENSG00000139304,,,,,ENSG00000184995,,,,ENSG00000110429
,,,,,,ENSG00000125304,,,,,ENSG00000157426,,,,ENSG00000165591
,,,,,,ENSG00000185829,,,,,ENSG00000164190,,,,ENSG00000229759
,,,,,,ENSG00000140750,,,,,ENSG00000145388,,,,ENSG00000099904
,,,,,,ENSG00000273253,,,,,ENSG00000140262,,,,ENSG00000145996
,,,,,,ENSG00000131148,,,,,ENSG00000227598,,,,ENSG00000245970
,,,,,,ENSG00000187824,,,,,ENSG00000071082,,,,ENSG00000178078
,,,,,,ENSG00000125944,,,,,ENSG00000124333,,,,ENSG00000048707
,,,,,,ENSG00000214455,,,,,ENSG00000200087,,,,ENSG00000155561
,,,,,,ENSG00000128159,,,,,,,,,ENSG00000035115
,,,,,,ENSG00000149541,,,,,,,,,ENSG00000005156
,,,,,,ENSG00000100201,,,,,,,,,ENSG00000109270
,,,,,,ENSG00000179630,,,,,,,,,ENSG00000164975
,,,,,,ENSG00000222448,,,,,,,,,ENSG00000177951
,,,,,,ENSG00000048991,,,,,,,,,ENSG00000185013
,,,,,,ENSG00000151576,,,,,,,,,ENSG00000246174
,,,,,,ENSG00000102401,,,,,,,,,ENSG00000096093
,,,,,,ENSG00000070018,,,,,,,,,ENSG00000168310
,,,,,,ENSG00000228653,,,,,,,,,ENSG00000134453
,,,,,,ENSG00000180611,,,,,,,,,ENSG00000142330
,,,,,,ENSG00000232901,,,,,,,,,ENSG00000104915
,,,,,,ENSG00000168538,,,,,,,,,ENSG00000076650
,,,,,,ENSG00000183291,,,,,,,,,ENSG00000127124
,,,,,,ENSG00000261056,,,,,,,,,ENSG00000259767
,,,,,,ENSG00000136933,,,,,,,,,ENSG00000151503
,,,,,,ENSG00000107937,,,,,,,,,ENSG00000102531
,,,,,,ENSG00000123600,,,,,,,,,ENSG00000196074
,,,,,,ENSG00000196597,,,,,,,,,ENSG00000122390
,,,,,,ENSG00000267796,,,,,,,,,ENSG00000112159
,,,,,,ENSG00000140307,,,,,,,,,ENSG00000140995
,,,,,,ENSG00000248126,,,,,,,,,ENSG00000246089
,,,,,,ENSG00000079432,,,,,,,,,ENSG00000164180
,,,,,,ENSG00000154814,,,,,,,,,ENSG00000176978
,,,,,,ENSG00000128709,,,,,,,,,ENSG00000252355
,,,,,,ENSG00000104412,,,,,,,,,ENSG00000172890
,,,,,,ENSG00000278921,,,,,,,,,ENSG00000213145
,,,,,,ENSG00000255423,,,,,,,,,ENSG00000131400
,,,,,,ENSG00000163877,,,,,,,,,ENSG00000203644
,,,,,,ENSG00000101040,,,,,,,,,ENSG00000213073
,,,,,,ENSG00000175387,,,,,,,,,ENSG00000271204
,,,,,,ENSG00000177728,,,,,,,,,ENSG00000167699
,,,,,,ENSG00000168710,,,,,,,,,ENSG00000243650
,,,,,,ENSG00000214078,,,,,,,,,ENSG00000163902
,,,,,,ENSG00000215915,,,,,,,,,ENSG00000185024
,,,,,,ENSG00000147421,,,,,,,,,ENSG00000183833
,,,,,,ENSG00000196312,,,,,,,,,ENSG00000227370
,,,,,,ENSG00000103047,,,,,,,,,ENSG00000165923
,,,,,,ENSG00000182700,,,,,,,,,ENSG00000205209
,,,,,,ENSG00000200779,,,,,,,,,ENSG00000134575
,,,,,,ENSG00000198870,,,,,,,,,ENSG00000131748
,,,,,,ENSG00000181852,,,,,,,,,ENSG00000146872
,,,,,,ENSG00000134644,,,,,,,,,ENSG00000155508
,,,,,,ENSG00000267213,,,,,,,,,ENSG00000005206
,,,,,,ENSG00000246067,,,,,,,,,ENSG00000144567
,,,,,,ENSG00000113273,,,,,,,,,ENSG00000132286
,,,,,,ENSG00000277245,,,,,,,,,ENSG00000131378
,,,,,,ENSG00000254433,,,,,,,,,ENSG00000224975
,,,,,,ENSG00000235513,,,,,,,,,ENSG00000071994
,,,,,,ENSG00000204519,,,,,,,,,ENSG00000173846
,,,,,,ENSG00000123737,,,,,,,,,ENSG00000277324
,,,,,,ENSG00000167491,,,,,,,,,ENSG00000241549
,,,,,,ENSG00000168894,,,,,,,,,ENSG00000203435
,,,,,,ENSG00000105971,,,,,,,,,ENSG00000262652
,,,,,,ENSG00000205544,,,,,,,,,ENSG00000117000
,,,,,,ENSG00000023734,,,,,,,,,ENSG00000138617
,,,,,,ENSG00000107929,,,,,,,,,ENSG00000189308
,,,,,,ENSG00000267002,,,,,,,,,ENSG00000256294
,,,,,,ENSG00000180881,,,,,,,,,ENSG00000167395
,,,,,,ENSG00000179071,,,,,,,,,ENSG00000119599
,,,,,,ENSG00000263586,,,,,,,,,ENSG00000187266
,,,,,,ENSG00000143341,,,,,,,,,ENSG00000259453
,,,,,,ENSG00000131876,,,,,,,,,ENSG00000281357
,,,,,,ENSG00000108439,,,,,,,,,ENSG00000137656
,,,,,,ENSG00000099942,,,,,,,,,ENSG00000144645
,,,,,,ENSG00000237836,,,,,,,,,ENSG00000162591
,,,,,,ENSG00000196562,,,,,,,,,ENSG00000278527
,,,,,,ENSG00000119777,,,,,,,,,ENSG00000204305
,,,,,,ENSG00000114554,,,,,,,,,ENSG00000140931
,,,,,,ENSG00000124549,,,,,,,,,ENSG00000279283
,,,,,,ENSG00000267119,,,,,,,,,ENSG00000177084
,,,,,,ENSG00000257964,,,,,,,,,ENSG00000149346
,,,,,,ENSG00000144362,,,,,,,,,ENSG00000137166
,,,,,,ENSG00000131467,,,,,,,,,ENSG00000152404
,,,,,,ENSG00000277194,,,,,,,,,ENSG00000146904
,,,,,,ENSG00000261879,,,,,,,,,ENSG00000132906
,,,,,,ENSG00000158122,,,,,,,,,ENSG00000227500
,,,,,,ENSG00000126767,,,,,,,,,ENSG00000235919
,,,,,,ENSG00000015532,,,,,,,,,ENSG00000125651
,,,,,,ENSG00000197363,,,,,,,,,ENSG00000186765
,,,,,,ENSG00000143367,,,,,,,,,ENSG00000172869
,,,,,,ENSG00000101132,,,,,,,,,ENSG00000064012
,,,,,,ENSG00000119638,,,,,,,,,ENSG00000234617
,,,,,,ENSG00000179562,,,,,,,,,ENSG00000196367
,,,,,,ENSG00000213398,,,,,,,,,ENSG00000156860
,,,,,,ENSG00000204406,,,,,,,,,ENSG00000206910
,,,,,,ENSG00000144320,,,,,,,,,ENSG00000101230
,,,,,,ENSG00000279382,,,,,,,,,ENSG00000172201
,,,,,,ENSG00000134049,,,,,,,,,ENSG00000130066
,,,,,,ENSG00000132481,,,,,,,,,ENSG00000151332
,,,,,,ENSG00000179044,,,,,,,,,ENSG00000234040
,,,,,,ENSG00000176101,,,,,,,,,ENSG00000184084
,,,,,,ENSG00000255568,,,,,,,,,ENSG00000270706
,,,,,,ENSG00000112640,,,,,,,,,ENSG00000176896
,,,,,,ENSG00000111737,,,,,,,,,ENSG00000105497
,,,,,,ENSG00000106344,,,,,,,,,ENSG00000231234
,,,,,,ENSG00000113712,,,,,,,,,ENSG00000245556
,,,,,,ENSG00000125877,,,,,,,,,ENSG00000185246
,,,,,,ENSG00000261051,,,,,,,,,ENSG00000170248
,,,,,,ENSG00000120509,,,,,,,,,ENSG00000259876
,,,,,,ENSG00000186166,,,,,,,,,ENSG00000165819
,,,,,,ENSG00000273899,,,,,,,,,ENSG00000244378
,,,,,,ENSG00000168661,,,,,,,,,ENSG00000257403
,,,,,,ENSG00000134283,,,,,,,,,ENSG00000244161
,,,,,,ENSG00000116161,,,,,,,,,ENSG00000236474
,,,,,,ENSG00000112759,,,,,,,,,ENSG00000146826
,,,,,,ENSG00000279672,,,,,,,,,ENSG00000182158
,,,,,,ENSG00000271833,,,,,,,,,ENSG00000172171
,,,,,,ENSG00000110429,,,,,,,,,ENSG00000101782
,,,,,,ENSG00000130997,,,,,,,,,ENSG00000262246
,,,,,,ENSG00000175198,,,,,,,,,ENSG00000252759
,,,,,,ENSG00000271155,,,,,,,,,ENSG00000103043
,,,,,,ENSG00000188483,,,,,,,,,ENSG00000126391
,,,,,,ENSG00000099904,,,,,,,,,ENSG00000249348
,,,,,,ENSG00000145996,,,,,,,,,ENSG00000257671
,,,,,,ENSG00000245970,,,,,,,,,ENSG00000109079
,,,,,,ENSG00000145723,,,,,,,,,ENSG00000165417
,,,,,,ENSG00000048707,,,,,,,,,ENSG00000076928
,,,,,,ENSG00000140025,,,,,,,,,ENSG00000274922
,,,,,,ENSG00000155561,,,,,,,,,ENSG00000240373
,,,,,,ENSG00000035115,,,,,,,,,ENSG00000224796
,,,,,,ENSG00000005156,,,,,,,,,ENSG00000182979
,,,,,,ENSG00000205795,,,,,,,,,ENSG00000281649
,,,,,,ENSG00000109270,,,,,,,,,ENSG00000170004
,,,,,,ENSG00000164975,,,,,,,,,ENSG00000111012
,,,,,,ENSG00000122565,,,,,,,,,ENSG00000274471
,,,,,,ENSG00000177951,,,,,,,,,ENSG00000267322
,,,,,,ENSG00000185013,,,,,,,,,ENSG00000258904
,,,,,,ENSG00000174996,,,,,,,,,ENSG00000254855
,,,,,,ENSG00000246174,,,,,,,,,ENSG00000124357
,,,,,,ENSG00000096093,,,,,,,,,ENSG00000267724
,,,,,,ENSG00000168310,,,,,,,,,ENSG00000179967
,,,,,,ENSG00000164091,,,,,,,,,ENSG00000231305
,,,,,,ENSG00000134453,,,,,,,,,ENSG00000272791
,,,,,,ENSG00000084444,,,,,,,,,ENSG00000283355
,,,,,,ENSG00000142330,,,,,,,,,ENSG00000145216
,,,,,,ENSG00000076650,,,,,,,,,ENSG00000237938
,,,,,,ENSG00000198753,,,,,,,,,ENSG00000167716
,,,,,,ENSG00000127124,,,,,,,,,ENSG00000208772
,,,,,,ENSG00000278899,,,,,,,,,ENSG00000123136
,,,,,,ENSG00000259767,,,,,,,,,ENSG00000231074
,,,,,,ENSG00000278175,,,,,,,,,ENSG00000166888
,,,,,,ENSG00000151503,,,,,,,,,ENSG00000273015
,,,,,,ENSG00000102531,,,,,,,,,ENSG00000232713
,,,,,,ENSG00000163006,,,,,,,,,ENSG00000171940
,,,,,,ENSG00000196074,,,,,,,,,ENSG00000269001
,,,,,,ENSG00000077782,,,,,,,,,ENSG00000240429
,,,,,,ENSG00000122390,,,,,,,,,ENSG00000028528
,,,,,,ENSG00000103042,,,,,,,,,ENSG00000171943
,,,,,,ENSG00000112599,,,,,,,,,ENSG00000267080
,,,,,,ENSG00000112159,,,,,,,,,ENSG00000271941
,,,,,,ENSG00000140995,,,,,,,,,ENSG00000277986
,,,,,,ENSG00000246089,,,,,,,,,ENSG00000260236
,,,,,,ENSG00000164180,,,,,,,,,ENSG00000163660
,,,,,,ENSG00000176978,,,,,,,,,ENSG00000171365
,,,,,,ENSG00000252355,,,,,,,,,ENSG00000096746
,,,,,,ENSG00000172890,,,,,,,,,ENSG00000204315
,,,,,,ENSG00000261783,,,,,,,,,ENSG00000204628
,,,,,,ENSG00000131400,,,,,,,,,ENSG00000120332
,,,,,,ENSG00000203644,,,,,,,,,ENSG00000234509
,,,,,,ENSG00000228889,,,,,,,,,ENSG00000233033
,,,,,,ENSG00000167699,,,,,,,,,ENSG00000186222
,,,,,,ENSG00000130707,,,,,,,,,ENSG00000166900
,,,,,,ENSG00000176105,,,,,,,,,ENSG00000198369
,,,,,,ENSG00000181619,,,,,,,,,ENSG00000071967
,,,,,,ENSG00000198908,,,,,,,,,ENSG00000229419
,,,,,,ENSG00000149201,,,,,,,,,ENSG00000174137
,,,,,,ENSG00000238082,,,,,,,,,ENSG00000242615
,,,,,,ENSG00000163902,,,,,,,,,ENSG00000083845
,,,,,,ENSG00000120533,,,,,,,,,ENSG00000167216
,,,,,,ENSG00000196792,,,,,,,,,ENSG00000143554
,,,,,,ENSG00000185024,,,,,,,,,ENSG00000013374
,,,,,,ENSG00000183833,,,,,,,,,ENSG00000232098
,,,,,,ENSG00000227370,,,,,,,,,ENSG00000223697
,,,,,,ENSG00000182247,,,,,,,,,ENSG00000113971
,,,,,,ENSG00000134874,,,,,,,,,ENSG00000260367
,,,,,,ENSG00000135720,,,,,,,,,ENSG00000272341
,,,,,,ENSG00000165923,,,,,,,,,ENSG00000259544
,,,,,,ENSG00000205209,,,,,,,,,ENSG00000140694
,,,,,,ENSG00000134575,,,,,,,,,ENSG00000184635
,,,,,,ENSG00000131748,,,,,,,,,ENSG00000153832
,,,,,,ENSG00000146872,,,,,,,,,ENSG00000122958
,,,,,,ENSG00000108064,,,,,,,,,ENSG00000085449
,,,,,,ENSG00000275580,,,,,,,,,ENSG00000123607
,,,,,,ENSG00000253731,,,,,,,,,ENSG00000169499
,,,,,,ENSG00000155508,,,,,,,,,ENSG00000230982
,,,,,,ENSG00000133119,,,,,,,,,ENSG00000198492
,,,,,,ENSG00000005206,,,,,,,,,ENSG00000204946
,,,,,,ENSG00000144567,,,,,,,,,ENSG00000173124
,,,,,,ENSG00000174456,,,,,,,,,ENSG00000106571
,,,,,,ENSG00000132286,,,,,,,,,ENSG00000159322
,,,,,,ENSG00000131378,,,,,,,,,ENSG00000116032
,,,,,,ENSG00000175575,,,,,,,,,ENSG00000160588
,,,,,,ENSG00000224975,,,,,,,,,ENSG00000235681
,,,,,,ENSG00000136011,,,,,,,,,ENSG00000106804
,,,,,,ENSG00000071994,,,,,,,,,ENSG00000114779
,,,,,,ENSG00000277324,,,,,,,,,ENSG00000147996
,,,,,,ENSG00000241549,,,,,,,,,ENSG00000250365
,,,,,,ENSG00000262652,,,,,,,,,ENSG00000140464
,,,,,,ENSG00000153485,,,,,,,,,ENSG00000046651
,,,,,,ENSG00000117000,,,,,,,,,ENSG00000261243
,,,,,,ENSG00000254064,,,,,,,,,ENSG00000269982
,,,,,,ENSG00000255517,,,,,,,,,ENSG00000271141
,,,,,,ENSG00000138617,,,,,,,,,ENSG00000123352
,,,,,,ENSG00000189308,,,,,,,,,ENSG00000244219
,,,,,,ENSG00000256294,,,,,,,,,ENSG00000157426
,,,,,,ENSG00000167395,,,,,,,,,ENSG00000185404
,,,,,,ENSG00000119599,,,,,,,,,ENSG00000205643
,,,,,,ENSG00000187266,,,,,,,,,ENSG00000125089
,,,,,,ENSG00000180185,,,,,,,,,ENSG00000207445
,,,,,,ENSG00000084234,,,,,,,,,ENSG00000164190
,,,,,,ENSG00000281357,,,,,,,,,ENSG00000145388
,,,,,,ENSG00000106610,,,,,,,,,ENSG00000245146
,,,,,,ENSG00000112218,,,,,,,,,ENSG00000270761
,,,,,,ENSG00000137656,,,,,,,,,ENSG00000115421
,,,,,,ENSG00000144645,,,,,,,,,ENSG00000279129
,,,,,,ENSG00000107758,,,,,,,,,ENSG00000255443
,,,,,,ENSG00000162591,,,,,,,,,ENSG00000182831
,,,,,,ENSG00000142444,,,,,,,,,ENSG00000201499
,,,,,,ENSG00000278527,,,,,,,,,ENSG00000140262
,,,,,,ENSG00000243279,,,,,,,,,ENSG00000161542
,,,,,,ENSG00000132394,,,,,,,,,ENSG00000232075
,,,,,,ENSG00000204305,,,,,,,,,ENSG00000118855
,,,,,,ENSG00000280351,,,,,,,,,ENSG00000200087
,,,,,,ENSG00000079482,,,,,,,,,
,,,,,,ENSG00000088256,,,,,,,,,
,,,,,,ENSG00000272081,,,,,,,,,
,,,,,,ENSG00000106263,,,,,,,,,
,,,,,,ENSG00000188636,,,,,,,,,
,,,,,,ENSG00000168646,,,,,,,,,
,,,,,,ENSG00000277459,,,,,,,,,
,,,,,,ENSG00000083099,,,,,,,,,
,,,,,,ENSG00000177084,,,,,,,,,
,,,,,,ENSG00000149346,,,,,,,,,
,,,,,,ENSG00000104131,,,,,,,,,
,,,,,,ENSG00000137166,,,,,,,,,
,,,,,,ENSG00000152404,,,,,,,,,
,,,,,,ENSG00000049449,,,,,,,,,
,,,,,,ENSG00000279649,,,,,,,,,
,,,,,,ENSG00000273702,,,,,,,,,
,,,,,,ENSG00000196616,,,,,,,,,
,,,,,,ENSG00000132906,,,,,,,,,
,,,,,,ENSG00000236548,,,,,,,,,
,,,,,,ENSG00000254837,,,,,,,,,
,,,,,,ENSG00000183617,,,,,,,,,
,,,,,,ENSG00000278000,,,,,,,,,
,,,,,,ENSG00000227500,,,,,,,,,
,,,,,,ENSG00000235919,,,,,,,,,
,,,,,,ENSG00000125651,,,,,,,,,
,,,,,,ENSG00000186765,,,,,,,,,
,,,,,,ENSG00000172869,,,,,,,,,
,,,,,,ENSG00000128595,,,,,,,,,
,,,,,,ENSG00000234617,,,,,,,,,
,,,,,,ENSG00000110696,,,,,,,,,
,,,,,,ENSG00000196367,,,,,,,,,
,,,,,,ENSG00000156860,,,,,,,,,
,,,,,,ENSG00000206910,,,,,,,,,
,,,,,,ENSG00000101230,,,,,,,,,
,,,,,,ENSG00000232859,,,,,,,,,
,,,,,,ENSG00000173698,,,,,,,,,
,,,,,,ENSG00000136859,,,,,,,,,
,,,,,,ENSG00000172201,,,,,,,,,
,,,,,,ENSG00000183431,,,,,,,,,
,,,,,,ENSG00000151332,,,,,,,,,
,,,,,,ENSG00000168781,,,,,,,,,
,,,,,,ENSG00000269113,,,,,,,,,
,,,,,,ENSG00000238363,,,,,,,,,
,,,,,,ENSG00000099256,,,,,,,,,
,,,,,,ENSG00000232333,,,,,,,,,
,,,,,,ENSG00000176896,,,,,,,,,
,,,,,,ENSG00000105497,,,,,,,,,
,,,,,,ENSG00000119403,,,,,,,,,
,,,,,,ENSG00000231234,,,,,,,,,
,,,,,,ENSG00000179886,,,,,,,,,
,,,,,,ENSG00000245556,,,,,,,,,
,,,,,,ENSG00000185246,,,,,,,,,
,,,,,,ENSG00000171444,,,,,,,,,
,,,,,,ENSG00000170248,,,,,,,,,
,,,,,,ENSG00000136824,,,,,,,,,
,,,,,,ENSG00000165819,,,,,,,,,
,,,,,,ENSG00000110104,,,,,,,,,
,,,,,,ENSG00000224769,,,,,,,,,
,,,,,,ENSG00000166664,,,,,,,,,
,,,,,,ENSG00000072958,,,,,,,,,
,,,,,,ENSG00000105568,,,,,,,,,
,,,,,,ENSG00000257403,,,,,,,,,
,,,,,,ENSG00000155506,,,,,,,,,
,,,,,,ENSG00000088888,,,,,,,,,
,,,,,,ENSG00000244161,,,,,,,,,
,,,,,,ENSG00000182158,,,,,,,,,
,,,,,,ENSG00000172171,,,,,,,,,
,,,,,,ENSG00000019995,,,,,,,,,
,,,,,,ENSG00000113262,,,,,,,,,
,,,,,,ENSG00000103043,,,,,,,,,
,,,,,,ENSG00000126391,,,,,,,,,
,,,,,,ENSG00000249348,,,,,,,,,
,,,,,,ENSG00000257671,,,,,,,,,
,,,,,,ENSG00000109079,,,,,,,,,
,,,,,,ENSG00000165417,,,,,,,,,
,,,,,,ENSG00000230185,,,,,,,,,
,,,,,,ENSG00000240373,,,,,,,,,
,,,,,,ENSG00000182979,,,,,,,,,
,,,,,,ENSG00000281649,,,,,,,,,
,,,,,,ENSG00000170004,,,,,,,,,
,,,,,,ENSG00000092964,,,,,,,,,
,,,,,,ENSG00000111012,,,,,,,,,
,,,,,,ENSG00000090776,,,,,,,,,
,,,,,,ENSG00000132436,,,,,,,,,
,,,,,,ENSG00000274471,,,,,,,,,
,,,,,,ENSG00000009724,,,,,,,,,
,,,,,,ENSG00000164949,,,,,,,,,
,,,,,,ENSG00000198612,,,,,,,,,
,,,,,,ENSG00000267322,,,,,,,,,
,,,,,,ENSG00000221164,,,,,,,,,
,,,,,,ENSG00000176542,,,,,,,,,
,,,,,,ENSG00000198918,,,,,,,,,
,,,,,,ENSG00000258904,,,,,,,,,
,,,,,,ENSG00000060656,,,,,,,,,
,,,,,,ENSG00000261824,,,,,,,,,
,,,,,,ENSG00000187479,,,,,,,,,
,,,,,,ENSG00000060237,,,,,,,,,
,,,,,,ENSG00000254855,,,,,,,,,
,,,,,,ENSG00000124357,,,,,,,,,
,,,,,,ENSG00000273723,,,,,,,,,
,,,,,,ENSG00000105426,,,,,,,,,
,,,,,,ENSG00000267724,,,,,,,,,
,,,,,,ENSG00000026652,,,,,,,,,
,,,,,,ENSG00000231305,,,,,,,,,
,,,,,,ENSG00000272791,,,,,,,,,
,,,,,,ENSG00000118939,,,,,,,,,
,,,,,,ENSG00000278619,,,,,,,,,
,,,,,,ENSG00000283355,,,,,,,,,
,,,,,,ENSG00000158258,,,,,,,,,
,,,,,,ENSG00000145216,,,,,,,,,
,,,,,,ENSG00000237938,,,,,,,,,
,,,,,,ENSG00000167716,,,,,,,,,
,,,,,,ENSG00000250326,,,,,,,,,
,,,,,,ENSG00000208772,,,,,,,,,
,,,,,,ENSG00000123136,,,,,,,,,
,,,,,,ENSG00000231074,,,,,,,,,
,,,,,,ENSG00000166888,,,,,,,,,
,,,,,,ENSG00000273015,,,,,,,,,
,,,,,,ENSG00000084636,,,,,,,,,
,,,,,,ENSG00000278986,,,,,,,,,
,,,,,,ENSG00000120896,,,,,,,,,
,,,,,,ENSG00000203666,,,,,,,,,
,,,,,,ENSG00000232713,,,,,,,,,
,,,,,,ENSG00000171940,,,,,,,,,
,,,,,,ENSG00000271324,,,,,,,,,
,,,,,,ENSG00000269001,,,,,,,,,
,,,,,,ENSG00000240429,,,,,,,,,
,,,,,,ENSG00000028528,,,,,,,,,
,,,,,,ENSG00000119522,,,,,,,,,
,,,,,,ENSG00000171943,,,,,,,,,
,,,,,,ENSG00000267080,,,,,,,,,
,,,,,,ENSG00000271941,,,,,,,,,
,,,,,,ENSG00000277986,,,,,,,,,
,,,,,,ENSG00000260236,,,,,,,,,
,,,,,,ENSG00000163660,,,,,,,,,
,,,,,,ENSG00000188997,,,,,,,,,
,,,,,,ENSG00000151491,,,,,,,,,
,,,,,,ENSG00000171365,,,,,,,,,
,,,,,,ENSG00000119487,,,,,,,,,
,,,,,,ENSG00000259523,,,,,,,,,
,,,,,,ENSG00000096746,,,,,,,,,
,,,,,,ENSG00000140992,,,,,,,,,
,,,,,,ENSG00000111845,,,,,,,,,
,,,,,,ENSG00000204315,,,,,,,,,
,,,,,,ENSG00000083807,,,,,,,,,
,,,,,,ENSG00000185432,,,,,,,,,
,,,,,,ENSG00000204628,,,,,,,,,
,,,,,,ENSG00000178031,,,,,,,,,
,,,,,,ENSG00000186222,,,,,,,,,
,,,,,,ENSG00000232838,,,,,,,,,
,,,,,,ENSG00000143742,,,,,,,,,
,,,,,,ENSG00000198369,,,,,,,,,
,,,,,,ENSG00000117411,,,,,,,,,
,,,,,,ENSG00000071967,,,,,,,,,
,,,,,,ENSG00000229419,,,,,,,,,
,,,,,,ENSG00000174137,,,,,,,,,
,,,,,,ENSG00000104472,,,,,,,,,
,,,,,,ENSG00000187522,,,,,,,,,
,,,,,,ENSG00000242615,,,,,,,,,
,,,,,,ENSG00000083845,,,,,,,,,
,,,,,,ENSG00000167216,,,,,,,,,
,,,,,,ENSG00000143554,,,,,,,,,
,,,,,,ENSG00000114790,,,,,,,,,
,,,,,,ENSG00000013374,,,,,,,,,
,,,,,,ENSG00000255158,,,,,,,,,
,,,,,,ENSG00000232098,,,,,,,,,
,,,,,,ENSG00000178074,,,,,,,,,
,,,,,,ENSG00000157193,,,,,,,,,
,,,,,,ENSG00000223697,,,,,,,,,
,,,,,,ENSG00000113971,,,,,,,,,
,,,,,,ENSG00000115350,,,,,,,,,
,,,,,,ENSG00000125841,,,,,,,,,
,,,,,,ENSG00000260367,,,,,,,,,
,,,,,,ENSG00000230630,,,,,,,,,
,,,,,,ENSG00000272341,,,,,,,,,
,,,,,,ENSG00000000419,,,,,,,,,
,,,,,,ENSG00000140694,,,,,,,,,
,,,,,,ENSG00000171604,,,,,,,,,
,,,,,,ENSG00000184635,,,,,,,,,
,,,,,,ENSG00000153832,,,,,,,,,
,,,,,,ENSG00000270067,,,,,,,,,
,,,,,,ENSG00000074319,,,,,,,,,
,,,,,,ENSG00000181524,,,,,,,,,
,,,,,,ENSG00000131386,,,,,,,,,
,,,,,,ENSG00000110917,,,,,,,,,
,,,,,,ENSG00000176124,,,,,,,,,
,,,,,,ENSG00000260572,,,,,,,,,
,,,,,,ENSG00000122958,,,,,,,,,
,,,,,,ENSG00000085449,,,,,,,,,
,,,,,,ENSG00000152147,,,,,,,,,
,,,,,,ENSG00000123607,,,,,,,,,
,,,,,,ENSG00000169499,,,,,,,,,
,,,,,,ENSG00000230982,,,,,,,,,
,,,,,,ENSG00000198492,,,,,,,,,
,,,,,,ENSG00000162687,,,,,,,,,
,,,,,,ENSG00000144677,,,,,,,,,
,,,,,,ENSG00000204946,,,,,,,,,
,,,,,,ENSG00000106571,,,,,,,,,
,,,,,,ENSG00000159322,,,,,,,,,
,,,,,,ENSG00000116032,,,,,,,,,
,,,,,,ENSG00000130305,,,,,,,,,
,,,,,,ENSG00000235681,,,,,,,,,
,,,,,,ENSG00000106804,,,,,,,,,
,,,,,,ENSG00000114779,,,,,,,,,
,,,,,,ENSG00000264112,,,,,,,,,
