"","x"
"GTEX-1LB8K-0726-SM-D5OV2",23
"GTEX-15SKB-2826-SM-6PAMH",22
"GTEX-17EUY-0426-SM-793BD",29
"GTEX-YEC4-0008-SM-4W1YR",30
"GTEX-1H1DG-0126-SM-9WYU2",22
"GTEX-14A6H-2026-SM-5Q5DD",23
"GTEX-1IE54-0126-SM-CMKHW",29
"GTEX-14XAO-1226-SM-6EU1C",31
"GTEX-X5EB-0008-SM-46MU3",30
"GTEX-1MJK3-0726-SM-E6CJC",32
"GTEX-NL3H-0008-SM-4E3HU",24
"GTEX-133LE-1826-SM-5J1MV",22
"GTEX-12696-0008-SM-5TDBX",24
"GTEX-14JG6-1426-SM-9WG7C",33
"GTEX-1LB8K-0226-SM-EWRNW",22
"GTEX-15CHC-0008-SM-E9U4J",24
"GTEX-XQ8I-0426-SM-4BOPO",34
"GTEX-1CAMR-1926-SM-7EPI2",35
"GTEX-ZT9X-1526-SM-5DUXD",22
"GTEX-147F3-1726-SM-5SIAW",36
"GTEX-18QFQ-0008-SM-EAZD7",24
"GTEX-ZUA1-2626-SM-5NQ92",37
"GTEX-18A7B-0008-SM-EAZBQ",24
"GTEX-X5EB-1926-SM-4E3IW",22
"GTEX-13U4I-2226-SM-5LU5H",36
"GTEX-QDT8-0126-SM-48TZ1",38
"GTEX-1LG7Y-0526-SM-DKPQC",39
"GTEX-1M4P7-0226-SM-DIPEV",40
"GTEX-12WSF-1626-SM-7KUG5",41
"GTEX-XPT6-0008-SM-4B64Q",30
"GTEX-1JJEA-0326-SM-CNPOT",22
"GTEX-11GS4-0226-SM-5HL77",23
"GTEX-RVPV-0008-SM-47JYW",24
"GTEX-1GZ4H-0526-SM-9KNU9",27
"GTEX-1GMR2-0008-SM-EAZD1",24
"GTEX-11WQK-0008-SM-5SI6T",30
"GTEX-1JN6P-2926-SM-CL54D",29
"GTEX-QVJO-1626-SM-2S1QW",29
"GTEX-1QEPI-2626-SM-DTXF4",23
"GTEX-12BJ1-0008-SM-5TDBZ",24
"GTEX-11ZUS-0008-SM-5S2UO",24
"GTEX-17HGU-0226-SM-7DHKV",29
"GTEX-1GN1V-0126-SM-9WPOS",29
"GTEX-16MTA-0008-SM-EAZC6",24
"GTEX-1KANB-0526-SM-E6CJH",23
"GTEX-WYVS-0008-SM-4ONDY",25
"GTEX-13OVL-0126-SM-5L3GJ",42
"GTEX-1211K-2026-SM-5EQ4Z",28
"GTEX-1J1OQ-0126-SM-D4P2N",22
"GTEX-1E2YA-0126-SM-9KNUC",22
"GTEX-14BMU-1226-SM-5S2OR",34
"GTEX-132AR-0008-SM-62LDH",24
"GTEX-16A39-0008-SM-EAZC9",24
"GTEX-18D9B-0526-SM-7LTAS",29
"GTEX-X3Y1-0008-SM-4PR12",30
"GTEX-1CB4J-0626-SM-7DHMP",40
"GTEX-1CB4E-0926-SM-7EPHT",22
"GTEX-1H4P4-2126-SM-9WYSL",22
"GTEX-13JUV-2026-SM-5K7UA",43
"GTEX-1HFI7-2326-SM-CGQFS",29
"GTEX-1ICLZ-0326-SM-ARL82",27
"GTEX-11NSD-0008-SM-5Q5BC",25
"GTEX-117YX-2326-SM-5H12W",28
"GTEX-1HUB1-0426-SM-E9U4U",44
"GTEX-1AMFI-0008-SM-EVYAV",24
"GTEX-1KAFJ-2026-SM-CY8ID",22
"GTEX-1F6RS-0126-SM-9MQKZ",22
"GTEX-18465-0126-SM-731BN",22
"GTEX-1KWVE-1426-SM-E9TJO",45
"GTEX-1122O-1026-SM-9WYSF",22
"GTEX-ZE7O-0008-SM-4E3JQ",25
"GTEX-ZZPU-0826-SM-5GZX5",22
"GTEX-ZWKS-0126-SM-5SIAA",22
"GTEX-132NY-0326-SM-5IJBL",22
"GTEX-1F75I-0326-SM-9YFLU",46
"GTEX-1IDJF-0126-SM-CM2RS",22
"GTEX-XK95-0226-SM-4AT58",47
"GTEX-OIZI-0008-SM-2XCFD",25
"GTEX-1IY9M-2826-SM-ARU8H",22
"GTEX-131XH-2226-SM-5DUXJ",22
"GTEX-13X6I-0626-SM-5QGP9",29
"GTEX-ZYFD-0626-SM-5E44E",48
"GTEX-1GN2E-0426-SM-9MQKX",22
"GTEX-12WSL-2526-SM-5GCNJ",29
"GTEX-17F9E-0008-SM-EAZB5",25
"GTEX-Y5LM-0926-SM-6LLJG",49
"GTEX-1H3VE-0326-SM-9YFLH",22
"GTEX-1GL5R-1526-SM-7MKHO",50
"GTEX-1RLM8-0726-SM-E6CRH",51
"GTEX-1GF9X-0726-SM-7SB7V",52
"GTEX-P44H-1426-SM-E9U4O",53
"GTEX-15UF7-0926-SM-6M46F",54
"GTEX-12KS4-1026-SM-5FQTD",55
"GTEX-1H3NZ-1326-SM-9JGHI",56
"GTEX-13OW8-2326-SM-5L3I9",57
"GTEX-1NV8Z-2026-SM-E8VMD",53
"GTEX-1HBPM-1526-SM-A9G3H",53
"GTEX-ZLV1-0526-SM-4WWD4",58
"GTEX-RM2N-0726-SM-48FD5",59
"GTEX-13CF3-1726-SM-5LU9E",53
"GTEX-ZY6K-0526-SM-5GZY9",53
"GTEX-P4QS-0626-SM-3NMD1",60
"GTEX-1O97I-1826-SM-EXUS9",61
"GTEX-1RNTQ-1126-SM-E9TK9",53
"GTEX-1IKK5-1326-SM-AHZ2X",62
"GTEX-11P7K-1226-SM-5HL4X",53
"GTEX-14PK6-1126-SM-5YY93",53
"GTEX-1IDJF-1326-SM-A9G2R",53
"GTEX-14BIN-2626-SM-5YY8U",53
"GTEX-NFK9-1226-SM-3LK79",53
"GTEX-1AMEY-0326-SM-72D5T",53
"GTEX-1L5NE-1426-SM-DHXKV",63
"GTEX-17F9E-1026-SM-7DUF1",53
"GTEX-1AX8Z-1826-SM-73KW6",53
"GTEX-11ZTS-2726-SM-5EQLU",53
"GTEX-ZA64-0526-SM-5HL9I",53
"GTEX-1JMLX-2126-SM-CL54B",53
"GTEX-OXRL-0726-SM-3NM9A",53
"GTEX-1I1GR-1426-SM-CY8H8",64
"GTEX-1NHNU-1726-SM-E76R1",53
"GTEX-1GN73-1926-SM-9JGGS",65
"GTEX-YEC4-1026-SM-9WG7N",58
"GTEX-18QFQ-1026-SM-7LG6B",59
"GTEX-1C6VQ-2026-SM-79OOH",53
"GTEX-NPJ8-2026-SM-3TW91",66
"GTEX-1C475-0926-SM-7MKFI",67
"GTEX-1211K-1026-SM-5EQ4B",53
"GTEX-14PJN-0526-SM-68724",63
"GTEX-XQ8I-1526-SM-4BOOH",68
"GTEX-1EKGG-1726-SM-7MXUP",69
"GTEX-1MCYP-1026-SM-DPRYB",63
"GTEX-14C5O-1726-SM-5RQI9",53
"GTEX-1L5NE-1326-SM-CY8II",53
"GTEX-1J1R8-1026-SM-CJI37",53
"GTEX-1497J-2126-SM-5NQB8",70
"GTEX-1LSVX-1226-SM-DHXJN",71
"GTEX-ZAB5-0926-SM-5CVMV",72
"GTEX-13W46-1926-SM-5J2MF",69
"GTEX-1LGRB-1626-SM-CNNR7",73
"GTEX-ZVE2-1326-SM-5NQ94",74
"GTEX-146FQ-1026-SM-5LU8I",75
"GTEX-OOBK-0726-SM-3LK5Q",53
"GTEX-17F98-1826-SM-7DUFK",76
"GTEX-13OVJ-1426-SM-5K7Z2",53
"GTEX-13OVG-0626-SM-5IFEP",77
"GTEX-1F48J-1626-SM-9WPOE",53
"GTEX-13W3W-1826-SM-5IJDE",53
"GTEX-1F5PL-1226-SM-7P8R5",53
"GTEX-11TUW-1226-SM-5GU7C",53
"GTEX-14JG1-1826-SM-5YY9Y",53
"GTEX-ZV68-0926-SM-59HK7",78
"GTEX-18A66-1526-SM-72D6Y",53
"GTEX-YB5K-0726-SM-5LU8R",53
