"","MMmidnightblue","MMred","MMgreen","MMblack","MMblue","MMsalmon","MMturquoise","MMcyan","MMbrown","MMtan","MMgreenyellow","MMpink","MMyellow","MMmagenta","MMpurple","MMgrey"
"ENSG00000271614",-0.307510267771809,-0.212531004346527,0.0589897731106975,0.436163356840953,0.70480202685665,0.0815035958431158,0.346908300303063,-0.0450578032644966,-0.0766347444839982,-0.136081916933779,0.0996387420259736,0.258314868066403,0.136506166857232,-0.0144061469989311,-0.00254193258332235,0.212338314611891
"ENSG00000258725",-0.12422620775805,0.0853126677681764,0.189302639636313,0.694040463927961,0.4805679627254,0.135770917622222,0.372578468797497,0.098727124998616,0.268063514050134,-0.0120057307221056,0.0414444790466655,0.222863712082724,-0.196666835227859,0.042167515389827,-0.13599686527248,0.230981411457893
"ENSG00000177694",-0.169334285817257,0.0534027467019952,0.0215463912923373,-0.0740884074231383,-0.0761058492758699,0.678668933409104,0.670591943721498,0.0506334256988182,0.11382885292726,-0.0439142688871587,-0.117272072291143,0.214872574202711,-0.166094710374657,0.240210856572789,0.0565454546316501,0.468625158806425
"ENSG00000261501",-0.0718732949395275,-0.0851675860328024,0.0763974611322163,0.0214348950827997,0.112501962122987,0.0413666737473447,0.16541900615496,0.0257707328943473,0.123171091228652,0.0702979995137232,0.0141380769445224,0.0735408611714182,0.0567667433470817,0.0684904935554135,0.086685681334962,0.198008890255246
"ENSG00000239910",-0.0207094628771799,0.00764176376717127,-0.00397161660270002,0.0376249876636825,0.0129615386960159,0.0668394168707196,0.134507948877561,0.000838511569945687,0.0522104597919671,0.0499170579260312,0.0460836298726225,0.0768285470821526,-0.0113814705083251,0.00800981807741748,0.0441725404365358,0.14184309042201
"ENSG00000263974",-0.0338314451527786,-0.00992362986753824,0.00264239766083945,0.102193139786064,0.0826558391770908,0.0201705822653264,0.123167220338184,0.0226090135167211,-0.00274577807717664,-0.0163685960686277,0.0905586853913481,0.0682847954860995,0.0481855616021457,-0.00701592904806121,0.0361986139213515,0.139644106387322
"ENSG00000248559",-0.0501133563956454,0.095825523028376,0.0221248891250825,0.348568212181554,0.353784053255942,0.0727627936899896,0.29876873050093,0.0545932901315117,0.0262256143701632,-0.0901905652250369,0.0153691629559236,0.161564413011873,-0.0838623792593426,-0.0357757365003462,-0.113785536867413,0.210289165669693
"ENSG00000279489",-0.0447478604332588,0.745965865940933,0.00325497530811295,0.0408624807790793,-0.131733168512108,0.283082634527484,-0.0108172950755866,-0.0997046732003665,-0.31238309397308,-0.181113753180934,-0.166250802957884,-0.294728059183802,-0.355767204045019,-0.146739230580077,-0.263437321640041,-0.237224519743198
"ENSG00000135407",-0.175733820573825,0.209978497429232,0.00876356301195941,0.228063455145866,0.00532559237379347,0.0766300126966365,0.392504000446059,-0.0399312214506646,0.0397129460341263,-0.0437966217865803,-0.173978352897431,-0.034145750748547,0.0473026216771538,0.125899587662407,0.0822090576277712,0.33792035511946
"ENSG00000170165",-0.0540316714067426,-0.100063382878456,0.00484986207549941,0.060356267964829,0.214140513360706,0.0124550482656621,0.225584579523574,0.0472662084045247,0.298800687656481,0.103475415255375,-0.0955511592865419,0.0691382243261106,-0.104883967583437,0.00949728444747519,-0.0931561090101976,0.264526476380566
