Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
GTEX-11I78-2226-SM-5PNYA,,GTEX-TKQ1-0426-SM-4DXT4,,,TCGA-FL-A1YU-11A-11R-A32Y-07
GTEX-Y114-2026-SM-4TT7L,,GTEX-U8XE-1826-SM-4E3HV,,,TCGA-FL-A1YQ-11A-11R-A32Y-07
TCGA-N9-A4Q7-01A-11R-A28V-07,,GTEX-14E7W-1926-SM-5S2R9,,,TCGA-FL-A1YG-11A-12R-A16F-07
GTEX-1122O-1226-SM-5H113,,GTEX-14BIM-1226-SM-5SIBC,,,TCGA-FL-A1YL-11A-11R-A16F-07
GTEX-ZZPU-0626-SM-5E43T,,GTEX-1339X-1126-SM-5J2OI,,,
GTEX-13O3O-0826-SM-5K7WE,,GTEX-T6MO-0626-SM-4DM6P,,,
GTEX-QVJO-1826-SM-447C9,,GTEX-ZF2S-1326-SM-4WWAZ,,,
GTEX-XUJ4-1926-SM-4BOOV,,GTEX-13OVG-1026-SM-5KLZ3,,,
GTEX-13FTY-2226-SM-5J1ND,,GTEX-ZAK1-1826-SM-5HL93,,,
TCGA-E9-A24A-01A-11R-A169-07,,TCGA-BR-6852-01A-11R-1884-13,,,
TCGA-A8-A09D-01A-11R-A00Z-07,,TCGA-BR-7722-01A-31R-2203-13,,,
TCGA-A8-A09X-01A-11R-A00Z-07,,TCGA-VQ-A8PJ-01A-11R-A414-31,,,
TCGA-BH-A1F2-11A-32R-A13Q-07,,TCGA-VQ-A8PU-01A-12R-A414-31,,,
TCGA-D8-A27V-01A-12R-A17B-07,,TCGA-CG-5734-11A-01R-1602-13,,,
TCGA-OL-A6VQ-01A-12R-A41B-07,,TCGA-D7-A6EV-01A-11R-A31P-31,,,
TCGA-LL-A7T0-01A-31R-A352-07,,TCGA-D7-6527-01A-11R-1802-13,,,
TCGA-AC-A3W6-01A-12R-A22K-07,,TCGA-CG-4440-01A-01R-1157-13,,,
TCGA-A7-A13G-11A-51R-A13Q-07,,TCGA-BR-7715-01A-11R-2055-13,,,
TCGA-BH-A0BT-11A-21R-A12P-07,,TCGA-VQ-A94R-01A-11R-A414-31,,,
TCGA-BH-A0BA-01A-11R-A056-07,,TCGA-BR-7716-01A-21R-2055-13,,,
TCGA-B6-A2IU-01A-32R-A18M-07,,TCGA-BR-7703-01A-11R-2055-13,,,
TCGA-BH-A42T-01A-11R-A24H-07,,TCGA-VQ-A8P5-01A-11R-A39E-31,,,
TCGA-AN-A0XT-01A-11R-A109-07,,TCGA-D7-8575-01A-11R-2343-13,,,
TCGA-BH-A1FU-01A-11R-A14D-07,,TCGA-D7-A6F2-01A-12R-A31P-31,,,
TCGA-B6-A0RP-01A-21R-A084-07,,GTEX-132AR-2726-SM-5PNVN,,,
TCGA-AR-A252-01A-11R-A169-07,,TCGA-CG-5720-11A-01R-1602-13,,,
TCGA-BH-A0BP-01A-11R-A115-07,,TCGA-BR-4361-01A-01R-1157-13,,,
TCGA-A7-A0DB-11A-33R-A089-07,,TCGA-BR-4280-01A-01R-1131-13,,,
TCGA-BH-A18K-11A-13R-A12D-07,,TCGA-VQ-A928-01A-11R-A414-31,,,
TCGA-EW-A6S9-01A-22R-A33J-07,,TCGA-HU-A4GQ-01A-11R-A36D-31,,,
TCGA-E2-A1IN-01A-11R-A13Q-07,,TCGA-BR-7958-01A-21R-2343-13,,,
TCGA-E9-A2JS-01A-11R-A180-07,,TCGA-BR-4357-01A-01R-1157-13,,,
TCGA-AR-A24K-01A-11R-A169-07,,TCGA-BR-6802-11A-01R-1884-13,,,
GTEX-S341-1526-SM-4AD6K,,TCGA-BR-7717-11A-01R-2055-13,,,
GTEX-11EMC-2026-SM-5A5JV,,TCGA-HU-A4G3-11A-11R-A24K-31,,,
GTEX-X4EP-2926-SM-3P5YQ,,TCGA-FP-7998-01A-11R-2203-13,,,
TCGA-D8-A73U-01A-11R-A33J-07,,TCGA-FP-7735-01A-11R-2055-13,,,
GTEX-13QIC-2326-SM-5LU5N,,TCGA-BR-7716-11A-01R-2055-13,,,
GTEX-XV7Q-2326-SM-4BRVZ,,TCGA-CG-5720-01A-11R-1602-13,,,
GTEX-S4UY-0726-SM-4AD6X,,TCGA-RD-A8N2-01A-12R-A36D-31,,,
TCGA-E2-A15T-01A-11R-A115-07,,TCGA-CD-5800-01A-11R-1602-13,,,
TCGA-E9-A227-01A-11R-A157-07,,TCGA-D7-A4YU-01A-21R-A251-31,,,
TCGA-E2-A15I-01A-21R-A137-07,,TCGA-D7-6817-01A-11R-1884-13,,,
TCGA-E2-A153-01A-12R-A12D-07,,TCGA-HU-A4H5-01A-21R-A251-31,,,
TCGA-AR-A24T-01A-11R-A169-07,,TCGA-BR-4363-01A-01R-1157-13,,,
TCGA-A2-A0SY-01A-31R-A084-07,,TCGA-VQ-A8P3-01A-11R-A36D-31,,,
TCGA-A8-A07B-01A-11R-A00Z-07,,TCGA-CD-A4MJ-01A-11R-A251-31,,,
GTEX-13FTX-1126-SM-5N9EN,,TCGA-CD-5803-01A-11R-1602-13,,,
TCGA-BH-A1FR-01A-11R-A13Q-07,,TCGA-BR-8361-01A-11R-2343-13,,,
TCGA-A8-A09Q-01A-11R-A00Z-07,,TCGA-VQ-A8PM-01A-21R-A414-31,,,
GTEX-11P81-1926-SM-5BC53,,GTEX-12696-1926-SM-5EGJT,,,
TCGA-BH-A0HL-01A-11R-A10U-07,,GTEX-QLQW-0726-SM-447AA,,,
TCGA-AR-A2LL-01A-11R-A180-07,,GTEX-11ONC-1926-SM-5GU75,,,
TCGA-A8-A06N-01A-11R-A00Z-07,,TCGA-AA-3712-01A-21R-1723-07,,,
TCGA-B6-A0RS-01A-11R-A084-07,,TCGA-CM-5860-01A-01R-1653-07,,,
TCGA-E9-A1RB-11A-33R-A157-07,,TCGA-CK-5912-01A-11R-1653-07,,,
TCGA-BH-A1EU-01A-11R-A137-07,,TCGA-A6-3810-01A-01R-A278-07,,,
GTEX-RU72-0626-SM-46MUI,,TCGA-AD-6899-01A-11R-1928-07,,,
GTEX-SE5C-2126-SM-4BRUJ,,TCGA-A6-6138-01A-11R-1774-07,,,
GTEX-ZF3C-2326-SM-5S2MZ,,TCGA-D5-6924-01A-11R-1928-07,,,
GTEX-YJ8O-2226-SM-5IFHW,,TCGA-AU-3779-01A-01R-1723-07,,,
GTEX-131XW-0726-SM-5EGK3,,TCGA-D5-6537-01A-11R-1723-07,,,
GTEX-ZV6S-1826-SM-5NQ8D,,TCGA-F4-6704-11A-01R-1839-07,,,
GTEX-W5X1-2326-SM-3GIL6,,TCGA-D5-6931-01A-11R-1928-07,,,
GTEX-VJWN-0726-SM-3GIJ8,,TCGA-F4-6569-01A-11R-1774-07,,,
GTEX-ZVZQ-0826-SM-51MRF,,TCGA-G4-6310-01A-11R-1723-07,,,
GTEX-131YS-0626-SM-5EGKL,,TCGA-AZ-5407-01A-01R-1723-07,,,
GTEX-ZVT2-1826-SM-5NQ8W,,TCGA-A6-6141-01A-11R-1774-07,,,
GTEX-T6MO-0326-SM-32QOK,,TCGA-5M-AATE-01A-11R-A41B-07,,,
GTEX-TML8-1226-SM-32QON,,TCGA-DM-A1D9-01A-11R-A155-07,,,
GTEX-ZC5H-2626-SM-5J2MG,,TCGA-AZ-6600-11A-01R-1774-07,,,
TCGA-BH-A18Q-11A-34R-A12D-07,,TCGA-AA-3697-01A-01R-1723-07,,,
GTEX-13W3W-1226-SM-5LU4H,,TCGA-F4-6460-01A-11R-1774-07,,,
GTEX-133LE-1726-SM-5K7VQ,,TCGA-CA-5797-01A-01R-1653-07,,,
GTEX-Y5V5-2126-SM-4WWFO,,TCGA-AA-3495-01A-01R-1410-07,,,
GTEX-XUZC-1626-SM-4BRVP,,TCGA-AA-3489-01A-21R-1839-07,,,
GTEX-ZPIC-1126-SM-5BC7F,,TCGA-A6-6780-01A-11R-A278-07,,,
GTEX-14AS3-1626-SM-5S2OY,,TCGA-D5-6929-01A-31R-1928-07,,,
GTEX-13113-1726-SM-5GCOO,,TCGA-CK-6751-01A-11R-1839-07,,,
GTEX-XMD2-0926-SM-4WWEF,,TCGA-AA-3713-11A-01R-1723-07,,,
GTEX-T2IS-1526-SM-32QPR,,TCGA-CM-4751-01A-02R-1839-07,,,
,,TCGA-DM-A28F-01A-11R-A32Y-07,,,
,,GTEX-OIZH-1426-SM-3NB1O,,,
,,TCGA-A6-6653-01A-11R-1774-07,,,
,,TCGA-A6-5657-01A-01R-A32Z-07,,,
,,TCGA-A6-5656-01A-21R-A278-07,,,
,,TCGA-AZ-6600-01A-11R-1774-07,,,
,,TCGA-CM-6677-01A-11R-1839-07,,,
,,GTEX-13FTW-1826-SM-5IJEN,,,
,,GTEX-13VXT-2426-SM-5LU46,,,
,,GTEX-132NY-2726-SM-5PNY2,,,
,,GTEX-XUW1-1926-SM-4BOP1,,,
,,GTEX-U3ZM-1126-SM-4DXUB,,,
,,GTEX-ZV6S-1126-SM-57WE9,,,
,,GTEX-117YX-0526-SM-5EGJH,,,
,,GTEX-WHPG-1626-SM-4M1ZL,,,
,,GTEX-13QBU-2026-SM-5KLZB,,,
,,GTEX-OXRK-1726-SM-3NB16,,,
,,GTEX-131XG-1826-SM-5LZV4,,,
,,TCGA-NH-A8F7-01A-11R-A41B-07,,,
,,TCGA-CM-6676-01A-11R-1839-07,,,
,,GTEX-111YS-1626-SM-5GZZ9,,,
,,TCGA-AY-6386-01A-21R-1723-07,,,
,,TCGA-CM-5862-01A-01R-1653-07,,,
,,TCGA-NH-A50T-01A-11R-A28H-07,,,
,,TCGA-CM-6170-01A-11R-1653-07,,,
,,TCGA-AZ-6608-01A-11R-1839-07,,,
,,TCGA-AG-3742-01A-11R-1660-07,,,
,,TCGA-D5-6928-01A-11R-1928-07,,,
,,TCGA-DM-A28H-01A-11R-A16W-07,,,
,,GTEX-T5JW-1126-SM-4DM5V,,,
,,TCGA-G4-6304-01A-11R-1928-07,,,
,,TCGA-A6-5659-11A-01R-1653-07,,,
,,TCGA-AA-3685-01A-02R-A32Z-07,,,
,,TCGA-A6-5665-11A-01R-1653-07,,,
,,TCGA-CA-6719-01A-11R-1839-07,,,
