i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
18,TCGA-BH-A0BR-01A-21R-A115-07,0.682641162063,0.237777677173,0.062613959427,0.0163419212567,0.000620031139342,0.0,0.0,0.0,0.0,0.0,0.0,1.31223521554e-06,0.0,0.0,6.56117607769e-07,6.56117607769e-07,1.31223521554e-06,0.0,1.31223521554e-06,0.0
19,TCGA-A8-A09D-01A-11R-A00Z-07,0.681273469135,0.241530981194,0.0589258201132,0.0177749905156,0.000486996647543,0.0,0.0,0.0,0.0,7.74239503248e-07,0.0,0.0,0.0,0.0,7.74239503248e-07,0.0,0.0,4.64543701949e-06,1.5484790065e-06,0.0
20,TCGA-A7-A0DB-11A-33R-A089-07,0.694392240759,0.225035803848,0.0713910016607,0.00898395869408,0.00019404011213,0.0,0.0,0.0,0.0,9.84975188475e-07,0.0,0.0,0.0,0.0,0.0,0.0,9.84975188475e-07,9.84975188475e-07,0.0,0.0
21,TCGA-A7-A6VY-01A-12R-A33J-07,0.78440558166,0.113897458715,0.0800152246575,0.0197773125799,0.00189839149349,0.0,0.0,0.0,0.0,4.020596174e-06,6.70099362333e-07,0.0,0.0,0.0,0.0,1.34019872467e-06,0.0,0.0,0.0,0.0
22,TCGA-A8-A09X-01A-11R-A00Z-07,0.657591693349,0.275003710851,0.0506789089393,0.016346119864,0.000371791881366,0.0,0.0,0.0,0.0,2.12048601539e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65462937439e-06,0.0
23,TCGA-BH-A18Q-11A-34R-A12D-07,0.692210041461,0.236196309548,0.0571331544809,0.0140745931828,0.000379109463227,0.0,0.0,0.0,0.0,4.32209485763e-06,0.0,0.0,0.0,0.0,0.0,2.46976849008e-06,0.0,0.0,0.0,0.0
24,TCGA-D8-A27V-01A-12R-A17B-07,0.601413296309,0.31979463451,0.0578541657392,0.0197574900948,0.00117832658149,0.0,0.0,0.0,0.0,6.95588300761e-07,0.0,6.95588300761e-07,0.0,0.0,6.95588300761e-07,0.0,0.0,0.0,0.0,0.0
25,TCGA-OL-A6VQ-01A-12R-A41B-07,0.726955466567,0.210386419491,0.0468393463029,0.0154919311103,0.000325030802688,0.0,0.0,0.0,0.0,0.0,0.0,1.8057266816e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,TCGA-LL-A7T0-01A-31R-A352-07,0.782019605706,0.156284481804,0.0445159238939,0.0168791383794,0.000281033735758,0.0,0.0,0.0,3.60299661228e-06,9.00749153071e-07,1.80149830614e-06,0.0,0.0,0.0,1.35112372961e-05,0.0,0.0,0.0,0.0,0.0
27,TCGA-AC-A3W6-01A-12R-A22K-07,0.737960593626,0.174355765319,0.0711411722138,0.0161182843805,0.000420558951851,0.0,0.0,0.0,0.0,2.17530492337e-06,0.0,7.25101641123e-07,0.0,0.0,7.25101641123e-07,0.0,0.0,0.0,0.0,0.0
28,TCGA-A7-A13G-11A-51R-A13Q-07,0.600356468259,0.263782706555,0.123839744858,0.0117340286832,0.000287051645622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,TCGA-BH-A0BT-11A-21R-A12P-07,0.648419276481,0.273479883345,0.0553428117243,0.022334684977,0.000418519045632,0.0,0.0,0.0,0.0,1.80916013962e-06,0.0,0.0,0.0,0.0,0.0,6.03053379873e-07,0.0,1.20610675975e-06,1.20610675975e-06,0.0
30,TCGA-BH-A0BA-01A-11R-A056-07,0.566820530676,0.355418391748,0.052912442301,0.0242016939979,0.000634875765442,0.0,0.0,0.0,0.0,4.59638563216e-06,0.0,5.7454820402e-07,0.0,0.0,0.0,0.0,0.0,0.0,6.89457844824e-06,0.0
31,TCGA-B6-A2IU-01A-32R-A18M-07,0.662289393223,0.214659200128,0.0736605925758,0.0475800617039,0.00177982716063,0.0,0.0,0.0,8.13821289728e-07,4.88292773837e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52284599816e-05,0.0
32,TCGA-BH-A42T-01A-11R-A24H-07,0.776642801769,0.149063178969,0.052830321904,0.0209356000818,0.000522948695129,0.0,0.0,0.0,0.0,2.2065345786e-06,7.35511526201e-07,0.0,0.0,0.0,0.0,0.0,2.2065345786e-06,0.0,0.0,0.0
33,TCGA-BH-A1F2-11A-32R-A13Q-07,0.646635893481,0.253805309577,0.0790888097047,0.0201867765548,0.000282320083289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.90599631826e-07,0.0,0.0,0.0,0.0
34,TCGA-AN-A0XT-01A-11R-A109-07,0.624003601255,0.278846200724,0.0681898329544,0.0276261455031,0.00133015677486,0.0,0.0,0.0,0.0,4.0627879501e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,TCGA-B6-A0RP-01A-21R-A084-07,0.508181335151,0.376152676314,0.10101685454,0.0140194265602,0.000626847728049,0.0,0.0,0.0,0.0,2.85970678854e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,TCGA-AR-A0TU-01A-31R-A109-07,0.624448011044,0.16781362,0.174176642451,0.0323747071104,0.00117305446025,0.0,0.0,0.0,9.97495289328e-07,0.0,0.0,2.99248586799e-06,0.0,0.0,0.0,7.97996231463e-06,1.99499057866e-06,0.0,0.0,0.0
37,TCGA-AR-A252-01A-11R-A169-07,0.670429926488,0.248600093407,0.0544442790884,0.0258906423488,0.000612426987113,0.0,0.0,0.0,0.0,1.37161699241e-06,0.0,1.85168293976e-05,0.0,0.0,6.85808496207e-07,6.85808496207e-07,0.0,0.0,1.37161699241e-06,0.0
38,TCGA-BH-A0BP-01A-11R-A115-07,0.656375566044,0.272359867156,0.0559198837389,0.0150206600275,0.000317758967864,0.0,0.0,0.0,2.27784206354e-06,1.70838154766e-06,0.0,5.69460515886e-07,0.0,0.0,1.70838154766e-06,0.0,0.0,0.0,0.0,0.0
39,TCGA-AR-A0U0-01A-11R-A109-07,0.806630848087,0.110355244371,0.0666038415902,0.0145194649292,0.00188402120456,0.0,0.0,0.0,0.0,0.0,7.31090882639e-07,2.92436353055e-06,0.0,0.0,0.0,0.0,0.0,1.46218176528e-06,1.46218176528e-06,0.0
40,TCGA-BH-A18K-11A-13R-A12D-07,0.649988466686,0.267284555408,0.0674053697284,0.0148756914279,0.000441920057004,0.0,0.0,0.0,0.0,0.0,5.70956146e-07,0.0,0.0,0.0,5.70956146e-07,1.712868438e-06,1.141912292e-06,0.0,0.0,0.0
41,TCGA-EW-A6S9-01A-22R-A33J-07,0.740503340619,0.17072451229,0.0717415419531,0.0163991438516,0.000627691368113,0.0,0.0,0.0,0.0,9.42479531701e-07,0.0,9.42479531701e-07,0.0,0.0,9.42479531701e-07,0.0,9.42479531701e-07,0.0,0.0,0.0
42,TCGA-E2-A1IN-01A-11R-A13Q-07,0.748112882783,0.17088190652,0.0573818204579,0.0230420767678,0.000572707215172,0.0,0.0,0.0,7.82386905973e-07,1.56477381195e-06,0.0,0.0,0.0,0.0,4.69432143584e-06,7.82386905973e-07,0.0,7.82386905973e-07,0.0,0.0
43,TCGA-E9-A2JS-01A-11R-A180-07,0.67446280537,0.227343754777,0.0697756888695,0.0275250833491,0.000891794183336,0.0,0.0,0.0,0.0,8.73451697684e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,TCGA-AR-A24K-01A-11R-A169-07,0.640668530215,0.255372956024,0.0746921273315,0.0289765272761,0.000289859154268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,TCGA-BH-A1FU-01A-11R-A14D-07,0.727987859809,0.168826642235,0.0836377062944,0.0185006158956,0.00103874933355,0.0,0.0,0.0,0.0,4.59623598914e-06,0.0,0.0,0.0,0.0,0.0,7.66039331523e-07,0.0,0.0,0.0,3.06415732609e-06
46,TCGA-A2-A0CM-01A-31R-A034-07,0.745980825332,0.149238389772,0.0858351322072,0.0177630031069,0.001037725806,0.0,0.0,0.0,8.94591212073e-07,8.94591212073e-07,0.0,8.94591212073e-07,0.0,0.0,0.0,0.000137767046659,0.0,0.0,4.47295606036e-06,0.0
47,TCGA-E9-A1NC-01A-21R-A26B-07,0.734326019608,0.141733294867,0.0975211557066,0.0250030328022,0.00141343872873,0.0,0.0,0.0,1.01942930309e-06,5.09714651544e-07,0.0,1.01942930309e-06,0.0,0.0,0.0,5.09714651544e-07,0.0,0.0,0.0,0.0
48,TCGA-E9-A24A-01A-11R-A169-07,0.535720962378,0.37320205528,0.0676734087037,0.0227149555388,0.000677288002875,0.0,0.0,0.0,0.0,9.44174725198e-06,0.0,6.29449816799e-07,0.0,0.0,1.2588996336e-06,0.0,0.0,0.0,0.0,0.0
49,TCGA-BH-A0HA-11A-31R-A12P-07,0.715855486386,0.207693227224,0.0561890500742,0.0195761241453,0.000684697505876,0.0,0.0,0.0,0.0,7.0733213417e-07,0.0,0.0,0.0,0.0,0.0,7.0733213417e-07,0.0,0.0,0.0,0.0
50,GTEX-R53T-1526-SM-48FEK,0.587176519993,0.277340675586,0.12462181888,0.0103958241888,0.000457560677144,0.0,0.0,7.60067570007e-07,1.90016892502e-06,1.52013514001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42030406503e-06,0.0,0.0
51,GTEX-ZXES-0826-SM-5E43C,0.605315313083,0.302695312101,0.0693960388294,0.0219437168419,0.000646703875219,0.0,0.0,0.0,0.0,4.85878193252e-07,0.0,0.0,0.0,0.0,0.0,1.45763457976e-06,0.0,9.71756386504e-07,0.0,0.0
52,GTEX-T5JW-2026-SM-4DM63,0.597201909443,0.292684677194,0.0872010103185,0.0225494538852,0.000353462988672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66128677026e-06,4.12442227155e-07,0.0,0.0,0.0,4.12442227155e-07
53,GTEX-WYBS-0926-SM-3NM94,0.672198884817,0.222065046018,0.0710783140935,0.0342182603811,0.000429844303075,0.0,0.0,0.0,3.61889497444e-06,4.02099441605e-07,0.0,0.0,0.0,0.0,4.82519329925e-06,0.0,0.0,8.04198883209e-07,0.0,0.0
54,GTEX-YB5K-1626-SM-5IFIN,0.592015661995,0.26207644414,0.133673321349,0.0119812468554,0.000253005399904,0.0,0.0,0.0,3.20259999878e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,GTEX-1117F-2826-SM-5GZXL,0.726620578913,0.223898596662,0.0372922031151,0.0116153695354,0.000569397055876,0.0,5.50674135276e-07,0.0,5.50674135276e-07,1.65202240583e-06,0.0,0.0,5.50674135276e-07,0.0,5.50674135276e-07,0.0,0.0,0.0,0.0,0.0
56,GTEX-XOT4-0726-SM-4GIAW,0.610112649926,0.299023341229,0.0678552357741,0.022432002711,0.000566929322526,0.0,0.0,0.0,1.71148474725e-06,5.13445424174e-06,0.0,0.0,4.27871186812e-07,4.27871186812e-07,0.0,1.28361356044e-06,8.55742373624e-07,0.0,0.0,0.0
57,GTEX-S32W-2026-SM-4AD6E,0.682958906162,0.215101639835,0.0947558108715,0.00698293710699,0.000197825076537,0.0,0.0,0.0,4.8015795276e-07,0.0,0.0,0.0,0.0,0.0,2.4007897638e-06,0.0,0.0,0.0,0.0,0.0
58,GTEX-Q2AG-0326-SM-48U1O,0.597442491278,0.311472731009,0.0632786651532,0.0274213523965,0.000382675871453,8.33716495539e-07,0.0,0.0,0.0,4.1685824777e-07,0.0,0.0,0.0,0.0,0.0,4.1685824777e-07,0.0,0.0,0.0,4.1685824777e-07
59,GTEX-ZF29-1926-SM-5S2P1,0.730296472565,0.199798795537,0.052719991377,0.0166728852112,0.000511302550156,0.0,0.0,0.0,0.0,5.52759513682e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,GTEX-11I78-2226-SM-5PNYA,0.584500782507,0.296378607602,0.101992513387,0.016701416554,0.000424337699418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34225041077e-06,0.0
61,GTEX-Y114-2026-SM-4TT7L,0.687803273087,0.230466823817,0.0666445912194,0.0148121176444,0.000272348430064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.22901288919e-07,0.0,4.22901288919e-07,0.0,0.0,0.0,0.0
62,GTEX-1122O-1226-SM-5H113,0.73803962812,0.184716111997,0.0624337846219,0.0145313426713,0.000275746232194,9.67530639277e-07,0.0,0.0,0.0,1.93506127855e-06,0.0,0.0,0.0,4.83765319638e-07,0.0,0.0,0.0,0.0,0.0,0.0
63,GTEX-ZZPU-0626-SM-5E43T,0.725452016806,0.203422380164,0.053660586906,0.0170242480856,0.000435759310599,0.0,0.0,0.0,4.17393975669e-07,3.33915180535e-06,0.0,0.0,0.0,0.0,0.0,1.25218192701e-06,0.0,0.0,0.0,0.0
