,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68,Topic 69,Topic 70,Topic 71,Topic 72,Topic 73,Topic 74,Topic 75,Topic 76,Topic 77,Topic 78
ENSG00000197540,125.1279627892777,48.57321504189873,132.8016947009825,61.419808216746134,124.08139982888916,296.6010962162356,68.3752995773131,104.83382176981848,79.31222872201731,1.753942255443962,9.688810194014481,184.9228085686602,74.117182104011,38.05055328482673,55.968302689204805,131.01289569792283,61.115962835986814,69.39773788143185,2513.6713471279554,114.50848389732772,140.88039246196416,80.38559017982998,114.93704662211022,147.21712875165258,91.68663028402838,60.41865817412074,44.01815047464403,83.82681403488014,578.2488350310246,177.91538872258312,337.25275400084547,134.55231554064747,51.931551384311845,76.25376385883983,305.9040988902766,127.98610482414495,165.6492529266637,43.805196468974245,75.38230231382573,87.97437030808062,166.14045791351012,504.83716395329185,207.3641854795472,58.83084605642979,79.69382223680104,142.1647145005998,49.675088995299284,102.31866008014758,32.83489603721955,73.22434769914928,63.880127818582224,11.45025366310446,74.4671054159774,419.5392619597796,397.80312018791614,273.12053482922255,1019.9507049662224,58.22674643131249,1627.659199841407,1.2302133541487827,2.6290626906876278,239.81663721108148,116.95449591287688,18.26622894644493,30.847312220821067,100.54711948765068,45.380705839725735,846.6315942085919,992.0860169993808,208.85198469964809,453.4445769785577,21.65058746360986,130.92643288025863,1734.911259280981,48.67725087429022,57.66276041724714,149.0454125048915,320.57084118728784
ENSG00000172232,10.779103711842142,20.792947672198924,31.91682266497463,9.38140575663912,13.064523604842034,32.4281954838727,9.421807324161978,29.617547827661163,7.482882530365517,1.4219549420619133,10.360142744430723,9.258843910960627,17.33006467107494,10.095744508318814,8.981733576253975,14.603348141581197,428.21802471846473,15.080025769141898,4655.14328145678,11.782555892536196,84.97490382368596,12.118484580969305,14.794368126641665,25.942278812254127,90.61807633716224,13.870105133811201,8.204159166862143,9.582612073098435,267.4108753163935,10.07177964708859,1.6862680113892048,34.028517647197006,7.94335338377311,12.303757579424737,23.509487360561067,23.55389966280022,18.68065097882819,7.151272375088858,19.60397605362017,11.537365400391893,2.490365012892365,100.93591915622976,20.254872708185985,9.520195168770702,10.701262632993322,12.720871237928224,9.227174933990364,9.21769906821109,8.769359576953834,12.0161566316629,8.214866690995143,1.321933138927855,19.275031172807797,18.071734203660213,63.93525933933096,41.1613746221067,897.6476418855656,12.537105959181382,666.32478086597,1.6653689251355248,1.5381996999403376,32.545340273912494,9.767534704395885,8.222528646154045,168.67680136344802,20.571726236317943,11.16459531277004,321.5892442765788,85.73623598202794,20.19946342194848,11.285752394846874,5.035290853086246,13.476201425195486,1360.686157063619,9.03322719795474,9.356202287375593,19.50903733980128,79.09681906678104
ENSG00000176533,300.6826161655681,2469.7216055374015,1321.3873184494535,673.0685067942813,1210.181427393,221.0585427697207,630.4803195342523,2064.404935215467,681.3706372347015,10.76846626846776,92.83124267109002,612.5504530212121,210.80800672387164,258.5845865819108,309.57122613883513,801.9743865806539,3009.632837881517,1128.641482352904,221.70738543332996,264.1503440221447,2336.4069586635715,188.31744669617484,524.9251952905746,265.1246317182312,2261.1315307196287,472.3783438969642,397.78309859722833,489.09627309640973,2750.079470864576,471.2041356266542,487.7934683660102,687.2660195631138,288.26013328077613,354.1183569150494,310.0093663808879,192.27129224451073,1585.9073720908668,650.7329763301467,722.7421282065416,837.0023198189687,83.25668508111275,294.7075802128189,131.2861703134681,606.0411950217232,458.77012212519935,523.1846674441631,261.26499242781733,399.67332181023573,175.67456377427385,442.8113934318844,626.1049313157176,175.85815103069652,875.3829948193335,1652.1305658991973,328.0681060310941,251.3389967558392,803.9707380481674,1178.771447694878,190.53471339113563,1526.2853706902006,735.6903741347816,208.05622154860134,398.9108359221178,80.62880223923096,3081.3182716479246,252.78217924484122,501.7844665817996,287.33406191053024,326.8634202151877,361.3731550210346,408.4383556100209,769.4486998052073,843.7775751438031,235.93705318555294,369.40711523628073,424.12424874341167,284.8526470211798,306.14932365271386
ENSG00000077009,14.722842718430257,24.92421701141665,12.367840490597848,76.44502134254057,342.8157917475599,4.097918901023315,22.42910185194005,7.239876540858458,70.18740701603038,1.3454157693691404,1469.7695844214568,10.602812986437174,36.21418610020101,49.167535612425816,50.46575397799595,20.979790420711634,1.6569598922417392,37.059150676716044,1.2748798324201522,11.928960855815282,3.2647609881650888,7.542723040862376,5.237570173497686,6.369605541177463,2.3845248371613375,33.890530844696485,43.646167797689735,36.770228522282274,1.5276735985656673,13.419696459023118,1.7191842808305953,2.7402165459332672,12.979102187416627,34.74836529155255,4.054294447187542,5.38405264507802,17.652467605462864,93.28844854819499,29.573600934938383,26.193384527719545,1.1796385385093215,3.0128572337282016,1.4372924852396478,45.11809519292341,21.733993071314664,12.716885125646462,44.26747234330937,9.472063986605917,29.56621269335893,41.930906568390284,46.64606184223222,1.39894716777653,43.39338519912214,1.7384953613200582,2.852049278436668,7.890543102214444,17.645281758344538,134.20353873632226,1.5631796448594402,16470.820209002777,1.7772130701080164,5.90780782022929,4.624177065126588,23.505870531264325,1.993765318602765,19.11707590598398,44.41237064569555,1.7935033709236454,2.2372840964158316,3.9418596904933647,2.352529451641297,762.7934196686176,24.238343405669557,1.3882941568991662,36.108894136889305,49.65880832300911,7.918370571385155,4.04935540352199
ENSG00000105246,142.7314595515868,260.69409269906083,194.28615336804745,170.74152482347853,95.41378804257525,232.9828642931659,170.74927116347368,227.5664508313667,350.7653839602996,2.1498409868313386,380.76525075376173,13.098516077191066,288.33496945105276,479.76912152160975,465.05131161343695,190.7071595474815,39.90777701118113,297.97001214832164,4.964764707351124,290.4456541389749,105.51451401057524,615.0158267199241,65.6823107766377,652.8133638914238,64.87769616441567,604.879356917097,504.3712990136108,284.4410710344171,11.310993271281628,76.81567184360271,284.10906864141367,53.06499967565439,112.13237923944219,364.7308430908098,342.61150987712807,445.9852556307665,137.05940567198482,304.07502822209636,185.40614104758671,175.57522295489002,1.7463449179493449,410.9555699535868,34.265597933136185,89.18205290032229,135.61095173086906,121.29427509878091,275.42040640608485,142.59412525587538,227.2371357729089,345.62479733464164,145.05573081014205,2.076157816996248,272.8411478632254,4196.202578535797,363.0695379311236,344.49245329013104,24.815585973085494,180.56963930472082,117.33262021629261,1.3045930631951783,11.1104101317853,356.30139824360657,27.100958077107332,203.7266829747549,72.59888962894244,385.13851992027963,378.059634778497,206.7770105789608,657.1877568851259,102.8985026754334,252.4705017573401,240.13841969673325,131.31521272653336,30.45295476730934,358.2177605318819,272.6788779409486,377.6618853126266,755.5381892513454
ENSG00000171236,86.59401075287691,2.7021042753000923,2.2966126012114265,13.647594561036598,4.7940726530742825,357.096023554477,12.618648707983786,2.094565023347233,36.012851959951185,3.501309246822079,12.384473721801486,34.08961863594666,116.00608673803637,57.83786118474762,43.929057919073536,16.489466895067142,1.2432140627707169,6.8372253905046945,2981.881917039815,154.2052855929707,1.581138913291314,122.83931747548928,244.00200263810655,168.7888907034599,1.436511859330469,36.70874807497495,52.512451792236774,47.163595970149366,1.1892028078928394,47.27324958163868,1804.6955904367169,697.2793549025419,56.49879271913153,61.05416508091578,520.3787921415269,366.54962015684475,6.825837780019028,28.487885239896094,7.960274516242154,20.19491734440455,872.329079556006,744.1390662566374,3843.2381088668326,16.807180969591176,50.73877729516735,57.14616414500005,94.34725677823204,121.66744090046753,204.52458429769044,38.188044425131054,15.551601208919669,3149.554583499567,8.797917756625473,450.7811295153807,350.5975682099945,308.5548368021461,1.6441336003477733,10.460574928238236,1048.0496675509448,2.155855530888726,1919.380818502004,259.0848839360068,186.5619602394848,146.5589808213042,1.3345691763346184,147.21136576228292,25.548684969393214,1540.7567513592244,499.06926685550894,247.18276288217473,1254.8682053704863,13.733860930608712,19.065966231679596,2765.249313867588,57.33393178921489,38.431728853705856,313.6463135719352,296.4034015513392
ENSG00000104833,11.24142393935729,471.93442570081174,1079.8021146443564,38.37083303353514,57.5934422687904,6.595839054557438,64.50638475834847,1556.8743796404024,1908.5411791507463,1.2998667261844716,2.2587347671681326,1.9980972191812498,6.40788817712046,11.658194409355442,15.295520613865055,137.23381728514414,6017.687333488227,217.73661533091416,4.084183808552313,9.308481818742175,1274.422151260528,9.689998198251638,3.5986198417150685,13.235372615109757,3215.8481025291494,52.403505537855835,13.401867293854632,15.172660260098635,7436.666482683181,17.32265345908161,1.7973095218423034,2.681627672033117,6.530569202040844,12.838838048497353,6.032667195541674,5.686380618024941,125.79126636148631,29.884058451259794,117.35896525302653,44.62175918293237,16.515030703157297,6.228035343089732,1.6971394986786659,27.741393910783053,18.966418922330675,17.212942248417338,8.236703016437085,6.3921455770026885,5.859934113619003,38.41094687424756,213.89967937499677,1.4811671453878987,188.51226129851125,360.1235991147738,12.2263320452149,6.531446915893873,2343.1775412543943,149.26967746543562,10.40705318014284,210.83013163924906,14.453741893972266,5.510244050031873,4.93470918875307,3.2270166685392305,3305.588177195562,10.5152667737914,32.18914815516993,10.23410963041141,11.060382471770222,5.6157206866196745,3.7082712081521434,39.53887255039726,80.44895976385457,9.562837379971791,22.368253777847492,17.66695047448587,7.5908293467344645,14.649076303156322
ENSG00000178531,494.9572748414445,1977.5021280327253,955.2419057947168,364.0119516151719,1422.1930608662178,102.28285733899989,1156.6067389124648,1397.9399898005315,847.754033139791,322.7918210756016,492.2680695152852,243.20762334454238,235.7021710428937,281.41632072661366,316.99102375211237,692.6292971263131,4678.638005160148,919.6989849008462,1.3438742572407727,186.78711503037158,2085.326845475079,103.6434732086992,273.8828990445962,77.39671656120605,3062.34585847534,391.19802746648617,296.8956643449439,381.2774153685373,1001.6209789788016,532.2368135762543,44.43142242460819,356.47746152849584,396.5244345270171,227.89895998978193,50.799189257811335,78.99968601736245,1769.4255531396848,1063.5259327660153,1669.238122849781,739.3907811499643,389.8511612449903,32.949813608910446,1.7752775064340363,794.2042585022358,338.6982840595559,365.1961808519923,433.7071298648667,347.4018170952703,169.38788560191668,559.554925577242,866.1349642195304,190.83533531711782,920.1754637177714,2.9790548851854703,21.579697662101513,53.242082759539436,1663.0320425572586,1286.1429037586684,2.6946043809328106,1.2265082418479956,24.540985196542525,72.33902377616852,644.6104170379505,120.3142149757679,4418.607187748929,100.19500115745883,507.95659416871814,4.81821920572589,12.319542929653373,295.0401675477711,52.081834507257696,2585.1994099104195,1087.0554065382896,1.6640458609939033,281.88758183407424,450.04080814654134,147.66118839573886,20.930649443878416
ENSG00000142347,390.9648583149008,240.9759590642761,240.42504325154175,402.29605023063755,93.882722969683,795.608323754326,283.8772454816044,201.4387449013134,320.62429569836803,87.80211423774243,248.36571172492293,214.34980575532,350.5966900073359,341.5575272899826,515.2780243804716,369.0790097915576,28.67708396553758,413.9643906716451,3032.6122152258836,469.856605781464,108.97383699988923,764.3987685285587,446.4451208870987,1194.090130204103,94.60045511899735,604.5009960063945,383.0892443519369,469.7494412278069,11.600094341772117,314.9881159331741,325.1569567984469,359.65824655328026,335.02694883515255,461.5760681187674,761.2406084658953,524.975526757899,294.6570303832882,437.8647423949801,368.8951428770716,267.7244011073224,71.88455528904647,799.052699727566,367.37566840014995,285.12516856675103,525.3329031258959,473.71200280701333,457.0151878163827,376.03146997198263,416.58705535992056,489.8645185295413,329.26687745914614,91.0477324604941,422.8301471353272,615.6856417409907,1559.8776444631526,798.4287186027408,111.04399594100421,364.524971062359,2359.9781339041842,10.346089085289508,50.48602611391349,913.3054083769129,256.4304813178046,315.18045447868457,66.65127305087331,815.0131877653923,330.8236122376187,1770.1196318961536,1099.4830451088408,363.8843230221101,680.485861998933,355.2872534881491,384.4080872992963,2015.070915429503,504.6401186440475,523.072232758872,737.9567171320361,1518.1202848429614
ENSG00000267607,1.7935604931606461,1.1925220585677523,1.1886091829513519,1.452778875609296,1.1605788665953594,7.676101587729066,1.376545844056961,1.1580156057431914,1.4087723230916964,1.267305124299922,1.2375630317634156,3.1013906875240367,5.279582879205998,2.060830095030675,2.204938989178503,1.4430215285649481,1.0532037279409805,1.330038491258263,3.107226203088495,3.323310762276572,1.1169321362470976,3.188754023960624,2.9230381507379435,5.886601640324322,1.0924156551463222,1.875799427887884,2.037360107053248,1.843839252083923,1.0406027695236433,1.5589685305824676,1.440676166681491,2.189710154736984,1.6706410475646079,2.400877200945319,16.961577890429393,29.42719340919507,1.2822659111412549,1.546280028955796,1.33499734960296,1.527923607556451,1.1503073403033455,209.16544444824265,4.338239194303475,1.5767262180323327,1.772772441079857,1.7820533317867533,2.3189271996586482,2.2212250905805413,4.116169941065063,1.6068353231043815,1.4031839730647149,1.1158875488018747,1.359909588269339,2.1264905426174097,25.15955834896477,16.863218012444786,2.101788291480079,1.3394243369840761,64.92345801707657,1.0954569666661556,1.2205621013641796,26.142671148471386,1.7689379189693906,4.370917728421983,1.0707343180450648,6.052927578329024,1.7696720812765063,112.54516597419415,44.06039648485962,2.4569851891771717,5.51508727508868,1.2944776485192804,1.4547008541578648,45.80922686865902,1.965712585587789,2.033024734827483,4.563736210787946,66.86850378504893
ENSG00000076662,22.13931705480957,1.8793047078530811,1.9964423054937745,4.61341640103537,1.7430840268011587,168.24571013357453,4.794278184403944,1.8153710679317265,3.583231878139519,1.5082518561346512,3.9262954846492444,27.02638355603146,24.365999829222886,10.3264051233228,9.792161337264792,6.712761305455543,1.259578332303368,3.7870670563307756,3798.471759075991,27.37597124356183,1.5362756729291067,36.907859630377956,66.4888766111277,72.08006198277708,1.438778298130433,8.30107056642078,11.77339946341588,10.731556372700968,1.2645329459570374,15.277026179513491,474.06764705436143,134.24659316610143,13.622262241410859,16.35710642860489,162.2573684954521,58.317379160200765,3.085610224517962,7.533729254454224,4.166290129700187,6.918214737569482,112.51960261385545,594.5547824059792,40.19296365630481,5.960030089626192,16.337998338920723,18.54620304204966,11.2767770560162,33.257386386924246,21.00958191926875,8.610403353777112,4.123089912476186,68.13060293766273,3.369683707786816,4509.369982740672,281.2773103417385,94.42338633905236,288.22580101445226,4.3535527993374075,1840.4608148172708,1.1974430314462807,1.827102791437298,97.57954257680507,39.97740768534979,11.74694400520125,1.3176106268974304,34.51345372374235,8.011229162592471,1010.7518236553979,933.9268922410921,77.97108000557365,542.9338070609635,4.288825121391262,9.653410180123737,2850.5427593660334,15.637614943916066,10.325875536672411,71.69811364013124,178.78249818812145
ENSG00000214212,28.940899964277037,80.29250382532618,103.17913779032611,52.754280360786424,43.323406341947496,98.18673358502863,32.50238667690996,176.46933698471068,141.19057237589607,1.815888837159308,22.334609194793277,3.8692485650753485,46.38800262111699,57.082003370358535,80.95727964112916,104.52648328600017,40.18752303943764,112.32933860541637,3812.9346158391713,65.39076338447661,108.90334099791744,99.02403961010671,11.896838557778766,182.13610463229492,91.9416365265238,173.61533601481878,83.15302022351712,68.37965679729844,18.321232677273198,16.026441589988597,15.075048744636616,12.65370204221465,14.666886779554499,59.915676490970945,143.16312105438905,95.89780177415203,48.95737714271366,66.43875498766565,60.10959599817062,43.15879974764003,1.2197036466514917,181.9872250670461,45.29125109902255,33.14479446958036,59.1529225596867,59.529519306053,46.054001715964134,29.720227731473543,51.072396168292784,82.20622962744977,34.036340904236496,1.329937890615987,117.24165354827973,1323.53826510914,521.165557891322,170.77244976215437,2066.797836530682,94.9319943054891,1608.722317937719,539.1156959818463,3.8505718518130783,154.13042894001705,7.4824929347321225,33.141498639492966,100.94856761609134,139.29160314455277,71.3245764016412,789.2705262924231,513.6275610899128,24.303084415128495,62.01242881395679,34.24246689928283,63.26130649269657,3039.5746220997275,97.75349641448882,64.35445321750868,103.93085067933865,668.3585125514537
ENSG00000105649,384.4896953261378,1113.978592492899,1566.0288692390218,800.9693331993655,1517.781717474337,163.4169388086525,876.0080520410874,1370.9626789718689,1103.9124124728985,232.7514247138509,573.3522449631091,176.8937667000707,215.90461607052558,389.9761958277496,386.7055999551325,799.5670806684874,3562.7069620096527,813.6188064344361,148.94811937548158,208.83296179052505,2326.3519347832353,160.99005241328913,311.836107742048,234.2974080017627,1771.6440522273297,388.34634836906577,317.4038098623471,313.7286337164125,5485.438217146086,466.2113969719787,146.2658458686536,228.55248658340233,264.7341183000129,347.22359931824684,127.87415513377756,143.16610339171206,1259.7737324085651,566.271448652049,887.4399059094304,751.8646696593531,624.7525989739435,94.92665629425879,146.728379063165,553.8903417986178,359.72453920090555,457.3155245093219,222.41113381663146,197.24101042662448,168.20422107455337,427.9238853117008,426.36632932496985,178.16270291846976,882.9526114451629,350.093102710659,179.71293924222735,201.82291656822065,135.57323651165598,1168.3475154035073,172.84430821511864,1881.09902740498,46.81363621342114,126.40746450632652,319.9195241782464,152.7391389665482,2523.92725799855,199.95059695396517,485.11682965185577,184.96195125251307,168.45952410866164,193.1925558050869,147.01577600237684,604.87922550677,418.2414642015001,210.60310915457606,396.55049323690656,390.5749161039656,224.94162547421433,281.33172487183475
ENSG00000130513,485.0924582831296,18.728260616956092,10.875967835042136,242.2628523795695,60.8054071632673,492.0639524691276,106.94054633453736,12.01100198547589,254.39265631690705,3538.327131931519,1267.6356766985243,473.1926040841582,1271.0692831971462,556.4199155805328,397.7124443118707,236.6669435427426,1.4082166072425317,55.572900413263085,2.760320267355673,551.3043084509106,3.152612445539815,281.3580290794082,878.9148183310734,357.282088831273,2.1048407914234355,229.8976683577614,335.33817347735305,454.84387862536585,1.3010260318445463,292.55671980246564,2256.051504448231,782.3588407256311,913.4824867568733,751.7772133213157,766.9711097701689,801.3382898298613,74.33906466953516,347.754936508091,113.62551107901925,302.31788054548696,7.488583342944341,591.146557140474,912.3353672889177,372.98952393129974,359.107786054499,284.1989139147467,840.0713897148426,782.339760087808,956.8990471745104,264.848382254726,152.8613365225721,7.030362644066235,89.25574319012163,379.49784769188625,252.48495531390608,527.2946213607381,19.7285277927949,98.78836395071963,29.202765833216166,24.535586689170696,2617.6474431846,865.5510974319124,315.9714898289285,1119.0401236374232,1.6264027597710988,552.8900993811334,385.0808118685932,90.58714589259499,213.31596589618286,546.0339713070924,777.4190334785062,307.04612757045385,195.50089807770863,7.460209706701055,398.2316617372691,477.6725283400292,706.9096112295011,180.2552754984485
ENSG00000105696,134.35840693297314,1946.9882148705963,1202.7151485260742,559.612833592008,1977.7381098724973,36.65256743079602,439.87332315945145,2577.359002636323,436.29748581820724,1306.3291929127201,868.191605328255,993.1581134885415,149.3165147904379,365.95155268913396,231.3999686046695,438.77085135101896,5336.934763654028,730.7006763222064,1.2631218400187345,125.51157441167987,1682.6856571913167,92.84182176784097,100.99957566177784,66.51275035744186,2875.417100364188,263.08475763299674,240.57964225500115,220.53725021388203,5694.456005494799,202.5478661741758,36.89107371388089,48.949855972721764,250.53108861763707,268.7666446705115,21.06098323219629,68.95645963994994,823.8830865439219,502.8778637378012,730.3635194173031,378.44317437266096,1.7455866289497532,8.056747211708922,1.8345795893561894,588.0371077757973,208.50378552029946,244.77456630167546,299.9895799294313,188.31635404108877,169.57992753932248,467.2484031502423,579.0849450733944,23.90342965540845,1085.9456475372594,1.906724618262344,10.665516192109514,49.41457994428905,236.56173068132065,523.6286983935822,1.8811652489248794,1022.7357808685292,210.22271094114828,55.76217394250061,78.70844383422246,148.8394035843153,2691.4161430768054,83.56716901997284,308.53431020826315,2.8379601702596964,4.674353503398941,59.13961339229699,19.095590381603202,875.4647083812798,324.1845161304722,1.4711847056868639,243.5480761402425,378.78839213019245,64.94987234167611,14.282744880729348
ENSG00000268751,280.44228548062836,607.6236411565266,574.0382152235038,359.18972868843986,499.29811563528176,94.50864344559052,431.42781563192904,685.6240422330923,515.1292067739183,26.186799098443856,119.28718438125556,1126.253197120085,121.72205589451538,157.44103002162407,163.49661358573277,409.11600692409945,871.2088113011768,385.319274855849,1.494656991091437,132.7154499065702,1079.6558195163361,113.34349816549643,349.2827154157421,49.924281644734855,809.829842227044,236.96680253646096,167.44325850523694,172.19282134183152,724.9707929741403,452.42271651248797,71.84193895391446,250.8709372860506,260.2423812176418,169.49162963589797,78.86952561914677,87.31947245331381,597.9850008102313,250.49820645519216,448.1008304544657,444.3423350979778,7545.438971156141,43.9880018345418,188.3787084922446,363.9615750251718,332.1394026903553,409.04434835870023,147.229825820797,310.4491701749951,166.3639877587793,224.05986201338663,438.6635713007353,49.12333041047325,384.78778371722734,13.991244518243748,26.12280863307779,75.15034161926603,1533.8955947274058,425.0799166679628,3.5433244601247353,471.6204398136567,462.8091447671819,57.525253809333115,415.68738713497913,157.09232401772627,783.7649874696509,73.9935333093475,320.77993581633604,8.828590396936308,25.544794987185576,325.9655790080648,57.873040921784934,350.3273474451414,693.4444327199143,2.065619003458269,158.86017697751558,229.28867917903054,116.42992243658156,28.176290287751126
ENSG00000221946,69.12989051004648,786.0754222745181,1013.3298418836621,161.4283189580257,51.17713331758781,69.89399429708457,294.0405783783527,1071.423770460194,51.74263259063003,1.5709782954264508,29.84320264709811,4.357116442598429,49.17325519063152,122.71413303595173,162.73344090228417,181.943161658428,3352.4384232817365,460.08614581843017,406.34204851208415,83.9862755801868,1864.1387071678728,235.3310804981983,22.910610009385344,145.7630059109528,2308.545866821659,231.50365448075996,111.08737958074335,134.2094648912698,4713.798886449623,139.26950540276968,2.2993266581564114,16.810601688320936,80.07423556510531,92.87199760304138,29.213072240920756,48.70481863175563,276.1038318590444,131.58035521966676,321.60452631987675,112.2108766368171,81.97392354251126,47.14945567905675,4.052244263870179,119.62763082479427,143.36025362013143,143.32386097421124,80.0193223915263,54.78071591332865,64.74911897728201,180.20764916162855,140.6089915633042,3.2717988559732785,185.6656873383176,24.80432808225155,87.9619946383665,88.57096316924161,75.50528695932759,276.3899063722434,265.4632025819137,280.97115187460486,1.691765871269345,85.16337888755015,46.859283872133204,62.926230703731875,3908.237443029835,43.825200981450095,218.45403520473067,129.91986524323173,77.9371492855531,47.02610013284642,15.540542594380273,120.42829663082698,125.84712572747544,334.0349191483474,180.58940314082702,151.300342701773,34.5420000409927,206.11631492539007
ENSG00000105697,11.500074293809547,265.50860092045383,288.02184933855057,37.76399985694376,559.16457308078,11.937029104300251,44.5762055358965,636.6054995065612,31.604553430538477,1.3709635066401071,7.140077429504296,2.920452804093358,33.214348767917826,25.306665260737724,54.92555228679271,51.173876534279614,983.1011361195197,68.73865183327831,2.4241968584894726,15.935281567448246,427.4515744593356,14.030587664739134,8.06833827587841,38.43375145462795,640.6907631938054,75.00237556590064,39.164765484148056,31.430374523975907,877.6547871461462,14.640255227845419,1.6180735348881075,7.954799119381283,6.134848740220696,31.79864501288612,9.201292992402184,18.624445670928292,42.2680454610277,20.250696561771417,83.0161623652426,30.00449568949135,2.922699469193203,12.755683892228115,3811.001540213534,28.749905860141588,16.559551046846515,24.585146887040985,20.462568400722724,11.255713197517869,22.532544697112588,40.98365767724425,20.76247486859413,1.3727044536217312,437.01464376558243,1.8141977787450898,12.102563705512596,25.706048957506734,1.6034795047711805,62.52952343825417,5.313478447533168,1914.503829138903,883.3806428046373,16.094825619636214,7.913016659098568,12.220251495246487,1472.715847271483,29.452830667362928,45.035826220170534,13.062428836605058,6.660832575729636,9.105174868117972,5.1071895679481685,11.271778866555724,13.649597970940128,3.3818691509377294,56.05009064984329,38.671873847140525,15.24698260875861,34.31294898421112
