Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
GTEX-13RTK-0826-SM-5Q5C6,GTEX-13OVL-0326-SM-5IJCS,GTEX-16NGA-0326-SM-718AJ,GTEX-14A5I-1726-SM-5QGQ5,GTEX-11WQK-0011-R8a-SM-5BC7C,GTEX-1399R-0226-SM-5IJGG,GTEX-1BAJH-0008-SM-EXOI3,GTEX-133LE-0726-SM-5P9IZ,GTEX-1399U-0526-SM-5K7YM,GTEX-13111-1626-SM-5EGJY,GTEX-147F4-0126-SM-5QGPV
GTEX-13S7M-1826-SM-5RQK6,GTEX-13OVL-0826-SM-5L3GV,GTEX-16NPX-1426-SM-6LPK3,GTEX-14A5I-2426-SM-5Q5CP,GTEX-11WQK-0011-R9b-SM-5BC6N,GTEX-1399S-0006-SM-5NQ7U,GTEX-1C2JI-0008-SM-EXOHZ,GTEX-1399R-0326-SM-5KM1X,GTEX-1399U-0726-SM-5KM1D,GTEX-13112-0126-SM-5P9IU,GTEX-147F4-1326-SM-5LU9V
GTEX-13S86-1626-SM-5Q5C5,GTEX-13OW6-0526-SM-5L3HY,GTEX-16XZY-0726-SM-79OMU,GTEX-14AS3-0126-SM-5Q5F4,GTEX-11WQK-2626-SM-5EQ4K,GTEX-1399S-0226-SM-5IFFG,GTEX-1C475-0008-SM-EXOI1,GTEX-1399R-0926-SM-5J2N8,GTEX-1399U-2526-SM-5L3DL,GTEX-13112-2826-SM-5DUWH,GTEX-147JS-0726-SM-5S2UL
GTEX-13SLX-2326-SM-5ZZWE,GTEX-13OW7-0226-SM-5MR3N,GTEX-16XZZ-0826-SM-7IGM3,GTEX-14AS3-0326-SM-5Q5DB,GTEX-11WQK-2826-SM-5EQKH,GTEX-1399S-1726-SM-5L3DI,GTEX-1C4CL-0008-SM-EXOI2,GTEX-1399R-2126-SM-5K7WZ,GTEX-139D8-0726-SM-5P9GJ,GTEX-13113-1626-SM-5EQ4I,GTEX-147JS-1026-SM-5S2MP
GTEX-13U4I-2126-SM-5LU55,GTEX-13OW8-0226-SM-5K7UP,GTEX-16YQH-0326-SM-6LPJV,GTEX-14AS3-0426-SM-5QGQK,GTEX-11WQK-3026-SM-5EQL6,GTEX-1399U-0005-SM-5NQ8K,GTEX-1C64N-0008-SM-EXUR6,GTEX-1399R-2326-SM-5PNYT,GTEX-139T4-0326-SM-5K7XN,GTEX-13113-5016-SM-7EPIP,GTEX-148VJ-0426-SM-5S2V8
GTEX-13U4I-2526-SM-5SI8Z,GTEX-13OW8-0326-SM-5L3FB,GTEX-16Z82-0426-SM-7EPGX,GTEX-14BIL-1326-SM-79OMR,GTEX-11WQK-3226-SM-5EGI3,GTEX-1399U-0826-SM-5KM1P,GTEX-1C64O-0008-SM-EXUR5,GTEX-1399S-1526-SM-5P9JC,GTEX-139T6-2026-SM-5IFFL,GTEX-1313W-0126-SM-5LZUN,GTEX-1497J-1026-SM-5NQAV
GTEX-13VXT-1726-SM-5IFF5,GTEX-13OW8-1226-SM-5K7XD,GTEX-178AV-0726-SM-6LPJI,GTEX-14BIL-2226-SM-73KWF,GTEX-11XUK-1626-SM-5GU5O,GTEX-139D8-0006-SM-5LZX8,GTEX-1C6VQ-0008-SM-EXUR8,GTEX-1399T-1426-SM-664M8,GTEX-139T8-0526-SM-5KLZL,GTEX-1313W-0626-SM-5EQ4H,GTEX-14A5H-0226-SM-5S2VK
GTEX-13VXT-2426-SM-5LU46,GTEX-13PDP-0226-SM-5K7W9,GTEX-17EVP-0126-SM-7EPHW,GTEX-14BMU-0126-SM-5S2Q9,GTEX-11XUK-2326-SM-5CVLM,GTEX-139T6-0006-SM-5LU92,GTEX-1C6VS-0008-SM-EXOI4,GTEX-1399T-2626-SM-5L3E4,GTEX-139TS-2626-SM-5J1MT,GTEX-1314G-1226-SM-5BC6D,GTEX-14A5I-1326-SM-5SIAQ
GTEX-13W3W-1226-SM-5LU4H,GTEX-13PDP-1226-SM-5K7TW,GTEX-17EVQ-0526-SM-7KFSK,GTEX-14BMU-0726-SM-73KXS,GTEX-11ZTS-0011-R10a-SM-DO93S,GTEX-139T6-0226-SM-5IFGZ,GTEX-1C6WA-0008-SM-EXUR7,GTEX-1399U-1226-SM-5K7XT,GTEX-139TT-0426-SM-5IJFA,GTEX-1314G-1326-SM-5BC6E,GTEX-14A6H-2726-SM-5QGPL
GTEX-13W3W-2226-SM-5LU4M,GTEX-13PLJ-0126-SM-5L3HU,GTEX-17F96-0526-SM-79OLE,GTEX-14C38-1526-SM-5RQJ7,GTEX-11ZTS-0011-R11a-SM-DO113,GTEX-139T6-0426-SM-5IJEM,GTEX-1CAMQ-0008-SM-EXOI5,GTEX-1399U-1326-SM-5IJET,GTEX-139TU-0526-SM-5J2M8,GTEX-1314G-1526-SM-5EGK2,GTEX-14AS3-0526-SM-5QGQQ
GTEX-13X6H-1826-SM-7EWCZ,GTEX-13PVQ-0226-SM-5SIBG,GTEX-17F97-0626-SM-7IGOH,GTEX-14C39-1026-SM-73KWG,GTEX-11ZTS-0011-R1a-SM-5BC71,GTEX-139T8-0006-SM-5NQ6V,GTEX-1CAMR-0008-SM-EXURA,GTEX-1399U-1426-SM-5J1N8,GTEX-139TU-1926-SM-5J2OC,GTEX-131XE-1426-SM-5HL7V,GTEX-14BIM-2626-SM-5S2OF
GTEX-13X6H-1926-SM-7EWD3,GTEX-13PVQ-1026-SM-5KM3M,GTEX-17F9E-0626-SM-79ON5,GTEX-14C39-2626-SM-5S2QD,GTEX-11ZTS-0011-R2b-SM-5BC75,GTEX-139TS-0005-SM-5NQC1,GTEX-1CAMS-0008-SM-EXURB,GTEX-1399U-2726-SM-9YFKV,GTEX-139UW-2626-SM-5K7W1,GTEX-131XE-2326-SM-5PNZ2,GTEX-14BIN-1226-SM-5S2OM
GTEX-13X6J-2126-SM-5TDCV,GTEX-13PVQ-2226-SM-5L3G9,GTEX-17F9Y-0526-SM-7EWDC,GTEX-14DAQ-1726-SM-5S2R2,GTEX-11ZTS-0011-R3a-SM-5BC78,GTEX-139TT-0006-SM-5O9CG,GTEX-1CAV2-0008-SM-EXURC,GTEX-139D8-1226-SM-5L3ED,GTEX-139YR-0526-SM-5L3DG,GTEX-131XF-0826-SM-5GICG,GTEX-14BMU-0326-SM-793DO
GTEX-1445S-2926-SM-5O993,GTEX-13PVR-2426-SM-5RQHN,GTEX-17GQL-0226-SM-7LTAK,GTEX-14DAR-0526-SM-664MX,GTEX-11ZTS-0011-R8a-SM-57WDI,GTEX-139TT-0726-SM-5K7XW,GTEX-1CB4E-0008-SM-EXURD,GTEX-139D8-1426-SM-5IJEX,GTEX-139YR-0826-SM-5LZXY,GTEX-131XF-2626-SM-5EQ6K,GTEX-14C38-1226-SM-5S2UK
GTEX-144GL-2526-SM-5TDDL,GTEX-13QBU-0126-SM-5LU3V,GTEX-17HG3-0226-SM-7EWEA,GTEX-14E1K-0326-SM-5S2PE,GTEX-11ZTS-0011-R9b-SM-DO93Q,GTEX-139TU-0006-SM-5LZVN,GTEX-1CB4F-0008-SM-EXURE,GTEX-139D8-2426-SM-5KM3A,GTEX-139YR-2526-SM-5IJC6,GTEX-131XF-5013-SM-7EWFI,GTEX-14C38-1726-SM-5RQJC
GTEX-144GM-0826-SM-5O98R,GTEX-13QBU-0826-SM-5IJBU,GTEX-17HGU-0826-SM-7EWE5,GTEX-14E6E-1426-SM-5RQI2,GTEX-11ZTS-3226-SM-5EGID,GTEX-139UW-0005-SM-5NQ8U,GTEX-1CB4G-0008-SM-EXURF,GTEX-139D8-2526-SM-5N9G3,GTEX-13CF2-0226-SM-5L3DV,GTEX-131XF-5016-SM-7MGWE,GTEX-14C39-0126-SM-6128R
GTEX-144GM-1026-SM-79OKU,GTEX-13QBU-1326-SM-5LU4K,GTEX-17HHE-0426-SM-79OK3,GTEX-14E7W-1526-SM-6871X,GTEX-11ZTS-3326-SM-5LU9Y,GTEX-139UW-0226-SM-5K7WU,GTEX-1CB4I-0008-SM-EXURG,GTEX-139T6-0726-SM-5PNVK,GTEX-13CF2-0426-SM-5KM1H,GTEX-131XG-0326-SM-5L3DX,GTEX-14C5O-0926-SM-793DM
GTEX-144GM-1226-SM-5LU52,GTEX-13QBU-2526-SM-5LU4X,GTEX-17HHY-0826-SM-7EPID,GTEX-14ICL-1126-SM-5S2RE,GTEX-11ZU8-0011-R4a-SM-5BC6Y,GTEX-139YR-0426-SM-5IFFV,GTEX-1CB4J-0008-SM-EXURH,GTEX-139T6-0826-SM-5J1O2,GTEX-13CF2-2726-SM-5LZWW,GTEX-131XG-1026-SM-5GCMX,GTEX-14C5O-1426-SM-5RQI8
GTEX-144GM-1726-SM-5O9AS,GTEX-13RTJ-2526-SM-5S2Q3,GTEX-17HII-1926-SM-79OLB,GTEX-14JG1-1626-SM-664NH,GTEX-11ZU8-2626-SM-5EQLL,GTEX-139YR-0926-SM-5LZYB,GTEX-1E2YA-0008-SM-EXURI,GTEX-139T6-1426-SM-5P9J7,GTEX-13CF3-0726-SM-5J2MY,GTEX-131XG-2126-SM-5DUXG,GTEX-14C5O-1526-SM-7DHKT
GTEX-144GN-1126-SM-5LU33,GTEX-13S7M-0226-SM-5S2UG,GTEX-17JCI-0626-SM-7IGM7,GTEX-14JG6-0126-SM-68726,GTEX-11ZUS-0011-R11b-SM-5BC7B,GTEX-13CF2-0006-SM-5O99L,GTEX-1EWIQ-0008-SM-EVR3F,GTEX-139T6-1826-SM-5KM2E,GTEX-13CF3-1826-SM-5J1NK,GTEX-131XG-2626-SM-5KM17,GTEX-14DAQ-0526-SM-793AY
GTEX-144GN-1226-SM-5O991,GTEX-13S86-1226-SM-5S2OA,GTEX-17KNJ-1026-SM-79ONK,GTEX-14JG6-0426-SM-68715,GTEX-11ZUS-0011-R8a-SM-5BC73,GTEX-13CF3-0006-SM-5N9ED,GTEX-1EX96-0008-SM-EWRMB,GTEX-139T8-0426-SM-5K7VC,GTEX-13D11-1526-SM-5J2NA,GTEX-131XH-0126-SM-5LZUY,GTEX-14DAQ-2526-SM-5RQIO
GTEX-145LT-0626-SM-5O99E,GTEX-13S86-2426-SM-5S2MX,GTEX-17MF6-0626-SM-7LT8D,GTEX-14PHX-0526-SM-664NW,GTEX-11ZUS-0011-R9b-SM-5BC76,GTEX-13CF3-0226-SM-5J1NW,GTEX-1F48J-0008-SM-EWRMD,GTEX-139TS-2226-SM-5J2N1,GTEX-13D11-1726-SM-5IFGQ,GTEX-131XH-2226-SM-5DUXJ,GTEX-14E6C-1126-SM-62LDM
GTEX-145LT-0926-SM-5LU9C,GTEX-13SLW-0226-SM-5S2NA,GTEX-183FY-0626-SM-79OKR,GTEX-14PHX-2026-SM-6872C,GTEX-11ZUS-1226-SM-5FQU8,GTEX-13CF3-0426-SM-5IJEU,GTEX-1F52S-0008-SM-EWRME,GTEX-139TT-0526-SM-5J1NN,GTEX-13D11-2526-SM-5KM28,GTEX-131XH-2626-SM-5GCNP,GTEX-14E7W-0526-SM-5S2W8
GTEX-145LT-1026-SM-5LU9O,GTEX-13SLX-0426-SM-5QGRC,GTEX-183WM-1926-SM-72D5F,GTEX-14PHY-1126-SM-664OR,GTEX-11ZUS-2726-SM-5FQUA,GTEX-13CIG-0006-SM-5P9HF,GTEX-1F5PL-0008-SM-EWRMC,GTEX-139UW-2326-SM-5KM1Y,GTEX-13FH7-0826-SM-5J2NW,GTEX-131XW-0426-SM-5LZWP,GTEX-14E7W-1026-SM-62LEK
GTEX-145LT-1426-SM-5O9B3,GTEX-13U4I-0226-SM-5SIB1,GTEX-183WM-2626-SM-7KFRY,GTEX-14PJ2-1526-SM-686Z4,GTEX-11ZUS-2826-SM-5EQKW,GTEX-13CZU-0005-SM-5LU8K,GTEX-1F6I4-0008-SM-EWRMF,GTEX-139YR-0126-SM-5IJEY,GTEX-13FH7-0926-SM-5J2MR,GTEX-131XW-0626-SM-5PNVD,GTEX-14E7W-1426-SM-6LLJ2
GTEX-145ME-0926-SM-5O9AR,GTEX-13VXT-0226-SM-5LU9Q,GTEX-18465-1426-SM-7KFTF,GTEX-14PJ3-0426-SM-6LLHF,GTEX-11ZUS-2926-SM-5FQSL,GTEX-13D11-0326-SM-5LZXX,GTEX-1F6IF-0008-SM-EWRMJ,GTEX-139YR-1626-SM-5IJGK,GTEX-13FH7-2126-SM-5L3DJ,GTEX-131YS-0126-SM-5KM1M,GTEX-14E7W-2326-SM-69LQC
GTEX-145ME-1026-SM-5O9B4,GTEX-13VXU-0226-SM-5SI9R,GTEX-18A66-0826-SM-72D5Z,GTEX-14PJ4-0726-SM-6872E,GTEX-11ZUS-3026-SM-5EGI4,GTEX-13D11-0526-SM-5LZYM,GTEX-1F6RS-0008-SM-EWRMG,GTEX-139YR-1826-SM-5LZXA,GTEX-13FHO-0726-SM-5IJDG,GTEX-131YS-1426-SM-5IJF7,GTEX-14H4A-0526-SM-62LEU
GTEX-145ME-1626-SM-5RQI3,GTEX-13VXU-1026-SM-5KLZE,GTEX-18A67-0826-SM-7KFTI,GTEX-14PJ6-0926-SM-686ZA,GTEX-11ZVC-0011-R1b-SM-5BC6M,GTEX-13FH7-1326-SM-5IFG8,GTEX-1F75A-0008-SM-EAZCQ,GTEX-13CF2-1826-SM-5N9GK,GTEX-13FHO-0826-SM-5L3E8,GTEX-131YS-2426-SM-5J2OD,GTEX-14ICL-0326-SM-5S2OS
GTEX-145ME-5007-SM-7DHN8,GTEX-13VXU-2826-SM-664MA,GTEX-18A6Q-0726-SM-7LT8Y,GTEX-14PJM-2126-SM-6AJAS,GTEX-11ZVC-0011-R3a-SM-5BC6V,GTEX-13FH7-1726-SM-5IJE7,GTEX-1F75B-0008-SM-EAZCP,GTEX-13CF3-1326-SM-5LZXZ,GTEX-13FHO-1226-SM-5L3EF,GTEX-131YS-2826-SM-5EQ47,GTEX-14JFF-0526-SM-62LFL
GTEX-145MF-0726-SM-5Q5BT,GTEX-13W3W-0626-SM-5LU45,GTEX-18A7A-0826-SM-7KFTJ,GTEX-14PJN-1526-SM-6AJBP,GTEX-11ZVC-0011-R4a-SM-5BC6Z,GTEX-13FHO-1026-SM-5KM1Q,GTEX-1F75I-0008-SM-EWRMH,GTEX-13CF3-1426-SM-5K7YY,GTEX-13FHP-0526-SM-5K7UY,GTEX-132AR-0326-SM-5KM2C,GTEX-14PHW-1626-SM-6EU2H
GTEX-145MH-0626-SM-5NQAK,GTEX-13W3W-2026-SM-5K7UL,GTEX-18D9A-0126-SM-7KFSI,GTEX-14PJO-1726-SM-68719,GTEX-11ZVC-0011-R9a-SM-57WC5,GTEX-13FHO-2026-SM-5J1OA,GTEX-1F75W-0008-SM-EAZCU,GTEX-13CF3-1726-SM-5LU9E,GTEX-13FHP-0826-SM-5K7V5,GTEX-132AR-2226-SM-5J2NT,GTEX-14PHY-2626-SM-62LF8
GTEX-145MN-0326-SM-5QGQI,GTEX-13W3W-2126-SM-5K7UX,GTEX-18D9B-0726-SM-72D6K,GTEX-14PJO-1826-SM-69LPR,GTEX-11ZVC-2826-SM-5FQTC,GTEX-13FHP-0726-SM-5K7YI,GTEX-1F7RK-0008-SM-EWRMI,GTEX-13D11-0626-SM-5LZYY,GTEX-13FHP-1026-SM-5K7Y2,GTEX-132NY-0326-SM-5IJBL,GTEX-14PHY-2726-SM-62LE2
GTEX-145MN-1326-SM-5NQ9S,GTEX-13W3W-2326-SM-5LU4Y,GTEX-18D9U-1026-SM-72D5R,GTEX-14PK6-1026-SM-664NZ,GTEX-11ZVC-3026-SM-59HJM,GTEX-13FLV-0426-SM-5KLZA,GTEX-1F88E-0008-SM-EAZCR,GTEX-13D11-1826-SM-5J2NM,GTEX-13FLV-0926-SM-5L3DZ,GTEX-132NY-2826-SM-5P9G2,GTEX-14PII-0526-SM-6EU2A
GTEX-145MN-1726-SM-5SIA6,GTEX-13W3W-2526-SM-5SI9P,GTEX-18QFQ-0726-SM-7LG6D,GTEX-14PKU-0626-SM-6EU1Q,GTEX-11ZVC-3226-SM-5FQV1,GTEX-13FTW-0005-SM-5LZVZ,GTEX-1F88F-0008-SM-EAZCT,GTEX-13D11-2026-SM-5IJBK,GTEX-13FTW-0826-SM-5K7XR,GTEX-132Q8-1826-SM-5EGIY,GTEX-14PJ3-0226-SM-6EU37
GTEX-145MO-2226-SM-5Q5BN,GTEX-13W3W-2726-SM-5SIAE,GTEX-1A3MV-0326-SM-73KW7,GTEX-14PKV-0726-SM-686ZF,GTEX-1211K-0126-SM-59HJE,GTEX-13FTX-0005-SM-5N9F6,GTEX-1FIGZ-0008-SM-EAZCS,GTEX-13D11-2726-SM-5K7V7,GTEX-13FTW-1026-SM-5L3E3,GTEX-132QS-1426-SM-5P9GE,GTEX-14PJ4-0826-SM-6LLH5
GTEX-145MO-2426-SM-5NQ9W,GTEX-13W46-0826-SM-5LU3H,GTEX-1A8FM-0726-SM-7DUGK,GTEX-14PKV-0926-SM-6AJB4,GTEX-1211K-2326-SM-5FQU7,GTEX-13FTX-0226-SM-5K7TX,GTEX-1GF9U-0008-SM-EAZCV,GTEX-13FH7-0626-SM-5KLZD,GTEX-13FTW-2326-SM-5K7YS,GTEX-1339X-1126-SM-5J2OI,GTEX-14PJ4-1026-SM-6AJ97
GTEX-146FH-0826-SM-5SI8T,GTEX-13X6H-0126-SM-5QGOS,GTEX-1A8G6-0626-SM-7IGNB,GTEX-14PN3-0126-SM-6AJAU,GTEX-12126-0011-R10b-SM-5BC6T,GTEX-13FTX-0326-SM-5J2NG,GTEX-1GF9V-0008-SM-EAZCW,GTEX-13FH7-1526-SM-5J2N6,GTEX-13FTX-2026-SM-5L3D6,GTEX-133LE-0626-SM-5IFFJ,GTEX-14PJ5-1926-SM-6LLIM
GTEX-146FH-2126-SM-5SI9U,GTEX-13X6H-1726-SM-5Q5EH,GTEX-1A8G7-1026-SM-73KVA,GTEX-14PN4-1626-SM-6AJB5,GTEX-12126-0011-R11a-SM-5BC6X,GTEX-13FTY-0005-SM-5NQ78,GTEX-1GF9W-0008-SM-EAZCY,GTEX-13FH7-1626-SM-5J2O9,GTEX-13FTY-0226-SM-5IJBW,GTEX-133LE-1826-SM-5J1MV,GTEX-14PJ6-0526-SM-6LLIU
GTEX-146FH-2426-SM-5Q5EW,GTEX-13X6J-0226-SM-7EPGC,GTEX-1AMEY-0126-SM-73KTX,GTEX-14XAO-0226-SM-68728,GTEX-12126-0011-R9b-SM-5BC6P,GTEX-13FTY-0126-SM-5J2NZ,GTEX-1GF9X-0008-SM-EAZCX,GTEX-13FHO-1826-SM-5K7Y6,GTEX-13FTZ-0226-SM-5K7X6,GTEX-133LE-2326-SM-5K7W3,GTEX-14PJ6-1226-SM-6LLHJ
GTEX-146FQ-1726-SM-5QGPX,GTEX-13X6J-1926-SM-5TDCU,GTEX-1AMFI-0526-SM-7189M,GTEX-15CHR-2026-SM-7MXU2,GTEX-12126-0626-SM-5Q5AQ,GTEX-13FTZ-0005-SM-5NQ9N,GTEX-1GL5R-0008-SM-EAZCZ,GTEX-13FHO-2726-SM-5K7VG,GTEX-13FTZ-0326-SM-5J1O1,GTEX-1399Q-1126-SM-5P9JA,GTEX-14PJM-1026-SM-6ETZT
GTEX-146FQ-1926-SM-5NQBY,GTEX-13X6K-0226-SM-5QGPB,GTEX-1AX8Z-0826-SM-7DUFZ,GTEX-15DYW-1326-SM-6LPIV,GTEX-12126-0926-SM-5FQTW,GTEX-13FTZ-0526-SM-5IJCW,GTEX-1GMR2-0008-SM-EAZD1,GTEX-13FLV-1226-SM-5IJBZ,GTEX-13FTZ-2226-SM-5LZXI,GTEX-1399Q-2326-SM-5KM2X,GTEX-14PJM-1426-SM-62LF3
GTEX-146FR-1226-SM-5SIA7,GTEX-13YAN-0426-SM-5O9DR,GTEX-1AX9I-0626-SM-72D54,GTEX-15DYW-1626-SM-6LLI1,GTEX-12126-1026-SM-5P9JJ,GTEX-13FXS-0006-SM-5O99X,GTEX-1GMR3-0008-SM-EAZD2,GTEX-13FLV-1326-SM-5L3EJ,GTEX-13FXS-0326-SM-5K7TV,GTEX-1399R-0826-SM-5IJEL,GTEX-14PJO-1626-SM-69LPQ
GTEX-147F3-1926-SM-5SIB9,GTEX-144FL-0226-SM-5Q5D4,GTEX-1AX9J-2126-SM-731DD,GTEX-15ER7-0126-SM-6PAM2,GTEX-12126-1126-SM-5P9GP,GTEX-13G51-0005-SM-5N9EP,GTEX-1GMR8-0008-SM-EAZD3,GTEX-13FTW-1526-SM-5LZXC,GTEX-13FXS-1026-SM-62LFQ,GTEX-1399R-1326-SM-5PNYS,GTEX-14PK6-0626-SM-6AJ9P
GTEX-147F4-2626-SM-5Q5CS,GTEX-144GL-0226-SM-5QGOX,GTEX-1AX9K-0626-SM-73KVD,GTEX-15ER7-1326-SM-6LPK9,GTEX-1212Z-0011-R1b-SM-5BC72,GTEX-13G51-0426-SM-5K7Z5,GTEX-1GMRU-0008-SM-EAZD4,GTEX-13FTW-1926-SM-5K7Y4,GTEX-13G51-2726-SM-5LZZ9,GTEX-1399R-2726-SM-5IJBA,GTEX-14PK6-2326-SM-69LOG
GTEX-147GR-2726-SM-664OO,GTEX-144GL-2026-SM-5LU3O,GTEX-1AYCT-0226-SM-73KVB,GTEX-15ER7-1826-SM-6LLI7,GTEX-1212Z-0326-SM-5FQSJ,GTEX-13JUV-0006-SM-5NQ97,GTEX-1GN1U-0008-SM-EZ6MA,GTEX-13FTW-2126-SM-5K7YG,GTEX-13IVO-0626-SM-5LZYJ,GTEX-1399S-0126-SM-5IJCF,GTEX-14PN3-0426-SM-6LLIY
GTEX-147JS-2526-SM-5S2Q8,GTEX-144GM-0626-SM-79OKY,GTEX-1B8KE-0626-SM-7189H,GTEX-15EU6-1126-SM-68721,GTEX-1212Z-2726-SM-5EQ59,GTEX-13JUV-0526-SM-5K7XE,GTEX-1GN1V-0008-SM-EAZD5,GTEX-13FTX-1026-SM-5J2O5,GTEX-13JUV-0226-SM-5IJCC,GTEX-1399S-1326-SM-5P9GH,GTEX-14PN4-0426-SM-6AJ9N
GTEX-147JS-2826-SM-5YYA7,GTEX-144GM-0926-SM-5O994,GTEX-1B8KZ-0426-SM-731DP,GTEX-15FZZ-0626-SM-7KFTO,GTEX-1212Z-2926-SM-59HKV,GTEX-13JVG-1426-SM-5MR4W,GTEX-1GN1W-0008-SM-EZ6MB,GTEX-13FTX-2226-SM-5J1OP,GTEX-13JUV-2326-SM-5IJCE,GTEX-1399S-2326-SM-5K7YV,GTEX-14XAO-1026-SM-6LLJ7
GTEX-148VJ-2226-SM-5NQ9M,GTEX-144GM-1926-SM-5LUAN,GTEX-1B8L1-1626-SM-7IGMH,GTEX-15FZZ-1926-SM-7KFTQ,GTEX-12584-0011-R6a-SM-5NQ7C,GTEX-13N11-0126-SM-5KM2Z,GTEX-1GN73-0008-SM-EAZD6,GTEX-13FTY-0426-SM-5IJC2,GTEX-13JVG-0126-SM-5L3D3,GTEX-1399T-2826-SM-5KLYZ,GTEX-15CHC-0626-SM-686YV
GTEX-1497J-0826-SM-5NQAJ,GTEX-144GN-0726-SM-5O98O,GTEX-1B8SF-0626-SM-73KVV,GTEX-15G19-1326-SM-6LPIR,GTEX-12584-0326-SM-59HK2,GTEX-13N11-0326-SM-5LUA3,GTEX-1I1GP-0008-SM-EXUT6,GTEX-13FXS-1126-SM-5IJBB,GTEX-13JVG-1126-SM-5KM2M,GTEX-1399U-1026-SM-5J1OC,GTEX-15CHQ-1626-SM-6LLJR
GTEX-1497J-1926-SM-5TDCC,GTEX-144GN-2526-SM-5LU54,GTEX-1B8SG-1126-SM-7IGMT,GTEX-15RIF-0626-SM-6LLI3,GTEX-12584-3126-SM-5EGKR,GTEX-13N1W-0726-SM-5MR57,GTEX-1I1GU-0008-SM-EXUT7,GTEX-13G51-1026-SM-5K7YQ,GTEX-13N11-0426-SM-5KM3O,GTEX-1399U-1126-SM-5L3DB,GTEX-15D1Q-1326-SM-69LOA
GTEX-14A5I-0726-SM-5TDEB,GTEX-144GO-1626-SM-7EPG5,GTEX-1B932-0926-SM-73KUP,GTEX-15RJ7-0826-SM-6LLI8,GTEX-12696-0226-SM-5EGL3,GTEX-13NYS-0726-SM-5J1OR,GTEX-1IDJD-1526-SM-CMKGA,GTEX-13G51-2126-SM-5IJD9,GTEX-13N11-0726-SM-5L3DP,GTEX-1399U-1526-SM-5J2N7,GTEX-15DDE-1326-SM-6LLJM
GTEX-14ABY-0726-SM-5Q5DF,GTEX-145LS-0226-SM-5O9A5,GTEX-1B933-1026-SM-7P8RO,GTEX-15RJ7-2026-SM-6LPJ4,GTEX-12696-0626-SM-5EGGD,GTEX-13NYS-1626-SM-5J2MU,GTEX-1IDJE-1126-SM-A96SO,GTEX-13G51-2926-SM-5IJDL,GTEX-13N11-2726-SM-5L3ER,GTEX-1399U-2326-SM-5K7WY,GTEX-15DYW-1226-SM-6PALV
GTEX-14AS3-1626-SM-5S2OY,GTEX-145LT-1526-SM-5O98P,GTEX-1B97I-0326-SM-7DUGB,GTEX-15RJE-1126-SM-6LPI5,GTEX-12696-1926-SM-5EGJT,GTEX-13NZ8-0326-SM-5L3DF,GTEX-1IDJH-2226-SM-E6CJV,GTEX-13N11-0626-SM-5J1OL,GTEX-13N1W-0526-SM-5MR4I,GTEX-139D8-0226-SM-5KLZO,GTEX-15DZA-1226-SM-7KFS1
GTEX-14B4R-0726-SM-5TDDR,GTEX-145LT-1826-SM-5QGP4,GTEX-1B97J-0626-SM-7P8RU,GTEX-15SB6-0226-SM-6LLIA,GTEX-12696-2626-SM-5EQ44,GTEX-13NZ9-0926-SM-5KM12,GTEX-1N2EF-1426-SM-EXUSH,GTEX-13N11-1126-SM-5KM41,GTEX-13N1W-0926-SM-5MR36,GTEX-139D8-1126-SM-5LU8W,GTEX-15EOM-0526-SM-7KUFY
GTEX-14B4R-1426-SM-5Q5CG,GTEX-145LU-1226-SM-5LU9B,GTEX-1BAJH-0926-SM-79OO6,GTEX-15SDE-0826-SM-6M463,GTEX-12696-3126-SM-5FQUX,GTEX-13NZA-1426-SM-5KM4Y,GTEX-N7MS-0008-SM-4E3JI,GTEX-13N1W-1926-SM-5IJCH,GTEX-13N1W-1026-SM-5IJC5,GTEX-139T4-0226-SM-5HL5S,GTEX-15ER7-1026-SM-7KUMD
GTEX-14BIL-1926-SM-73KYI,GTEX-145LV-1026-SM-5O9AE,GTEX-1C2JI-0326-SM-7EWFD,GTEX-15SHU-1826-SM-7KUKS,GTEX-1269C-1826-SM-5N9E1,GTEX-13O1R-2326-SM-5IJF9,GTEX-NFK9-0008-SM-4E3JE,GTEX-13N1W-2026-SM-5K7YU,GTEX-13N2G-2326-SM-5J1ON,GTEX-139T6-0626-SM-5IFF9,GTEX-15ETS-2426-SM-6PANJ
GTEX-14BIL-2126-SM-73KW3,GTEX-145ME-1526-SM-5Q5F2,GTEX-1C475-0226-SM-7MGXM,GTEX-15SHV-1526-SM-6LLIB,GTEX-1269C-3126-SM-5EGI6,GTEX-13O21-3026-SM-5J2NI,GTEX-NL3H-0008-SM-4E3HU,GTEX-13N2G-2226-SM-5IJCU,GTEX-13NYB-0226-SM-5N9G4,GTEX-139T8-0126-SM-5K7XZ,GTEX-15F5U-0226-SM-6PANK
