,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000163464,3.7024096211370163,18.515288584137373,4.885293731521807,1.4010468774588674,1.2618257655263128,14561.825947518962,1.6775677588870181,1.6346553902922147,3.3433468680054683,1.508003192329001,17.060742937748277
ENSG00000018280,1118.2726862988368,12419.10782732951,3731.790799643585,825.9854149068834,950.9683056541877,14105.11893188668,305.0695164251276,3582.771829292044,1449.632084840967,227.28882488795983,7797.45673049425
ENSG00000130294,2.950834910390094,7.552085135775283,24.417227855181235,2425.174977929543,28525.2862209201,1.2439084259917719,5.393805834927419,209.01878571175317,69.12499400654049,2.4464835373524627,2.6526433271444105
ENSG00000187288,1565.302104165357,16481.310090685653,663.8703663894638,317.65894260172223,1.33238374397246,4.5645105559973915,3889.7064877370426,272.694314218699,1234.8166352134047,1332.7031465647706,7343.545957259637
ENSG00000157017,3896.5460834363184,93.80699023860787,1591.4533010817836,1453.2422607879519,21.595488459596467,1624.8287888366328,24.251174190779146,179.12781759074787,1.5594892025531308,6.742158495657255,60.300554531896495
ENSG00000162267,461.03559360501833,2048.6950941864648,2021.337341627317,635.1989704984312,1.64129863135499,35.43342726210765,574.3034584695395,1825.933144259489,204.19349507174678,41.26791702270472,17213.532198763543
ENSG00000181458,1213.4948515341675,4825.433698199757,3863.196086182602,3156.5918609053174,251.83333706034597,102.12980013474406,15843.615478192336,5939.368118475377,1225.6794950168646,12067.987641726886,7652.601062556877
ENSG00000180353,3852.8053701805425,12699.56056661685,6377.6693122665,1777.362292243852,1345.2590891483649,12569.070385593575,5727.9651855046195,6432.181053828141,2892.5764643432653,2360.808854192597,8570.26814620147
ENSG00000121552,1967.6440662533716,3885.325162120357,963.2407956011617,233.94105056364253,1.6976938924277813,7677.846584926381,6125.099344554314,284.1278043956106,18.942798173749907,20365.5912778784,3683.240183058034
ENSG00000091513,2752.285454661554,3581.7246533728317,1761.0810442615837,2334.1163747150104,20492.178373737705,41.21151355568004,752.8575118725067,933.7388070355678,9.83881754389985,3719.6420665767587,4194.972687811322
ENSG00000174564,169.17894566018845,421.8710511654233,762.9918445194716,79.13923084720689,3.1645990994567543,17.539332732267308,10005.94228360118,349.3998651088535,30.487864458937178,16685.71676299558,606.9065694487185
ENSG00000153002,80.68184468574687,1076.553804369675,199.90336744034153,17312.515834599595,2.564693799730199,129.90464820134557,225.50336005198974,197.88335019580327,16.935653749311754,459.6741933402009,1081.9472896168033
ENSG00000196549,601.8472374319412,3454.439813990798,464.2629167235325,33.18094731423892,28.912990980583,5388.626246048298,15686.88878856459,298.74008096832375,3023.4226131915757,20.416331212659554,1989.5234866158394
ENSG00000240045,1.323098412650104,1.7650147309989421,1.6070083471820797,1.323622665941713,959.4933338550599,1.3409450930083018,1.7485616118445841,3.102840802248459,11208.068864601559,1.632749218244503,1.5324837635743205
ENSG00000163661,679.9143302150924,8973.971765260054,1575.9725292374085,1456.9052896743406,7.891228948544314,1294.1970705788551,22732.83038647416,1145.4001860248004,752.4718501429483,303.62992552801273,8618.942718391345
ENSG00000118849,5428.50143459645,8830.625280487604,5413.704580444397,1350.9730441476163,11.842323001646756,15.603382599729041,3204.87166327389,9427.863724154786,2303.0490993223084,1306.170402219276,14226.554061288938
ENSG00000013297,334.784926011739,2485.043182151391,2222.738491186959,159.1187685928698,11546.719164949358,5.731895463379069,16675.998020099003,4988.143008487296,51.342979202734746,925.3175851262042,748.8734689566437
ENSG00000163347,1289.868611299869,1983.5272430590865,6854.695569723839,4630.105095156444,582.572012058797,10.735268310785088,2235.8610644873756,3003.3910225055447,48.310409474240956,16926.259170429395,4317.437328316919
