Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
GTEX-WEY5-0726-SM-4LMID,GTEX-14PJ5-2026-SM-6LLIN,GTEX-1399R-0126-SM-5IFEV,GTEX-18465-0526-SM-7LG4K,GTEX-R55G-1026-SM-48FDI,GTEX-T2IS-0011-R11A-SM-32QPC,GTEX-1GN2E-0011-R9b-SM-9WG7F,GTEX-O5YW-1526-SM-3MJGL,GTEX-15FZZ-1126-SM-6AJBG,,
GTEX-13O21-0826-SM-5J2NU,GTEX-113JC-2726-SM-5EGIS,GTEX-18QFQ-1326-SM-731CF,GTEX-1I1GP-0226-SM-CYPSC,GTEX-139D8-0226-SM-5KLZO,GTEX-13OW8-0011-R5b-SM-5L3FQ,GTEX-1GZ4I-0011-R4a-SM-9QEI9,GTEX-WFG8-0326-SM-4LVN4,GTEX-13VXT-2026-SM-5L3EW,,
GTEX-14PHY-2726-SM-62LE2,GTEX-P4PP-0326-SM-33HC4,GTEX-1I1GV-2426-SM-CGQFM,GTEX-WHSE-1426-SM-4M1XG,GTEX-1I6K7-1426-SM-B2LXP,GTEX-13OW8-0011-R6b-SM-5L3I3,GTEX-111CU-0126-SM-5GZWZ,GTEX-17HII-1026-SM-7IGLY,GTEX-13VXT-1626-SM-5IJES,,
GTEX-1JN76-0426-SM-ARZNK,GTEX-1F75A-0626-SM-7PBYI,GTEX-18QFQ-0926-SM-7LG4V,GTEX-1I1GQ-0826-SM-CNNQR,GTEX-15SDE-2226-SM-7IGLO,GTEX-13OW8-0011-R7a-SM-5L3FP,GTEX-1GZ4I-0011-R3b-SM-9OSWP,GTEX-ZYT6-1326-SM-5E453,GTEX-15RJE-2226-SM-6M46A,,
GTEX-ZV7C-1326-SM-A9SK7,GTEX-1H1ZS-1126-SM-9MQLJ,GTEX-1I1HK-0005-SM-ARZL8,GTEX-WK11-0008-SM-4OOSX,GTEX-1A3MV-1326-SM-7LG6C,GTEX-17HG3-0011-R7b-SM-7EPGR,GTEX-1GZ2Q-0011-R9a-SM-9WG7A,GTEX-ZVP2-1726-SM-5GU5P,GTEX-S341-0126-SM-4AD64,,
GTEX-ZV7C-1826-SM-5NQ83,GTEX-ZYFC-1026-SM-5GZX9,GTEX-WXYG-0005-SM-3NB3M,GTEX-1I1GQ-1326-SM-CM2TM,GTEX-15SDE-1726-SM-6LPJS,GTEX-T2IS-0011-R6A-SM-32QP2,GTEX-1HBPI-1926-SM-CE6RT,GTEX-14JG1-1626-SM-664NH,GTEX-S341-0426-SM-4AD5L,,
GTEX-1L5NE-1326-SM-CY8II,GTEX-1F75A-1026-SM-7PC3W,GTEX-18QFQ-0226-SM-731BQ,GTEX-1I1GQ-1526-SM-ACKVQ,GTEX-13VXU-0626-SM-5L3F9,GTEX-T2IS-0011-R5A-SM-32QP4,GTEX-117YW-2826-SM-5H116,GTEX-ZVP2-1526-SM-5NQ82,GTEX-1NV8Z-1526-SM-DTX8X,,
GTEX-1JN76-0926-SM-ARZNH,GTEX-14DAR-1826-SM-664N1,GTEX-1I1HK-0226-SM-COH4A,GTEX-WI4N-2226-SM-4OOS9,GTEX-13112-0126-SM-5P9IU,GTEX-T2IS-0011-R3A-SM-32QPB,GTEX-1GZ4I-0011-R11b-SM-9OSWR,GTEX-13112-1426-SM-5EGH8,GTEX-S95S-1526-SM-2XCDH,,
GTEX-14PHY-0726-SM-5YY8X,GTEX-ZTPG-1226-SM-4YCDO,GTEX-RWSA-0005-SM-2XCAO,GTEX-1399U-2726-SM-9YFKV,GTEX-1N2EE-2426-SM-EXOIO,GTEX-T2IS-0011-R2A-SM-32QPF,GTEX-14C39-2926-SM-73KU3,GTEX-147JS-1126-SM-5RQIW,GTEX-13QBU-0626-SM-5J2OG,,
GTEX-U4B1-1426-SM-4DXTX,GTEX-ZTPG-1326-SM-51MSQ,GTEX-1JN6P-0226-SM-COH34,GTEX-WI4N-1426-SM-3LK7H,GTEX-139D8-1126-SM-5LU8W,GTEX-13PL6-0011-R9b-SM-5O9CH,GTEX-117YX-0126-SM-5EGH5,GTEX-15SB6-0226-SM-6LLIA,GTEX-13QBU-0526-SM-5IJFE,,
