,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50
ENSG00000268903,84.36291171931595,87.6913546762404,1044.7176809946425,180.73065847242714,16.573941088709667,90.84714918737367,54.818679730481776,74.94032040198782,46.433558487404675,9.597918439016997,42.15890604076493,59.21407776010694,27.372948770090144,37.049586914386644,184.20076515754042,72.98341578195512,358.61934202301927,56.65813153865317,77.68695096720045,49.62876107743805,190.48242189390365,170.74167174615602,276.5007180066996,60.96295642625766,1318.8288918509115,10.029510293891386,12069.193392841398,69.67190983250384,26.235223397333954,74.86084247166124,70.27401344733907,58.90626809802979,84.3798256566416,11.513504045963094,57.258294314658784,47.861606031771686,34.24087613122006,23.050209627758914,293.5193524708279,51.393746513045045,35.11642105603065,81.32180343429415,131.48488598525853,20.4503393540449,69.3015893082801,67.43259909201586,34.46578248265356,44.29564248731425,86.15510415363876,14.704924485228526
ENSG00000269981,111.53531534377166,172.7138485349738,806.1904205218957,289.30446111498446,27.358591002782852,164.5535257409965,117.85128442765036,163.82427205562215,69.06903322921161,20.76557758547097,68.70803274546971,94.01497728178084,57.443242646056596,69.80979337635455,319.6313959342446,103.40488664838804,490.8573809263164,90.59180555790782,88.79881556212945,52.90485453186623,426.0302003848526,294.0204319632247,485.4265193433284,119.38077230054323,1560.6591442885576,15.87946826237258,18506.027469877314,101.59964703814674,27.457844912886532,101.25462121142672,185.69975972866592,137.95223738414774,104.91707319030043,18.392833971875262,83.4979042331236,64.82084223067802,50.436167103249645,32.10277060698223,589.256306358483,74.60332694678726,71.02213542524909,142.67516156010586,181.13284227113382,32.061948618135524,129.19818792079354,179.39557177222954,43.64921544189138,102.47483679562151,167.33661287355545,22.44402918408763
ENSG00000225972,2517.1625133884354,3017.1311465158933,2292.4405129493343,8800.254702770273,9499.579275720476,3562.1092311475027,7583.468720416138,2269.013240463804,2035.8221020188428,1986.1220973213567,5153.323493161421,5937.10777762865,1355.4312672407714,4469.683569578273,2461.502385820485,1607.7854929106443,1412.1338291145453,2395.7310007980327,632.1209261552182,4539.6209332508115,2157.9812177817576,31137.311966383924,1288.540897809649,5291.10649916961,8947.926448479373,2660.569317557722,1008.2100170887632,1578.8400915916468,8458.815246250006,2070.3493553308995,2812.5113955715447,3547.31815465603,4103.067663945156,10835.418567963256,1731.4692163150125,14925.89428807896,1425.7077476705126,8072.73400465876,1484.4535141673102,2073.1494815767737,6071.554904254592,7915.9162731457545,2546.796796473699,12315.234235746286,27366.41944431247,2401.7553734950984,1879.558152295036,1172.458343828705,21092.807082380277,4961.710330758827
ENSG00000237973,1378.4780563903787,1258.185235837499,1251.1481082761347,2061.7289304002934,6660.796809241027,2057.681844150682,2370.6360320249237,2230.5652517337285,984.8516191413436,1576.3717422855223,1961.9803445450393,6282.008974321935,910.6361455433334,1784.0744018873672,1288.1163756374954,734.5229844353881,788.6090817574343,645.1718475872826,615.405875411411,2154.3453895445336,2815.8389392808785,12362.937185637522,657.1967364306893,2566.6415033418234,4431.954039543102,1140.4699478520358,584.9778645306477,738.1770670827825,3161.3331584718153,879.3906599856066,1737.3565653007333,2761.739001916001,1382.7754926897608,9075.125045202843,747.8629529098811,7426.7406989297215,779.6900496769764,5761.6207445913715,728.1103678244492,2260.752545588833,1654.8406099825706,2991.382911420463,1301.311218376548,6060.437447049356,23435.283508901244,1060.4306114538817,1190.4449009357015,1109.1674823426297,3848.0831332065695,6394.58637996679
ENSG00000229344,581.1486006805713,303.73059474971325,299.1547974565551,278.52400969205553,547.3592033497732,232.90861778991743,386.60482597242157,401.96442377282534,218.96351794251242,204.83063304182528,217.1787252251793,854.4421542123378,210.15085404500473,612.1110918179617,247.00756239765767,303.00152497259427,222.6535037852733,115.1807055596925,112.54486672825325,730.0318474918516,554.8637999294167,2328.966062624823,126.97830433649398,506.0033885440747,311.05795454468637,175.0339824049196,230.94834063771455,162.4792561794917,316.53618099425313,264.4429053454522,165.44914209212683,639.8353838566328,307.17121642793086,603.7425041430207,92.4929567661801,1206.8884306405707,112.95333662546209,976.1309276623796,250.56547948646957,389.08301411162705,236.87717530427818,178.93619638915874,219.4807237327781,613.5872345531776,2188.670533072356,415.6105331441174,369.627743959691,253.4445775436542,533.2556406808984,572.0193301695591
ENSG00000272512,89.48017480331441,44.84188416667066,86.68788451755432,76.77143972055609,38.42914476069561,70.4647083644758,98.8353012395924,82.64449816177432,81.54914856791152,13.752364081042794,83.40749161280905,50.30859387914467,23.1156900763647,49.33036994733525,145.9835833177685,48.17514739482158,45.491616398717646,22.61916438494251,24.476546494814272,42.93643646727705,66.59940036225954,762.3721942751199,39.73520207228312,31.196967638269584,21.68965166070574,11.131546934955326,14.181665861263056,26.906711749951352,63.924223683811064,41.65837209048364,69.35221589021934,792.8532311864249,63.13583581164266,48.92479827271784,29.019670047766937,88.95340131188445,21.781772037716316,127.93996811975563,125.13497579006625,144.34113282547816,104.13705289346592,110.31394448901658,51.8209449494107,70.19021912883477,241.29470854424474,191.0275606500321,72.33676857067651,32.273105861702874,73.88080344705034,59.3749402446108
ENSG00000188290,397.76809383162936,249.9142411692294,589.3944510453794,693.1835334278995,150.30332564841183,204.0919729165209,559.4209790941646,359.23805721960144,193.18570627167213,82.27322140741084,371.3853831568205,230.7049546509405,165.38970260212326,347.2941769138087,418.2089485079305,244.43143438526897,370.0049860495476,110.67186218279043,109.84923785954318,274.91371492420393,457.1444938700316,5937.448345956417,161.5122723167345,216.2649438902977,220.22179652334427,70.78748834463138,151.1990203828642,148.6125543481737,477.2559835879929,222.1697551101924,341.2625242865769,3467.2516467682317,321.45310452439617,128.29257236952034,153.21051908618568,660.0247810436016,98.97019641403871,382.38128710916794,644.4780570770896,468.68716728101725,647.6612255211811,328.8543653447519,241.4403229441,224.70934994758483,1826.4244933941743,762.9485218630915,328.5668278301267,248.83975971474956,310.0617437611797,208.64718669007766
ENSG00000187608,1036.344884241458,500.38192410626687,1125.438432612094,878.6879216413658,199.39042431219622,132.7932450776144,1192.7949383636696,882.9341504125932,463.9450468340985,1124.3510717614877,375.6329171845957,274.4541081406276,125.1753747233542,547.0432626857585,408.71556824905394,673.4909518124407,362.3003872257068,83.65553006129038,252.30191592366663,435.28796980810165,681.2567056291587,4544.191955762263,215.0278225345812,357.2988254554773,14451.492930299502,1083.7109764257245,1728.023889273461,190.92109308875513,370.70324595994975,374.3140345313195,128.11030824459638,2018.2046803977123,593.3579378419811,240.61589256309836,154.66526790369159,749.2267233329721,269.8791335280488,253.57010085548347,1225.6710974537546,518.849867632237,1224.4696720193576,97.80200609600212,393.2769087222339,251.13532702648874,1001.01709647406,984.1742185554067,450.972476462544,427.5911178077453,701.209131370286,362.75796151911936
ENSG00000186891,21.38102220408769,32.27770362093217,27.975485276000864,39.40405503002937,7.121920835270847,641.3428811552341,25.408199969066047,188.23231811447593,25.286836662129165,9.78404291940782,25.14699831366932,245.89627311994025,39.13516563650514,24.03501333083365,25.149788155566963,27.30627452782276,49.71749596867943,42.74703269609697,19.596445482429043,37.15599374462368,25.285339761981085,15.856402755475578,190.30094304361947,119.80731324574268,943.9247242467767,8.676496963831624,660.5652995441932,38.523056279952264,10.573876428379108,24.677026090155884,409.2482742469453,10.179633210928769,17.68253416526116,16.059259881380463,45.12860375956749,85.06852368373498,33.7559205155114,6.9792521402402645,21.79900344733876,35.80687523254468,13.502801781813366,555.3169061544405,38.03088106358051,9.625503735425639,15.13585324956662,21.847457473199142,13.74280612844542,27.33182067331594,42.31612872816489,8.198946379228461
ENSG00000184163,20.924698357703658,30.424422039995857,22.9927203165932,50.589161458017664,16.32464703011803,150.83135937249168,29.763755829898304,41.65429554280497,25.275972547077384,30.59335327376488,39.3427183442939,443.9130794746955,25.95541239475926,19.272535061598056,31.872350397564293,37.24133431909591,27.64079771401369,32.34234037579358,49.01106587377221,23.14049212847021,75.07940329754945,247.8279515574315,62.577988680478725,110.74877979774597,58.234425799576016,33.11114309075127,48.11680191724738,35.951878095023325,12.373322170845947,21.772310633430255,209.84765871143222,68.63966899880059,39.89733007332122,33.03900574410169,40.173182933114646,33.663215551981274,36.23262094712175,22.053399391397797,26.37690586938566,57.96137594427671,47.27866362146706,213.85402684204465,43.30115214336067,14.981280402592285,19.27119911160852,55.84322842576788,19.88375672288141,30.649739804267412,38.14728655452207,19.255107226377216
