,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
ENSG00000268903,74.86821779572843,46.356418936922886,1774.5062055325093,601.6687121031009,23.805863003943678,147.29133690759903,147.81757070531398,140.82565063990634,96.87563297982783,14.478786734661425,19.040324455115787,106.15481698540555,57.47125999915873,127.12782707797153,1652.0347953514997,175.72032464596919,474.00783412215685,102.0967417893343,3337.3589629334706,125.79365028873181,226.98685357769247,168.04828214410185,392.2232313826363,275.37679737316296,6733.045830420137,12.089336244889164,563.5405364462564,262.7236374887439,66.4398571440355
ENSG00000269981,67.56712023603644,89.78222241013573,2079.385171047526,979.3932036962995,40.1735246959345,231.03914681041118,294.1533754995496,223.8703864530764,163.5080441445537,31.776247255598857,32.23705465916162,184.05299530109573,141.10963907037274,217.95568320947746,3849.8902277550183,220.23787197408058,722.7574573431265,167.07440803673921,4198.109291861795,164.28755850220728,477.5315558934388,286.0207307149782,588.6954107387775,456.48804921059553,9256.072079151272,19.954122931246506,1166.8307318822237,530.4686741865885,64.2858984599245
ENSG00000225972,18251.790203060773,5926.013341032874,443.86479690323904,7467.684106254539,11029.408131304479,5280.481988844027,8154.965820239378,4331.887967936303,36912.224093457444,5572.107580172261,17441.920567994493,9254.29803528547,2003.9024710606172,5299.796606492323,371.5915982328947,2730.0758983267524,1522.7725609298022,8709.807088480404,152.77240798646804,75994.31979974695,3209.248264586898,13690.486766627575,838.6206430932494,1608.6047084935249,2199.5719930213204,7147.13235812055,145.00174137043558,13749.863346080567,10530.646870877632
ENSG00000237973,12433.838841702549,2656.3844225349894,320.8218526330984,3663.694837650716,8838.676473956213,2972.0001219625456,3281.696449666485,3121.1798476787703,31160.009033275524,3426.8769976986478,9175.91240480504,9025.354709291296,2092.8841592782564,2489.9032755915423,202.32773850515014,1330.6408742269296,934.6482169014257,4502.665099834781,159.07417614757418,14201.93840128004,3157.5926641872634,8260.100115420464,837.4419220197118,1708.8416322727967,948.8370373917586,7406.661248044918,89.09630721274247,6869.702148993216,3776.8329700430536
ENSG00000229344,3117.134009838628,428.46516078234447,120.76527763464327,834.6052496600739,709.0546969262285,429.3497609680582,1057.370257817835,600.399919843323,2620.8165588412267,362.5321871306953,417.54591982545514,1374.6338019231862,315.44355389179003,687.9521734420817,62.134514174801495,504.6613756749913,271.09390283823495,314.72031773134063,53.39323889040658,1103.5454131696874,695.7932432473576,2388.9050915515795,178.3911339577058,133.05879044349538,106.22374305879889,1622.5993462324873,27.488741089112736,590.5803330200936,807.4125696646331
ENSG00000272512,199.09880779424105,106.20794289418077,4.669159040438282,238.10530945146616,48.500687918096176,110.37745659691171,291.8689283733814,172.5756932234155,362.42469052088444,17.467196461172506,61.081558378990536,94.60397296816069,73.83565963948999,79.55747610378148,5.115420872133277,128.9624616886458,60.93201752320789,29.016627938550954,3.535740596283844,144.283262430019,612.9741897863569,1321.7130308583119,50.732840950553445,12.30960097890767,5.037351500189202,139.97947309304362,2.680025458700963,275.33635259779555,251.86660270062555
ENSG00000188290,1470.7826849541627,342.43029591401057,75.1064245419934,1670.4669978616043,193.90128595425622,356.7794622915022,1016.0160855991078,726.525729246235,2318.5660031075045,118.41134415404608,236.48755804301163,416.1209866514055,477.74913251408657,478.00012198542123,48.04303486238591,507.3611445636241,447.6373320048733,307.2378006165596,29.85470003896515,629.7778723077637,2538.824200119408,8045.560683532167,238.60074121021628,193.062286967384,32.76871792179522,345.3649799852708,19.8606241039037,903.5185857460434,2039.8437621704225
ENSG00000187608,1835.3055348261346,389.0880760897842,795.9914045048879,2123.0656323332737,331.95149965669304,351.54982180604304,987.7535696425605,1739.8976903429,1329.4650963113188,2631.867699504282,302.4984895324961,973.7471958811115,225.08428747455926,791.7282187255848,493.73145575608754,1507.7228975454234,329.0153366470388,14113.38798699823,323.1223479342376,776.8187576506574,2071.825571754753,5067.84085676075,430.61271128128226,4845.314650805097,1074.014646410815,307.75462441861384,226.6302423224006,269.26153792255866,1449.9130914482198
ENSG00000186891,39.90104860663214,30.04751922298884,178.5660450315421,62.87227303141784,11.511985878189455,99.32764348434414,31.19638961100568,56.31815063788626,14.970937029378481,12.048210416961798,12.82859674547659,491.41943743677444,74.09792067746406,197.50393541513637,140.76127987630002,47.97453487234927,146.93128361953947,444.8140318544687,132.0812256640999,47.65427722500046,26.465956648672172,12.15964927264873,101.26065216679551,526.9394719917213,233.34088197702752,6.685501974769192,135.02995180334204,2045.081865615886,21.34947542208351
ENSG00000184163,51.67052011553695,40.97775024324158,15.888608327162393,152.02785245995148,27.0721153589106,87.28301702819594,109.61214296697494,87.1076276886344,31.994842123658714,69.84797741015646,32.996099287662375,540.4112660426288,79.73600074355956,78.46978121917644,13.930539640640191,58.98621180466593,54.68091621589468,41.58415750038439,13.31211437358849,69.29376846548898,91.48524814796694,263.3631903420734,48.63237365923597,26.155451685681115,29.036666861021263,29.029866239912856,5.527820050569387,731.417343003837,59.15704057011118
