,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
ENSG00000145386,56.45505917086013,221.24330471081683,163.297415858559,73.63326491216795,2273.4557727037663,293.271931585609,144.87409720738177,860.8953633809217,122.51236109594132,2339.563420678671,311.0946940123623,59.82190163417087,471.0716845781605,179.26440809323125
ENSG00000164056,1734.9823045763249,2535.400422926328,407.64618118757875,4231.005868814657,1651.4024214295132,3714.8680780342124,26215.028979752962,7735.386545036274,3047.835076230743,2619.786251090254,14598.705010222755,1734.4482966255396,795.0552400722246,356.68658623950637
ENSG00000142731,15.215760967297996,56.13760578699349,28.499597868237217,29.799143243443485,651.9916030238513,161.9149672752395,46.0878051511035,107.79989116852846,21.270283974750864,478.24960942802954,115.71133384426639,13.385905015979993,133.19106373161992,32.53628064280918
ENSG00000189184,126.13628301375819,281.09189782060434,43.75093880491022,313.87680127254737,244.98297571991606,167.86959976363372,1695.3096212352714,3226.817949187616,186.85240622755953,3042.236595122187,1075.504845084306,105.13020634929916,67.87757525298304,65.0236450093825
ENSG00000151012,19.091319679208144,438.79399489116093,17.68919565386823,89.92478558136042,307.1303773461708,48.31691765121674,43.05854363050532,98.93748283363833,118.62342984729467,503.61989405486986,488.9858047848744,8.756731933794585,75.06372494065766,396.56882519791276
ENSG00000153132,996.3745052638446,36.56375630565035,9.135993122326846,72.63514499545974,48.1767926980205,14.989293000011228,47.21419920021259,401.33950515300836,2401.1856068247816,145.8653837729608,33.91018607299727,19.379841416399255,58.289802272205755,339.190570184513
ENSG00000270681,137.3807476568671,141.19693544323025,59.46083000689433,189.50914931577154,60.74902190183691,226.9418637280628,427.3307182309895,371.62680913091333,49.72235507911879,62.554090195069776,159.56457208028866,373.61925188975175,25.048015424592492,183.07280770785667
ENSG00000109670,699.7143843950411,1160.8679205527446,284.75987829853267,724.8754011226614,1321.7181377321053,2779.917232373101,800.3751196629037,962.4276022820922,569.3852974013188,594.8781453574329,861.3141223948526,836.4625780639982,421.8549039001905,1470.8131693364014
ENSG00000109654,124.42227166784292,2953.750999273044,30.60826055616113,1125.8623088097881,1062.9545572903946,362.89642654910523,529.9215527538055,983.855162756991,256.1239923114473,480.68259898204866,2999.027270997793,94.38507378523386,319.8198550475452,2382.579454518669
ENSG00000121211,15.112830751214823,30.141310132688268,17.382079514480207,19.944703392474967,544.8314501852461,51.832287712363645,31.57401045932394,128.58757531428412,15.979197230407351,306.94827453019485,42.568498814234594,16.122428129045417,87.17864493642062,34.04366034561715
