,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38
ENSG00000268903,23.93172992852864,96.25787006623675,9308.310616429726,37.85478135573824,212.2463769178429,63.392617985461015,23.146372656454247,167.72672836271235,140.57918447825418,134.62315044601863,160.0872344897874,9.674655880376845,43.996293529414,41.94844807840701,326.0754581906604,91.00091532233273,205.23095298438878,232.89521148637044,109.51076095528171,77.4209412187496,92.74271042480702,228.77445897862398,497.90524438724054,141.12604339496227,131.3560677764642,52.770966477724755,4563.98634793696,66.80803103301771,48.27492176934943,57.05700199796227,163.2095397326472,40.389724352938536,12.375928562933181,25.621729769471514,466.5191031192494,10.425181625307744,90.18825947862113,33.48879673462242
ENSG00000269981,33.71180316899906,204.41159006092983,10951.732215367145,56.31465787947656,358.93226398971694,99.89860036810782,55.5775920967737,287.1041717548976,198.8001085228779,280.7190278695023,269.71661511189967,13.333418806244666,83.52968762363112,72.65976822647842,570.1246515818257,127.73664232788168,218.33309313735447,404.937850998361,168.91584146811573,86.12014474755038,195.02595926465554,369.6066904560909,821.1866759980865,220.54417085395647,169.60716791315085,80.79985732765834,9355.630587715686,94.13585730256078,71.13780320239307,71.9397991695583,385.00425437972746,92.49915203823349,18.790161040771554,42.23246863017979,686.985825224609,21.744538251003522,131.26677429241386,47.38295048630761
ENSG00000225972,2826.6941191830138,5047.506275122505,2192.956851333959,28653.742075616003,7420.687720545739,4445.063978871403,6677.9096726973185,4791.398345663719,10274.958191347188,2438.7536934837244,10645.03040217363,3230.7375673371434,5601.824109413528,5838.144554882712,9209.033027774578,3225.9141542269504,904.8182686914726,7364.9623765473,5694.36718428243,9562.714299063224,2953.0643402101246,29363.221577641092,2275.4623883591357,3303.9158474227393,15787.919883536964,2704.6987315233478,644.0778015492807,2337.031135777567,17753.011512568024,4327.410489275555,7703.559249595168,4459.373123403579,9049.012233676838,5669.166679906693,4548.472824079465,19657.853601829793,4923.258695818978,3343.4024130193866
ENSG00000237973,1730.125528487733,1987.1628863945125,1153.6866952889934,4424.089985634021,5035.598790667686,1591.2998123373404,2784.610840123416,2326.2692073615176,3921.3922388435494,1505.4534130881245,3543.4018544834144,6881.5206859573,3414.241201910312,3724.379727296851,3408.2723693271773,1538.510952385694,870.5561602312422,3111.1199978910518,6969.841721570953,3336.3534652479107,3666.755416992539,11660.595549327028,1041.570583618499,2019.9289869012177,7932.237827759096,1248.5283149782038,346.63162697341323,1012.383755176617,12117.109814998788,1865.0162891317893,4206.409781109025,3061.3448431521683,7419.848832399288,8770.227503981465,2716.693834932895,13230.672285210452,2015.6514237176855,2440.481708395209
ENSG00000229344,342.404105391543,505.43580847877297,271.28569122718517,288.72513381712173,335.735887014568,229.56741046061734,235.48175911334306,767.4834580676587,889.2857672197985,448.441233063107,323.745941407838,739.5120848182228,570.5755556757543,998.9941679632657,627.493793994005,521.5775686347283,219.56951774312498,518.6187005787024,1144.7243147554348,832.4316435419706,1124.5045213422995,2473.284663418234,240.40752553361108,369.6836447792006,739.989517292431,369.9281433589988,115.92402047551293,193.25285140741946,1076.2651295146875,495.149152013971,321.6766434377131,299.29818550599236,1007.8350721899917,903.7581578678643,336.2739290412883,956.2768342809886,212.65597668915427,323.3715412609738
ENSG00000272512,74.17107148124296,55.10145141951644,19.833691735182157,57.67007659632978,39.43816371594305,45.78209021919811,37.380316380075946,357.3369939105597,272.9517713538799,103.40133574523917,124.06698454326781,53.87614011321058,48.604498085775326,65.83423651465793,290.3357651046672,57.58021245732595,34.682166007288316,68.93999160079846,70.75203826522694,55.07204175622236,174.89497133982178,1317.6802963044036,66.17936528136562,48.761306217177086,112.7190384145993,51.817906336170644,14.42408097127207,38.529528432506325,153.4138147748292,67.98514808788627,171.6518590796545,123.20117470590282,111.42986536056613,73.72063630070332,121.72321545023651,79.40443509014202,68.49929225551388,75.94211961072503
ENSG00000188290,274.141796528032,278.6635118299327,230.81765126817766,422.3762275957733,347.74131150580894,153.6799951460224,217.77077268673023,1829.197498338781,695.2636597950847,551.9562054699511,722.3637071292148,191.71957058049531,398.443169306836,466.6719209686577,1035.3438487916503,307.199445329824,290.953870431043,419.20364925292154,266.0446184569977,370.6006953384421,996.7282228883316,8090.814688539358,364.234662098942,452.1235443347813,392.33240049722195,314.13537119668484,95.24089570528719,176.13974578397446,1459.604298180168,357.4558361013522,636.8180333698183,775.170773367929,417.94890702653527,364.00797349612617,779.9110133437432,196.90409653004318,234.70366297866508,391.9862016612554
ENSG00000187608,395.9700726679466,343.88076834611104,2030.2273379691137,293.11612156558897,12445.871159536198,201.01605375228957,1593.850258729931,2429.6246959624114,1412.787697401955,2239.1191530828655,856.6511611745877,129.01042012342728,311.78317054555174,707.2751666890862,1002.4532120689674,1145.414021254567,397.5357899114626,466.29124902034675,847.0852493403336,637.4666499081327,625.7432745708178,5063.955476148242,379.071710609958,952.7743104677471,500.9367648631551,2642.568967274054,1046.09152871636,150.23231247256433,802.203587664342,471.257982148886,201.82287813904586,2026.2726094156642,246.31441693102576,301.6080498920996,1223.5536238534514,143.60456678219066,192.02486823231334,250.14668191874787
ENSG00000186891,7.673477588089104,74.24819744669493,375.3502399014491,34.22218201751366,769.8203336154272,107.38396539461925,34.75224110122392,44.75427809754909,81.10600066815091,44.00848612080386,46.667323863634664,9.921675475254435,70.75365506550828,36.02311007724223,46.591876925532205,40.30224747098649,34.419684202862456,59.97850648966813,381.23770836433266,55.50132319723748,22.055842059917047,16.223911984848197,196.14492637137533,53.607693629094975,17.080754012754976,31.168932981912484,490.5416511913266,84.15864795155977,12.314213648698562,31.264676079435528,1267.1391213404238,8.190698203650435,6.276627145897781,18.42231912778917,59.26023446030095,15.875102385027366,313.85857515980456,8.737739153654056
ENSG00000184163,8.725022822354063,109.59045897507343,42.924514952068186,30.286618713048394,43.88524751033421,63.91332128305246,13.345631251380505,79.7180593744738,90.48192191412059,59.75016777382651,65.78078846398489,21.669249549202043,49.446162512982596,20.142903594691855,65.11611625505905,56.07660320446972,42.037924177032856,131.32862270811628,463.9902699405217,28.473716796236566,68.49441051277518,264.50674001197507,70.15479632210355,27.855694600873257,22.700459152378176,55.275624012570646,29.2927181583169,70.71250940195301,13.358468421761026,19.91089511682398,448.0468112578436,58.76408710081164,23.74628101864429,14.846375635236226,83.6988229169324,36.46067016587864,106.85258578051172,11.883813513016731
