,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26
ENSG00000256115.5,1.0090678557520174,1.0267144531417849,1.03284434217417,1.051064358783043,1.0055410727425522,1.004893297680125,1.022108312420429,1.0194246876701671,1.007109031987854,1.0086428749590295,1.0221830135519363,1.0104479272322162,1.0057177281635803,1.0056241832876271,1.0213182732597572,1.0243196290225904,1.0146778480306649,229.5366733188882,1.007451293949453,1.017670436510982,1.0323822020330853,1.0059523960187928,1.009216058312433,1.0059023199664112,1.0045791215606763,1.0062581270396667
ENSG00000111644.7,4.409154138790604,6.568767552808693,32.90690331997717,171.21882478568563,16.980680112712975,57.07017022464189,376.9400609699852,196.73068681996563,42.47160558332363,2.1340159635265117,3.3094902650466196,7.304574345619689,5.8444954435368945,137.27849597941167,23.84971047445726,86.30346561748182,7.027630330617027,10008.259913939964,244.8974452604099,16.75623563925516,47.29918675402608,9.48320569481,28.931718634749345,391.10908673582276,304.74610876848976,10.743777694151724
ENSG00000255572.1,1.0069585539609278,1.013441147499207,1.0080990550882556,1.0741557007678268,1.004923604726925,1.0042038371915345,1.017320705322963,1.0114694248386333,1.021099560183119,1.0085039843859922,1.0168340217980283,1.001932902369106,1.002226124382856,1.528676505841333,1.0180150020030585,1.008595108347925,1.005667619461968,113.02499329585932,1.0162164031123226,1.0113081221614986,1.025551228735438,1.0049774581644562,1.0072715622705002,1.0288170130571517,1.089012972470249,1.00726457017253
ENSG00000111701.6,1.1059043472751067,1.1307688421537652,7.0234678351999,1.177744178308121,174.6302043010928,1.0543823912892136,1.2122214457251983,1.0683192120904275,1.1458808176435542,1.0742272438563956,1.160399747765425,1.1574213593842986,1.09754817405533,1.0733019176834815,63.61740886888746,1.3279896590045825,1.7128527404918423,1.1445287728906448,1.6156229333447283,1.1258837626022233,1.2841653159129063,1.204760141064796,1.0754126724944728,1.700377036353113,1.152845518515775,1.740208102488873
ENSG00000198178.10,1.010450818304848,1.0160554864167683,1.018711012915228,8.200154416268168,1.0134196466568188,1.0107752202119777,1.0242285571773886,1.037662150972997,1.0170267855929338,1.0181567973459398,1.036354229928989,1.0091914321259339,1.0120465560822371,1.0240619385544014,1.0337568767455525,1.1231304643644986,1.009136714929301,16.685540138561112,1.0233458092107994,1.013687199788205,1.0846616584290314,1.0155045169597143,1.0108873951460549,53.00912684030804,2.507959247214055,1.0037856395526519
ENSG00000166523.7,3.476285798320558,4.008638873413038,7.837003624393385,537.7900376065958,10.082291785387579,16.87974424426691,370.41990377946445,51.07257964690053,36.275415626218816,13.70131671357212,7.292159045900866,7.387291060793442,3.0108516673644647,754.9065272894919,14.100041715879751,60.69598349642263,5.678865818306074,19.51021724557611,626.7341056319585,16.989257001441654,49.15588175424372,27.112802852387947,8.676312620889584,7668.220394480413,515.8897716177484,2.922298494692296
ENSG00000255801.1,1.0118684957586952,1.0221820525796925,1.021292142624656,7.423773656918119,1.024318549477066,1.0085105381332347,1.0260609257530555,1.0697095135000452,1.037815607889987,1.0198206514591628,1.0665221832574603,1.0313320733046776,1.0054735965107295,5.592460231440317,1.0757675063820562,1.946275206667519,1.0246919897784632,5.394852431794922,1.2297187999834003,1.026320660923318,1.0360661448482402,1.0547521483534004,1.0101086255517406,120.56019983511737,6.370415212721472,1.0089707304528388
ENSG00000111732.10,1.0332596823333895,1.0985042841949522,1.0618291782750728,1.4482221849324235,1.9383510498960466,1.013903313097285,1.376510391277117,1.0387528837957127,1.0727305320388745,1.0852473388864956,1.0479786491799756,1.062664085330991,1.0177799910546375,1.0837681983003966,2.2833672824826206,35.33820994221619,1.141863094497397,1.0365214304563548,9.673730387800088,1.1227936704483286,1.1114116152893914,1.0589547878115808,1.0093744288298834,1.3733530782064145,372.71936499966256,1.0175433554237165
ENSG00000166535.19,30.896500788093743,80.31473594772712,13.098194375676892,14.72288878962494,29.169294972973045,6719.577641393153,11.973071379030902,114.07723762964756,15.177564759531043,8.51666852363699,10.347887122052581,16.043583295205483,8.826007092083952,15.10301157948154,9.330508546168796,7.377039952432188,67.9988134024392,200.00408376198888,111.45578416092823,33.22257943117547,23.762931558358044,16.102807968121674,29333.76643482869,11.528223386647026,6.3091479874158125,16.370697774880163
ENSG00000256442.1,1.0418980520970837,1.0645025199426597,1.0691886202636665,1.0896931379938444,1.0196183820053009,1.042694534831588,1.0478383444870052,1.0463623814349008,1.0215178549061141,1.0199221169080308,1.0423893485133418,1.0218662362842688,1.0196878853622897,1.0167924559486754,1.113441952911263,1.4331427870764988,1.0208414095950429,1316.6602217851569,1.030320219272559,1.051522508427391,1.0594030442356077,1.0206488578004287,1.0334233625722375,1.0095479052630707,2.032658416391668,1.02160499405399
ENSG00000256803.1,1.0072417417559445,1.008265734105651,1.0067726183976664,1.0110321749167581,1.0023166801296646,1.0032461958461292,1.0098112024774906,1.0086344080469283,1.0032320212180323,1.0030927166338732,1.0093855155006195,1.0053802478775586,1.0034517507302458,1.0035579916893123,1.0027007624925708,1.0065442802403548,1.0033572918400664,110.04870338752025,1.0005747402209149,1.0080661485140736,1.0131969582713918,1.0051183226772453,1.0047691679656483,1.0013572087281628,0.9997690626764725,1.000691227690552
ENSG00000165685.8,1.949928636996156,1.3222046708841242,1.4741443487066759,5.525022064462171,2.1043995628605217,1.205371458966527,1.4100242553559883,53.51984069249967,1.8049774223063035,1.1905705725048976,2.9466014044102127,1.424331221337877,1.2525068974389268,27.37273068554391,1.88858745162302,4.213505695073846,3.684612089171075,10.610570261911112,4.209500541469078,1.3602291636325077,857.9792362336075,1.4118907470824633,1.305149692653455,3.34355323272134,2.560425662731978,2.340639055431484
ENSG00000111215.11,3363.650438903051,10054.206384841062,29.201139675119933,91.85926888115951,25.51104557621678,955.8233960261426,255.41315181566694,709.0287596092533,76.70744430092594,74.13974187945527,64.92078183782954,173.93694766903783,6.449943761096699,81.41164566184997,36.93195113340441,90.3934248533061,68.43844991332851,92.02786505251633,1097.6448475062698,128.51725022074285,277.0725987758353,29.815516316677446,198.64963635843205,26.1463169782136,150.9633549245843,18.254015307896346
