,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12
ENSG00000271614,155.3174734793188,109.47015278853546,166.97606820585258,81.52481640802506,107.04298576315625,121.15446069116992,134.47131372119148,648.7005691382512,82.88442205199566,100.19061053973991,171.65638026756295,174.3855080066997
ENSG00000258725,43.46952114399744,59.61843243105044,46.45706737266295,29.310939390205334,44.02244984700689,72.48822201760935,9.073108765495165,129.23984285477863,54.2705804811271,57.203422421201275,46.29930273786892,52.4805754880369
ENSG00000177694,82.07189587654895,108.25350228548925,82.31177551377286,108.91009841270137,95.13263889990628,32.277368522685414,3.1371232547700125,35.145271087853516,60.92539767461009,120.68321862505938,110.16863385339207,42.821453638963575
ENSG00000261501,1.665727608461628,1.5455268279748229,1.6601198873979506,1.5322258598741554,1.7424213906207544,1.387041954518066,1.3724941560333297,1.956694996152562,1.6669261426712314,1.4949684182148726,2.009323162847217,1.775037677837834
ENSG00000239910,2.5664653061040026,2.4973114896699173,2.2266433475940075,2.232811731198186,2.732294045643412,2.346271478747023,1.205739180946993,2.3274582157917036,2.476463001660449,2.7501808134101697,3.116664053192193,2.5573944229790584
ENSG00000263974,2.832813221679497,2.540384391134531,2.3308309037953725,2.529611089510635,3.1063021529442336,3.1196892457757883,2.3109476159396647,3.522428922821304,2.5131926990474316,2.4482839832315504,4.082074753433691,3.012117668451546
ENSG00000248559,29.602914731885008,28.609366204348476,37.29215408220544,33.45176827160235,30.196612361964007,61.08158449329649,15.723464371467863,56.05404773782836,19.20976416374878,29.998313457920712,46.30583020344356,41.09676799506733
ENSG00000279489,84.26411910124514,143.95778217890356,67.34601740015593,130.11037037875414,37.60074983395519,1340.0709304760073,8.369266017746783,27.9199346572534,28.740434364171925,386.5012583057308,39.15676174060038,26.56468506001488
ENSG00000135407,372.9388294203433,376.24262590948484,351.82959664518046,499.99790461191867,300.1146683980337,722.0792767842174,338.5639463001569,435.6707599648582,355.3193660783254,346.51351626568925,848.6226820441714,513.4423739167553
ENSG00000170165,14.226756954944621,9.754832901000869,15.39052039904899,15.633468311986476,15.513807222644804,12.784331010416423,1.825123831904853,31.82090376624271,26.63081640523664,9.207009879829751,28.949321495296797,26.415231161833706
ENSG00000213757,114.45830608998963,109.11712287717289,132.76598261356781,148.73171699106132,170.85458020276297,86.8562453593502,24.857815794424347,85.50027352799837,150.37485326526806,147.06787899842737,168.8159881305704,111.31635466357855
ENSG00000275936,61.21310021764034,54.131689209469485,78.62471652074902,54.85719361844886,82.33174533119869,25.486451749841592,27.788428408359774,65.26593123960016,71.3816100415597,35.401975400862916,135.2352050289606,75.67586345443016
ENSG00000249197,1.247187788763346,1.2307020220620934,1.2346142470147417,1.2413686213204786,1.1847675545031529,1.3392026885152963,1.1761716653621395,1.1689594634320668,1.1683890956452516,1.3034231464720867,1.267146409722929,1.196636829706046
ENSG00000225738,1.3178941053085487,1.4503125264630445,1.3333851133756727,1.2747199570456351,1.140095026363957,1.4949503906188064,1.0129266932873215,2.314017921864923,1.246511360006315,1.7067306296283535,1.292308722154353,1.3079088064789801
ENSG00000216613,3.2747489746360805,2.668581612937408,3.9365846923908125,2.512284588495997,3.266591617724128,2.217165351879325,1.1812939113404526,5.99362315512779,4.398311194148466,2.314559132478403,4.160690397141744,4.537258897725498
ENSG00000153574,1796.2900784480312,1368.672319776994,1457.7119841429567,1510.3444086600748,2844.089078718634,2233.867540488224,985.7059397126623,982.2636380224822,2106.2233503372195,787.8331745962004,1928.2221620737223,2181.655109106416
