Cluster 1,Cluster 2,Cluster 3,Cluster 4
GTEX-YB5E-0005-SM-4VDSO,GTEX-13OVJ-1426-SM-5K7Z2,GTEX-1HR9M-0011-R5a-SM-ARU72,GTEX-QDT8-0126-SM-48TZ1
GTEX-131XE-0006-SM-5P9F9,GTEX-1F48J-1626-SM-9WPOE,GTEX-11GSP-0011-R5a-SM-57WBE,GTEX-1LG7Y-0526-SM-DKPQC
GTEX-14ICL-0006-SM-5SIAB,GTEX-13W3W-1826-SM-5IJDE,GTEX-16YQH-0011-R10b-SM-7LT8U,GTEX-1M4P7-0226-SM-DIPEV
GTEX-PLZ4-0006-SM-CYPR7,GTEX-1F5PL-1226-SM-7P8R5,GTEX-13IVO-0011-R10a-SM-5LZY3,GTEX-12WSF-1626-SM-7KUG5
GTEX-1H1CY-0005-SM-A9G15,GTEX-11TUW-1226-SM-5GU7C,GTEX-13VXU-3026-SM-5LU3K,GTEX-XPT6-0008-SM-4B64Q
GTEX-14E6E-0006-SM-5MR5N,GTEX-14JG1-1826-SM-5YY9Y,GTEX-1HGF4-0011-R5b-SM-CM2ST,GTEX-1JJEA-0326-SM-CNPOT
GTEX-1B933-0006-SM-7P8OP,GTEX-18A66-1526-SM-72D6Y,GTEX-1EN7A-0011-R6b-SM-9QEHW,GTEX-11GS4-0226-SM-5HL77
GTEX-XPT6-0006-SM-4B66Q,GTEX-YB5K-0726-SM-5LU8R,GTEX-1B8SF-0011-R6b-SM-7MXUD,GTEX-RVPV-0008-SM-47JYW
GTEX-1GN73-0005-SM-ACKVI,GTEX-ZEX8-1326-SM-4WWEW,GTEX-13JUV-0011-R1a-SM-5LZY4,GTEX-1GZ4H-0526-SM-9KNU9
GTEX-1HR98-0005-SM-A9SKM,GTEX-1PIIG-0926-SM-E6CQN,GTEX-16YQH-0011-R5b-SM-7938U,GTEX-1GMR2-0008-SM-EAZD1
GTEX-Y111-0006-SM-4SOIO,GTEX-11GSP-1726-SM-5A5LI,GTEX-12WSC-0011-R9a-SM-5GU4U,GTEX-11WQK-0008-SM-5SI6T
GTEX-1211K-0006-SM-5MR53,GTEX-S4Z8-0726-SM-4GICB,GTEX-ZDXO-0011-R2b-SM-4WKFG,GTEX-1JN6P-2926-SM-CL54D
GTEX-17JCI-0005-SM-7P8OL,GTEX-ZVZP-1626-SM-5GIDJ,GTEX-13FLV-0011-R10b-SM-5LZZ2,GTEX-QVJO-1626-SM-2S1QW
GTEX-131XH-0006-SM-5O98V,GTEX-1R9PM-1126-SM-E76OX,GTEX-1PIIG-2826-SM-DTX7O,GTEX-1QEPI-2626-SM-DTXF4
GTEX-UPJH-0006-SM-3GACW,GTEX-1JMQJ-1026-SM-CNPP8,GTEX-14JIY-0011-R8a-SM-6AJAP,GTEX-12BJ1-0008-SM-5TDBZ
GTEX-1RB15-0005-SM-CL53N,GTEX-P4PQ-0726-SM-3NMCR,GTEX-1GZHY-0011-R11a-SM-C1YRQ,GTEX-11ZUS-0008-SM-5S2UO
GTEX-XAJ8-0006-SM-46MVM,GTEX-18D9A-0326-SM-7LT8L,GTEX-18464-0011-R10a-SM-72D6X,GTEX-17HGU-0226-SM-7DHKV
GTEX-14DAQ-0005-SM-5NQ7B,GTEX-WYVS-1026-SM-4SOJW,GTEX-145LS-0011-R5a-SM-5SI65,GTEX-1GN1V-0126-SM-9WPOS
GTEX-12WSH-0005-SM-5NQ9P,GTEX-1LGOU-0526-SM-D3LAO,GTEX-13N1W-0011-R4a-SM-5MR52,GTEX-16MTA-0008-SM-EAZC6
GTEX-XMK1-0005-SM-4B665,GTEX-1AMFI-0326-SM-731CU,GTEX-X4XY-3026-SM-EWRM9,GTEX-1KANB-0526-SM-E6CJH
GTEX-1ICG6-0006-SM-A96RH,GTEX-OHPM-0726-SM-3LK7A,GTEX-11GSP-0011-R1a-SM-9QEJ3,GTEX-WYVS-0008-SM-4ONDY
GTEX-11DXY-0006-SM-5NQ8N,GTEX-15SB6-0926-SM-7KUFM,GTEX-11DZ1-0011-R8b-SM-DNZZI,GTEX-1211K-2026-SM-5EQ4Z
GTEX-Y114-0006-SM-4TT76,GTEX-1B8KZ-0826-SM-73KYB,GTEX-11EMC-0011-R8b-SM-DO91Z,GTEX-1J1OQ-0126-SM-D4P2N
GTEX-1P4AB-0005-SM-CY8GM,GTEX-XUW1-1526-SM-4BOOY,GTEX-13OW5-0011-R6b-SM-5O9BW,GTEX-1E2YA-0126-SM-9KNUC
GTEX-1S83E-0006-SM-DLHBW,GTEX-1B97I-1026-SM-73KVC,GTEX-17EVQ-2826-SM-7IGQK,GTEX-14BMU-1226-SM-5S2OR
GTEX-113IC-0006-SM-5NQ9C,GTEX-13X6H-1426-SM-5SI91,GTEX-1EN7A-0011-R5a-SM-9QEH6,GTEX-132AR-0008-SM-62LDH
GTEX-15DYW-0006-SM-7RHFR,GTEX-145LT-1326-SM-5O9AQ,GTEX-13N2G-0011-R2a-SM-5MR4Q,GTEX-16A39-0008-SM-EAZC9
GTEX-1HR9M-0005-SM-AHZ26,GTEX-PLZ5-0826-SM-3P5ZW,GTEX-15CHQ-0011-R1a-SM-COH27,GTEX-18D9B-0526-SM-7LTAS
GTEX-131XG-0006-SM-5O9CE,GTEX-14E7W-1926-SM-5S2R9,GTEX-1H3NZ-0011-R6b-SM-A9G1N,GTEX-X3Y1-0008-SM-4PR12
GTEX-1GZHY-0005-SM-ARZL6,GTEX-1R7EU-0426-SM-EVR4H,GTEX-1F52S-0011-R7b-SM-9QEH8,GTEX-1CB4J-0626-SM-7DHMP
GTEX-XYKS-0005-SM-4BRUD,GTEX-R55E-1126-SM-48FDZ,GTEX-1H4P4-0011-R1b-SM-CL54V,GTEX-1CB4E-0926-SM-7EPHT
GTEX-X5EB-0006-SM-46MV5,GTEX-PLZ6-0326-SM-3P61J,GTEX-14ABY-0011-R9a-SM-5PNZK,GTEX-1H4P4-2126-SM-9WYSL
GTEX-XBED-0006-SM-47JXO,GTEX-11NV4-0526-SM-5N9BF,GTEX-14BIN-0011-R11a-SM-5SI79,GTEX-13JUV-2026-SM-5K7UA
GTEX-1EKGG-0005-SM-AHZ1Z,GTEX-X4XY-0526-SM-46MW1,GTEX-WZTO-0011-R4A-SM-3NMC7,GTEX-1HFI7-2326-SM-CGQFS
GTEX-1I1CD-0005-SM-ADEGY,GTEX-1HBPH-0326-SM-CM2S8,GTEX-17MF6-0011-R5a-SM-731BA,GTEX-1ICLZ-0326-SM-ARL82
