i_doc,doc,Topic 1
225,GTEX-17F9E-1026-SM-7DUF1,1.0
226,GTEX-1AX8Z-1826-SM-73KW6,1.0
227,GTEX-11ZTS-2726-SM-5EQLU,1.0
228,GTEX-ZA64-0526-SM-5HL9I,1.0
229,GTEX-1JMLX-2126-SM-CL54B,1.0
230,GTEX-OXRL-0726-SM-3NM9A,1.0
231,GTEX-1I1GR-1426-SM-CY8H8,1.0
232,GTEX-1NHNU-1726-SM-E76R1,1.0
233,GTEX-1GN73-1926-SM-9JGGS,1.0
234,GTEX-YEC4-1026-SM-9WG7N,1.0
235,GTEX-18QFQ-1026-SM-7LG6B,1.0
236,GTEX-1C6VQ-2026-SM-79OOH,1.0
237,GTEX-NPJ8-2026-SM-3TW91,1.0
238,GTEX-1C475-0926-SM-7MKFI,1.0
239,GTEX-1211K-1026-SM-5EQ4B,1.0
240,GTEX-14PJN-0526-SM-68724,1.0
241,GTEX-XQ8I-1526-SM-4BOOH,1.0
242,GTEX-1EKGG-1726-SM-7MXUP,1.0
243,GTEX-1MCYP-1026-SM-DPRYB,1.0
244,GTEX-14C5O-1726-SM-5RQI9,1.0
245,GTEX-1L5NE-1326-SM-CY8II,1.0
246,GTEX-1J1R8-1026-SM-CJI37,1.0
247,GTEX-1497J-2126-SM-5NQB8,1.0
248,GTEX-1LSVX-1226-SM-DHXJN,1.0
249,GTEX-ZAB5-0926-SM-5CVMV,1.0
250,GTEX-13W46-1926-SM-5J2MF,1.0
251,GTEX-1LGRB-1626-SM-CNNR7,1.0
252,GTEX-ZVE2-1326-SM-5NQ94,1.0
253,GTEX-146FQ-1026-SM-5LU8I,1.0
254,GTEX-OOBK-0726-SM-3LK5Q,1.0
255,GTEX-17F98-1826-SM-7DUFK,1.0
256,GTEX-13OVJ-1426-SM-5K7Z2,1.0
257,GTEX-13OVG-0626-SM-5IFEP,1.0
258,GTEX-1F48J-1626-SM-9WPOE,1.0
259,GTEX-13W3W-1826-SM-5IJDE,1.0
260,GTEX-1F5PL-1226-SM-7P8R5,1.0
261,GTEX-11TUW-1226-SM-5GU7C,1.0
262,GTEX-14JG1-1826-SM-5YY9Y,1.0
263,GTEX-ZV68-0926-SM-59HK7,1.0
264,GTEX-18A66-1526-SM-72D6Y,1.0
265,GTEX-YB5K-0726-SM-5LU8R,1.0
266,GTEX-ZEX8-1326-SM-4WWEW,1.0
267,GTEX-1PIIG-0926-SM-E6CQN,1.0
268,GTEX-11GSP-1726-SM-5A5LI,1.0
269,GTEX-Y9LG-0626-SM-4WWDH,1.0
270,GTEX-S4Z8-0726-SM-4GICB,1.0
271,GTEX-ZVZP-1626-SM-5GIDJ,1.0
272,GTEX-17EVQ-1926-SM-7IGOF,1.0
273,GTEX-1R9PM-1126-SM-E76OX,1.0
274,GTEX-1JMQJ-1026-SM-CNPP8,1.0
275,GTEX-1H11D-2126-SM-9OSXM,1.0
276,GTEX-P4PQ-0726-SM-3NMCR,1.0
277,GTEX-WHWD-0926-SM-4OORY,1.0
278,GTEX-11EMC-2226-SM-5A5JW,1.0
279,GTEX-18D9A-0326-SM-7LT8L,1.0
280,GTEX-WYVS-1026-SM-4SOJW,1.0
281,GTEX-O5YV-1026-SM-3LK72,1.0
282,GTEX-1LGOU-0526-SM-D3LAO,1.0
283,GTEX-PSDG-1326-SM-48TD2,1.0
284,GTEX-11DYG-1326-SM-5N9DO,1.0
285,GTEX-1AMFI-0326-SM-731CU,1.0
286,GTEX-1HKZK-1426-SM-A96U1,1.0
287,GTEX-W5WG-1626-SM-4LMKG,1.0
288,GTEX-OHPM-0726-SM-3LK7A,1.0
289,GTEX-15SB6-0926-SM-7KUFM,1.0
290,GTEX-1B8KZ-0826-SM-73KYB,1.0
291,GTEX-1JMQK-1826-SM-CY8I1,1.0
292,GTEX-XUW1-1526-SM-4BOOY,1.0
293,GTEX-1B97I-1026-SM-73KVC,1.0
294,GTEX-1MA7W-0426-SM-E9TJ5,1.0
295,GTEX-13X6H-1426-SM-5SI91,1.0
296,GTEX-145LT-1326-SM-5O9AQ,1.0
297,GTEX-13FH7-0526-SM-5IJF8,1.0
298,GTEX-PLZ5-0826-SM-3P5ZW,1.0
299,GTEX-14E7W-1926-SM-5S2R9,1.0
300,GTEX-1HGF4-2826-SM-ADEII,1.0
301,GTEX-1399U-0626-SM-5J1NZ,1.0
302,GTEX-1R7EU-0426-SM-EVR4H,1.0
303,GTEX-R55E-1126-SM-48FDZ,1.0
304,GTEX-PLZ6-0326-SM-3P61J,1.0
305,GTEX-11NV4-0526-SM-5N9BF,1.0
306,GTEX-X4XY-0526-SM-46MW1,1.0
307,GTEX-13X6I-0926-SM-5LUAB,1.0
308,GTEX-1HBPH-0326-SM-CM2S8,1.0
309,GTEX-11TUW-0926-SM-5EQMW,1.0
310,GTEX-YJ8O-0126-SM-5QGRG,1.0
311,GTEX-1IDJU-2326-SM-ARL89,1.0
312,GTEX-OXRO-1926-SM-2S1O3,1.0
313,GTEX-TMMY-0626-SM-33HBD,1.0
314,GTEX-ZTPG-0726-SM-5DUXP,1.0
315,GTEX-14PJN-2226-SM-6872I,1.0
316,GTEX-14PN4-0426-SM-6AJ9N,1.0
317,GTEX-ZZPU-0226-SM-5N9BV,1.0
318,GTEX-1I19N-1926-SM-CM2TF,1.0
319,GTEX-1122O-0426-SM-5H12G,1.0
320,GTEX-1EU9M-0426-SM-7SB8N,1.0
321,GTEX-14C39-2626-SM-5S2QD,1.0
322,GTEX-1EKGG-0826-SM-79OLL,1.0
323,GTEX-1M4P7-0426-SM-DKPQG,1.0
324,GTEX-13O3O-1126-SM-5KM4Q,1.0
325,GTEX-146FH-1326-SM-5NQBI,1.0
326,GTEX-PWCY-0426-SM-48TCW,1.0
327,GTEX-16XZZ-1426-SM-7KUE3,1.0
328,GTEX-14ASI-1126-SM-5QGPN,1.0
329,GTEX-13RTJ-2626-SM-7DHKR,1.0
330,GTEX-1CB4F-0726-SM-793AO,1.0
331,GTEX-QXCU-0226-SM-2TC5W,1.0
332,GTEX-1HBPN-1026-SM-9YFLZ,1.0
333,GTEX-OHPL-3026-SM-3MJGS,1.0
334,GTEX-1IKOE-0826-SM-ARZME,1.0
335,GTEX-1C4CL-0126-SM-7IGN5,1.0
336,GTEX-X4XY-1526-SM-4QASE,1.0
337,GTEX-147F4-1326-SM-5LU9V,1.0
338,GTEX-1LB8K-1126-SM-DIPEP,1.0
339,GTEX-OIZG-0426-SM-3LK5W,1.0
340,GTEX-ZAB5-2026-SM-5L3EQ,1.0
341,GTEX-1QW4Y-1926-SM-E8VO3,1.0
342,GTEX-14JG6-2026-SM-6EU2E,1.0
343,GTEX-QDT8-1026-SM-43V6X,1.0
344,GTEX-17HHY-0526-SM-793BZ,1.0
345,GTEX-O5YV-0626-SM-3LK64,1.0
346,GTEX-13VXU-0526-SM-5K7V1,1.0
347,GTEX-1JJEA-0726-SM-CYPSN,1.0
348,GTEX-YB5E-2426-SM-5IFIV,1.0
349,GTEX-147F4-0126-SM-5QGPV,1.0
350,GTEX-WHPG-2326-SM-3NMBP,1.0
351,GTEX-Y8E4-1126-SM-5IFIA,1.0
352,GTEX-QLQ7-0326-SM-DHXIO,1.0
353,GTEX-1HCU8-1526-SM-ADEHG,1.0
354,GTEX-Q2AH-0626-SM-48TZJ,1.0
355,GTEX-14PN3-0426-SM-6LLIY,1.0
356,GTEX-145MO-0626-SM-5NQAW,1.0
357,GTEX-13X6K-1926-SM-5LU4O,1.0
358,GTEX-15CHR-0526-SM-79OLJ,1.0
359,GTEX-1R9PO-0226-SM-E6CHS,1.0
360,GTEX-WFON-2526-SM-3LK7P,1.0
361,GTEX-1HSGN-1026-SM-CNPQ1,1.0
362,GTEX-PSDG-1026-SM-48TCV,1.0
363,GTEX-1F5PL-0526-SM-7PBYD,1.0
364,GTEX-1B8KZ-2226-SM-73KYS,1.0
365,GTEX-1NSGN-0526-SM-E9J34,1.0
366,GTEX-QV44-2226-SM-447A3,1.0
367,GTEX-11GS4-2926-SM-5A5LF,1.0
368,GTEX-1CB4E-0426-SM-7PBY5,1.0
369,GTEX-1339X-2626-SM-5K7YX,1.0
370,GTEX-1LVAN-0426-SM-CNPPD,1.0
371,GTEX-1399S-0926-SM-5PNVQ,1.0
372,GTEX-XBED-2426-SM-4AT4O,1.0
373,GTEX-1AX8Z-1426-SM-7939T,1.0
374,GTEX-1HSKV-0626-SM-CNPPL,1.0
375,GTEX-1GF9X-1826-SM-7PC3X,1.0
376,GTEX-1J1R8-0826-SM-ACKWP,1.0
377,GTEX-15SHV-0826-SM-7KUFA,1.0
378,GTEX-1C64O-1026-SM-7PC3L,1.0
379,GTEX-ZAK1-0426-SM-5J1MS,1.0
380,GTEX-U3ZN-2526-SM-3DB7V,1.0
381,GTEX-1CB4E-0726-SM-7EWEY,1.0
382,GTEX-14BIN-0926-SM-5S2OZ,1.0
383,GTEX-S3XE-0326-SM-4AD6L,1.0
384,GTEX-YFC4-0926-SM-5S2U7,1.0
385,GTEX-1QCLY-0626-SM-EAZ3Y,1.0
386,GTEX-1HSMP-0526-SM-B2LXI,1.0
387,GTEX-15CHC-0526-SM-6EU23,1.0
388,GTEX-13PLJ-0526-SM-5K7VW,1.0
389,GTEX-1JK1U-0426-SM-CYPSP,1.0
390,GTEX-1HC8U-1126-SM-COH35,1.0
391,GTEX-1GMR2-1126-SM-7RHI6,1.0
392,GTEX-1GMR3-2326-SM-7SB94,1.0
393,GTEX-12WSM-0526-SM-5GCO8,1.0
394,GTEX-11P81-2726-SM-59876,1.0
395,GTEX-1HCU6-0426-SM-CM2SI,1.0
396,GTEX-WHPG-0926-SM-4M1XY,1.0
397,GTEX-O5YT-1826-SM-32PK9,1.0
398,GTEX-S4P3-0326-SM-4AD6P,1.0
399,GTEX-11EMC-0926-SM-59863,1.0
400,GTEX-WK11-2426-SM-3NMAA,1.0
401,GTEX-SSA3-0226-SM-32QPN,1.0
402,GTEX-1F6I4-0226-SM-9MQMA,1.0
403,GTEX-147JS-0426-SM-5TDD2,1.0
404,GTEX-ZYW4-2226-SM-5GZYG,1.0
405,GTEX-16MTA-1326-SM-6PALX,1.0
406,GTEX-P78B-0226-SM-3NB1Z,1.0
407,GTEX-QEL4-0326-SM-3GAE5,1.0
408,GTEX-14PN3-0326-SM-6EU1X,1.0
409,GTEX-Y9LG-1226-SM-4VBQA,1.0
410,GTEX-1HCVE-0226-SM-CGQEV,1.0
411,GTEX-1399T-1326-SM-5PNVH,1.0
412,GTEX-146FH-2026-SM-5SI9I,1.0
413,GTEX-1LVAN-0126-SM-COH4H,1.0
414,GTEX-12WSD-0226-SM-59HKO,1.0
415,GTEX-ZPU1-2426-SM-4WWFM,1.0
416,GTEX-15SKB-1626-SM-6PAL6,1.0
417,GTEX-14PJ2-1426-SM-62LFF,1.0
418,GTEX-1A8FM-0126-SM-7SB7P,1.0
419,GTEX-1AMEY-1426-SM-7939I,1.0
420,GTEX-1EU9M-0326-SM-7RHGF,1.0
421,GTEX-WEY5-1926-SM-3GIL8,1.0
422,GTEX-UJHI-1626-SM-3DB9A,1.0
423,GTEX-13S7M-0226-SM-5S2UG,1.0
424,GTEX-1JJ6O-0226-SM-E6CI9,1.0
425,GTEX-1PPH8-0626-SM-EWRN9,1.0
426,GTEX-ZV68-0226-SM-59HJF,1.0
427,GTEX-ZQUD-0526-SM-57WG4,1.0
428,GTEX-X638-0226-SM-47JZ9,1.0
429,GTEX-1JJEA-0226-SM-COH2X,1.0
430,GTEX-1JMQK-0126-SM-CM2S3,1.0
431,GTEX-1I1CD-0226-SM-CM2TL,1.0
432,GTEX-ZGAY-0626-SM-DO92E,1.0
433,GTEX-1GMR2-2526-SM-9MQKW,1.0
434,GTEX-1A3MX-0826-SM-72D64,1.0
435,GTEX-1C64N-1326-SM-7SB7D,1.0
436,GTEX-13QBU-1326-SM-5LU4K,1.0
437,GTEX-1JJE9-1226-SM-CNPOI,1.0
438,GTEX-13O21-1526-SM-5K7W4,1.0
439,GTEX-12584-0226-SM-5EQL5,1.0
440,GTEX-111FC-0226-SM-5N9B8,1.0
441,GTEX-1GMR3-2026-SM-9MQLG,1.0
442,GTEX-12126-0426-SM-5Q5AP,1.0
443,GTEX-R45C-0226-SM-EVYAJ,1.0
444,GTEX-12ZZZ-0526-SM-5DUX6,1.0
445,GTEX-16BQI-0526-SM-6PAM8,1.0
446,GTEX-1GF9U-1226-SM-ARL9I,1.0
447,GTEX-1B996-0126-SM-7PBYF,1.0
448,GTEX-14A5H-0526-SM-5TDCN,1.0
449,GTEX-RWSA-0226-SM-2XCBA,1.0
450,GTEX-1POEN-1626-SM-EVYC2,1.0
451,GTEX-14C5O-0926-SM-793DM,1.0
452,GTEX-XMK1-0926-SM-4B66X,1.0
453,GTEX-144GM-1926-SM-5LUAN,1.0
454,GTEX-11WQC-2426-SM-5EQKQ,1.0
455,GTEX-1H2FU-0226-SM-9YFKO,1.0
456,GTEX-1HSMO-1426-SM-CNNQN,1.0
457,GTEX-1JJ6O-2826-SM-CNNP7,1.0
458,GTEX-17MFQ-1126-SM-7LT9O,1.0
459,GTEX-14PJ6-2226-SM-6LLIV,1.0
460,GTEX-1HB9E-0526-SM-ARZNM,1.0
461,GTEX-Y111-0226-SM-4SOIW,1.0
462,GTEX-1HR98-0226-SM-CGQEK,1.0
463,GTEX-1B8KZ-1026-SM-73KYN,1.0
464,GTEX-1HCU7-2026-SM-A9G2B,1.0
465,GTEX-1B8SG-0226-SM-7939Q,1.0
466,GTEX-1EKGG-1426-SM-7PBY2,1.0
467,GTEX-1HSKV-0326-SM-ADEJC,1.0
468,GTEX-XPVG-2726-SM-4B66W,1.0
469,GTEX-18465-0226-SM-7LG5M,1.0
470,GTEX-1E2YA-0226-SM-9MQLY,1.0
471,GTEX-1HBPI-1426-SM-B2LW7,1.0
472,GTEX-111YS-2426-SM-5GZZQ,1.0
473,GTEX-1S5ZA-1026-SM-EWRO2,1.0
474,GTEX-14DAR-0426-SM-664MW,1.0
475,GTEX-1GF9X-1926-SM-ADEIC,1.0
476,GTEX-ZF29-0826-SM-5S2O2,1.0
477,GTEX-1HCU9-0626-SM-ACKW6,1.0
478,GTEX-16AAH-2026-SM-7LG5F,1.0
479,GTEX-17F9Y-0726-SM-7LT9G,1.0
480,GTEX-1AX9J-0326-SM-73KXY,1.0
