,Topic 1
ENSG00000271614,2042.7752099438674
ENSG00000258725,632.9292638490479
ENSG00000177694,870.8365732031855
ENSG00000261501,8.805896230049548
ENSG00000239910,18.039082461678937
ENSG00000263974,23.348703062978824
ENSG00000248559,417.61625890455167
ENSG00000279489,2309.5939199604722
ENSG00000135407,5450.3246933129
ENSG00000170165,197.15658491539182
ENSG00000213757,1439.7160709713341
ENSG00000275936,756.3890809890662
ENSG00000249197,3.7551474313411948
ENSG00000225738,5.902421015288013
ENSG00000216613,29.463951795806498
ENSG00000153574,20171.88226971384
ENSG00000267693,67.18856968262712
ENSG00000270704,1129.1773494311747
ENSG00000260912,7747.008033513687
ENSG00000138750,20238.170685132005
ENSG00000147654,11955.749959877874
ENSG00000222421,465.0434875245044
ENSG00000278716,325.73463260931015
ENSG00000172057,35611.67684586366
ENSG00000163207,30791.92243628399
ENSG00000132475,410753.5259872746
ENSG00000215546,3.9785243620341655
ENSG00000143001,1660.923474874845
ENSG00000231660,29.411845033173794
ENSG00000258741,1070.1249733264156
ENSG00000186231,1317.7796705999983
ENSG00000224965,631.0384068770379
ENSG00000151240,15357.182398946072
ENSG00000271519,2.043325608924282
ENSG00000226490,140.7893920056398
ENSG00000273901,464.835937376283
ENSG00000111412,10812.578319219225
ENSG00000225205,1962.8324563834574
ENSG00000175779,24.8702516251916
ENSG00000073861,3484.4730705491415
ENSG00000251359,639.4460009635904
ENSG00000073150,7982.319212439374
ENSG00000284391,602.5718837840508
ENSG00000224326,1.7322248762282082
ENSG00000279014,16.94058236177946
ENSG00000248184,132.1416467714666
ENSG00000260075,290.1174776487823
ENSG00000067445,11016.12156938539
ENSG00000236352,337.06751335049006
ENSG00000128513,7598.9320313868175
ENSG00000205946,1.025532097155108
ENSG00000100422,30840.05209213785
ENSG00000184588,9821.223519321358
ENSG00000100302,16981.12676177957
ENSG00000227922,21.63592234719345
ENSG00000154485,267.190204655911
ENSG00000277969,3636.895150338423
ENSG00000160161,802.0186509525847
ENSG00000276523,3772.243078571472
ENSG00000177144,14.128512992079738
ENSG00000212933,49.65735638279383
ENSG00000279041,11130.106217566616
ENSG00000259620,3.414364519896679
ENSG00000201695,3.56396546830282
