,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33
ENSG00000271614,82.50233494103203,48.51746652491866,56.07069869722565,31.28711496297154,43.882611454815226,53.92567810310998,41.15712386716435,491.43927883253093,43.54841277434475,41.71679258190255,65.72318539027276,56.92174898799067,38.37972644978982,30.82868697022881,56.66650543667097,77.50414204953859,40.10894754259314,61.21374329950765,62.093860883963075,43.88985977637569,38.78549862353111,36.83590343484783,79.97229288885877,47.83987399855555,43.3266592059357,33.1316896121655,43.697327774361156,37.97343379941438,46.49799664975125,65.18286622218616,55.32329354997179,32.13609698221947,46.69256048681082
ENSG00000258725,23.474137398021217,24.508053902750426,15.322348666970056,15.433040559119059,14.89966353174033,40.82920727694722,3.2650458785670127,94.34992577432867,20.92160451133386,21.489429320847915,20.07029612461702,28.538775248432014,3.777459871294006,3.21246214588264,22.96331988891601,18.8579323865476,11.601561586213295,26.161645438595016,12.672803847359065,16.40089282586104,28.448823034852246,11.87812209285876,7.500256514069827,16.251733720056613,19.295043762373957,19.185155077072025,14.246228485372479,12.424484330344741,12.174807760618242,20.618925032446235,31.71011878572034,13.98332200725292,18.473801077772205
ENSG00000177694,23.266907400526705,33.75332036167052,25.002581723714666,22.45525202425314,27.32298555739577,17.23147423360245,1.6877627429619646,15.958810519765656,23.571249104545988,32.76282316980536,33.61252614615835,14.531282550003557,1.7497846966988382,1.643257751025416,28.374979983411606,29.116962283482472,21.537306032650765,90.33973323762613,21.040965136199667,35.38636479028784,71.6302342394359,39.06647577988002,3.504701470640692,26.82300414564664,23.778230162938577,23.283396863079997,22.657020398879403,48.840601283912434,31.479183690100037,49.1575610225773,20.023940619666764,24.45907788022322,17.783403224197972
ENSG00000261501,1.2399054022365332,1.2327302584194715,1.2470179671975126,1.1670728743952936,1.2302780132272753,1.1878792418044937,1.0925130110902674,1.5413020346898754,1.2449066370457864,1.2379643208266355,1.2806912512107254,1.238706414619876,1.1174177895527613,1.1189922508604697,1.2402533987086746,1.2463012763678383,1.2070692026175494,1.2270441454549479,1.2755189562668139,1.2397403075191826,1.2272254977509254,1.2601064561806952,1.1982707687334384,1.2734305127884649,1.2181386772404452,1.2277410069805346,1.292596258507207,1.1938834158327827,1.2397746596188997,1.337623978039835,1.240538957900692,1.3006347984904878,1.1727305226504883
ENSG00000239910,1.5834349700783978,1.5609535736225357,1.5121388818620223,1.3459675927647496,1.5388539839638198,1.788530826612656,1.0526079707197948,1.615856015981928,1.5301465994679786,1.5618941660379282,1.5817010002505525,1.4015292743926215,1.0627598449233286,1.0703358911015979,1.5404027263024211,1.5844799949259127,1.4701928891807563,1.7010947874862692,1.5886013204446978,1.5684692762241177,1.7616980019783792,1.5796509711308588,1.2110972913328468,1.5906162535544999,1.523426897504185,1.4981219384492845,1.6546566153260944,1.5317412517549658,1.5649423164206488,1.8047655934402025,1.5141097876746266,1.6883871723561437,1.4539986330694161
ENSG00000263974,1.7021956211574243,1.6170651169467136,1.5146381293419158,1.5798109090993206,1.6683110685097051,2.1068800048504848,1.3444428555381982,2.479710441276428,1.599424927882074,1.6393966951564838,1.7638275825195582,1.4637808423426701,1.4021171722633758,1.3542500396801005,1.7506467467156877,1.7317426111140697,1.5663687297595934,1.5256020178633896,1.8022651701404684,1.6112492107081482,1.7477369817448127,1.8332092947201943,1.6210901265926272,1.6874604123145651,1.44855189385899,1.4502253618513337,1.9149015724857725,1.5381570454068763,1.5971346821750407,2.217878601396335,1.6332084603545605,1.8341408628996676,1.603329517481054
ENSG00000248559,14.280165376551407,13.697890109200511,14.02799607656467,14.784179069084091,10.777788984052096,40.27010247943583,4.803366061963425,38.362756643781395,8.861674770026148,12.836857445496912,15.819186973104063,15.488382021320724,5.912535562841017,4.821598902089239,13.209207365606183,11.75808610605181,11.996051025975802,12.415335510304748,12.385397813318855,10.791230248234362,16.06887604589787,10.707950335399746,9.60329115942389,15.713662682326884,8.653345078125499,9.309660993274097,13.279248840194871,10.143040905063677,13.29422430408595,12.964845030797404,17.218952310934473,12.598606189359526,12.766484411196048
ENSG00000279489,21.672425322237554,58.60811357108877,20.296792919800357,161.9391936265289,10.767439630069239,1029.168041833716,2.9010702395460677,17.883198643757073,14.181478630676992,83.02732449436368,15.460766807362372,13.269563861895813,3.9912631191592647,3.333324277467721,69.99993087119346,30.72123178866917,68.96932323360816,107.26993863301738,31.166582142172512,23.506074902266253,198.25319551651722,20.628583469033583,4.579406888875411,17.72100054977113,14.429360862607759,12.979291512635829,36.4217738308612,63.50571427774665,18.011793867542863,7.989660456247648,16.916364187214032,10.140582650520713,131.88907008157588
ENSG00000135407,157.3008249393413,206.09940171593604,114.31305883613662,207.1107409760639,74.98135702269764,482.63072623304043,79.75006871064662,193.5678561419567,157.15312603371962,221.54470716966037,220.75375758319393,143.64971415500474,100.19512254055502,120.9678178780651,197.03363895513206,206.70909405013356,107.25546270872181,78.7191109481255,118.93444582196125,154.46088064656587,150.9027844689202,164.5357129489796,119.01309977038794,211.26149046000415,124.38094698035334,70.6531773094967,273.6179137187578,104.21766222765555,147.61261858319574,222.95134932116315,179.16137092310584,245.8224447812543,125.05803646728691
ENSG00000170165,6.608091824272432,5.970857899700179,6.689765186818724,5.839776035063779,5.341012503500504,7.560576176169176,1.2641482234258343,19.796442529066155,8.532983640617898,6.123147347126284,8.86640631333199,11.75209023092868,1.2560430550951394,1.2562932885371185,7.25041205564135,6.727434251762643,6.603861339018783,3.0882923003692553,7.532517905808912,7.857292177381016,4.3673992074426,7.578077413867199,2.4029804187872044,7.617945311640277,8.83046164133596,8.180958115518717,8.93258364952347,4.6488521313933635,7.0281130872398725,6.065895748719114,10.168655753316266,12.153983887451108,5.2540344324386945
