Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000211921.1,ENSG00000171246.5,ENSG00000105668.7,ENSG00000178394.4,,,,,,,
ENSG00000274121.1,ENSG00000242173.8,ENSG00000221986.6,ENSG00000268833.1,,,,,,,
ENSG00000253742.1,ENSG00000008735.13,ENSG00000188293.5,ENSG00000283142.1,,,,,,,
ENSG00000281097.1,ENSG00000006128.11,ENSG00000111291.8,ENSG00000091181.19,,,,,,,
ENSG00000204345.1,ENSG00000100167.19,ENSG00000166527.7,ENSG00000255216.1,,,,,,,
ENSG00000211838.1,ENSG00000136541.14,ENSG00000171532.4,ENSG00000187621.14,,,,,,,
ENSG00000235091.1,ENSG00000102924.11,ENSG00000122304.10,ENSG00000275232.1,,,,,,,
ENSG00000198471.1,ENSG00000181631.6,ENSG00000115009.11,ENSG00000182077.10,,,,,,,
ENSG00000235621.8,ENSG00000205426.10,ENSG00000172179.11,ENSG00000251129.1,,,,,,,
ENSG00000211876.1,ENSG00000171617.13,ENSG00000169245.5,ENSG00000215811.6,,,,,,,
ENSG00000250426.2,ENSG00000016490.15,ENSG00000189056.13,ENSG00000163394.5,,,,,,,
ENSG00000215991.1,ENSG00000164047.4,ENSG00000175646.3,ENSG00000225030.1,,,,,,,
ENSG00000254228.2,ENSG00000234883.5,ENSG00000181656.6,ENSG00000174948.5,,,,,,,
ENSG00000211869.1,ENSG00000228314.1,ENSG00000272021.1,ENSG00000255946.1,,,,,,,
ENSG00000211846.1,ENSG00000172478.17,ENSG00000166143.9,ENSG00000215378.3,,,,,,,
ENSG00000253202.1,ENSG00000092051.16,ENSG00000152910.18,ENSG00000277311.1,,,,,,,
ENSG00000255569.1,ENSG00000107295.9,ENSG00000075886.10,ENSG00000230492.1,,,,,,,
ENSG00000205215.8,ENSG00000157005.3,ENSG00000078081.7,ENSG00000131264.3,,,,,,,
ENSG00000211840.1,ENSG00000170909.13,ENSG00000253701.2,ENSG00000225156.2,,,,,,,
ENSG00000260542.1,ENSG00000105246.5,ENSG00000244355.7,ENSG00000186075.12,,,,,,,
ENSG00000253131.1,ENSG00000112299.7,ENSG00000154975.13,ENSG00000214888.2,,,,,,,
ENSG00000280655.1,ENSG00000110203.8,ENSG00000101425.12,ENSG00000179520.10,,,,,,,
ENSG00000211867.1,ENSG00000100453.12,ENSG00000170454.5,ENSG00000253483.1,,,,,,,
ENSG00000204044.6,ENSG00000081248.10,ENSG00000240671.4,ENSG00000277749.1,,,,,,,
ENSG00000211647.1,ENSG00000067715.13,ENSG00000187908.16,ENSG00000279754.1,,,,,,,
ENSG00000226063.1,ENSG00000275896.5,ENSG00000172023.7,ENSG00000180613.10,,,,,,,
ENSG00000211979.2,ENSG00000173702.7,ENSG00000078589.12,ENSG00000228521.2,,,,,,,
ENSG00000211841.1,ENSG00000020633.18,ENSG00000253998.3,ENSG00000269667.1,,,,,,,
ENSG00000197416.4,ENSG00000043039.6,ENSG00000273962.1,ENSG00000101446.7,,,,,,,
ENSG00000280220.1,ENSG00000124731.12,ENSG00000205186.2,ENSG00000119973.5,,,,,,,
ENSG00000211920.1,ENSG00000087128.9,ENSG00000187912.11,ENSG00000261520.5,,,,,,,
ENSG00000249173.5,ENSG00000186431.18,ENSG00000132185.16,ENSG00000240216.7,,,,,,,
ENSG00000273585.1,ENSG00000172382.9,ENSG00000109943.8,ENSG00000261790.1,,,,,,,
ENSG00000242473.1,ENSG00000211649.3,ENSG00000108759.3,ENSG00000259962.1,,,,,,,
ENSG00000224585.1,ENSG00000170476.15,ENSG00000184956.15,ENSG00000230223.6,,,,,,,
ENSG00000276430.2,ENSG00000104921.14,ENSG00000251546.1,ENSG00000234104.1,,,,,,,
ENSG00000248864.1,ENSG00000229444.1,ENSG00000125999.10,ENSG00000205015.1,,,,,,,
ENSG00000145626.11,ENSG00000224397.5,ENSG00000211639.2,ENSG00000161270.19,,,,,,,
ENSG00000265658.6,ENSG00000134057.14,ENSG00000131096.10,ENSG00000251293.1,,,,,,,
ENSG00000225106.1,ENSG00000140932.9,ENSG00000210127.1,ENSG00000196273.7,,,,,,,
ENSG00000253441.1,ENSG00000248485.1,ENSG00000174963.17,ENSG00000238201.1,,,,,,,
ENSG00000226601.1,ENSG00000099365.10,ENSG00000188833.9,ENSG00000162456.9,,,,,,,
ENSG00000144130.11,ENSG00000211642.3,ENSG00000060718.20,ENSG00000113889.11,,,,,,,
ENSG00000211958.2,ENSG00000100604.12,ENSG00000127588.4,ENSG00000250831.1,,,,,,,
ENSG00000228655.6,ENSG00000174871.10,ENSG00000140297.12,ENSG00000271454.1,,,,,,,
ENSG00000211858.1,ENSG00000176884.14,ENSG00000101327.8,ENSG00000237111.1,,,,,,,
ENSG00000253120.1,ENSG00000166396.12,ENSG00000175426.10,ENSG00000274428.1,,,,,,,
ENSG00000253590.1,ENSG00000137975.7,ENSG00000168703.5,ENSG00000187616.4,,,,,,,
ENSG00000279554.1,ENSG00000151948.11,ENSG00000105143.12,ENSG00000250509.1,,,,,,,
ENSG00000263443.1,ENSG00000149043.16,ENSG00000253497.1,ENSG00000255838.1,,,,,,,
ENSG00000211860.1,ENSG00000103375.10,ENSG00000211911.1,ENSG00000256209.1,,,,,,,
ENSG00000211837.1,ENSG00000255398.2,ENSG00000260614.1,ENSG00000205856.3,,,,,,,
ENSG00000211633.3,ENSG00000186806.5,ENSG00000180176.14,ENSG00000254399.2,,,,,,,
ENSG00000259680.5,ENSG00000204983.13,ENSG00000196260.4,ENSG00000254656.1,,,,,,,
ENSG00000228131.1,ENSG00000130513.6,ENSG00000233542.1,ENSG00000167419.10,,,,,,,
ENSG00000279891.1,ENSG00000143847.15,ENSG00000121594.11,ENSG00000283217.1,,,,,,,
ENSG00000283571.1,ENSG00000140749.8,ENSG00000210156.1,ENSG00000255477.1,,,,,,,
ENSG00000180138.7,ENSG00000163435.15,ENSG00000149516.13,ENSG00000259859.1,,,,,,,
ENSG00000250036.1,ENSG00000212899.2,ENSG00000105641.3,ENSG00000261316.1,,,,,,,
ENSG00000253387.1,ENSG00000221852.4,ENSG00000224689.9,ENSG00000224466.1,,,,,,,
ENSG00000254036.1,ENSG00000214711.9,ENSG00000118245.2,ENSG00000256513.1,,,,,,,
ENSG00000162763.3,ENSG00000100450.12,ENSG00000224041.3,ENSG00000233342.1,,,,,,,
ENSG00000206585.1,ENSG00000197632.8,ENSG00000211974.3,ENSG00000275965.1,,,,,,,
ENSG00000176177.9,ENSG00000091428.17,ENSG00000243063.1,ENSG00000080910.11,,,,,,,
ENSG00000232208.2,ENSG00000183072.9,ENSG00000260846.2,ENSG00000254746.5,,,,,,,
ENSG00000214185.3,ENSG00000259104.2,ENSG00000136531.15,ENSG00000102794.9,,,,,,,
ENSG00000211881.1,ENSG00000173762.7,ENSG00000211972.2,ENSG00000254607.2,,,,,,,
ENSG00000270505.1,ENSG00000172602.9,ENSG00000242515.5,ENSG00000279835.1,,,,,,,
ENSG00000211857.1,ENSG00000012124.16,ENSG00000211753.4,ENSG00000279965.1,,,,,,,
ENSG00000230234.1,ENSG00000163154.5,ENSG00000170484.9,ENSG00000255847.5,,,,,,,
ENSG00000211884.1,ENSG00000130540.13,ENSG00000143297.18,ENSG00000248560.1,,,,,,,
ENSG00000254176.1,ENSG00000276775.1,ENSG00000253234.1,ENSG00000101323.4,,,,,,,
ENSG00000252920.1,ENSG00000196565.13,ENSG00000162877.12,ENSG00000253605.1,,,,,,,
ENSG00000255039.1,ENSG00000011426.10,ENSG00000133020.4,ENSG00000118492.16,,,,,,,
ENSG00000176893.4,ENSG00000148798.10,ENSG00000244921.2,ENSG00000227706.3,,,,,,,
ENSG00000211861.1,ENSG00000158055.15,ENSG00000161850.2,ENSG00000259110.1,,,,,,,
ENSG00000279012.2,ENSG00000182866.16,ENSG00000135625.7,ENSG00000259517.2,,,,,,,
ENSG00000211909.1,ENSG00000167281.18,ENSG00000128714.5,ENSG00000275243.1,,,,,,,
ENSG00000270999.1,ENSG00000235942.2,ENSG00000120088.14,ENSG00000259889.1,,,,,,,
ENSG00000117215.14,ENSG00000237541.3,ENSG00000253818.1,ENSG00000284485.1,,,,,,,
ENSG00000227824.1,ENSG00000026751.16,ENSG00000211667.2,ENSG00000275432.1,,,,,,,
ENSG00000105370.7,ENSG00000221880.3,ENSG00000204610.12,ENSG00000275726.1,,,,,,,
ENSG00000134489.6,ENSG00000105205.6,ENSG00000230825.1,ENSG00000243488.3,,,,,,,
ENSG00000253435.1,ENSG00000167769.4,ENSG00000237702.2,ENSG00000254532.1,,,,,,,
ENSG00000260048.2,ENSG00000204385.10,ENSG00000157017.15,ENSG00000260507.1,,,,,,,
ENSG00000204670.7,ENSG00000126353.3,ENSG00000142619.4,ENSG00000112116.9,,,,,,,
ENSG00000250575.1,ENSG00000198788.8,ENSG00000183395.4,ENSG00000249808.2,,,,,,,
ENSG00000253247.1,ENSG00000196361.9,ENSG00000228639.6,ENSG00000284148.1,,,,,,,
ENSG00000211661.2,ENSG00000131401.11,ENSG00000183034.12,ENSG00000275692.1,,,,,,,
ENSG00000264151.5,ENSG00000015592.16,ENSG00000267669.1,ENSG00000236124.1,,,,,,,
ENSG00000211871.1,ENSG00000204618.8,ENSG00000275418.1,ENSG00000256916.1,,,,,,,
ENSG00000253152.1,ENSG00000169403.11,ENSG00000132693.12,ENSG00000274060.1,,,,,,,
ENSG00000211623.2,ENSG00000225873.3,ENSG00000128438.10,ENSG00000168515.3,,,,,,,
ENSG00000200997.1,ENSG00000100385.13,ENSG00000173908.8,ENSG00000251081.1,,,,,,,
ENSG00000211833.1,ENSG00000079112.9,ENSG00000186732.13,ENSG00000183146.4,,,,,,,
ENSG00000253461.1,ENSG00000239998.5,ENSG00000256713.7,ENSG00000264764.1,,,,,,,
ENSG00000243531.1,ENSG00000243290.3,ENSG00000260426.1,ENSG00000207039.1,,,,,,,
ENSG00000242407.1,ENSG00000137265.14,ENSG00000279113.1,ENSG00000248673.1,,,,,,,
ENSG00000242317.1,ENSG00000174521.7,ENSG00000228278.3,ENSG00000253805.1,,,,,,,
ENSG00000271375.1,ENSG00000110076.18,ENSG00000241233.3,ENSG00000255350.1,,,,,,,
ENSG00000211717.3,ENSG00000197540.7,ENSG00000239819.2,ENSG00000165583.14,,,,,,,
ENSG00000224235.1,ENSG00000249790.2,ENSG00000136929.12,ENSG00000226987.1,,,,,,,
ENSG00000254157.1,ENSG00000145649.7,ENSG00000231824.3,ENSG00000254609.1,,,,,,,
ENSG00000283586.1,ENSG00000104112.8,ENSG00000282416.1,ENSG00000267428.1,,,,,,,
ENSG00000254329.1,ENSG00000142623.9,ENSG00000102970.10,ENSG00000274355.1,,,,,,,
ENSG00000283376.1,ENSG00000213927.3,ENSG00000159182.4,ENSG00000127318.10,,,,,,,
ENSG00000277349.1,ENSG00000264384.2,ENSG00000242258.1,ENSG00000204429.4,,,,,,,
ENSG00000236170.1,ENSG00000142512.14,ENSG00000139800.8,ENSG00000225539.5,,,,,,,
ENSG00000211626.2,ENSG00000237289.9,ENSG00000111537.4,ENSG00000261317.1,,,,,,,
ENSG00000235150.1,ENSG00000004939.13,ENSG00000181333.11,ENSG00000275670.1,,,,,,,
ENSG00000253691.2,ENSG00000167916.4,ENSG00000232560.6,ENSG00000232039.2,,,,,,,
ENSG00000281550.1,ENSG00000131738.10,ENSG00000110887.7,ENSG00000206833.1,,,,,,,
ENSG00000254045.1,ENSG00000099834.18,ENSG00000259674.1,ENSG00000237259.1,,,,,,,
ENSG00000211944.2,ENSG00000198944.5,ENSG00000283063.1,ENSG00000234575.1,,,,,,,
ENSG00000253240.1,ENSG00000188581.8,ENSG00000229859.9,ENSG00000275475.1,,,,,,,
ENSG00000253913.1,ENSG00000253755.1,ENSG00000204941.13,ENSG00000236823.1,,,,,,,
ENSG00000270474.2,ENSG00000130643.8,ENSG00000171564.11,ENSG00000253644.1,,,,,,,
ENSG00000263413.2,ENSG00000143167.11,ENSG00000204572.9,ENSG00000234270.1,,,,,,,
ENSG00000242753.1,ENSG00000231412.2,ENSG00000211745.3,ENSG00000187533.13,,,,,,,
ENSG00000228985.1,ENSG00000211829.9,ENSG00000203859.9,ENSG00000271150.1,,,,,,,
ENSG00000253440.1,ENSG00000244094.1,ENSG00000171557.16,ENSG00000221630.3,,,,,,,
ENSG00000224559.2,ENSG00000180549.7,ENSG00000243137.7,ENSG00000260629.1,,,,,,,
ENSG00000253467.2,ENSG00000161055.3,ENSG00000238266.1,ENSG00000200926.1,,,,,,,
ENSG00000225825.1,ENSG00000186407.6,ENSG00000186393.5,ENSG00000227108.1,,,,,,,
ENSG00000237020.1,ENSG00000109255.11,ENSG00000007171.16,ENSG00000255183.1,,,,,,,
ENSG00000243440.6,ENSG00000131737.5,ENSG00000166959.7,ENSG00000257453.1,,,,,,,
ENSG00000233656.1,ENSG00000185847.7,ENSG00000204949.8,ENSG00000277344.1,,,,,,,
ENSG00000254215.1,ENSG00000125726.10,ENSG00000149948.13,ENSG00000231503.4,,,,,,,
ENSG00000284049.1,ENSG00000185905.3,ENSG00000255916.1,ENSG00000284060.1,,,,,,,
ENSG00000273588.1,ENSG00000139626.15,ENSG00000134812.7,ENSG00000201012.1,,,,,,,
ENSG00000254009.1,ENSG00000203814.6,ENSG00000244411.3,ENSG00000215110.7,,,,,,,
ENSG00000211828.1,ENSG00000099985.3,ENSG00000196859.7,ENSG00000214782.7,,,,,,,
ENSG00000270748.1,ENSG00000186652.9,ENSG00000184530.8,ENSG00000284272.1,,,,,,,
ENSG00000267686.1,ENSG00000005381.7,ENSG00000162398.11,ENSG00000225723.1,,,,,,,
ENSG00000253458.1,ENSG00000172232.9,ENSG00000153266.12,ENSG00000239989.1,,,,,,,
ENSG00000253592.1,ENSG00000113722.16,ENSG00000016082.14,,,,,,,,
,ENSG00000258444.1,ENSG00000147160.9,,,,,,,,
,ENSG00000240871.5,ENSG00000136535.14,,,,,,,,
,ENSG00000240386.3,ENSG00000177234.7,,,,,,,,
,ENSG00000135902.9,ENSG00000182816.8,,,,,,,,
,ENSG00000122180.4,ENSG00000278745.1,,,,,,,,
,ENSG00000231475.3,ENSG00000134551.12,,,,,,,,
,ENSG00000005961.17,ENSG00000275791.1,,,,,,,,
,ENSG00000170162.13,ENSG00000211804.3,,,,,,,,
,ENSG00000099812.8,ENSG00000281181.1,,,,,,,,
,ENSG00000103089.8,ENSG00000171360.3,,,,,,,,
,ENSG00000122585.7,ENSG00000226496.2,,,,,,,,
,ENSG00000166126.10,ENSG00000105675.8,,,,,,,,
,ENSG00000226979.8,ENSG00000135346.8,,,,,,,,
,ENSG00000071203.9,ENSG00000186710.11,,,,,,,,
,ENSG00000197079.8,ENSG00000211728.2,,,,,,,,
,ENSG00000229035.2,ENSG00000109511.11,,,,,,,,
,ENSG00000172322.13,ENSG00000236591.1,,,,,,,,
,ENSG00000163958.13,ENSG00000204571.6,,,,,,,,
,ENSG00000137392.9,ENSG00000211797.2,,,,,,,,
,ENSG00000101057.15,ENSG00000253649.3,,,,,,,,
,ENSG00000091704.9,ENSG00000185674.9,,,,,,,,
,ENSG00000211678.2,ENSG00000171560.14,,,,,,,,
,ENSG00000259823.5,ENSG00000211690.1,,,,,,,,
,ENSG00000184144.11,ENSG00000180861.9,,,,,,,,
,ENSG00000118160.13,ENSG00000106341.10,,,,,,,,
,ENSG00000167619.11,ENSG00000226025.9,,,,,,,,
,ENSG00000211950.2,ENSG00000222001.2,,,,,,,,
,ENSG00000100285.9,ENSG00000260903.2,,,,,,,,
,ENSG00000212722.7,ENSG00000249436.1,,,,,,,,
,ENSG00000211933.2,ENSG00000263878.1,,,,,,,,
,ENSG00000178233.17,ENSG00000280800.1,,,,,,,,
,ENSG00000137634.9,ENSG00000233306.2,,,,,,,,
,ENSG00000211664.2,ENSG00000267709.1,,,,,,,,
,ENSG00000006059.3,ENSG00000270606.1,,,,,,,,
,ENSG00000152463.14,ENSG00000198390.4,,,,,,,,
,ENSG00000126583.10,ENSG00000256193.5,,,,,,,,
,ENSG00000198758.10,ENSG00000104826.12,,,,,,,,
,ENSG00000206073.10,ENSG00000242366.3,,,,,,,,
,ENSG00000112195.8,ENSG00000186009.4,,,,,,,,
,ENSG00000210196.2,ENSG00000164451.13,,,,,,,,
,ENSG00000276231.4,ENSG00000156925.11,,,,,,,,
,ENSG00000225698.3,ENSG00000274752.1,,,,,,,,
,ENSG00000138435.15,ENSG00000282780.1,,,,,,,,
,ENSG00000259803.6,ENSG00000120659.14,,,,,,,,
,ENSG00000173467.8,ENSG00000228971.2,,,,,,,,
,ENSG00000044012.3,ENSG00000229331.1,,,,,,,,
,ENSG00000157851.16,ENSG00000175065.11,,,,,,,,
,ENSG00000135549.14,ENSG00000197476.3,,,,,,,,
,ENSG00000128564.6,ENSG00000164794.8,,,,,,,,
,ENSG00000124493.13,ENSG00000211777.2,,,,,,,,
,ENSG00000100721.10,ENSG00000165588.16,,,,,,,,
,ENSG00000175535.6,ENSG00000256553.1,,,,,,,,
,ENSG00000232216.1,ENSG00000218672.1,,,,,,,,
,ENSG00000243284.1,ENSG00000223629.1,,,,,,,,
,ENSG00000210176.1,ENSG00000100867.14,,,,,,,,
,ENSG00000169562.9,ENSG00000233123.1,,,,,,,,
,ENSG00000154451.14,ENSG00000100987.14,,,,,,,,
,ENSG00000203688.4,ENSG00000229769.2,,,,,,,,
,ENSG00000282651.2,ENSG00000258689.1,,,,,,,,
,ENSG00000249138.1,ENSG00000276405.1,,,,,,,,
,ENSG00000117090.14,ENSG00000104970.10,,,,,,,,
,ENSG00000145863.10,ENSG00000169064.12,,,,,,,,
,ENSG00000198090.3,ENSG00000148584.14,,,,,,,,
,ENSG00000127831.10,ENSG00000172410.4,,,,,,,,
,ENSG00000243264.2,ENSG00000163554.12,,,,,,,,
,ENSG00000211650.2,ENSG00000211807.3,,,,,,,,
,ENSG00000240505.8,ENSG00000236154.1,,,,,,,,
,ENSG00000243709.1,ENSG00000146678.9,,,,,,,,
,ENSG00000211685.3,ENSG00000247844.1,,,,,,,,
,ENSG00000204873.4,ENSG00000248698.5,,,,,,,,
,ENSG00000139540.11,ENSG00000130656.4,,,,,,,,
,ENSG00000112818.9,ENSG00000283559.1,,,,,,,,
,ENSG00000232810.3,ENSG00000211768.1,,,,,,,,
,ENSG00000210112.1,ENSG00000261451.1,,,,,,,,
,ENSG00000142789.19,ENSG00000171864.4,,,,,,,,
,ENSG00000161992.5,ENSG00000253361.1,,,,,,,,
,ENSG00000234389.1,ENSG00000115488.3,,,,,,,,
,ENSG00000196866.2,ENSG00000263698.1,,,,,,,,
,ENSG00000118271.9,ENSG00000243953.1,,,,,,,,
,ENSG00000183640.5,ENSG00000029559.6,,,,,,,,
,ENSG00000136573.12,ENSG00000211696.2,,,,,,,,
,ENSG00000165828.14,ENSG00000182747.4,,,,,,,,
,ENSG00000213417.3,ENSG00000268089.2,,,,,,,,
,ENSG00000153898.12,ENSG00000156282.4,,,,,,,,
,ENSG00000182271.12,ENSG00000163206.5,,,,,,,,
,ENSG00000282639.1,ENSG00000166926.8,,,,,,,,
,ENSG00000274576.2,ENSG00000203784.2,,,,,,,,
,ENSG00000104951.15,ENSG00000261272.1,,,,,,,,
,ENSG00000148826.8,ENSG00000116882.14,,,,,,,,
,ENSG00000165556.9,ENSG00000170367.4,,,,,,,,
,ENSG00000162078.11,ENSG00000225690.1,,,,,,,,
,ENSG00000204880.7,ENSG00000280936.1,,,,,,,,
,ENSG00000048462.10,ENSG00000229183.8,,,,,,,,
,ENSG00000180745.4,ENSG00000211784.2,,,,,,,,
,ENSG00000214518.3,ENSG00000222032.1,,,,,,,,
,ENSG00000242808.7,ENSG00000251144.1,,,,,,,,
,ENSG00000169704.4,ENSG00000134200.3,,,,,,,,
,ENSG00000213416.3,ENSG00000236453.5,,,,,,,,
,ENSG00000253522.5,ENSG00000170373.8,,,,,,,,
,ENSG00000241595.2,ENSG00000211805.1,,,,,,,,
,ENSG00000244537.2,ENSG00000165066.12,,,,,,,,
,ENSG00000198083.9,ENSG00000211847.1,,,,,,,,
,ENSG00000095110.7,ENSG00000159217.9,,,,,,,,
,ENSG00000212657.1,ENSG00000135477.11,,,,,,,,
,ENSG00000212935.1,ENSG00000126337.13,,,,,,,,
,ENSG00000171396.11,ENSG00000177938.4,,,,,,,,
,ENSG00000187054.15,ENSG00000280322.1,,,,,,,,
,ENSG00000168928.12,ENSG00000211713.3,,,,,,,,
,ENSG00000117322.17,ENSG00000166917.10,,,,,,,,
,ENSG00000011590.13,ENSG00000183631.4,,,,,,,,
,ENSG00000168925.10,ENSG00000258915.1,,,,,,,,
,ENSG00000198443.6,ENSG00000211883.1,,,,,,,,
,ENSG00000197683.4,ENSG00000259255.1,,,,,,,,
,ENSG00000152214.12,ENSG00000227243.3,,,,,,,,
,ENSG00000228408.6,ENSG00000279042.1,,,,,,,,
,ENSG00000234965.2,ENSG00000270864.1,,,,,,,,
,ENSG00000186860.4,ENSG00000187166.1,,,,,,,,
,ENSG00000204616.10,ENSG00000226939.1,,,,,,,,
,ENSG00000196156.4,ENSG00000253973.2,,,,,,,,
,ENSG00000153002.11,ENSG00000225413.2,,,,,,,,
,ENSG00000114455.13,ENSG00000275158.1,,,,,,,,
,ENSG00000221864.4,ENSG00000174325.4,,,,,,,,
,ENSG00000158874.11,ENSG00000109208.4,,,,,,,,
,ENSG00000205116.3,ENSG00000280776.1,,,,,,,,
,ENSG00000142408.4,ENSG00000249309.1,,,,,,,,
,ENSG00000169605.5,ENSG00000073754.5,,,,,,,,
,ENSG00000101076.16,ENSG00000255440.1,,,,,,,,
,ENSG00000135220.10,ENSG00000104760.16,,,,,,,,
,ENSG00000170890.13,ENSG00000239739.1,,,,,,,,
,ENSG00000196092.12,ENSG00000253122.1,,,,,,,,
,ENSG00000241123.1,ENSG00000259268.1,,,,,,,,
,ENSG00000205277.9,ENSG00000211880.1,,,,,,,,
,ENSG00000187175.5,ENSG00000205864.1,,,,,,,,
,ENSG00000181617.5,ENSG00000215475.4,,,,,,,,
,ENSG00000175329.12,ENSG00000257582.5,,,,,,,,
,ENSG00000129159.7,ENSG00000265929.1,,,,,,,,
,ENSG00000122711.8,ENSG00000183822.3,,,,,,,,
,ENSG00000139767.8,ENSG00000257732.1,,,,,,,,
,ENSG00000212725.3,ENSG00000258342.1,,,,,,,,
,ENSG00000172061.8,ENSG00000257940.1,,,,,,,,
,ENSG00000171195.10,ENSG00000125861.14,,,,,,,,
,ENSG00000211968.3,ENSG00000136487.17,,,,,,,,
,ENSG00000163515.6,ENSG00000243479.3,,,,,,,,
,ENSG00000241244.1,ENSG00000203942.4,,,,,,,,
,ENSG00000212724.3,ENSG00000253269.1,,,,,,,,
,ENSG00000205869.2,ENSG00000047936.10,,,,,,,,
,ENSG00000110245.11,ENSG00000120903.12,,,,,,,,
,ENSG00000272804.3,ENSG00000253936.1,,,,,,,,
,ENSG00000074276.10,ENSG00000132703.3,,,,,,,,
,ENSG00000274749.1,ENSG00000214049.6,,,,,,,,
,ENSG00000274993.1,ENSG00000182035.11,,,,,,,,
,ENSG00000158865.12,ENSG00000211815.3,,,,,,,,
,ENSG00000123364.4,ENSG00000236780.5,,,,,,,,
,ENSG00000130812.10,ENSG00000228376.3,,,,,,,,
,ENSG00000111732.10,ENSG00000261834.2,,,,,,,,
,ENSG00000158516.11,ENSG00000215182.8,,,,,,,,
,ENSG00000224220.1,ENSG00000258179.1,,,,,,,,
,ENSG00000250562.1,ENSG00000211879.1,,,,,,,,
,ENSG00000168843.13,ENSG00000124391.4,,,,,,,,
,ENSG00000205445.3,ENSG00000254166.1,,,,,,,,
,ENSG00000164600.6,ENSG00000261583.1,,,,,,,,
,ENSG00000186977.2,ENSG00000237520.1,,,,,,,,
,ENSG00000186265.9,ENSG00000253291.1,,,,,,,,
,ENSG00000179902.12,ENSG00000253288.1,,,,,,,,
,ENSG00000198271.4,ENSG00000224885.1,,,,,,,,
,ENSG00000196132.11,ENSG00000105679.8,,,,,,,,
,ENSG00000115008.5,ENSG00000254187.1,,,,,,,,
,ENSG00000221837.5,ENSG00000264443.1,,,,,,,,
,ENSG00000281383.1,ENSG00000272274.1,,,,,,,,
,ENSG00000143032.7,ENSG00000230098.1,,,,,,,,
,ENSG00000224137.1,ENSG00000143839.14,,,,,,,,
,ENSG00000180386.7,ENSG00000250411.1,,,,,,,,
,ENSG00000189169.7,ENSG00000211886.1,,,,,,,,
,ENSG00000243489.4,ENSG00000205632.3,,,,,,,,
,ENSG00000221859.2,ENSG00000279427.1,,,,,,,,
,ENSG00000215455.4,ENSG00000250748.6,,,,,,,,
,ENSG00000103310.10,ENSG00000250431.1,,,,,,,,
,ENSG00000172238.4,ENSG00000249866.1,,,,,,,,
,ENSG00000219073.7,ENSG00000251624.1,,,,,,,,
,ENSG00000250579.1,ENSG00000256590.2,,,,,,,,
,ENSG00000184434.7,ENSG00000230519.2,,,,,,,,
,ENSG00000164778.4,ENSG00000113302.4,,,,,,,,
,ENSG00000187766.1,ENSG00000155087.3,,,,,,,,
,ENSG00000271569.1,ENSG00000146276.11,,,,,,,,
,ENSG00000160401.14,ENSG00000251573.2,,,,,,,,
,ENSG00000196620.9,ENSG00000284486.1,,,,,,,,
,ENSG00000212721.3,ENSG00000211855.1,,,,,,,,
,ENSG00000184293.7,ENSG00000254403.1,,,,,,,,
,ENSG00000215454.6,ENSG00000131885.16,,,,,,,,
,ENSG00000169427.6,ENSG00000205274.3,,,,,,,,
,ENSG00000184351.7,ENSG00000249509.1,,,,,,,,
,ENSG00000150637.8,ENSG00000108849.7,,,,,,,,
,ENSG00000196224.7,ENSG00000232503.1,,,,,,,,
,ENSG00000170893.3,ENSG00000283462.1,,,,,,,,
,ENSG00000179751.6,ENSG00000283235.1,,,,,,,,
,ENSG00000146039.10,ENSG00000185823.3,,,,,,,,
,ENSG00000205439.10,ENSG00000248596.7,,,,,,,,
,ENSG00000260769.1,ENSG00000134216.18,,,,,,,,
,ENSG00000187272.6,ENSG00000237838.1,,,,,,,,
,ENSG00000188694.5,ENSG00000184611.11,,,,,,,,
,ENSG00000211924.1,ENSG00000236668.2,,,,,,,,
,ENSG00000125492.9,ENSG00000241345.1,,,,,,,,
,ENSG00000273706.4,ENSG00000232254.1,,,,,,,,
,ENSG00000244122.2,ENSG00000187997.11,,,,,,,,
,ENSG00000126545.13,ENSG00000283686.2,,,,,,,,
,ENSG00000167117.8,ENSG00000211850.1,,,,,,,,
,ENSG00000175311.6,ENSG00000231976.8,,,,,,,,
,ENSG00000142615.7,ENSG00000228075.4,,,,,,,,
,ENSG00000279419.1,ENSG00000235024.1,,,,,,,,
,ENSG00000253239.1,ENSG00000205663.5,,,,,,,,
,ENSG00000277268.1,ENSG00000277223.1,,,,,,,,
,ENSG00000007372.21,ENSG00000198570.5,,,,,,,,
,ENSG00000272763.1,ENSG00000224203.2,,,,,,,,
,ENSG00000241657.1,ENSG00000081138.13,,,,,,,,
,ENSG00000173237.4,ENSG00000232613.6,,,,,,,,
,ENSG00000114248.9,ENSG00000175077.5,,,,,,,,
,ENSG00000242766.1,ENSG00000201558.1,,,,,,,,
,ENSG00000091583.10,ENSG00000266489.1,,,,,,,,
,ENSG00000164438.5,ENSG00000244040.5,,,,,,,,
,ENSG00000278041.1,ENSG00000147432.6,,,,,,,,
,ENSG00000178171.10,ENSG00000207923.1,,,,,,,,
,ENSG00000211978.2,ENSG00000231873.1,,,,,,,,
,ENSG00000164853.8,ENSG00000223617.1,,,,,,,,
,ENSG00000139780.7,ENSG00000187821.8,,,,,,,,
,ENSG00000142484.6,ENSG00000273011.1,,,,,,,,
,ENSG00000266200.6,ENSG00000169676.5,,,,,,,,
