Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000081277.12,ENSG00000125740.13,ENSG00000149968.11,ENSG00000214128.10,,,,,,,
ENSG00000143119.12,ENSG00000063180.8,ENSG00000150625.16,ENSG00000125872.7,,,,,,,
ENSG00000159173.18,ENSG00000178531.5,ENSG00000133742.13,ENSG00000124134.8,,,,,,,
ENSG00000112303.13,ENSG00000165474.5,ENSG00000134757.4,ENSG00000066405.12,,,,,,,
ENSG00000169509.5,ENSG00000147168.12,ENSG00000224958.5,ENSG00000222375.1,,,,,,,
ENSG00000165887.11,ENSG00000133169.5,ENSG00000166869.2,ENSG00000262406.2,,,,,,,
ENSG00000066336.11,ENSG00000162998.4,ENSG00000163032.11,ENSG00000164707.15,,,,,,,
ENSG00000213654.9,ENSG00000168334.8,ENSG00000088002.11,ENSG00000180712.3,,,,,,,
ENSG00000183091.19,ENSG00000090104.11,ENSG00000134240.11,ENSG00000137251.15,,,,,,,
ENSG00000121966.6,ENSG00000077943.7,ENSG00000148600.14,ENSG00000178403.3,,,,,,,
ENSG00000126233.1,ENSG00000182885.16,ENSG00000136244.11,ENSG00000124490.13,,,,,,,
ENSG00000163563.7,ENSG00000198854.5,ENSG00000102962.4,ENSG00000174358.15,,,,,,,
ENSG00000120729.9,ENSG00000143520.6,ENSG00000075073.14,ENSG00000112212.11,,,,,,,
ENSG00000115590.13,ENSG00000104267.9,ENSG00000153531.13,ENSG00000168631.12,,,,,,,
ENSG00000197249.13,ENSG00000089356.18,ENSG00000110484.6,ENSG00000211724.3,,,,,,,
ENSG00000143320.8,ENSG00000204421.2,ENSG00000170891.10,ENSG00000205312.8,,,,,,,
ENSG00000163464.7,ENSG00000053438.8,ENSG00000261786.1,ENSG00000248300.1,,,,,,,
ENSG00000132965.9,ENSG00000105141.5,ENSG00000157734.13,ENSG00000267432.5,,,,,,,
ENSG00000211666.2,ENSG00000244617.2,ENSG00000141579.6,ENSG00000254006.5,,,,,,,
ENSG00000211900.2,ENSG00000163347.5,ENSG00000184811.3,ENSG00000048545.13,,,,,,,
