,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
ENSG00000143631,107.76851202477737,157.66955950058264,12.941403354838393,24441.67846279503,24.23267377377935,43.70952075801779,20.237988547226784,25.041448364188714
ENSG00000143520,91.02346329856468,165.0871655639917,23.29499732620428,45661.18207842105,37.11318133896539,65.6615562208925,39.79024551579025,27.7214112867032
ENSG00000143536,2154.0642356866188,701.6773179039507,42.48098587944696,316894.3365640541,95.52764041229207,83.87695231698166,55.467188055265396,48.27820587064416
ENSG00000186207,20.873504381587978,41.99850883966823,6.780574022099373,7167.591137209252,7.4232306970974875,13.328955895718975,18.514624077216766,7.9127317138632165
ENSG00000169509,355.9474155270765,204.78442079822955,20.002568256540393,95889.29380498288,32.73643608983434,43.54550227222782,30.202499259958174,24.177456851830833
ENSG00000163202,26.934051832907688,28.626908957561177,4.209765254248441,7572.895886751014,4.1059132684995365,9.332271036867613,5.235175707486173,6.167435815732534
ENSG00000185962,10.787496693005904,4.006536260303367,1.379770587866385,171.8774857198528,2.700529286964918,1.5350713657188837,1.668375853425638,1.413195347279213
ENSG00000187223,25.03828688811954,33.782144537094155,5.146582210423055,9978.135177823277,7.569062423948408,12.219324677970562,7.209916895203621,7.3724570558334985
ENSG00000187180,39.229558172163834,71.7524596979092,8.861230185961038,16172.31520812216,13.74013838878269,20.691045463673316,14.35831601135919,12.373741597840677
ENSG00000159455,86.36256208186832,137.48551378141266,16.403216355578703,36968.13822956613,31.166232640930875,36.54880391942402,30.23104465298532,31.24488165264643
ENSG00000187173,27.52982922360185,33.97698312651523,4.63493826242485,7023.460369568968,7.21722166588166,12.074991064746303,6.876317800065133,6.731116370632367
ENSG00000187170,2.1558046731790244,2.266962381095899,1.3196051552327537,137.39445380566025,1.42094680016738,1.3312264117523076,1.7152592927621706,1.3209466487418018
ENSG00000198854,95.23320300939184,176.78676496581903,19.361295861049566,46435.28994459027,37.089421294112675,62.77327958512338,44.09928697466961,27.71539256115686
ENSG00000203786,40.327502894146825,149.38872368973952,10.71466986300259,31026.23220432851,25.519767608498263,44.9831729371834,30.059583377811638,23.911022482615056
ENSG00000240386,36.92914888039793,24.388594048132838,5.260505339632779,6868.894912857082,8.291994368796972,10.53860163044883,7.922346164091381,7.587502565852786
ENSG00000172155,19.89288566668171,25.221492960666698,3.828373662598557,5458.386236901482,6.161064708028732,6.492086369394794,7.174464142633963,6.051684883316514
ENSG00000197084,79.26791783825156,135.91134274631042,21.73697351858258,37370.234071198734,30.026280811725496,51.57845351900062,30.444182351879427,28.14735110177219
ENSG00000196734,50.48393965873804,54.41603987315827,9.92013617600737,15025.715020740492,12.43355253204597,22.697333865058123,15.195778008315147,14.216543840920465
ENSG00000186844,36.105171119555315,82.90260278225418,11.451744855765611,20376.871663697657,14.808088405553546,28.53921302947867,18.254230389470834,23.465990031631357
ENSG00000235942,19.027304152369023,37.966110492690134,6.707593291885281,9831.161838490547,9.14286085256787,9.856053990268993,11.941334689613976,10.613644374740215
ENSG00000163206,112.87710582904407,79.56706466349326,2.1742667276737246,24.39720944851938,7.046775583996583,3.6590680185218,3.718417339101636,101.27486540691784
ENSG00000163207,283.31341428538127,97.90650278224332,9.124510973883881,38456.55718148641,18.008844910589715,20.662748727403734,16.673215725785198,17.13652600939122
ENSG00000283227,11.876784860290304,17.065255880782487,3.443036876116843,5095.0662981911155,5.520744574479319,4.89016097204835,4.645475514447524,4.976352952196333
ENSG00000184148,30.19506513283802,59.9477978771997,4.3047519128060765,10630.309135096984,7.977410859327101,10.35660759058171,6.910314357152189,8.950588087326299
ENSG00000169474,930.2974051387386,490.41415101558937,54.23567817323699,180046.19700192922,94.0275724765823,99.34847114438332,45.729725846925625,41.42391760927171
ENSG00000163209,3427.603575176284,1367.268013695033,62.741328650799474,524090.50091508613,128.74117161802374,173.8713290086505,89.37832029397919,85.35137262350085
ENSG00000252920,2.54414032560265,1.404681324876304,1.0414081737606709,87.09673414302871,1.183981665691591,1.016098377802635,1.064129091922885,1.100125922325392
ENSG00000234262,16.00539648754876,5.798703967942307,1.7157626399228714,1882.2804044846905,1.7230680145087356,1.7013962249519567,1.5587306101734264,1.2124249104037927
ENSG00000169469,807.1110110990246,441.9264728148472,36.188842065495045,139247.961221958,76.18041534162134,85.56432159816599,72.33735029925703,44.31320332256113
