,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29
ENSG00000175564,46.99495065367334,42.779212921693556,4.968576422259507,85.95792627680348,10.133513977341856,7.7645264241529155,5.076230470087277,9.598138388598013,86.65114264002837,21.337046678907747,5.089833324897637,12.375898587079307,51.44652493231275,404.0537244256953,16.241516399058288,1239.4178282958198,4.739425054951464,8.728600483228524,14977.697515479726,5.4265156270217245,130.33260393750837,49.35782959314652,177.0812196023232,4.8353178678506525,30.512081971277688,144.2836967537301,36.35861128698875,165.32227667692277,4.342321403074858
ENSG00000254631,1.7397259491183286,1.4211634567135694,1.144907457520232,2.0651550848527247,1.1941625051240237,1.280741104684715,1.2197894800157276,1.2780246276587441,1.6311447242720531,1.3285628164113379,1.1411527825368077,1.537868166603755,2.6105801449172246,103.21306909587561,1.3889843647270668,1.1964563759439073,1.111368382690761,1.3367750738266444,1.169712368102032,1.3001435916413786,1.4893679973489922,1.2111030576863073,3.888305861780395,1.1450196653299543,1.4689565162634275,1.6281910794227947,1.3321475516474408,2.375235631613067,1.1352907000622374
ENSG00000255440,2.852115119164426,2.931368068211353,1.1361002873548394,1.303371734976581,1.1725200474919146,1.2271536791593352,1.2021007243882562,1.2670537136905684,1.495605619064648,1.0897148357206143,1.157277524075083,1.5054644584622063,5.280868778895833,196.71918956742465,1.2105163209798604,1.129157833086065,1.116544147406542,1.3842172187459727,1.2136213547499373,1.288138007176113,1.9240491024494502,1.3455873345304954,2.950648762764283,1.148979344977469,1.3788013362071248,3.88228558450046,1.4141669601397602,1.9787511855784967,1.1306681543884958
ENSG00000054938,268.19582307959894,20.92176401065675,2.457311175652927,14.379792793045844,2.740654698939566,4.0489441279976335,3.052583158513513,4.013704116946891,98.29340277746299,876.5775112795201,2.7878883683151137,8.87448938386829,219.46139040926923,18.429168222065393,7.55304047119523,212.61671113117012,2.1749929780969484,3.431587979209652,61.573073094069144,2.471068098959337,78.86505285574246,102.78755310886083,624.6218214534123,2.007191492514557,9.356148388120245,28.46028018061448,64.99166498725367,6122.982702120181,2.161952567151643
ENSG00000279353,33.89447913670551,4.138407521488722,1.3546451418629415,3.3026836037552227,1.4089034691638302,1.8054555040469595,1.5631224519189797,1.7698782901755317,18.436157183339212,84.87662560235185,1.3552090518238589,2.5881263369355425,21.742332471943094,11.33021847776204,2.303634384044746,32.419538817075946,1.3024548004821566,1.8624369559669793,16.843931349113507,1.4470806140884995,12.983747281330725,10.465976919670538,58.241608555518816,1.3395028347954179,2.7432075424189204,6.094563255380489,7.083625082593449,778.5784446142299,1.340305958794082
ENSG00000206941,1.0094417045270472,1.006314340358278,0.998768867942027,1.0006106346097643,0.9991308682931579,1.0036929592375983,1.0007283043281614,1.0005254731203548,1.0414014841919799,1.001754694800581,0.9982958878021123,1.0098666889919459,1.0021946853004327,1.1264177952223422,1.0267476145599954,1.001883065036474,0.999458571607138,1.0026159873266876,1.0001289340499306,0.9988631873271873,3.539787207788753,1.0003490063100247,1.0362979670031724,0.9987714411155695,1.0076383984943533,1.0006774559191476,0.9988303373178826,1.0342175595815868,0.9992013382130421
ENSG00000166391,967.7541561559684,3.0578412911306194,1.385322462531851,94.07774944341791,1.5429856681241267,1.7407912917155328,1.5157063868578649,1.922748812251563,2.709658418237405,3.141853977139623,1.5124046792253012,1.5018799192422299,855.9558386185508,3.685306412507162,3.0283541917086816,2.048089691939593,1.5021358087262746,1.5969459875261458,2.141371030419473,1.524723885357967,10.23636331816277,3.316698978474961,3.5224015996346436,1.4385955262129924,1.9396758824529834,2.948246499577234,2.6691362947891175,4.992153542176312,1.3316519393709059
ENSG00000151365,30.224055897263806,15.803587353560472,7.181262167165646,1085.7384365282476,7.557601339043197,12.112355866538671,10.204544101981478,7.860426745816881,28.078810339202573,143.8247930992297,5.74126256818075,6.963056119791762,45.487415986180146,5829.45211515559,15.674611436075546,131.93975416334854,5.815438316389719,5.25181959876653,384.8363624645989,8.843591579942906,25918.2524613085,127.35713653163732,200.7381019507515,7.7301831520219855,23.186814179432446,58.51236778756801,39.20815292058293,27.35048658951225,8.444244786322868
ENSG00000255183,1.1718183469415833,1.0701065117726456,1.0009828265441227,1.1344091262188645,1.0046904547710982,1.002865667889007,1.0066098493402915,1.0055810773627925,3.057986933085328,1.1633955219250383,1.001399033464942,1.0371852172252278,1.0829360259915823,7.067802598670765,1.0330677157489563,1.0025431663679971,0.9998696298312987,1.0180456123303032,1.0075965466482482,1.0061507960173832,1.6561140716613074,1.0442962638526148,1.3793816021441794,1.0020523858643033,1.0442251628075747,1.1259310460942076,1.0031628398509254,1.2047127066423862,1.0023226651692396
ENSG00000168959,1.2336840428882703,7.340203205486984,1.0437861875648724,1.3981378541619638,1.056037635085682,1.0631188074191986,1.0506966133442257,1.0338222953191354,1.5596734852313694,1.601539661367561,1.0379207435837243,1.099934168350631,1.2446792683208887,1.664333088043404,1.145072805415607,1.152122585163929,1.0403144201944798,1.0557547882658387,1.2505959335427022,1.0465844186579911,1.9630990489081743,1.3058461456519823,17.48480324979534,1.0376104229058831,1.1130690211457985,116.46049606249278,1.3625015985967588,1.6608052368632458,1.0402020720834697
ENSG00000181333,9.795293936263956,1.8000259990879783,1.1058628676616573,688.444830419026,1.1063839375247075,1.1614079241134736,1.120974772264824,1.1273397747862088,2.2892094942440435,1.5704753553339965,1.1260752869921198,1.4061068498770135,4.653400025510828,41.983188301958776,2.507416487135378,1.964715484009884,1.1024311215708962,1.2104145655720044,4.277630037192391,1.1290506893908654,4.543829793197307,2.501287590081561,24.02562805624267,1.084528638244802,1.2486652208497584,2.4534125669876246,296.6492954532804,15.87379411890091,1.1029500468609466
