i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
35,GTEX-11I78-0001-SM-5Q5BE,0.0173368,24.134,0.0332931,0.030206900000000002,0.0160503,975.9010000000001,0.013169899999999998,0.012999200000000002
36,GTEX-11LCK-0926-SM-5A5KA,639.871,0.0105647,163.80700000000002,121.42200000000001,74.9973,0.0245798,0.013169899999999998,0.012999200000000002
37,GTEX-11NSD-0008-SM-5Q5BC,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,1000.02,0.013169899999999998,0.012999200000000002
38,GTEX-11NSD-1626-SM-5986U,0.0173368,0.0105647,448.718,316.435,0.0160503,0.0245798,234.924,0.012999200000000002
39,GTEX-11NV4-0526-SM-5N9BF,0.0173368,0.0105647,1000.03,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
40,GTEX-11OF3-2526-SM-5P9JL,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
41,GTEX-11ONC-0126-SM-5PNW6,168.287,86.0921,0.0332931,524.627,140.8,46.7823,33.5227,0.012999200000000002
42,GTEX-11ONC-2026-SM-5HL61,0.0173368,0.0105647,782.84,108.175,0.0160503,0.0245798,0.013169899999999998,109.061
43,GTEX-11P7K-1226-SM-5HL4X,71.2625,0.0105647,919.8480000000001,0.030206900000000002,0.0160503,8.96461,0.013169899999999998,0.012999200000000002
44,GTEX-11P81-1126-SM-5GU5G,0.0173368,0.0105647,843.74,45.56,0.0160503,0.0245798,0.013169899999999998,110.77600000000001
45,GTEX-11P81-2726-SM-59876,0.0173368,0.0105647,1000.03,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
46,GTEX-11P82-0006-SM-5N9FY,0.0173368,1000.01,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
47,GTEX-11TT1-1126-SM-5P9GV,0.0173368,0.0105647,0.0332931,1000.03,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
