i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39
960,GTEX-145MH-0011-R11a-SM-5P9HQ,0.0028407373829,0.396131761862,0.00247809005742,0.0117255968571,0.000362647325476,0.00175279540647,0.0317920822001,0.00556059232396,0.00253853127833,0.00211544273194,0.00519794499849,0.00489573889393,0.00882441825325,0.0985191900876,0.000543970988214,0.000362647325476,0.358597763675,0.0433363553944,0.00815956482321,6.04412209127e-05,0.00175279540647,0.0,0.00296161982472,0.00616500453309,0.0,0.0,0.00090661831369,0.0,0.000120882441825,0.000241764883651,0.0,0.0,0.0,0.000120882441825,0.00132970686008,0.0,6.04412209127e-05,0.0,0.000543970988214
961,GTEX-TMMY-1526-SM-4DXST,0.0177424805678,0.0270361608652,0.0106454883407,0.0576208178439,0.00101385603244,0.463839134843,0.00135180804326,0.0577897938493,0.004562352146,0.0143629604596,0.230483271375,0.0103075363298,0.00219668807029,0.000337952010814,0.000844880027036,0.0,0.00777289624873,0.0167286245353,0.0128421764109,0.000844880027036,0.0070969922271,0.00270361608652,0.00625211220007,0.000675904021629,0.0,0.0,0.00101385603244,0.000168976005407,0.00202771206489,0.0,0.0224738087192,0.0,0.0,0.0,0.0,0.0,0.0192632646164,0.0,0.0
962,GTEX-1QAET-0006-SM-DLZQQ,8.66539574196e-05,0.00115316420258,0.00578581808001,0.659056671688,6.66568903228e-06,0.00179307034968,6.66568903228e-06,0.000706563037421,0.000299956006452,0.115316420258,0.116862860114,0.0328218527949,0.0,1.33313780646e-05,0.000913199397422,6.66568903228e-06,0.000113316713549,0.00287291197291,0.00165975656904,0.00765221100905,6.66568903228e-06,1.99970670968e-05,8.66539574196e-05,0.0,0.00029329031742,0.0,0.0431803335511,6.66568903228e-06,0.00167975363613,0.0,0.0,0.00263294716775,0.0,0.0,0.000199970670968,3.33284451614e-05,0.00471930783485,1.33313780646e-05,0.0
963,GTEX-ZVT2-1926-SM-5GU5T,0.00282468654108,0.00243857830885,0.00247922128066,0.239488711415,0.0,0.0022963279075,0.000304822288606,0.000833180922189,0.00211343453433,0.315470747221,0.156841228231,0.05466479709,2.0321485907e-05,0.000447072689955,0.00918531162999,0.000243857830885,0.00912434717227,0.00245889979475,0.122355666646,0.0100388140381,8.12859436282e-05,0.00888048934138,0.000467394175862,0.0,0.0,0.00270275762564,0.0226178138145,0.000101607429535,0.0172122985633,0.00443008392774,4.06429718141e-05,0.00727509195472,0.0,0.0,0.000975431323538,0.000101607429535,0.00148346847121,0.0,0.0
964,GTEX-1HCU8-0005-SM-A96RL,0.000190379489783,0.00115285357702,0.0106400981512,0.693774590684,2.11532766426e-05,0.00353259719931,2.11532766426e-05,0.00138553962009,0.000634598299277,0.11876507171,0.0781296272793,0.0192494817447,0.0,6.34598299277e-05,0.000676904852562,1.05766383213e-05,0.000317299149638,0.00484410035114,0.00890552946651,0.00772094597453,0.00032787578796,6.34598299277e-05,7.40364682489e-05,0.0,9.51897448915e-05,7.40364682489e-05,0.0140457756907,0.00242205017557,0.0004971020011,0.0,0.0,0.00139611625841,0.0,1.05766383213e-05,0.00207302111097,6.34598299277e-05,0.0288213394255,0.0,0.0
965,GTEX-WOFL-0008-SM-4OOSZ,0.116255876906,0.0333380823479,0.00284940874768,0.0188060977347,0.00142470437384,0.717766063542,0.00854822624305,0.0239350334806,0.00612622880752,0.00170964524861,0.00669611055706,0.00313434962245,0.0,0.0,0.0,0.000284940874768,0.0106852828038,0.0027069383103,0.000854822624305,0.000142470437384,0.00370423137199,0.0,0.0269269126656,0.0,0.0,0.0,0.00170964524861,0.0,0.0,0.000854822624305,0.00256446787292,0.000142470437384,0.0,0.00769340361875,0.000854822624305,0.0,0.000284940874768,0.0,0.0
966,GTEX-1128S-0726-SM-5N9D6,0.111036695968,0.0342123622157,0.0135342542207,0.318068927027,0.000111622715223,0.038481931073,0.000223245430445,0.016073670992,0.00413004046323,0.0667503837031,0.162969164225,0.0284358867029,2.79056788056e-05,0.000139528394028,0.0719129342821,0.0015069066555,0.0069485140226,0.00786940142319,0.0546393191014,0.0103809125157,0.000306962466862,0.000111622715223,0.00117203850984,0.0,8.37170364169e-05,0.00795311845961,0.012780800893,0.00108832147342,0.000279056788056,0.000223245430445,0.000418585182085,0.000865076042975,0.00290219059579,0.0,0.001004604437,0.000111622715223,0.0232454304451,0.0,0.0
967,GTEX-1CB4G-0011-R3a-SM-CE6QQ,0.0457898753498,0.269397099975,0.0111930806411,0.0279827016026,0.000254388196388,0.000508776392775,0.0740269651488,0.0211142203002,0.00330704655304,0.00305265835665,0.00305265835665,0.00381582294582,0.158992622742,0.0101755278555,0.0,0.00152632917833,0.25489697278,0.0801322818621,0.00635970490969,0.0,0.00178071737471,0.00483337573137,0.00381582294582,0.000508776392775,0.0,0.0,0.00864919867718,0.0,0.000254388196388,0.0,0.0020351055711,0.0,0.0,0.0,0.000508776392775,0.0,0.000763164589163,0.0,0.00127194098194
968,GTEX-14DAR-1126-SM-793AT,0.00750817129646,0.0214664125291,0.794793561526,0.00257278070487,0.000188429009371,0.00018118173978,0.0552459360936,0.00286267148852,0.0026307588616,0.000985628664401,0.000768210576665,0.00107259589949,0.00542820492379,0.0174006942884,0.000108709043868,0.00452954349449,0.0271482718886,0.0410630295036,0.00538472130625,6.52254263206e-05,0.000637759724024,0.00030438532283,0.000405847097106,0.000195676278962,0.00036961074915,0.00199299913757,0.0013190030656,6.52254263206e-05,2.89890783647e-05,0.000195676278962,0.0004928143322,5.07308871383e-05,0.000144945391824,9.42145046854e-05,0.000905908698898,0.000869672350942,0.000449330714653,5.07308871383e-05,2.17418087735e-05
969,GTEX-OXRK-0226-SM-3NB2G,0.00616113744076,0.00282385466035,0.00086887835703,0.00586492890995,7.89889415482e-05,0.00351500789889,0.000138230647709,0.00203396524487,0.395102685624,0.00118483412322,0.00300157977883,0.0501974723539,0.000236966824645,3.94944707741e-05,0.000631911532385,5.92417061611e-05,0.00134281200632,0.000750394944708,0.0125592417062,0.000355450236967,0.00367298578199,0.00053317535545,0.465481832543,0.0209518167457,0.0,0.0,7.89889415482e-05,0.0,0.0082345971564,0.00361374407583,0.00238941548183,0.0,0.0,0.0,0.000157977883096,7.89889415482e-05,0.00783965244866,0.0,1.9747235387e-05
