"","MMbrown","MMpink","MMpurple","MMyellow","MMblue","MMblack","MMred","MMturquoise","MMgreen","MMmagenta","MMgrey"
"ENSG00000268903",-0.204384415970649,0.283899192941608,-0.013801422040201,-0.257209195771943,0.214612393301729,0.143814212238145,0.442014982208772,0.745868938791857,0.0181155699785831,0.0747895815018166,0.194193624522286
"ENSG00000269981",-0.250464837765669,0.274790560696497,-0.00460026552276345,-0.256796242353249,0.251129943434797,0.138426057679526,0.475236947216528,0.7345016905876,0.044393807808299,0.0912132160808355,0.23156575950104
"ENSG00000225972",0.106111390368902,0.000230012999524633,0.0559467398711469,0.0894379403339063,-0.0483080553471033,-0.0325863923599989,-0.0733532065573095,-0.144136003359953,-0.0355046671362839,0.00575918104262311,-0.1193298287784
"ENSG00000229344",0.28649790393202,-0.0462625903167194,0.0845562741441864,0.107121572361998,-0.100642721277331,-0.0286804769992517,-0.186551418075887,-0.312407589408402,-0.120000775731422,-0.00552644909550235,-0.238614917868503
"ENSG00000178821",-0.0715979925374145,0.265199199072453,-0.152077953580104,0.58236501270439,0.0101858157601331,0.104235009910581,-0.119075355449726,-0.238940853631108,0.390610900682896,0.0971285794551326,-0.218249071845759
"ENSG00000242349",0.0436468425838497,0.462026595283437,0.35031812504288,-0.0904953929654629,0.0358792659970129,0.028817702171701,0.168150730388117,0.164176809361774,-0.0037034329735414,0.0640410770026787,0.288680291520706
"ENSG00000175206",-0.0543919465599609,0.0974508647085043,0.914028633882376,0.147782489004369,-0.0879798774325924,-0.0696881265987095,-0.0884652913432694,-0.0675829321214193,-0.0926083932785022,-0.0732410518690226,-0.0160226515595228
"ENSG00000120937",-0.033762190801526,-0.00803167097874874,0.910812544760045,0.151936340711527,-0.12906201296744,-0.0575021875040287,-0.130682801990265,-0.108330217272295,-0.0738431340490344,-0.0644170372145175,-0.122248875204526
"ENSG00000162438",-0.082882521992831,-0.019805885465867,-0.0675745100173138,-0.0747719432499988,-0.0535717665746866,0.137816265912918,-0.0215288553802978,-0.0566795345685327,0.953211491555866,0.0576684925159627,-0.0592979498589553
"ENSG00000142615",-0.0679648608837179,0.0110123509980379,-0.0737926950214993,-0.076071700238652,-0.0493443223530514,0.144130558316848,-0.0253004102384785,-0.0955037816675469,0.964008196805812,0.0884052437579108,-0.0487890775011323
"ENSG00000215704",-0.0700042808797129,0.0290905965562208,-0.0637068785458574,-0.0650203300333427,-0.0619242130961328,0.126107232928685,-0.0514247770785845,-0.100226622498929,0.922974486751091,0.0408092402229874,-0.0725752589093489
