"","x"
"GTEX-113JC-0726-SM-5GZZR",55
"GTEX-113JC-0926-SM-5H114",11
"GTEX-113JC-1026-SM-5H117",11
"GTEX-113JC-1926-SM-5N9GE",8
"GTEX-113JC-2226-SM-5EGJG",4
"GTEX-113JC-2326-SM-5EQ4E",56
"GTEX-113JC-2726-SM-5EGIS",2
"GTEX-113JC-2826-SM-5EGIT",57
"GTEX-117XS-0005-SM-5PNU6",58
"GTEX-117XS-0008-SM-5Q5DQ",32
"GTEX-117XS-0426-SM-5GZZN",11
"GTEX-117XS-0526-SM-5987Q",4
"GTEX-117XS-0726-SM-5H131",27
"GTEX-117XS-1926-SM-5GICO",4
"GTEX-117XS-2026-SM-5GID1",23
"GTEX-117XS-2226-SM-5GIE1",11
"GTEX-117XS-2526-SM-5H11G",24
"GTEX-117XS-2726-SM-5N9BL",8
"GTEX-117XS-2926-SM-5N9BX",59
"GTEX-117XS-3026-SM-5N9CA",10
"GTEX-117XS-3126-SM-5GIDP",10
"GTEX-117YW-0005-SM-5NQ8Z",60
"GTEX-117YW-0008-SM-5QGRD",32
"GTEX-117YW-0126-SM-5EGGN",61
"GTEX-117YW-0226-SM-5N9CM",4
"GTEX-117YW-0326-SM-5N9CY",28
"GTEX-117YW-0426-SM-5GZZZ",28
"GTEX-117YW-0526-SM-5H11C",62
"GTEX-117YW-0826-SM-5H11O",63
"GTEX-117YW-1426-SM-5EGGO",3
"GTEX-117YW-1526-SM-5EGGP",64
"GTEX-117YW-1826-SM-5PNY5",22
"GTEX-117YW-1926-SM-5H121",8
"GTEX-117YW-2026-SM-5N9BH",11
"GTEX-117YW-2226-SM-5N9DB",18
"GTEX-117YW-2426-SM-5Q5AE",24
"GTEX-117YW-2626-SM-5GZZH",8
"GTEX-117YW-2726-SM-5GZZT",8
"GTEX-117YW-2826-SM-5H116",59
"GTEX-117YX-0126-SM-5EGH5",45
"GTEX-117YX-0226-SM-5EGH6",14
"GTEX-117YX-0326-SM-5GICL",49
"GTEX-117YX-0526-SM-5EGJH",15
"GTEX-117YX-0626-SM-5EGJI",27
"GTEX-117YX-0726-SM-5GIET",52
"GTEX-117YX-0826-SM-5H11J",11
"GTEX-117YX-1026-SM-5H11V",18
"GTEX-117YX-1126-SM-5H128",28
"GTEX-117YX-1226-SM-5H11S",32
"GTEX-117YX-1326-SM-5H125",39
"GTEX-117YX-1426-SM-5H12H",4
"GTEX-117YX-1526-SM-5H12T",21
"GTEX-117YX-1726-SM-5GZZS",65
"GTEX-117YX-1826-SM-5H12K",11
"GTEX-117YX-1926-SM-5GIEC",66
"GTEX-117YX-2026-SM-5GIEF",67
"GTEX-117YX-2126-SM-5GIEL",44
"GTEX-117YX-2226-SM-5EGJJ",11
"GTEX-117YX-2326-SM-5H12W",8
"GTEX-117YX-2426-SM-5GZZJ",4
"GTEX-117YX-2526-SM-5EQ4Q",68
"GTEX-117YX-2626-SM-5EQ53",69
"GTEX-1192W-0005-SM-5NQBQ",60
"GTEX-1192W-0008-SM-5QGRE",32
"GTEX-1192W-0126-SM-5EGGS",70
"GTEX-1192W-0226-SM-5EGGT",27
"GTEX-1192W-2626-SM-5Q5AF",8
"GTEX-1192W-3026-SM-5GZZV",59
"GTEX-1192X-0005-SM-5NQC3",71
"GTEX-1192X-0008-SM-5Q5B7",32
"GTEX-1192X-0011-R10a-SM-DO941",10
"GTEX-1192X-0011-R5a-SM-DNZZA",10
"GTEX-1192X-0011-R6a-SM-DNZZB",10
"GTEX-1192X-0011-R7b-SM-DNZZC",10
"GTEX-1192X-0011-R8b-SM-DO11U",10
"GTEX-1192X-0011-R9b-SM-DO934",10
"GTEX-1192X-0226-SM-5H12D",8
"GTEX-1192X-0326-SM-5H11U",4
"GTEX-1192X-0426-SM-5GIEE",2
"GTEX-1192X-0726-SM-5987R",27
"GTEX-1192X-1126-SM-5EGGU",72
"GTEX-1192X-1526-SM-5H11I",19
"GTEX-1192X-1826-SM-5GIE2",11
"GTEX-1192X-2326-SM-5987X",52
"GTEX-1192X-2526-SM-59868",21
"GTEX-1192X-2726-SM-5N9DN",8
"GTEX-1192X-2926-SM-5N9BA",73
"GTEX-1192X-3026-SM-5N9BM",59
"GTEX-1192X-3126-SM-5N9BY",10
"GTEX-1192X-3226-SM-5987D",10
"GTEX-11DXW-0006-SM-5NQ7Y",74
"GTEX-11DXW-0008-SM-5Q59V",32
"GTEX-11DXW-0011-R1a-SM-DNZZD",10
"GTEX-11DXW-0011-R3b-SM-DNZZE",10
"GTEX-11DXW-0011-R5b-SM-DO11D",10
"GTEX-11DXW-0011-R6a-SM-DO11N",10
"GTEX-11DXW-0011-R7b-SM-DO119",75
"GTEX-11DXW-0226-SM-5H122",8
"GTEX-11DXW-0326-SM-5H11W",4
"GTEX-11DXW-0426-SM-5H12E",4
"GTEX-11DXW-0526-SM-5H127",11
