MEbrown,MEpink,MEpurple,MEyellow,MEblue,MEblack,MEred,MEturquoise,MEgreen,MEmagenta,MEgrey
ENSG00000104888,,,,ENSG00000176387,,ENSG00000142512,ENSG00000151651,,,
ENSG00000089199,,,,ENSG00000181885,,ENSG00000101336,ENSG00000244734,,,
ENSG00000132639,,,,ENSG00000108602,,ENSG00000160255,ENSG00000213934,,,
ENSG00000053438,,,,ENSG00000171401,,ENSG00000211675,ENSG00000196565,,,
ENSG00000156299,,,,ENSG00000171346,,ENSG00000211679,ENSG00000213931,,,
ENSG00000183036,,,,ENSG00000171345,,ENSG00000100365,ENSG00000066336,,,
ENSG00000160307,,,,ENSG00000186847,,ENSG00000100385,ENSG00000172543,,,
ENSG00000100285,,,,ENSG00000186832,,,ENSG00000249790,,,
ENSG00000008735,,,,ENSG00000141682,,,ENSG00000121316,,,
,,,,ENSG00000268751,,,ENSG00000139626,,,
,,,,ENSG00000188508,,,ENSG00000123329,,,
,,,,ENSG00000161249,,,ENSG00000090382,,,
,,,,ENSG00000188505,,,ENSG00000110876,,,
,,,,ENSG00000105427,,,ENSG00000132965,,,
,,,,ENSG00000088002,,,ENSG00000169385,,,
,,,,ENSG00000186806,,,ENSG00000197249,,,
,,,,ENSG00000125780,,,ENSG00000211893,,,
,,,,ENSG00000088836,,,ENSG00000211896,,,
,,,,ENSG00000124102,,,ENSG00000211897,,,
,,,,ENSG00000160213,,,ENSG00000211899,,,
,,,,,,,ENSG00000103569,,,
,,,,,,,ENSG00000140379,,,
,,,,,,,ENSG00000008516,,,
,,,,,,,ENSG00000140749,,,
,,,,,,,ENSG00000184730,,,
,,,,,,,ENSG00000140678,,,
,,,,,,,ENSG00000140932,,,
,,,,,,,ENSG00000126353,,,
,,,,,,,ENSG00000005961,,,
,,,,,,,ENSG00000173868,,,
,,,,,,,ENSG00000173762,,,
,,,,,,,ENSG00000197540,,,
,,,,,,,ENSG00000172232,,,
,,,,,,,ENSG00000171236,,,
,,,,,,,ENSG00000142347,,,
,,,,,,,ENSG00000076662,,,
,,,,,,,ENSG00000214212,,,
,,,,,,,ENSG00000130755,,,
,,,,,,,ENSG00000105369,,,
,,,,,,,ENSG00000204936,,,
,,,,,,,ENSG00000008438,,,
,,,,,,,ENSG00000197405,,,
,,,,,,,ENSG00000104894,,,
,,,,,,,ENSG00000105374,,,
,,,,,,,ENSG00000142512,,,
,,,,,,,ENSG00000171051,,,
,,,,,,,ENSG00000170909,,,
,,,,,,,ENSG00000244482,,,
,,,,,,,ENSG00000187116,,,
,,,,,,,ENSG00000101307,,,
,,,,,,,ENSG00000101336,,,
,,,,,,,ENSG00000100985,,,
,,,,,,,ENSG00000204044,,,
,,,,,,,ENSG00000160255,,,
,,,,,,,ENSG00000211675,,,
,,,,,,,ENSG00000211679,,,
,,,,,,,ENSG00000100365,,,
,,,,,,,ENSG00000100385,,,
