"","x"
"GTEX-1117F-0226-SM-5GZZ7",1
"GTEX-1117F-0426-SM-5EGHI",2
"GTEX-1117F-0526-SM-5EGHJ",1
"GTEX-1117F-0626-SM-5N9CS",1
"GTEX-1117F-0726-SM-5GIEN",3
"GTEX-1117F-1326-SM-5EGHH",4
"GTEX-1117F-2426-SM-5EGGH",1
"GTEX-1117F-2526-SM-5GZY6",5
"GTEX-1117F-2826-SM-5GZXL",1
"GTEX-1117F-2926-SM-5GZYI",5
"GTEX-1117F-3026-SM-5GZYU",5
"GTEX-1117F-3226-SM-5N9CT",6
"GTEX-111CU-0126-SM-5GZWZ",1
"GTEX-111CU-0226-SM-5GZXC",1
"GTEX-111CU-0326-SM-5GZXO",7
"GTEX-111CU-0426-SM-5GZY1",8
"GTEX-111CU-0526-SM-5EGHK",9
"GTEX-111CU-0626-SM-5EGHL",1
"GTEX-111CU-0726-SM-5GZYD",5
"GTEX-111CU-0826-SM-5EGIJ",1
"GTEX-111CU-0926-SM-5EGIK",10
"GTEX-111CU-1026-SM-5EGIL",1
"GTEX-111CU-1126-SM-5EGIM",5
"GTEX-111CU-1226-SM-5EGIN",1
"GTEX-111CU-1326-SM-5NQ8L",1
"GTEX-111CU-1426-SM-5GZYP",4
"GTEX-111CU-1526-SM-5N9FS",1
"GTEX-111CU-1726-SM-5EGHM",11
"GTEX-111CU-1826-SM-5GZYN",1
"GTEX-111CU-2026-SM-5GZZC",2
"GTEX-111CU-2226-SM-5N9G5",1
"GTEX-111FC-0126-SM-5N9DL",5
"GTEX-111FC-0226-SM-5N9B8",1
"GTEX-111FC-0326-SM-5GZZ1",2
"GTEX-111FC-0426-SM-5N9CV",1
"GTEX-111FC-0526-SM-5GZZ8",1
"GTEX-111FC-0626-SM-5N9CU",3
"GTEX-111FC-0826-SM-5GZWO",12
"GTEX-111FC-1026-SM-5GZX1",1
"GTEX-111FC-1126-SM-5GZWU",7
"GTEX-111FC-1326-SM-5N9D9",13
"GTEX-111FC-1926-SM-5GZYC",11
"GTEX-111FC-2026-SM-5GZYO",1
"GTEX-111FC-2526-SM-5GZXU",5
"GTEX-111FC-2926-SM-5GZY7",5
"GTEX-111FC-3126-SM-5GZZ2",6
"GTEX-111FC-3326-SM-5GZYV",6
"GTEX-111VG-0008-SM-5Q5BG",1
"GTEX-111VG-0326-SM-5GZX7",3
"GTEX-111VG-0526-SM-5N9BW",4
"GTEX-111VG-0726-SM-5GIDC",7
"GTEX-111VG-1626-SM-5EGIO",5
"GTEX-111VG-1926-SM-5GIDO",11
"GTEX-111VG-2226-SM-5N9DU",4
"GTEX-111VG-2326-SM-5N9BK",1
"GTEX-111VG-2426-SM-5GZXD",5
"GTEX-111VG-2526-SM-5GZXP",14
"GTEX-111VG-2626-SM-5GZY2",2
"GTEX-111YS-0006-SM-5NQBE",15
"GTEX-111YS-0008-SM-5Q5BH",1
"GTEX-111YS-0126-SM-5987T",1
"GTEX-111YS-0326-SM-5GZZ3",3
"GTEX-111YS-0426-SM-5987O",12
"GTEX-111YS-0526-SM-5GZXJ",1
"GTEX-111YS-0626-SM-5GZXV",7
"GTEX-111YS-0726-SM-5GZY8",1
"GTEX-111YS-0826-SM-5GZYK",4
"GTEX-111YS-0926-SM-5EGGI",5
"GTEX-111YS-1026-SM-5GZYE",1
"GTEX-111YS-1126-SM-5GZYQ",10
"GTEX-111YS-1226-SM-5EGGJ",9
"GTEX-111YS-1326-SM-5EGGK",1
"GTEX-111YS-1426-SM-5GID8",4
"GTEX-111YS-1526-SM-5GZYW",5
"GTEX-111YS-1626-SM-5GZZ9",1
"GTEX-111YS-1726-SM-5GIED",1
"GTEX-111YS-1826-SM-5GIEP",1
"GTEX-111YS-1926-SM-5GICC",1
"GTEX-111YS-2026-SM-5EGGL",11
"GTEX-111YS-2126-SM-5EGGM",1
"GTEX-111YS-2226-SM-5987P",1
"GTEX-111YS-2326-SM-5987L",2
"GTEX-111YS-2426-SM-5GZZQ",1
"GTEX-1122O-0003-SM-5Q5DL",16
"GTEX-1122O-0005-SM-5O99J",15
"GTEX-1122O-0008-SM-5QGR2",1
"GTEX-1122O-0126-SM-5GICA",7
"GTEX-1122O-0226-SM-5N9DA",1
"GTEX-1122O-0326-SM-5H124",1
"GTEX-1122O-0426-SM-5H12G",1
"GTEX-1122O-0526-SM-5N9DM",13
"GTEX-1122O-0626-SM-5N9B9",3
"GTEX-1122O-0726-SM-5GIEV",9
"GTEX-1122O-0826-SM-5GICV",12
"GTEX-1122O-0926-SM-9YFLC",1
"GTEX-1122O-1026-SM-9WYSF",5
"GTEX-1122O-1126-SM-5NQ8X",1
"GTEX-1122O-1226-SM-5H113",4
"GTEX-1122O-1326-SM-5H11F",4
"GTEX-1122O-1426-SM-5H11R",1
"GTEX-1122O-1526-SM-5N9CL",4
"GTEX-1122O-1626-SM-5N9CX",1
"GTEX-1122O-1726-SM-5GICM",5
"GTEX-1122O-1826-SM-5EGIP",1
"GTEX-1122O-1926-SM-5EGIQ",10
"GTEX-1122O-2026-SM-9YFMG",1
"GTEX-1122O-2126-SM-5EGIR",5
"GTEX-1122O-2326-SM-9YFL9",1
"GTEX-1122O-2426-SM-5GIDN",2
"GTEX-1128S-0005-SM-5P9HI",15
"GTEX-1128S-0008-SM-5Q5DP",1
"GTEX-1128S-0126-SM-5H12S",1
"GTEX-1128S-0326-SM-5GZZF",1
"GTEX-1128S-0726-SM-5N9D6",7
"GTEX-1128S-0826-SM-5GZZI",9
"GTEX-1128S-0926-SM-5GZZU",1
"GTEX-1128S-1626-SM-5H12O",4
"GTEX-1128S-2126-SM-5H12U",1
"GTEX-1128S-2326-SM-5GZZY",5
"GTEX-1128S-2426-SM-5H11B",2
"GTEX-1128S-2526-SM-5H11N",1
"GTEX-1128S-2626-SM-5H11Z",1
"GTEX-1128S-2726-SM-5H12C",6
"GTEX-1128S-2826-SM-5N9DI",6
"GTEX-113IC-0006-SM-5NQ9C",15
"GTEX-113IC-0008-SM-5QGRF",1
"GTEX-113IC-0126-SM-5HL6T",5
"GTEX-113IC-0226-SM-5HL5C",1
"GTEX-113IC-0426-SM-5HL5O",1
"GTEX-113IC-0526-SM-5HL76",1
"GTEX-113JC-0006-SM-5O997",17
"GTEX-113JC-0008-SM-5QGR6",1
"GTEX-113JC-0126-SM-5EGJW",1
