Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60,Topic 61,Topic 62,Topic 63,Topic 64,Topic 65,Topic 66,Topic 67,Topic 68
ENSG00000174953,ENSG00000174173,ENSG00000109065,ENSG00000147684,ENSG00000145354,ENSG00000188529,,ENSG00000164040,ENSG00000149100,ENSG00000004700,ENSG00000226479,ENSG00000075539,ENSG00000213614,,,ENSG00000115548,ENSG00000137876,ENSG00000169045,,,,,ENSG00000120913,ENSG00000174839,,,,ENSG00000113272,,,ENSG00000184979,,,ENSG00000186815,,,ENSG00000204568,ENSG00000189227,ENSG00000110888,ENSG00000170855,ENSG00000145293,,ENSG00000120696,,,ENSG00000081913,,ENSG00000127995,,,ENSG00000139508,,,,,,,,,,,,,,,,,
ENSG00000171865,ENSG00000137168,ENSG00000167685,ENSG00000091483,ENSG00000144827,ENSG00000114520,,ENSG00000259956,ENSG00000170142,ENSG00000136731,ENSG00000134086,ENSG00000140262,ENSG00000049656,,,ENSG00000167925,ENSG00000115825,ENSG00000109920,,,,,ENSG00000182544,ENSG00000127603,,,,ENSG00000092439,,,ENSG00000116830,,,ENSG00000106479,,,ENSG00000196850,ENSG00000163590,ENSG00000149179,ENSG00000109534,ENSG00000143514,,ENSG00000258102,,,ENSG00000171316,,ENSG00000181982,,,ENSG00000068650,,,,,,,,,,,,,,,,,
ENSG00000047346,ENSG00000168061,ENSG00000114857,ENSG00000078668,ENSG00000139163,ENSG00000124786,,ENSG00000138386,ENSG00000122218,ENSG00000074695,ENSG00000140830,ENSG00000164902,ENSG00000011304,,,ENSG00000003756,ENSG00000134371,ENSG00000134186,,,,,ENSG00000072210,ENSG00000112701,,,,ENSG00000120158,,,ENSG00000166451,,,ENSG00000132906,,,ENSG00000138768,ENSG00000170456,ENSG00000161914,ENSG00000116120,ENSG00000039319,,,,,ENSG00000174013,,ENSG00000196372,,,ENSG00000044446,,,,,,,,,,,,,,,,,
ENSG00000164182,ENSG00000137040,ENSG00000137070,ENSG00000156709,ENSG00000106266,ENSG00000167842,,ENSG00000037637,ENSG00000100632,ENSG00000101346,ENSG00000084112,ENSG00000168283,ENSG00000105438,,,ENSG00000165458,ENSG00000104756,ENSG00000129351,,,,,ENSG00000169972,ENSG00000254858,,,,ENSG00000119285,,,ENSG00000140525,,,ENSG00000100263,,,ENSG00000131069,ENSG00000165914,ENSG00000090975,ENSG00000148843,ENSG00000186908,,,,,ENSG00000171723,,ENSG00000122126,,,ENSG00000102796,,,,,,,,,,,,,,,,,
ENSG00000116406,ENSG00000163170,ENSG00000116001,ENSG00000132361,ENSG00000125821,ENSG00000073417,,ENSG00000087008,ENSG00000187735,ENSG00000148634,ENSG00000091039,ENSG00000142892,ENSG00000153066,,,ENSG00000105325,ENSG00000169857,ENSG00000160072,,,,,ENSG00000166224,ENSG00000118960,,,,ENSG00000137145,,,ENSG00000165244,,,ENSG00000091164,,,ENSG00000138600,ENSG00000142684,ENSG00000168301,ENSG00000114767,ENSG00000103174,,,,,ENSG00000130338,,ENSG00000074935,,,ENSG00000125449,,,,,,,,,,,,,,,,,
ENSG00000135837,ENSG00000177150,ENSG00000124074,ENSG00000141385,ENSG00000106261,ENSG00000175970,,ENSG00000012983,ENSG00000122565,ENSG00000033011,ENSG00000135679,ENSG00000255529,ENSG00000172432,,,ENSG00000128159,ENSG00000164823,ENSG00000120685,,,,,ENSG00000089902,ENSG00000097007,,,,ENSG00000009413,,,,,,ENSG00000100105,,,ENSG00000019995,,ENSG00000177084,ENSG00000087269,ENSG00000111328,,,,,ENSG00000100350,,ENSG00000145476,,,ENSG00000127663,,,,,,,,,,,,,,,,,
ENSG00000110218,ENSG00000155380,ENSG00000132485,ENSG00000163110,ENSG00000101310,ENSG00000132406,,ENSG00000108091,ENSG00000136527,ENSG00000128829,ENSG00000175354,ENSG00000165169,ENSG00000185043,,,ENSG00000099991,ENSG00000100934,ENSG00000100023,,,,,ENSG00000100139,ENSG00000165389,,,,ENSG00000102189,,,,,,ENSG00000197150,,,ENSG00000162402,,ENSG00000132664,ENSG00000160214,ENSG00000129158,,,,,ENSG00000155034,,ENSG00000119650,,,ENSG00000188559,,,,,,,,,,,,,,,,,
ENSG00000197498,ENSG00000198924,ENSG00000102606,ENSG00000156467,ENSG00000006625,ENSG00000041880,,ENSG00000168564,ENSG00000115484,ENSG00000107789,ENSG00000114127,ENSG00000001629,ENSG00000172725,,,ENSG00000105321,ENSG00000118007,ENSG00000164548,,,,,ENSG00000144048,ENSG00000184677,,,,ENSG00000095951,,,,,,ENSG00000100403,,,ENSG00000099968,,ENSG00000109436,ENSG00000253729,ENSG00000182670,,,,,,,ENSG00000109184,,,ENSG00000147894,,,,,,,,,,,,,,,,,
ENSG00000023909,ENSG00000155330,ENSG00000258366,ENSG00000123472,ENSG00000135597,ENSG00000046647,,ENSG00000119139,ENSG00000138363,ENSG00000164244,ENSG00000166189,ENSG00000164830,ENSG00000169919,,,ENSG00000111276,ENSG00000121879,ENSG00000052841,,,,,ENSG00000143457,ENSG00000150712,,,,ENSG00000173145,,,,,,ENSG00000006282,,,ENSG00000086015,,ENSG00000003393,ENSG00000110104,ENSG00000138698,,,,,,,ENSG00000089335,,,ENSG00000154889,,,,,,,,,,,,,,,,,
ENSG00000137710,ENSG00000155846,ENSG00000119688,ENSG00000167136,ENSG00000166477,ENSG00000179222,,ENSG00000119537,ENSG00000163468,ENSG00000150961,ENSG00000106392,ENSG00000137500,ENSG00000077312,,,ENSG00000136147,ENSG00000134318,ENSG00000119707,,,,,ENSG00000160703,ENSG00000107672,,,,ENSG00000116874,,,,,,ENSG00000085998,,,ENSG00000068878,,ENSG00000102078,ENSG00000135521,ENSG00000087095,,,,,,,ENSG00000105429,,,ENSG00000188997,,,,,,,,,,,,,,,,,
ENSG00000206560,,ENSG00000165699,ENSG00000138796,ENSG00000240344,ENSG00000153989,,ENSG00000151239,ENSG00000047410,ENSG00000023608,ENSG00000151694,ENSG00000120805,ENSG00000130175,,,ENSG00000145214,ENSG00000171793,ENSG00000005206,,,,,ENSG00000198561,ENSG00000119787,,,,ENSG00000163002,,,,,,ENSG00000108469,,,ENSG00000114302,,ENSG00000205476,ENSG00000145907,ENSG00000148411,,,,,,,ENSG00000082805,,,ENSG00000165801,,,,,,,,,,,,,,,,,
ENSG00000066697,,ENSG00000135164,ENSG00000110435,ENSG00000006530,ENSG00000164253,,ENSG00000171469,ENSG00000117523,ENSG00000133818,ENSG00000111684,ENSG00000149084,ENSG00000108784,,,ENSG00000070413,ENSG00000135801,ENSG00000050426,,,,,ENSG00000136868,ENSG00000115904,,,,ENSG00000120526,,,,,,ENSG00000140691,,,ENSG00000206418,,ENSG00000138604,ENSG00000164024,ENSG00000101350,,,,,,,ENSG00000243156,,,ENSG00000169131,,,,,,,,,,,,,,,,,
ENSG00000156253,,ENSG00000128191,ENSG00000136143,ENSG00000164466,ENSG00000164168,,ENSG00000144560,ENSG00000135387,ENSG00000049449,ENSG00000077514,ENSG00000159921,ENSG00000141971,,,ENSG00000204859,ENSG00000183337,ENSG00000004975,,,,,ENSG00000102572,ENSG00000166166,,,,ENSG00000060749,,,,,,ENSG00000178567,,,ENSG00000103353,,ENSG00000167074,ENSG00000163938,ENSG00000109790,,,,,,,ENSG00000196689,,,ENSG00000100802,,,,,,,,,,,,,,,,,
